energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.26237562,1.33614940,1.19357625,0.04714909,0.35166419,0.13542359,1.18706904,0.08141066,0.27699516
-5.99399700,3.28694591,1.30618553,1.19989558,0.04937007,0.35186752,0.13862291,1.20474522,0.08247200,0.26786216
-5.98799400,3.31409523,1.28102521,1.20562569,0.05159619,0.35283133,0.14182764,1.22265146,0.08372764,0.25965079
-5.98199100,3.34191251,1.25986528,1.21022180,0.05378730,0.35434126,0.14496657,1.24006593,0.08510684,0.25220964
-5.97598799,3.36853181,1.24190686,1.21316598,0.05590214,0.35618300,0.14796757,1.25629127,0.08654006,0.24539800
-5.96998499,3.39218949,1.22638150,1.21398457,0.05789944,0.35815004,0.15076029,1.27067724,0.08796088,0.23908805
-5.96398199,3.41128220,1.21257644,1.21226595,0.05973902,0.36005131,0.15327905,1.28264338,0.08930772,0.23316700
-5.95797899,3.42442309,1.19985799,1.20767777,0.06138302,0.36171847,0.15546577,1.29170065,0.09052556,0.22753916
-5.95197599,3.43049378,1.18769228,1.19998281,0.06279709,0.36301240,0.15727279,1.29747083,0.09156744,0.22212776
-5.94597299,3.42868889,1.17566233,1.18905221,0.06395143,0.36382876,0.15866529,1.29970280,0.09239574,0.21687661
-5.93996998,3.41855085,1.16348071,1.17487546,0.06482183,0.36410199,0.15962345,1.29828457,0.09298322,0.21175128
-5.93396698,3.39999240,1.15099707,1.15756613,0.06539041,0.36380794,0.16014385,1.29325028,0.09331367,0.20673981
-5.92796398,3.37330515,1.13820007,1.13736293,0.06564626,0.36296453,0.16024033,1.28478156,0.09338224,0.20185273
-5.92196098,3.33915300,1.12521350,1.11462558,0.06558572,0.36163064,0.15994400,1.27320287,0.09319533,0.19712252
-5.91595798,3.29855004,1.11228656,1.08982555,0.06521247,0.35990310,0.15930253,1.25897078,0.09277015,0.19260218
-5.90995498,3.25282339,1.09977867,1.06353182,0.06453732,0.35791189,0.15837862,1.24265750,0.09213382,0.18836307
-5.90395198,3.20356211,1.08813940,1.03639211,0.06357768,0.35581374,0.15724770,1.22492914,0.09132215,0.18449208
-5.89794897,3.15255432,1.07788435,1.00911034,0.06235687,0.35378446,0.15599506,1.20651968,0.09037811,0.18108799
-5.89194597,3.10171495,1.06956809,0.98242123,0.06090319,0.35201026,0.15471240,1.18820158,0.08934997,0.17825742
-5.88594297,3.05300733,1.06375538,0.95706313,0.05924877,0.35067854,0.15349400,1.17075441,0.08828936,0.17611019
-5.87993997,3.00836207,1.06099197,0.93375026,0.05742837,0.34996848,0.15243273,1.15493286,0.08724909,0.17475457
-5.87393697,2.96959668,1.06177645,0.91314548,0.05547810,0.35004205,0.15161600,1.14143544,0.08628108,0.17429227
-5.86793397,2.93833957,1.06653427,0.89583489,0.05343418,0.35103564,0.15112196,1.13087535,0.08543417,0.17481369
-5.86193097,2.91596166,1.07559526,0.88230516,0.05133167,0.35305291,0.15101593,1.12375474,0.08475224,0.17639332
-5.85592796,2.90351842,1.08917560,0.87292464,0.04920342,0.35615906,0.15134741,1.12044344,0.08427235,0.17908568
-5.84992496,2.90170479,1.10736490,0.86792888,0.04707914,0.36037676,0.15214776,1.12116300,0.08402334,0.18292176
-5.84392196,2.91082464,1.13011897,0.86741112,0.04498461,0.36568406,0.15342852,1.12597680,0.08402455,0.18790631
-5.83791896,2.93077579,1.15725837,0.87131810,0.04294118,0.37201414,0.15518059,1.13478633,0.08428511,0.19401588
-5.83191596,2.96105087,1.18847267,0.87945106,0.04096548,0.37925706,0.15737428,1.14733395,0.08480340,0.20119781
-5.82591296,3.00075371,1.22332988,0.89147208,0.03906929,0.38726325,0.15996008,1.16321172,0.08556710,0.20937015
-5.81990995,3.04863008,1.26129055,0.90691508,0.03725974,0.39584861,0.16287030,1.18187582,0.08655348,0.21842251
-5.81390695,3.10311128,1.30172555,0.92520114,0.03553960,0.40480098,0.16602131,1.20266598,0.08773019,0.22821787
