energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zr_p_up,Zr_d_up
-6.00000000,2.14873138,0.05271592,0.03568055,0.01046006,1.51017302,1.04427026,0.23339594,0.91500568,0.22802237
-5.99399700,2.04152922,0.05217556,0.03315761,0.01016760,1.43440982,0.99782787,0.22091757,0.88223776,0.21323865
-5.98799400,1.93505704,0.05146516,0.03070424,0.00985637,1.35912445,0.95055006,0.20904571,0.84837318,0.19884293
-5.98199100,1.82971890,0.05058768,0.02832920,0.00952730,1.28461867,0.90266340,0.19778896,0.81363048,0.18487792
-5.97598799,1.72593367,0.04955033,0.02604061,0.00918191,1.21120214,0.85441620,0.18715234,0.77825363,0.17138254
-5.96998499,1.62413245,0.04836440,0.02384593,0.00882237,1.13919036,0.80607530,0.17713839,0.74250687,0.15839220
-5.96398199,1.52475351,0.04704481,0.02175191,0.00845144,1.06890096,0.75792153,0.16774811,0.70666819,0.14593891
-5.95797899,1.42823508,0.04560960,0.01976457,0.00807244,1.00064855,0.71024397,0.15898136,0.67102176,0.13405133
-5.95197599,1.33500642,0.04407917,0.01788915,0.00768923,0.93473853,0.66333341,0.15083703,0.63584963,0.12275466
-5.94597299,1.24547786,0.04247546,0.01613015,0.00730608,0.87146025,0.61747530,0.14331291,0.60142321,0.11207048
-5.93996998,1.16003057,0.04082109,0.01449124,0.00692761,0.81108000,0.57294260,0.13640539,0.56799496,0.10201658
-5.93396698,1.07900669,0.03913843,0.01297537,0.00655868,0.75383442,0.52998887,0.13010900,0.53579069,0.09260675
-5.92796398,1.00270061,0.03744877,0.01158473,0.00620426,0.69992468,0.48884207,0.12441602,0.50500302,0.08385065
-5.92196098,0.93135199,0.03577160,0.01032084,0.00586938,0.64951191,0.44969931,0.11931612,0.47578614,0.07575371
-5.91595798,0.86514100,0.03412390,0.00918458,0.00555900,0.60271417,0.41272286,0.11479616,0.44825240,0.06831720
-5.90995498,0.80418606,0.03251974,0.00817634,0.00527795,0.55960530,0.37803762,0.11084025,0.42247067,0.06153828
-5.90395198,0.74854432,0.03096993,0.00729606,0.00503086,0.52021545,0.34573015,0.10742999,0.39846670,0.05541036
-5.89794897,0.69821468,0.02948190,0.00654335,0.00482211,0.48453365,0.31584929,0.10454494,0.37622531,0.04992338
-5.89194597,0.65314331,0.02805979,0.00591758,0.00465579,0.45251184,0.28840827,0.10216339,0.35569435,0.04506435
-5.88594297,0.61323104,0.02670460,0.00541801,0.00453567,0.42407046,0.26338816,0.10026312,0.33679013,0.04081787
-5.87993997,0.57834234,0.02541463,0.00504379,0.00446516,0.39910496,0.24074256,0.09882244,0.31940395,0.03716674
-5.87393697,0.54831510,0.02418589,0.00479409,0.00444730,0.37749296,0.22040298,0.09782104,0.30340955,0.03409260
-5.86793397,0.52297057,0.02301265,0.00466808,0.00448469,0.35910160,0.20228500,0.09724089,0.28867072,0.03157653
-5.86193097,0.50212296,0.02188803,0.00466493,0.00457948,0.34379452,0.18629446,0.09706683,0.27504906,0.02959960
-5.85592796,0.48558786,0.02080458,0.00478381,0.00473331,0.33143816,0.17233370,0.09728700,0.26241117,0.02814332
-5.84992496,0.47318912,0.01975485,0.00502374,0.00494721,0.32190695,0.16030736,0.09789284,0.25063507,0.02719004
-5.84392196,0.46476372,0.01873184,0.00538358,0.00522152,0.31508708,0.15012746,0.09887878,0.23961556,0.02672315
-5.83791896,0.46016432,0.01772947,0.00586181,0.00555582,0.31087869,0.14171762,0.10024152,0.22926823,0.02672712
-5.83191596,0.45925955,0.01674283,0.00645642,0.00594878,0.30919641,0.13501617,0.10197895,0.21953201,0.02718744
-5.82591296,0.46193183,0.01576846,0.00716471,0.00639810,0.30996812,0.12997803,0.10408880,0.21037027,0.02809040
