energy_ev,total_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.50157453,0.13881595,0.28480804,0.00338129,0.06725416,0.00485179,0.00002677
-5.99399700,0.49003605,0.13307392,0.27364452,0.00284487,0.06301156,0.00439054,0.00003150
-5.98799400,0.48193868,0.12933395,0.26287044,0.00244080,0.05918467,0.00397494,0.00003726
-5.98199100,0.47747310,0.12758073,0.25252076,0.00215763,0.05573264,0.00359733,0.00004415
-5.97598799,0.47694262,0.12784301,0.24268268,0.00198774,0.05263377,0.00325262,0.00005232
-5.96998499,0.48074847,0.13018861,0.23349370,0.00192760,0.04988504,0.00293778,0.00006188
-5.96398199,0.48937429,0.13471888,0.22513994,0.00197789,0.04750161,0.00265133,0.00007296
-5.95797899,0.50337016,0.14156285,0.21785471,0.00214378,0.04551654,0.00239301,0.00008569
-5.95197599,0.52333656,0.15087124,0.21191759,0.00243516,0.04398048,0.00216343,0.00010017
-5.94597299,0.54990857,0.16281050,0.20765403,0.00286688,0.04296172,0.00196393,0.00011649
-5.93996998,0.58374059,0.17755693,0.20543528,0.00345908,0.04254626,0.00179635,0.00013472
-5.93396698,0.62549196,0.19529117,0.20567885,0.00423749,0.04283805,0.00166299,0.00015489
-5.92796398,0.67581361,0.21619303,0.20884906,0.00523365,0.04395932,0.00156655,0.00017700
-5.92196098,0.73533620,0.24043686,0.21545751,0.00648525,0.04605080,0.00151010,0.00020098
-5.91595798,0.80465965,0.26818737,0.22606320,0.00803623,0.04927188,0.00149711,0.00022674
-5.90995498,0.88434429,0.29959616,0.24127179,0.00993690,0.05380045,0.00153143,0.00025412
-5.90395198,0.97490357,0.33479869,0.26173364,0.01224380,0.05983231,0.00161733,0.00028292
-5.89794897,1.07679810,0.37391184,0.28814008,0.01501945,0.06757994,0.00175951,0.00031286
-5.89194597,1.19043073,0.41703177,0.32121746,0.01833186,0.07727062,0.00196307,0.00034363
-5.88594297,1.31614231,0.46423207,0.36171851,0.02225364,0.08914360,0.00223348,0.00037486
-5.87993997,1.45420734,0.51556192,0.41041052,0.02686098,0.10344619,0.00257652,0.00040614
-5.87393697,1.60482924,0.57104395,0.46806023,0.03223216,0.12042885,0.00299814,0.00043702
-5.86793397,1.76813417,0.63067178,0.53541500,0.03844576,0.14033903,0.00350438,0.00046704
-5.86193097,1.94416306,0.69440678,0.61318053,0.04557857,0.16341399,0.00410114,0.00049570
-5.85592796,2.13286121,0.76217397,0.70199525,0.05370313,0.18987250,0.00479399,0.00052254
-5.84992496,2.33406514,0.83385695,0.80240190,0.06288507,0.21990570,0.00558794,0.00054708
-5.84392196,2.54748659,0.90929179,0.91481716,0.07318028,0.25366741,0.00648715,0.00056889
-5.83791896,2.77269399,0.98825999,1.03950016,0.08463192,0.29126412,0.00749466,0.00058759
-5.83191596,3.00909198,1.07048083,1.17652145,0.09726756,0.33274510,0.00861214,0.00060284
-5.82591296,3.25589992,1.15560337,1.32573359,0.11109642,0.37809317,0.00983961,0.00061437
-5.81990995,3.51213087,1.24319868,1.48674523,0.12610691,0.42721647,0.01117517,0.00062199
-5.81390695,3.77657260,1.33275304,1.65890018,0.14226462,0.47994194,0.01261486,0.00062560
-5.80790395,4.04777247,1.42366261,1.84126321,0.15951090,0.53601072,0.01415248,0.00062516
-5.80190095,4.32402824,1.51523064,2.03261400,0.17776205,0.59507625,0.01577953,0.00062076
-5.79589795,4.60338660,1.60666771,2.23145048,0.19690939,0.65670511,0.01748519,0.00061252
