energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,4.78597292,0.55277815,0.17037619,0.00175946,0.71683363,0.07817009,1.99018776,0.71192033,0.59958442
-5.99399700,4.99358952,0.58476596,0.17810739,0.00186719,0.77440602,0.08287533,2.04621574,0.76439855,0.64903930
-5.98799400,5.20846283,0.62078237,0.18647381,0.00197467,0.83442770,0.08776695,2.10421869,0.81808960,0.70059543
-5.98199100,5.43022096,0.66102341,0.19546885,0.00208126,0.89667692,0.09281606,2.16431182,0.87273996,0.75404645
-5.97598799,5.65847786,0.70564710,0.20510417,0.00218643,0.96089156,0.09799452,2.22663365,0.92808412,0.80915030
-5.96998499,5.89282662,0.75476793,0.21541146,0.00228974,1.02676600,0.10327557,2.29134302,0.98384531,0.86562649
-5.96398199,6.13283192,0.80845259,0.22644344,0.00239085,1.09394815,0.10863450,2.35861596,1.03973595,0.92315363
-5.95797899,6.37802226,0.86671692,0.23827413,0.00248955,1.16203714,0.11404911,2.42864232,1.09545764,0.98136754
-5.95197599,6.62788246,0.92952432,0.25099832,0.00258574,1.23058197,0.11950014,2.50162223,1.15070114,1.03986018
-5.94597299,6.88184707,0.99678558,0.26473008,0.00267942,1.29908160,0.12497153,2.57776233,1.20514643,1.09817994
-5.93996998,7.13929527,1.06836012,0.27960045,0.00277073,1.36698672,0.13045060,2.65727157,1.25846308,1.15583347
-5.93396698,7.39954770,1.14405847,0.29575410,0.00285992,1.43370375,0.13592800,2.74035654,1.31031129,1.21228958
-5.92796398,7.66186558,1.22364594,0.31334526,0.00294734,1.49860117,0.14139766,2.82721604,1.36034375,1.26698518
-5.92196098,7.92545210,1.30684687,0.33253262,0.00303344,1.56101845,0.14685647,2.91803478,1.40820853,1.31933365
-5.91595798,8.18945611,1.39334953,0.35347364,0.00311876,1.62027742,0.15230391,3.01297593,1.45355308,1.36873534
-5.90995498,8.45297751,1.48281079,0.37631808,0.00320390,1.67569608,0.15774156,3.11217232,1.49602944,1.41459027
-5.90395198,8.71507382,1.57486060,0.40120097,0.00328954,1.72660429,0.16317245,3.21571624,1.53530043,1.45631248
-5.89794897,8.97476706,1.66910540,0.42823529,0.00337637,1.77236108,0.16860036,3.32364753,1.57104676,1.49334575
-5.89194597,9.23104989,1.76513049,0.45750437,0.00346513,1.81237263,0.17402900,3.43594028,1.60297470,1.52517976
-5.88594297,9.48289017,1.86250072,0.48905434,0.00355652,1.84611034,0.17946114,3.55248805,1.63082401,1.55136633
-5.87993997,9.72923290,1.96075955,0.52288678,0.00365124,1.87312814,0.18489774,3.67308795,1.65437561,1.57153464
-5.87393697,9.96899910,2.05942634,0.55895200,0.00374990,1.89307801,0.19033702,3.79742425,1.67345872,1.58540484
-5.86793397,10.20108114,2.15799206,0.59714307,0.00385300,1.90572311,0.19577360,3.92505199,1.68795696,1.59279925
-5.86193097,10.42433482,2.25591368,0.63729097,0.00396092,1.91094770,0.20119769,4.05538152,1.69781301,1.59365049
-5.85592796,10.63756876,2.35260790,0.67916121,0.00407386,1.90876331,0.20659442,4.18766511,1.70303163,1.58800611
-5.84992496,10.83953235,2.44744469,0.72245216,0.00419182,1.89931082,0.21194325,4.32098661,1.70368092,1.57602936
-5.84392196,11.02890366,2.53974163,0.76679534,0.00431454,1.88285827,0.21721770,4.45425547,1.69989150,1.55799606
-5.83791896,11.20427956,2.62875984,0.81175794,0.00444150,1.85979450,0.22238520,4.58620625,1.69185394,1.53428764
-5.83191596,11.36416983,2.71370239,0.85684769,0.00457191,1.83061896,0.22740730,4.71540475,1.67981447,1.50538070
-5.82591296,11.50699779,2.79371604,0.90152014,0.00470466,1.79592803,0.23224010,4.84026156,1.66406918,1.47183352
-5.81990995,11.63110894,2.86789702,0.94518837,0.00483838,1.75639871,0.23683501,4.95905353,1.64495716,1.43427034
-5.81390695,11.73478953,2.93530131,0.98723481,0.00497139,1.71277033,0.24113980,5.06995347,1.62285280,1.39336395
-5.80790395,11.81629555,2.99495966,1.02702521,0.00510179,1.66582500,0.24509987,5.17106768,1.59815770,1.34981752
-5.80190095,11.87389247,3.04589729,1.06392408,0.00522746,1.61636790,0.24865981,5.26048051,1.57129252,1.30434647
-5.79589795,11.90590471,3.08715779,1.09731124,0.00534613,1.56520787,0.25176503,5.33630470,1.54268903,1.25766099
-5.78989495,11.91077339,3.11783049,1.12659893,0.00545544,1.51313925,0.25436350,5.39673578,1.51278257,1.21045010
-5.78389195,11.88711951,3.13708025,1.15124877,0.00555302,1.46092535,0.25640748,5.44010831,1.48200521,1.16336747
-5.77788894,11.83380964,3.14417828,1.17078788,0.00563656,1.40928408,0.25785519,5.46495160,1.45077944,1.11701966
-5.77188594,11.75002018,3.13853257,1.18482347,0.00570389,1.35887604,0.25867218,5.47004222,1.41951265,1.07195681
-5.76588294,11.63529631,3.11971621,1.19305537,0.00575303,1.31029508,0.25883259,5.45445092,1.38859221,1.02866596
-5.75987994,11.48960187,3.08749209,1.19528572,0.00578231,1.26406148,0.25831993,5.41758131,1.35838114,0.98756687
-5.75387694,11.31335655,3.04183245,1.19142555,0.00579038,1.22061758,0.25712759,5.35919840,1.32921425,0.94901031
-5.74787394,11.10745763,2.98293212,1.18149779,0.00577630,1.18032573,0.25525884,5.27944527,1.30139485,0.91327837
-5.74187094,10.87328440,2.91121430,1.16563666,0.00573951,1.14346837,0.25272655,5.17884694,1.27519181,0.88058673
-5.73586793,10.61268424,2.82732856,1.14408342,0.00567991,1.11024997,0.24955242,5.05830095,1.25083711,0.85108839
-5.72986493,10.32794076,2.73214065,1.11717859,0.00559783,1.08080068,0.24576594,4.91905510,1.22852404,0.82487873
-5.72386193,10.02172531,2.62671457,1.08535121,0.00549400,1.05518137,0.24140310,4.76267319,1.20840600,0.80200145
-5.71785893,9.69703430,2.51228752,1.04910533,0.00536955,1.03339008,0.23650493,4.59099054,1.19059627,0.78245532
-5.71185593,9.35711550,2.39023878,1.00900467,0.00522595,1.01536949,0.23111591,4.40606118,1.17516873,0.76620140
-5.70585293,9.00538734,2.26205390,0.96565586,0.00506494,1.00101547,0.22528252,4.21009939,1.16215987,0.75317066
-5.69984992,8.64535523,2.12928580,0.91969120,0.00488850,0.99018641,0.21905181,4.00541817,1.15157209,0.74327181
-5.69384692,8.28052901,1.99351443,0.87175151,0.00469879,0.98271326,0.21247015,3.79436736,1.14337839,0.73639919
-5.68784392,7.91434564,1.85630685,0.82246981,0.00449803,0.97841001,0.20558235,3.57927408,1.13752836,0.73244062
-5.68184092,7.55010018,1.71917915,0.77245644,0.00428852,0.97708438,0.19843092,3.36238781,1.13395542,0.73128505
-5.67583792,7.19088781,1.58356187,0.72228605,0.00407253,0.97854844,0.19105572,3.14583210,1.13258492,0.73282978
-5.66983492,6.83955833,1.45077013,0.67248688,0.00385226,0.98262867,0.18349392,2.93156433,1.13334272,0.73698696
-5.66383192,6.49868402,1.32197920,0.62353253,0.00362980,0.98917515,0.17578010,2.72134454,1.13616381,0.74368926
-5.65782891,6.17054042,1.19820643,0.57583629,0.00340712,0.99806932,0.16794676,2.51671382,1.14100033,0.75289422
-5.65182591,5.85709896,1.08029949,0.52974805,0.00318601,1.00922981,0.16002474,2.31898198,1.14782840,0.76458699
-5.64582291,5.56002960,0.96893103,0.48555350,0.00296808,1.02261600,0.15204394,2.12922413,1.15665306,0.77878119
-5.63981991,5.28071105,0.86459941,0.44347558,0.00275479,1.03822862,0.14403392,1.94828528,1.16751082,0.79551758
-5.63381691,5.02024609,0.76763480,0.40367767,0.00254737,1.05610738,0.13602449,1.77679154,1.18046926,0.81486021
-5.62781391,4.77947928,0.67820996,0.36626818,0.00234691,1.07632511,0.12804620,1.61516683,1.19562335,0.83689002
-5.62181091,4.55901466,0.59635474,0.33130632,0.00215430,1.09897873,0.12013064,1.46365348,1.21308834,0.86169594
-5.61580790,4.35923142,0.52197329,0.29880848,0.00197030,1.12417682,0.11231066,1.32233534,1.23298922,0.88936338
