energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.14377362,0.00948022,0.19190026,0.87839008,0.60857414,0.00549330,0.95140821,0.50616476,0.28027294
-5.99399700,2.19019881,0.00995138,0.19368370,0.87752903,0.63341028,0.00556405,0.96524284,0.51052793,0.28831278
-5.98799400,2.23520990,0.01042714,0.19552292,0.87501928,0.65858278,0.00564941,0.97773000,0.51478116,0.29633709
-5.98199100,2.27921028,0.01089531,0.19751822,0.87127024,0.68412451,0.00575297,0.98909155,0.51908640,0.30438808
-5.97598799,2.32271012,0.01134460,0.19977936,0.86674078,0.71008977,0.00587887,0.99960847,0.52362036,0.31252004
-5.96998499,2.36631384,0.01176480,0.20242288,0.86192497,0.73655432,0.00603175,1.00961359,0.52856946,0.32079799
-5.96398199,2.41070451,0.01214696,0.20556909,0.85733668,0.76361461,0.00621657,1.01948271,0.53412454,0.32929594
-5.95797899,2.45662511,0.01248353,0.20933877,0.85349354,0.79138605,0.00643851,1.02962433,0.54047540,0.33809473
-5.95197599,2.50485697,0.01276847,0.21384964,0.85090067,0.82000018,0.00670282,1.04046803,0.54780537,0.34727952
-5.94597299,2.55619549,0.01299737,0.21921259,0.85003457,0.84960067,0.00701458,1.05245180,0.55628588,0.35693684
-5.93996998,2.61142346,0.01316743,0.22552791,0.85132771,0.88033792,0.00737851,1.06600865,0.56607113,0.36715133
-5.93396698,2.67128258,0.01327750,0.23288134,0.85515408,0.91236247,0.00779872,1.08155256,0.57729287,0.37800214
-5.92796398,2.73644340,0.01332799,0.24134023,0.86181612,0.94581703,0.00827849,1.09946437,0.59005547,0.38955910
-5.92196098,2.80747476,0.01332078,0.25094991,0.87153343,0.98082750,0.00882003,1.12007772,0.60443121,0.40187876
-5.91595798,2.88481332,0.01325901,0.26173015,0.88443346,1.01749315,0.00942421,1.14366563,0.62045588,0.41500036
-5.90995498,2.96873445,0.01314694,0.27367217,0.90054456,1.05587627,0.01009041,1.17042804,0.63812499,0.42894203
-5.90395198,3.05932551,0.01298967,0.28673609,0.91979171,1.09599180,0.01081630,1.20048088,0.65739048,0.44369718
-5.89794897,3.15646289,0.01279290,0.30084903,0.94199497,1.13779755,0.01159773,1.23384704,0.67815834,0.45923150
-5.89194597,3.25979415,0.01256267,0.31590410,0.96687106,1.18118534,0.01242866,1.27044978,0.70028711,0.47548053
-5.88594297,3.36872653,0.01230510,0.33176021,0.99403800,1.22597406,0.01330111,1.31010899,0.72358763,0.49234821
-5.87993997,3.48242301,0.01202613,0.34824312,1.02302300,1.27190479,0.01420526,1.35254067,0.74782418,0.50970636
-5.87393697,3.59980685,0.01173134,0.36514743,1.05327338,1.31863893,0.01512955,1.39735976,0.77271709,0.52739538
-5.86793397,3.71957539,0.01142575,0.38223995,1.08417046,1.36575943,0.01606090,1.44408677,0.79794701,0.54522624
-5.86193097,3.84022322,0.01111373,0.39926410,1.11504613,1.41277568,0.01698495,1.49215779,0.82316086,0.56298366
-5.85592796,3.96007466,0.01079890,0.41594561,1.14520154,1.45913194,0.01788645,1.54093812,0.84797944,0.58043068
-5.84992496,4.07732485,0.01048414,0.43199905,1.17392755,1.50421941,0.01874959,1.58973880,0.87200648,0.59731427
-5.84392196,4.19008835,0.01017160,0.44713533,1.20052612,1.54739155,0.01955850,1.63783588,0.89483907,0.61337207
-5.83791896,4.29645358,0.00986281,0.46106977,1.22433200,1.58798218,0.02029764,1.68449146,0.91607895,0.62833979
-5.83191596,4.39454108,0.00955880,0.47353045,1.24473383,1.62532572,0.02095232,1.72897598,0.93534449,0.64195923
-5.82591296,4.48256337,0.00926025,0.48426659,1.26119392,1.65877864,0.02150910,1.77059066,0.95228273,0.65398640
-5.81990995,4.55888372,0.00896763,0.49305659,1.27326580,1.68774130,0.02195627,1.80868931,0.96658097,0.66419954
-5.81390695,4.62207133,0.00868146,0.49971543,1.28060884,1.71167908,0.02228414,1.84269852,0.97797761,0.67240659
-5.80790395,4.67095043,0.00840240,0.50410102,1.28299930,1.73014181,0.02248542,1.87213539,0.98627147,0.67845184
-5.80190095,4.70464099,0.00813146,0.50611928,1.28033740,1.74278062,0.02255539,1.89662194,0.99132935,0.68222142
-5.79589795,4.72258907,0.00787011,0.50572773,1.27264987,1.74936125,0.02249207,1.91589568,0.99309131,0.68364738
-5.78989495,4.72458555,0.00762036,0.50293735,1.26008821,1.74977331,0.02229624,1.92981587,0.99157356,0.68271019
-5.78389195,4.71077222,0.00738487,0.49781266,1.24292244,1.74403492,0.02197139,1.93836516,0.98686859,0.67943947
-5.77788894,4.68163504,0.00716687,0.49047004,1.22153081,1.73229255,0.02152359,1.94164664,0.97914274,0.67391301
-5.77188594,4.63798510,0.00697021,0.48107424,1.19638602,1.71481611,0.02096124,1.93987654,0.96863111,0.66625406
-5.76588294,4.58092800,0.00679921,0.46983345,1.16803839,1.69198958,0.02029479,1.93337299,0.95563018,0.65662709
-5.75987994,4.51182359,0.00665857,0.45699290,1.13709703,1.66429754,0.01953638,1.92254129,0.94048833,0.64523210
-5.75387694,4.43223771,0.00655320,0.44282750,1.10420964,1.63230857,0.01869945,1.90785672,0.92359489,0.63229789
-5.74787394,4.34388856,0.00648803,0.42763368,1.07004200,1.59665607,0.01779832,1.88984546,0.90536798,0.61807452
-5.74187094,4.24859003,0.00646779,0.41172087,1.03525790,1.55801761,0.01684778,1.86906472,0.88624183,0.60282525
-5.73586793,4.14819474,0.00649679,0.39540297,1.00050037,1.51709384,0.01586269,1.84608295,0.86665409,0.58681851
-5.72986493,4.04453920,0.00657869,0.37899012,0.96637492,1.47458776,0.01485758,1.82146089,0.84703358,0.57031995
-5.72386193,3.93939337,0.00671631,0.36278110,0.93343532,1.43118547,0.01384634,1.79573450,0.82778909,0.55358517
-5.71785893,3.83441667,0.00691139,0.34705658,0.90217229,1.38753906,0.01284193,1.76940015,0.80929950,0.53685315
-5.71185593,3.73112184,0.00716443,0.33207350,0.87300536,1.34425230,0.01185618,1.74290277,0.79190564,0.52034092
-5.70585293,3.63084776,0.00747458,0.31806071,0.84627797,1.30186974,0.01089957,1.71662731,0.77590399,0.50423921
-5.69984992,3.53474181,0.00783951,0.30521583,0.82225561,1.26086929,0.00998120,1.69089344,0.76154258,0.48870964
-5.69384692,3.44375173,0.00825539,0.29370353,0.80112687,1.22165855,0.00910871,1.66595379,0.74901873,0.47388309
-5.68784392,3.35862651,0.00871686,0.28365496,0.78300687,1.18457461,0.00828832,1.64199525,0.73847893,0.45985945
-5.68184092,3.27992557,0.00921716,0.27516843,0.76794281,1.14988720,0.00752488,1.61914318,0.73002031,0.44670858
-5.67583792,3.20803477,0.00974816,0.26831099,0.75592096,1.11780456,0.00682196,1.59746790,0.72369381,0.43447229
-5.66983492,3.14318790,0.01030060,0.26312086,0.74687468,1.08848164,0.00618201,1.57699302,0.71950835,0.42316726
-5.66383192,3.08549190,0.01086425,0.25961039,0.74069294,1.06202979,0.00560650,1.55770494,0.71743599,0.41278855
-5.65782891,3.03495402,0.01142824,0.25776942,0.73722883,1.03852743,0.00509606,1.53956283,0.71741742,0.40331360
-5.65182591,2.99150916,0.01198127,0.25756877,0.73630775,1.01803081,0.00465066,1.52250852,0.71936763,0.39470635
-5.64582291,2.95504579,0.01251197,0.25896364,0.73773486,1.00058428,0.00426976,1.50647571,0.72318125,0.38692140
-5.63981991,2.92542887,0.01300923,0.26189680,0.74130163,0.98622935,0.00395243,1.49139792,0.72873740,0.37990785
-5.63381691,2.90251875,0.01346250,0.26630135,0.74679133,0.97501205,0.00369749,1.47721485,0.73590366,0.37361278
-5.62781391,2.88618496,0.01386209,0.27210305,0.75398338,0.96698816,0.00350356,1.46387684,0.74453910,0.36798413
-5.62181091,2.87631433,0.01419949,0.27922203,0.76265655,0.96222593,0.00336917,1.45134726,0.75449621,0.36297285
-5.61580790,2.87281344,0.01446756,0.28757392,0.77259119,0.96080620,0.00329277,1.43960284,0.76562176,0.35853450
-5.60980490,2.87560523,0.01466077,0.29707045,0.78357055,0.96281986,0.00327274,1.42863196,0.77775665,0.35462990
-5.60380190,2.88462044,0.01477530,0.30761949,0.79538135,0.96836278,0.00330738,1.41843133,0.79073488,0.35122527
-5.59779890,2.89978462,0.01480912,0.31912464,0.80781386,0.97752852,0.00339484,1.40900113,0.80438184,0.34829157
-5.59179590,2.92100162,0.01476199,0.33148457,0.82066159,0.99039914,0.00353312,1.40033930,0.81851232,0.34580346
-5.58579290,2.94813488,0.01463545,0.34459209,0.83372083,1.00703467,0.00371994,1.39243521,0.83292837,0.34373777
-5.57978989,2.98098776,0.01443266,0.35833314,0.84679026,1.02746177,0.00395269,1.38526344,0.84741743,0.34207173
