energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,0.91200965,0.12248860,0.00000000,0.24892783,0.32977244,0.03155023,0.22274584
-5.99399700,0.89602513,0.11973300,0.00000000,0.24609963,0.32481382,0.03126413,0.22009838
-5.98799400,0.87733042,0.11677690,0.00000000,0.24215937,0.31838637,0.03088150,0.21731780
-5.98199100,0.85607120,0.11361936,0.00000000,0.23712474,0.31054883,0.03040527,0.21445186
-5.97598799,0.83245873,0.11026430,0.00000000,0.23103929,0.30138892,0.02984024,0.21155999
-5.96998499,0.80676482,0.10672053,0.00000000,0.22397055,0.29102035,0.02919295,0.20871345
-5.96398199,0.77931474,0.10300164,0.00000000,0.21600743,0.27957906,0.02847162,0.20599479
-5.95797899,0.75047854,0.09912569,0.00000000,0.20725704,0.26721891,0.02768596,0.20349707
-5.95197599,0.72066110,0.09511479,0.00000000,0.19784114,0.25410694,0.02684698,0.20132237
-5.94597299,0.69029138,0.09099467,0.00000000,0.18789227,0.24041857,0.02596685,0.19957990
-5.93996998,0.65981126,0.08679404,0.00000000,0.17754991,0.22633280,0.02505859,0.19838349
-5.93396698,0.62966431,0.08254411,0.00000000,0.16695668,0.21202764,0.02413587,0.19784866
-5.92796398,0.60028480,0.07827796,0.00000000,0.15625479,0.19767603,0.02321274,0.19808910
-5.92196098,0.57208742,0.07403002,0.00000000,0.14558284,0.18344219,0.02230334,0.19921292
-5.91595798,0.54545775,0.06983553,0.00000000,0.13507303,0.16947858,0.02142157,0.20131852
-5.90995498,0.52074388,0.06573005,0.00000000,0.12484888,0.15592360,0.02058087,0.20449045
-5.90395198,0.49824929,0.06174904,0.00000000,0.11502344,0.14289986,0.01979387,0.20879527
-5.89794897,0.47822718,0.05792746,0.00000000,0.10569802,0.13051322,0.01907212,0.21427771
-5.89194597,0.46087635,0.05429941,0.00000000,0.09696137,0.11885231,0.01842585,0.22095737
-5.88594297,0.44633873,0.05089787,0.00000000,0.08888938,0.10798873,0.01786373,0.22882602
-5.87993997,0.43469859,0.04775444,0.00000000,0.08154501,0.09797770,0.01739268,0.23784595
-5.87393697,0.42598341,0.04489919,0.00000000,0.07497874,0.08885902,0.01701773,0.24794925
-5.86793397,0.42016647,0.04236049,0.00000000,0.06922903,0.08065848,0.01674194,0.25903840
-5.86193097,0.41717085,0.04016491,0.00000000,0.06432315,0.07338931,0.01656634,0.27098809
-5.85592796,0.41687496,0.03833718,0.00000000,0.06027796,0.06705393,0.01648997,0.28364836
-5.84992496,0.41911917,0.03690013,0.00000000,0.05710079,0.06164554,0.01650997,0.29684885
-5.84392196,0.42371338,0.03587467,0.00000000,0.05479025,0.05714984,0.01662170,0.31040426
-5.83791896,0.43044525,0.03527974,0.00000000,0.05333706,0.05354658,0.01681892,0.32412060
-5.83191596,0.43908868,0.03513222,0.00000000,0.05272467,0.05081093,0.01709402,0.33780199
-5.82591296,0.44941226,0.03544685,0.00000000,0.05292989,0.04891468,0.01743825,0.35125781
-5.81990995,0.46118727,0.03623605,0.00000000,0.05392330,0.04782727,0.01784203,0.36430972
-5.81390695,0.47419492,0.03750966,0.00000000,0.05566964,0.04751649,0.01829519,0.37679824
-5.80790395,0.48823253,0.03927468,0.00000000,0.05812810,0.04794902,0.01878726,0.38858858
-5.80190095,0.50311834,0.04153485,0.00000000,0.06125256,0.04909071,0.01930775,0.39957534
-5.79589795,0.51869482,0.04429017,0.00000000,0.06499177,0.05090670,0.01984639,0.40968586
-5.78989495,0.53483034,0.04753647,0.00000000,0.06928967,0.05336129,0.02039335,0.41888202
-5.78389195,0.55141924,0.05126481,0.00000000,0.07408564,0.05641780,0.02093946,0.42716043
-5.77788894,0.56838026,0.05546097,0.00000000,0.07931493,0.06003820,0.02147637,0.43455091
-5.77188594,0.58565366,0.06010495,0.00000000,0.08490922,0.06418283,0.02199666,0.44111348
-5.76588294,0.60319712,0.06517054,0.00000000,0.09079723,0.06881008,0.02249400,0.44693390
-5.75987994,0.62098081,0.07062500,0.00000000,0.09690557,0.07387608,0.02296319,0.45211807
-5.75387694,0.63898201,0.07642887,0.00000000,0.10315970,0.07933458,0.02340024,0.45678570
-5.74787394,0.65717951,0.08253601,0.00000000,0.10948500,0.08513683,0.02380239,0.46106341
-5.74187094,0.67554834,0.08889375,0.00000000,0.11580793,0.09123177,0.02416811,0.46507786
-5.73586793,0.69405510,0.09544333,0.00000000,0.12205726,0.09756618,0.02449715,0.46894912
-5.72986493,0.71265409,0.10212053,0.00000000,0.12816528,0.10408521,0.02479044,0.47278481
