energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,8.20079509,0.02770167,0.49987169,3.76785690,3.01218397,0.04662427,3.66385388,1.77929831,0.74922863
-5.99399700,8.20750193,0.02843812,0.50701396,3.80082420,3.03269762,0.04758849,3.64440108,1.77687713,0.73256516
-5.98799400,8.23487609,0.02922885,0.51508880,3.84255490,3.06032584,0.04868532,3.63479071,1.77992257,0.71835210
-5.98199100,8.28193621,0.03006776,0.52398661,3.89236646,3.09467409,0.04990476,3.63470005,1.78849429,0.70654491
-5.97598799,8.34714152,0.03094673,0.53356629,3.94933170,3.13514271,0.05123360,3.64355400,1.80251914,0.69704407
-5.96998499,8.42844856,0.03185574,0.54366003,4.01230423,3.18094772,0.05265582,3.66054885,1.82179283,0.68970222
-5.96398199,8.52338029,0.03278308,0.55407890,4.07994954,3.23114636,0.05415309,3.68468110,1.84598478,0.68433202
-5.95797899,8.62910532,0.03371564,0.56461920,4.15078093,3.28466690,0.05570527,3.71478038,1.87464581,0.68071457
-5.95197599,8.74252461,0.03463916,0.57506924,4.22319936,3.34034126,0.05729106,3.74954536,1.90721871,0.67860787
-5.94597299,8.86036309,0.03553870,0.58521634,4.29553598,3.39693975,0.05888856,3.78758183,1.94305131,0.67775527
-5.93996998,8.97926356,0.03639892,0.59485384,4.36609643,3.45320669,0.06047592,3.82744170,1.98141190,0.67789358
-5.93396698,9.09588037,0.03720459,0.60378772,4.43320555,3.50789584,0.06203198,3.86766218,2.02150648,0.67876071
-5.92796398,9.20697017,0.03794098,0.61184285,4.49525125,3.55980484,0.06353682,3.90680403,2.06249756,0.68010265
-5.92196098,9.30947757,0.03859427,0.61886836,4.55072649,3.60780742,0.06497236,3.94348805,2.10352397,0.68167969
-5.91595798,9.40061313,0.03915197,0.62474225,4.59826781,3.65088271,0.06632284,3.97642885,2.14372114,0.68327178
-5.90995498,9.47792201,0.03960324,0.62937479,4.63668962,3.68814080,0.06757522,4.00446526,2.18224129,0.68468305
-5.90395198,9.53934120,0.03993922,0.63271088,4.66501294,3.71884386,0.06871956,4.02658645,2.21827306,0.68574534
