energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,5.16375828,0.03848268,0.55266177,0.72187356,0.32294331,1.78826323,1.87078456,2.12565168,0.00000000
-5.99399700,5.07004745,0.03670596,0.52853240,0.70381972,0.32558968,1.73028435,1.84589744,2.09703365,0.00000000
-5.98799400,4.98898018,0.03504624,0.50647340,0.68556289,0.32938390,1.67776707,1.82622356,2.07213060,0.00000000
-5.98199100,4.92180958,0.03351686,0.48660956,0.66709736,0.33439505,1.63105367,1.81228514,2.05141684,0.00000000
-5.97598799,4.86957469,0.03212811,0.46901902,0.64845283,0.34067017,1.59037806,1.80452002,2.03532270,0.00000000
-5.96998499,4.83305644,0.03088703,0.45373555,0.62969131,0.34822846,1.55585678,1.80326735,2.02420702,0.00000000
-5.96398199,4.81273967,0.02979731,0.44075188,0.61090265,0.35705608,1.52748250,1.80875610,2.01833100,0.00000000
-5.95797899,4.80878339,0.02885924,0.43002382,0.59219919,0.36710201,1.50512033,1.82109665,2.01783518,0.00000000
-5.95197599,4.82100100,0.02806969,0.42147485,0.57370972,0.37827513,1.48850762,1.84027588,2.02272111,0.00000000
-5.94597299,4.84885174,0.02742226,0.41500097,0.55557311,0.39044295,1.47725743,1.86615581,2.03283865,0.00000000
-5.93996998,4.89144435,0.02690738,0.41047537,0.53793204,0.40343205,1.47086595,1.89847597,2.04788016,0.00000000
-5.93396698,4.94755307,0.02651263,0.40775307,0.52092691,0.41703040,1.46872395,1.93685921,2.06738185,0.00000000
-5.92796398,5.01564580,0.02622303,0.40667502,0.50469031,0.43099150,1.47013197,1.98082073,2.09073257,0.00000000
-5.92196098,5.09392340,0.02602150,0.40707186,0.48934221,0.44504035,1.47431904,2.02978005,2.11718959,0.00000000
-5.91595798,5.18036872,0.02588935,0.40876723,0.47498597,0.45888085,1.48046438,2.08307517,2.14590074,0.00000000
-5.90995498,5.27280340,0.02580681,0.41158065,0.46170534,0.47220462,1.48772131,2.13997868,2.17593193,0.00000000
-5.90395198,5.36895002,0.02575360,0.41533003,0.44956234,0.48470057,1.49524251,2.19971481,2.20629837,0.00000000
-5.89794897,5.46649712,0.02570959,0.41983401,0.43859630,0.49606499,1.50220579,2.26147708,2.23599828,0.00000000
-5.89194597,5.56316418,0.02565535,0.42491406,0.42882370,0.50601165,1.50783919,2.32444568,2.26404714,0.00000000
-5.88594297,5.65676406,0.02557274,0.43039665,0.42023907,0.51428139,1.51144438,2.38780405,2.28951089,0.00000000
-5.87993997,5.74526021,0.02544545,0.43611540,0.41281660,0.52065083,1.51241757,2.45075423,2.31153651,0.00000000
