energy_ev,total_up,Cu_p_up,Cu_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
2.72836418,1.12937808,1.04100755,0.03560553,0.67517839,0.00004181,0.02786901,0.29380981
2.73436718,1.20197353,1.10407790,0.03806088,0.71169932,0.00004122,0.02839236,0.31611845
2.74037019,1.28627342,1.17873578,0.04083439,0.75498428,0.00004121,0.02919507,0.34102719
2.74637319,1.38160595,1.26439384,0.04390395,0.80465392,0.00004174,0.03025928,0.36832216
2.75237619,1.48713210,1.36029133,0.04724263,0.86021539,0.00004278,0.03156322,0.39776121
2.75837919,1.60185540,1.46550308,0.05081908,0.92107145,0.00004430,0.03308163,0.42907571
2.76438219,1.72463545,1.57895263,0.05459802,0.98653255,0.00004623,0.03478629,0.46197289
2.77038519,1.85420534,1.69942952,0.05854078,1.05583189,0.00004853,0.03664653,0.49613856
2.77638819,1.98919250,1.82561041,0.06260602,1.12814285,0.00005115,0.03862988,0.53124036
2.78239120,2.12814267,1.95608375,0.06675045,1.20259843,0.00005404,0.04070266,0.56693131
2.78839420,2.26954627,2.08937734,0.07092967,1.27831209,0.00005713,0.04283061,0.60285370
2.79439720,2.41186664,2.22398795,0.07509895,1.35439913,0.00006038,0.04497954,0.63864334
2.80040020,2.55356914,2.35841230,0.07921411,1.42999807,0.00006372,0.04711591,0.67393395
2.80640320,2.69315038,2.49117812,0.08323234,1.50429094,0.00006711,0.04920746,0.70836183
2.81240620,2.82916663,2.62087436,0.08711293,1.57652189,0.00007049,0.05122374,0.74157067
2.81840920,2.96026039,2.74617938,0.09081807,1.64601330,0.00007381,0.05313664,0.77321654
2.82441221,3.08518445,2.86588616,0.09431341,1.71217868,0.00007701,0.05492081,0.80297289
2.83041521,3.20282258,2.97892336,0.09756864,1.77453197,0.00008007,0.05655407,0.83053573
2.83641821,3.31220625,3.08437180,0.10055791,1.83269281,0.00008294,0.05801771,0.85562874
2.84242121,3.41252699,3.18147557,0.10326014,1.88638766,0.00008559,0.05929672,0.87800838
2.84842421,3.50314417,3.26964756,0.10565922,1.93544690,0.00008799,0.06037995,0.89746878
2.85442721,3.58358805,3.34846949,0.10774406,1.97979823,0.00009012,0.06126016,0.91384643
2.86043022,3.65355847,3.41768660,0.10950860,2.01945666,0.00009196,0.06193404,0.92702451
2.86643322,3.71291931,3.47719767,0.11095159,2.05451207,0.00009349,0.06240209,0.93693660
2.87243622,3.76168941,3.52704104,0.11207643,2.08511476,0.00009472,0.06266846,0.94356974
2.87843922,3.80003047,3.56737758,0.11289082,2.11146017,0.00009563,0.06274077,0.94696670
2.88444222,3.82823271,3.59847183,0.11340634,2.13377329,0.00009624,0.06262978,0.94722708
2.89044522,3.84669890,3.62067206,0.11363812,2.15229392,0.00009654,0.06234908,0.94450739
2.89644822,3.85592763,3.63439070,0.11360427,2.16726323,0.00009654,0.06191476,0.93901975
2.90245123,3.85649630,3.64008574,0.11332546,2.17891237,0.00009626,0.06134498,0.93102921
2.90845423,3.84904443,3.63824408,0.11282440,2.18745347,0.00009572,0.06065959,0.92084970
2.91445723,3.83425773,3.62936737,0.11212534,2.19307325,0.00009491,0.05987973,0.90883840
2.92046023,3.81285317,3.61396064,0.11125359,2.19592940,0.00009387,0.05902743,0.89538888
2.92646323,3.78556520,3.59252379,0.11023501,2.19614938,0.00009261,0.05812517,0.88092282
2.93246623,3.75313311,3.56554595,0.10909556,2.19383152,0.00009114,0.05719553,0.86588060
2.93846923,3.71628949,3.53350224,0.10786081,2.18904787,0.00008949,0.05626080,0.85071103
2.94447224,3.67574957,3.49685247,0.10655552,2.18184843,0.00008767,0.05534261,0.83586027
2.95047524,3.63220143,3.45604137,0.10520319,2.17226611,0.00008571,0.05446161,0.82176045
2.95647824,3.58629658,3.41149940,0.10382563,2.16032197,0.00008361,0.05363712,0.80881810
2.96248124,3.53864120,3.36364398,0.10244257,2.14603026,0.00008139,0.05288688,0.79740289
2.96848424,3.48978766,3.31288016,0.10107132,2.12940297,0.00007909,0.05222669,0.78783699
2.97448724,3.44022645,3.25960070,0.09972636,2.11045345,0.00007670,0.05167023,0.78038530
2.98049025,3.39037878,3.20418507,0.09841910,2.08919918,0.00007425,0.05122881,0.77524707
2.98649325,3.34058994,3.14699736,0.09715758,2.06566351,0.00007175,0.05091115,0.77254907
2.99249625,3.29112378,3.08838320,0.09594636,2.03987650,0.00006923,0.05072326,0.77234067
2.99849925,3.24215875,3.02866576,0.09478638,2.01187509,0.00006669,0.05066832,0.77459111
3.00450225,3.19378585,2.96814138,0.09367496,1.98170275,0.00006416,0.05074661,0.77918903
3.01050525,3.14600883,2.90707509,0.09260592,1.94940891,0.00006165,0.05095553,0.78594441
3.01650825,3.09874712,2.84569648,0.09156980,1.91504848,0.00005917,0.05128962,0.79459307
3.02251126,3.05184152,2.78419655,0.09055415,1.87868163,0.00005673,0.05174075,0.80480341
3.02851426,3.00506290,2.72272573,0.08954404,1.84037405,0.00005436,0.05229824,0.81618556
3.03451726,2.95812390,2.66139361,0.08852256,1.80019784,0.00005204,0.05294917,0.82830239
3.04052026,2.91069322,2.60027048,0.08747151,1.75823307,0.00004981,0.05367866,0.84068228
3.04652326,2.86241232,2.53939086,0.08637205,1.71456991,0.00004765,0.05447029,0.85283318
3.05252626,2.81291398,2.47875895,0.08520557,1.66931140,0.00004559,0.05530646,0.86425741
3.05852926,2.76184198,2.41835593,0.08395439,1.62257652,0.00004361,0.05616893,0.87446681
3.06453227,2.70887123,2.35814872,0.08260260,1.57450348,0.00004172,0.05703925,0.88299764
3.07053527,2.65372754,2.29809991,0.08113679,1.52525297,0.00003992,0.05789926,0.88942471
3.07653827,2.59620618,2.23817844,0.07954671,1.47501109,0.00003821,0.05873166,0.89337427
3.08254127,2.53618854,2.17837042,0.07782586,1.42399173,0.00003659,0.05952043,0.89453507
3.08854427,2.47365605,2.11868977,0.07597196,1.37243818,0.00003505,0.06025135,0.89266748
3.09454727,2.40870090,2.05918802,0.07398720,1.32062385,0.00003359,0.06091249,0.88761004
3.10055028,2.34153299,1.99996286,0.07187847,1.26885179,0.00003220,0.06149453,0.87928357
3.10655328,2.27248295,1.94116515,0.06965727,1.21745307,0.00003088,0.06199126,0.86769251
3.11255628,2.20200090,1.88300383,0.06733959,1.16678383,0.00002962,0.06239982,0.85292379
3.11855928,2.13065122,1.82574864,0.06494556,1.11722115,0.00002843,0.06272104,0.83514308
3.12456228,2.05910327,1.76973044,0.06249898,1.06915760,0.00002730,0.06295965,0.81458896
3.13056528,1.98811868,1.71533900,0.06002673,1.02299474,0.00002623,0.06312446,0.79156506
3.13656828,1.91853537,1.66301822,0.05755805,0.97913560,0.00002521,0.06322847,0.76643081
3.14257129,1.85124903,1.61325899,0.05512384,0.93797632,0.00002425,0.06328892,0.73959093
3.14857429,1.78719268,1.56658965,0.05275577,0.89989727,0.00002335,0.06332722,0.71148434
3.15457729,1.72731480,1.52356439,0.05048549,0.86525375,0.00002251,0.06336884,0.68257268
3.16058029,1.67255684,1.48474992,0.04834380,0.83436662,0.00002174,0.06344309,0.65332901
3.16658329,1.62383073,1.45071056,0.04635986,0.80751321,0.00002103,0.06358277,0.62422685
3.17258629,1.58199698,1.42199238,0.04456047,0.78491863,0.00002039,0.06382370,0.59572999
3.17858929,1.54784396,1.39910672,0.04296937,0.76674802,0.00001982,0.06420419,0.56828316
3.18459230,1.52206896,1.38251363,0.04160673,0.75309989,0.00001934,0.06476429,0.54230385
3.19059530,1.50526132,1.37260573,0.04048867,0.74400091,0.00001893,0.06554501,0.51817520
3.19659830,1.49788828,1.36969310,0.03962690,0.73940238,0.00001860,0.06658734,0.49624022
3.20260130,1.50028355,1.37398967,0.03902852,0.73917863,0.00001836,0.06793122,0.47679712
3.20860430,1.51263914,1.38560175,0.03869590,0.74312751,0.00001819,0.06961441,0.46009591
3.21460730,1.53500029,1.40451905,0.03862671,0.75097308,0.00001811,0.07167128,0.44633604
3.22061031,1.56726378,1.43060879,0.03881403,0.76237047,0.00001811,0.07413157,0.43566515
3.22661331,1.60917943,1.46361302,0.03924665,0.77691293,0.00001819,0.07701919,0.42817872
3.23261631,1.66035478,1.50314967,0.03990934,0.79414087,0.00001833,0.08035097,0.42392069
3.23861931,1.72026259,1.54871715,0.04078331,0.81355258,0.00001854,0.08413562,0.42288477
3.24462231,1.78825101,1.59970264,0.04184674,0.83461642,0.00001880,0.08837264,0.42501655
3.25062531,1.86355601,1.65539385,0.04307530,0.85678399,0.00001911,0.09305159,0.43021626
3.25662831,1.94531566,1.71499391,0.04444277,0.87950382,0.00001945,0.09815138,0.43834204
3.26263132,2.03258583,1.77763896,0.04592168,0.90223512,0.00001982,0.10363994,0.44921381
3.26863432,2.12435687,1.84241776,0.04748389,0.92446099,0.00002020,0.10947408,0.46261753
3.27463732,2.21957085,1.90839279,0.04910124,0.94570072,0.00002059,0.11559964,0.47830977
3.28064032,2.31713883,1.97462194,0.05074611,0.96552052,0.00002097,0.12195205,0.49602265
3.28664332,2.41595786,2.04018014,0.05239196,0.98354248,0.00002133,0.12845706,0.51546881
3.29264632,2.51492732,2.10417995,0.05401378,0.99945124,0.00002166,0.13503194,0.53634656
3.29864932,2.61296429,2.16579059,0.05558851,1.01299833,0.00002196,0.14158686,0.55834488
3.30465233,2.70901767,2.22425455,0.05709531,1.02400390,0.00002221,0.14802664,0.58114829
3.31065533,2.80208097,2.27890127,0.05851579,1.03235596,0.00002241,0.15425269,0.60444145
3.31665833,2.89120357,2.32915741,0.05983417,1.03800722,0.00002255,0.16016518,0.62791333
3.32266133,2.97550034,2.37455352,0.06103727,1.04096974,0.00002263,0.16566534,0.65126097
3.32866433,3.05415973,2.41472677,0.06211451,1.04130773,0.00002265,0.17065781,0.67419262
3.33466733,3.12645022,2.44942005,0.06305776,1.03912894,0.00002260,0.17505311,0.69643047
3.34067034,3.19172529,2.47847738,0.06386118,1.03457509,0.00002248,0.17876984,0.71771264
3.34667334,3.24942700,2.50183622,0.06452100,1.02781176,0.00002230,0.18173696,0.73779473
3.35267634,3.29908824,2.51951711,0.06503524,1.01901841,0.00002205,0.18389572,0.75645093
3.35867934,3.34033394,2.53161126,0.06540343,1.00837884,0.00002175,0.18520129,0.77347470
3.36468234,3.37288138,2.53826689,0.06562636,0.99607264,0.00002138,0.18562414,0.78867919
3.37068534,3.39653977,2.53967503,0.06570579,0.98226801,0.00002096,0.18515096,0.80189762
