energy_ev,total_up,Au_p_up,Au_d_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up
-6.00000000,1.81060080,0.20449644,1.72981638,0.02765034,0.00428424,0.00274932,0.04698128
-5.99399700,1.76135343,0.19235664,1.68456434,0.02414242,0.00394071,0.00229255,0.04533634
-5.98799400,1.72403844,0.18258923,1.64995986,0.02114050,0.00363506,0.00191618,0.04428659
-5.98199100,1.69871096,0.17513996,1.62607858,0.01862213,0.00336471,0.00161179,0.04381898
-5.97598799,1.68548050,0.16994483,1.61305346,0.01656177,0.00312721,0.00137151,0.04392105
-5.96998499,1.68449597,0.16693289,1.61105857,0.01493178,0.00292031,0.00118811,0.04458119
-5.96398199,1.69592246,0.16602799,1.62028528,0.01370341,0.00274195,0.00105513,0.04578866
-5.95797899,1.71991152,0.16714959,1.64091251,0.01284765,0.00259029,0.00096688,0.04753320
-5.95197599,1.75656667,0.17021255,1.67307258,0.01233586,0.00246370,0.00091850,0.04980441
-5.94597299,1.80590636,0.17512627,1.71681497,0.01214043,0.00236073,0.00090593,0.05259100
-5.93996998,1.86782675,0.18179325,1.77207008,0.01223518,0.00228007,0.00092592,0.05587986
-5.93396698,1.94206683,0.19010746,1.83861533,0.01259574,0.00222056,0.00097597,0.05965514
-5.92796398,2.02817797,0.19995264,1.91604573,0.01319985,0.00218107,0.00105435,0.06389747
-5.92196098,2.12550040,0.21120092,2.00375101,0.01402757,0.00216053,0.00116003,0.06858326
-5.91595798,2.23314815,0.22371205,2.10090087,0.01506151,0.00215786,0.00129269,0.07368431
-5.90995498,2.35000405,0.23733319,2.20643988,0.01628692,0.00217196,0.00145268,0.07916772
-5.90395198,2.47472557,0.25189976,2.31909259,0.01769193,0.00220167,0.00164100,0.08499614
-5.89794897,2.60576184,0.26723707,2.43737931,0.01926761,0.00224576,0.00185933,0.09112835
-5.89194597,2.74138156,0.28316301,2.55964225,0.02100809,0.00230294,0.00210996,0.09752023
-5.88594297,2.87971072,0.29949156,2.68408114,0.02291067,0.00237187,0.00239581,0.10412601
-5.87993997,3.01877881,0.31603694,2.80879685,0.02497579,0.00245116,0.00272038,0.11089970
-5.87393697,3.15657131,0.33261830,2.93184141,0.02720705,0.00253937,0.00308775,0.11779669
-5.86793397,3.29108597,0.34906462,3.05127184,0.02961100,0.00263511,0.00350247,0.12477533
-5.86193097,3.42039041,0.36521937,3.16520560,0.03219692,0.00273700,0.00396951,0.13179838
-5.85592796,3.54267780,0.38094490,3.27187476,0.03497641,0.00284371,0.00449415,0.13883425
-5.84992496,3.65631818,0.39612593,3.36967655,0.03796281,0.00295401,0.00508181,0.14585782
-5.84392196,3.75990250,0.41067214,3.45721758,0.04117052,0.00306679,0.00573789,0.15285083
-5.83791896,3.85227741,0.42451945,3.53334983,0.04461403,0.00318103,0.00646755,0.15980168
-5.83191596,3.93256884,0.43762996,3.59719664,0.04830695,0.00329586,0.00727550,0.16670469
-5.82591296,4.00019345,0.44999046,3.64816753,0.05226083,0.00341053,0.00816568,0.17355876
-5.81990995,4.05485746,0.46160951,3.68596136,0.05648387,0.00352439,0.00914107,0.18036550
