energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,W_p_up,W_d_up
-6.00000000,2.59163410,0.02798461,0.41959899,0.01305503,1.13835582,0.62481209,0.20639507,1.83470870,0.67890517
-5.99399700,2.59950441,0.02741739,0.43316463,0.01288324,1.12464480,0.61700509,0.20419343,1.87785685,0.68871829
-5.98799400,2.60259107,0.02701040,0.44518845,0.01265304,1.11046917,0.60928052,0.20185032,1.91544438,0.69618252
-5.98199100,2.60058173,0.02676995,0.45548748,0.01236511,1.09586191,0.60167915,0.19935696,1.94684808,0.70114030
-5.97598799,2.59318279,0.02669791,0.46390247,0.01202160,1.08081833,0.59420690,0.19670178,1.97151336,0.70346600
-5.96998499,2.58013354,0.02679179,0.47030177,0.01162612,1.06530135,0.58683817,0.19387168,1.98896988,0.70306994
-5.96398199,2.56121944,0.02704479,0.47458454,0.01118351,1.04924771,0.57952007,0.19085331,1.99884469,0.69990146
-5.95797899,2.53628367,0.02744604,0.47668300,0.01069966,1.03257481,0.57217743,0.18763427,2.00087251,0.69395088
-5.95197599,2.50523677,0.02798082,0.47656380,0.01018130,1.01518786,0.56471825,0.18420419,1.99490292,0.68525035
-5.94597299,2.46806390,0.02863089,0.47422852,0.00963575,0.99698687,0.55703936,0.18055565,1.98090417,0.67387350
-5.93996998,2.42482952,0.02937486,0.46971321,0.00907067,0.97787344,0.54903208,0.17668491,1.95896384,0.65993401
-5.93396698,2.37567974,0.03018867,0.46308711,0.00849381,0.95775705,0.54058771,0.17259252,1.92928636,0.64358315
-5.92796398,2.32084226,0.03104611,0.45445065,0.00791279,0.93656063,0.53160273,0.16828361,1.89218775,0.62500643
-5.92196098,2.26062428,0.03191942,0.44393273,0.00733490,0.91422560,0.52198348,0.16376813,1.84808792,0.60441951
-5.91595798,2.19540859,0.03277992,0.43168759,0.00676690,0.89071593,0.51165043,0.15906087,1.79750094,0.58206351
-5.90995498,2.12564827,0.03359872,0.41789119,0.00621488,0.86602163,0.50054172,0.15418132,1.74102377,0.55819997
-5.90395198,2.05186024,0.03434745,0.40273734,0.00568417,0.84016132,0.48861623,0.14915341,1.67932387,0.53310556
-5.89794897,1.97461810,0.03499900,0.38643377,0.00517923,0.81318412,0.47585583,0.14400517,1.61312620,0.50706673
-5.89194597,1.89454440,0.03552824,0.36919806,0.00470369,0.78517076,0.46226711,0.13876826,1.54319991,0.48037448
-5.88594297,1.81230267,0.03591273,0.35125373,0.00426031,0.75623400,0.44788232,0.13347743,1.47034532,0.45331936
-5.87993997,1.72858938,0.03613335,0.33282655,0.00385103,0.72651834,0.43275971,0.12816998,1.39538124,0.42618684
-5.87393697,1.64412587,0.03617486,0.31414098,0.00347706,0.69619908,0.41698313,0.12288508,1.31913307,0.39925313
