energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Ti_p_up,Ti_d_up
-6.00000000,5.16297496,0.07265774,3.17547813,0.37057777,0.00468580,3.04175813,1.32466552
-5.99399700,5.18415116,0.07334043,3.19843886,0.36421849,0.00478523,3.00775899,1.34810349
-5.98799400,5.20343588,0.07393047,3.21972778,0.35819792,0.00488459,2.97360074,1.36994712
-5.98199100,5.22079342,0.07440867,3.23925672,0.35257025,0.00498333,2.93992853,1.39001956
-5.97598799,5.23607075,0.07475769,3.25688212,0.34736646,0.00508075,2.90726478,1.40815107
-5.96998499,5.24898738,0.07496226,3.27239869,0.34259377,0.00517599,2.87598906,1.42417849
-5.96398199,5.25913187,0.07500949,3.28553653,0.33823603,0.00526802,2.84632445,1.43794467
-5.95797899,5.26596510,0.07488898,3.29596176,0.33425519,0.00535568,2.81833093,1.44929827
-5.95197599,5.26883064,0.07459300,3.30328095,0.33059368,0.00543770,2.79190587,1.45809378
-5.94597299,5.26697161,0.07411657,3.30704911,0.32717766,0.00551271,2.76679166,1.46419209
-5.93996998,5.25955379,0.07345749,3.30678124,0.32392091,0.00557928,2.74258997,1.46746157
-5.93396698,5.24569392,0.07261635,3.30196682,0.32072927,0.00563597,2.71878196,1.46777988
-5.92796398,5.22449219,0.07159650,3.29208703,0.31750542,0.00568135,2.69475358,1.46503634
-5.92196098,5.19506771,0.07040395,3.27663381,0.31415371,0.00571407,2.66982474,1.45913497
-5.91595798,5.15659545,0.06904731,3.25513017,0.31058496,0.00573288,2.64328099,1.44999814
-5.90995498,5.10834332,0.06753756,3.22715102,0.30672090,0.00573671,2.61440652,1.43757066
-5.90395198,5.04970783,0.06588794,3.19234360,0.30249814,0.00572467,2.58251691,1.42182423
-5.89794897,4.98024697,0.06411366,3.15044677,0.29787154,0.00569609,2.54699026,1.40276203
-5.89194597,4.89970906,0.06223171,3.10130847,0.29281678,0.00565061,2.50729559,1.38042329
-5.88594297,4.80805657,0.06026053,3.04490053,0.28733218,0.00558812,2.46301727,1.35488769
-5.87993997,4.70548388,0.05821972,2.98133045,0.28143958,0.00550887,2.41387472,1.32627919
-5.87393697,4.59242851,0.05612973,2.91084952,0.27518447,0.00541341,2.35973660,1.29476930
-5.86793397,4.46957550,0.05401154,2.83385708,0.26863526,0.00530263,2.30062924,1.26057942
-5.86193097,4.33785471,0.05188634,2.75090072,0.26188183,0.00517777,2.23673918,1.22398218
-5.85592796,4.19843134,0.04977517,2.66267229,0.25503350,0.00504038,2.16840979,1.18530150
-5.84992496,4.05268995,0.04769870,2.57000006,0.24821648,0.00489232,2.09613260,1.14491140
-5.84392196,3.90221261,0.04567688,2.47383692,0.24157092,0.00473575,2.02053367,1.10323332
-5.83791896,3.74875177,0.04372875,2.37524519,0.23524773,0.00457308,1.94235583,1.06073204
-5.83191596,3.59419872,0.04187221,2.27537842,0.22940524,0.00440694,1.86243761,1.01791012
-5.82591296,3.44054851,0.04012386,2.17546047,0.22420583,0.00424019,1.78168965,0.97530088
-5.81990995,3.28986212,0.03849882,2.07676258,0.21981262,0.00407578,1.70106969,0.93346017
-5.81390695,3.14422679,0.03701070,1.98057896,0.21638616,0.00391683,1.62155681,0.89295687
-5.80790395,3.00571537,0.03567144,1.88820123,0.21408139,0.00376647,1.54412587,0.85436249
-5.80190095,2.87634545,0.03449135,1.80089261,0.21304462,0.00362788,1.46972292,0.81823989
-5.79589795,2.75803914,0.03347901,1.71986212,0.21341078,0.00350418,1.39924215,0.78513165
-5.78989495,2.65258396,0.03264129,1.64623945,0.21530076,0.00339841,1.33350502,0.75554805
-5.78389195,2.56159586,0.03198331,1.58105103,0.21881891,0.00331347,1.27324187,0.72995530
-5.77788894,2.48648470,0.03150846,1.52519770,0.22405070,0.00325205,1.21907654,0.70876409
-5.77188594,2.42842310,0.03121836,1.47943459,0.23106057,0.00321660,1.17151405,0.69231890
-5.76588294,2.38831902,0.03111280,1.44435352,0.23988988,0.00320928,1.13093156,0.68088843
-5.75987994,2.36679294,0.03118976,1.42036846,0.25055511,0.00323187,1.09757268,0.67465739
-5.75387694,2.36416005,0.03144531,1.40770442,0.26304638,0.00328576,1.07154510,0.67372001
-5.74787394,2.38041820,0.03187356,1.40639003,0.27732617,0.00337190,1.05282150,0.67807554
-5.74187094,2.41524204,0.03246661,1.41625436,0.29332864,0.00349075,1.04124358,0.68762586
-5.73586793,2.46798398,0.03321451,1.43692794,0.31095926,0.00364227,1.03652914,0.70217560
-5.72986493,2.53768219,0.03410522,1.46784843,0.33009525,0.00382585,1.03828184,0.72143463
-5.72386193,2.62307616,0.03512460,1.50827084,0.35058657,0.00404037,1.04600357,0.74502318
-5.71785893,2.72262974,0.03625647,1.55728240,0.37225772,0.00428414,1.05910900,0.77247944
-5.71185593,2.83456159,0.03748272,1.61382184,0.39491042,0.00455496,1.07694196,0.80326962
-5.70585293,2.95688280,0.03878342,1.67670291,0.41832706,0.00485010,1.09879339,0.83680019
