energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.55259187,0.01382075,0.06204765,0.48743308,0.06595547,0.09120881,0.04301635,0.26388327,0.00000000
-5.99399700,0.56375153,0.01437772,0.06299841,0.48978007,0.06864750,0.09246045,0.04326700,0.26759067,0.00000000
-5.98799400,0.57533945,0.01497823,0.06389198,0.49214691,0.07132689,0.09407317,0.04370042,0.27166890,0.00000000
-5.98199100,0.58716320,0.01561123,0.06470024,0.49438105,0.07396236,0.09605450,0.04432701,0.27604902,0.00000000
-5.97598799,0.59900982,0.01626508,0.06539280,0.49630449,0.07652275,0.09840381,0.04515333,0.28064936,0.00000000
-5.96998499,0.61065882,0.01692807,0.06593860,0.49772497,0.07897859,0.10111360,0.04618280,0.28538149,0.00000000
-5.96398199,0.62189597,0.01758901,0.06630739,0.49844823,0.08130374,0.10417117,0.04741652,0.29015670,0.00000000
-5.95797899,0.63252714,0.01823785,0.06647140,0.49829074,0.08347677,0.10756048,0.04885419,0.29489242,0.00000000
-5.95197599,0.64239130,0.01886618,0.06640688,0.49709201,0.08548228,0.11126410,0.05049520,0.29951857,0.00000000
-5.94597299,0.65137210,0.01946786,0.06609540,0.49472612,0.08731187,0.11526517,0.05233964,0.30398315,0.00000000
-5.93996998,0.65940738,0.02003945,0.06552510,0.49111160,0.08896477,0.11954924,0.05438930,0.30825695,0.00000000
-5.93396698,0.66649597,0.02058061,0.06469151,0.48621936,0.09044812,0.12410591,0.05664853,0.31233708,0.00000000
-5.92796398,0.67270157,0.02109440,0.06359812,0.48007816,0.09177681,0.12893011,0.05912497,0.31624912,0.00000000
-5.92196098,0.67815339,0.02158750,0.06225660,0.47277746,0.09297295,0.13402310,0.06182999,0.32004773,0.00000000
-5.91595798,0.68304355,0.02207020,0.06068665,0.46446741,0.09406490,0.13939304,0.06477895,0.32381578,0.00000000
-5.90995498,0.68762146,0.02255634,0.05891558,0.45535623,0.09508606,0.14505507,0.06799111,0.32766196,0.00000000
-5.90395198,0.69218529,0.02306311,0.05697752,0.44570485,0.09607338,0.15103101,0.07148932,0.33171697,0.00000000
-5.89794897,0.69707121,0.02361060,0.05491243,0.43581936,0.09706562,0.15734874,0.07529934,0.33612864,0.00000000
-5.89194597,0.70264072,0.02422138,0.05276488,0.42604155,0.09810164,0.16404104,0.07944896,0.34105597,0.00000000
-5.88594297,0.70926679,0.02491981,0.05058274,0.41673785,0.09921865,0.17114431,0.08396682,0.34666263,0.00000000
-5.87993997,0.71731947,0.02573131,0.04841574,0.40828745,0.10045053,0.17869702,0.08888111,0.35311002,0.00000000
-5.87393697,0.72715153,0.02668155,0.04631403,0.40106986,0.10182643,0.18673795,0.09421811,0.36055040,0.00000000
-5.86793397,0.73908478,0.02779556,0.04432682,0.39545242,0.10336948,0.19530441,0.10000060,0.36912020,0.00000000
-5.86193097,0.75339763,0.02909682,0.04250103,0.39177843,0.10509594,0.20443049,0.10624639,0.37893391,0.00000000
-5.85592796,0.77031425,0.03060635,0.04088013,0.39035608,0.10701454,0.21414532,0.11296679,0.39007877,0.00000000
-5.84992496,0.78999575,0.03234184,0.03950310,0.39144857,0.10912624,0.22447147,0.12016532,0.40261046,0.00000000
-5.84392196,0.81253352,0.03431681,0.03840352,0.39526589,0.11142426,0.23542348,0.12783658,0.41654988,0.00000000
-5.83791896,0.83794495,0.03653991,0.03760889,0.40195816,0.11389438,0.24700660,0.13596531,0.43188116,0.00000000
-5.83191596,0.86617141,0.03901433,0.03714006,0.41161090,0.11651550,0.25921573,0.14452585,0.44855089,0.00000000
-5.82591296,0.89707850,0.04173729,0.03701087,0.42424227,0.11926039,0.27203446,0.15348182,0.46646856,0.00000000
-5.81990995,0.93045839,0.04469977,0.03722794,0.43980209,0.12209652,0.28543444,0.16278618,0.48550818,0.00000000
-5.81390695,0.96603395,0.04788636,0.03779058,0.45817290,0.12498704,0.29937483,0.17238157,0.50551085,0.00000000
-5.80790395,1.00346462,0.05127530,0.03869086,0.47917269,0.12789172,0.31380198,0.18220096,0.52628831,0.00000000
-5.80190095,1.04235350,0.05483867,0.03991385,0.50255933,0.13076788,0.32864925,0.19216860,0.54762711,0.00000000
-5.79589795,1.08225563,0.05854281,0.04143793,0.52803649,0.13357133,0.34383711,0.20220117,0.56929343,0.00000000
-5.78989495,1.12268707,0.06234879,0.04323527,0.55526090,0.13625716,0.35927332,0.21220914,0.59103829,0.00000000
-5.78389195,1.16313460,0.06621313,0.04527242,0.58385065,0.13878054,0.37485343,0.22209821,0.61260290,0.00000000
-5.77788894,1.20306586,0.07008857,0.04751105,0.61339445,0.14109741,0.39046153,0.23177092,0.63372414,0.00000000
-5.77188594,1.24193971,0.07392499,0.04990877,0.64346140,0.14316515,0.40597123,0.24112825,0.65414005,0.00000000
-5.76588294,1.27921666,0.07767037,0.05242011,0.67361126,0.14494316,0.42124704,0.25007126,0.67359497,0.00000000
-5.75987994,1.31436928,0.08127183,0.05499754,0.70340472,0.14639349,0.43614602,0.25850268,0.69184457,0.00000000
-5.75387694,1.34689235,0.08467671,0.05759259,0.73241351,0.14748141,0.45051988,0.26632848,0.70866046,0.00000000
-5.74787394,1.37631278,0.08783363,0.06015707,0.76023004,0.14817606,0.46421737,0.27345945,0.72383436,0.00000000
-5.74187094,1.40219890,0.09069361,0.06264418,0.78647630,0.14845098,0.47708698,0.27981262,0.73718187,0.00000000
-5.73586793,1.42416927,0.09321105,0.06500970,0.81081172,0.14828476,0.48898007,0.28531276,0.74854567,0.00000000
-5.72986493,1.44190059,0.09534480,0.06721304,0.83293980,0.14766162,0.49975398,0.28989373,0.75779831,0.00000000
-5.72386193,1.45513462,0.09705904,0.06921823,0.85261328,0.14657196,0.50927553,0.29349989,0.76484433,0.00000000
-5.71785893,1.46368402,0.09832415,0.07099464,0.86963766,0.14501279,0.51742428,0.29608737,0.76962186,0.00000000
-5.71185593,1.46743673,0.09911742,0.07251765,0.88387312,0.14298811,0.52409584,0.29762539,0.77210368,0.00000000
-5.70585293,1.46635891,0.09942371,0.07376897,0.89523459,0.14050912,0.52920481,0.29809735,0.77229763,0.00000000
-5.69984992,1.46049617,0.09923590,0.07473680,0.90369025,0.13759428,0.53268743,0.29750196,0.77024639,0.00000000
-5.69384692,1.44997311,0.09855517,0.07541566,0.90925839,0.13426909,0.53450365,0.29585404,0.76602676,0.00000000
-5.68784392,1.43499098,0.09739118,0.07580609,0.91200297,0.13056577,0.53463858,0.29318524,0.75974815,0.00000000
-5.68184092,1.41582360,0.09576202,0.07591408,0.91202805,0.12652268,0.53310329,0.28954433,0.75155064,0.00000000
-5.67583792,1.39281157,0.09369392,0.07575032,0.90947147,0.12218350,0.52993486,0.28499719,0.74160238,0.00000000
-5.66983492,1.36635482,0.09122082,0.07532938,0.90449801,0.11759631,0.52519568,0.27962640,0.73009646,0.00000000
-5.66383192,1.33690392,0.08838376,0.07466881,0.89729259,0.11281246,0.51897201,0.27353029,0.71724729,0.00000000
-5.65782891,1.30495016,0.08522999,0.07378822,0.88805365,0.10788535,0.51137193,0.26682156,0.70328664,0.00000000
-5.65182591,1.27101493,0.08181199,0.07270845,0.87698726,0.10286924,0.50252268,0.25962526,0.68845930,0.00000000
-5.64582291,1.23563856,0.07818633,0.07145082,0.86430202,0.09781794,0.49256756,0.25207640,0.67301851,0.00000000
-5.63981991,1.19936917,0.07441238,0.07003661,0.85020516,0.09278365,0.48166260,0.24431698,0.65722135,0.00000000
-5.63381691,1.16275165,0.07055101,0.06848664,0.83489997,0.08781590,0.46997290,0.23649264,0.64132411,0.00000000
-5.62781391,1.12631741,0.06666318,0.06682113,0.81858442,0.08296061,0.45766916,0.22874905,0.62557776,0.00000000
-5.62181091,1.09057495,0.06280864,0.06505976,0.80145124,0.07825930,0.44492414,0.22122802,0.61022381,0.00000000
-5.61580790,1.05600170,0.05904460,0.06322194,0.78368911,0.07374865,0.43190946,0.21406365,0.59549040,0.00000000
-5.60980490,1.02303725,0.05542456,0.06132729,0.76548491,0.06946009,0.41879276,0.20737849,0.58158904,0.00000000
-5.60380190,0.99207821,0.05199730,0.05939615,0.74702676,0.06541971,0.40573520,0.20128004,0.56871186,0.00000000
-5.59779890,0.96347474,0.04880605,0.05745033,0.72850743,0.06164839,0.39288952,0.19585755,0.55702955,0.00000000
-5.59179590,0.93752887,0.04588784,0.05551379,0.71012808,0.05816202,0.38039853,0.19117953,0.54669012,0.00000000
-5.58579290,0.91449436,0.04327313,0.05361330,0.69210171,0.05497196,0.36839415,0.18729173,0.53781832,0.00000000
-5.57978989,0.89457830,0.04098566,0.05177908,0.67465614,0.05208555,0.35699691,0.18421611,0.53051594,0.00000000
-5.57378689,0.87794398,0.03904254,0.05004517,0.65803633,0.04950671,0.34631582,0.18195045,0.52486277,0.00000000
-5.56778389,0.86471494,0.03745456,0.04844972,0.64250550,0.04723661,0.33644863,0.18046898,0.52091826,0.00000000
-5.56178089,0.85497993,0.03622668,0.04703499,0.62834515,0.04527429,0.32748239,0.17972376,0.51872375,0.00000000
