energy_ev,total_up,In_p_up,In_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,3.88361425,0.73453444,0.02827581,0.76086680,3.44168882,0.14974202,0.00000000
-5.99399700,3.83954361,0.72189821,0.02743229,0.73768238,3.41248253,0.14562742,0.00000000
-5.98799400,3.79473575,0.71003836,0.02655410,0.71309462,3.38349237,0.14123186,0.00000000
-5.98199100,3.74948205,0.69891551,0.02564881,0.68730519,3.35486905,0.13661951,0.00000000
-5.97598799,3.70404392,0.68846426,0.02472436,0.66054971,3.32671186,0.13186239,0.00000000
-5.96998499,3.65865142,0.67859582,0.02378890,0.63309133,3.29907140,0.12703859,0.00000000
-5.96398199,3.61350464,0.66920151,0.02285070,0.60521366,3.27195557,0.12223026,0.00000000
-5.95797899,3.56877731,0.66015698,0.02191807,0.57721346,3.24533790,0.11752162,0.00000000
-5.95197599,3.52462237,0.65132694,0.02099924,0.54939316,3.21916800,0.11299676,0.00000000
-5.94597299,3.48117877,0.64257006,0.02010228,0.52205341,3.19338316,0.10873758,0.00000000
-5.93996998,3.43857902,0.63374394,0.01923508,0.49548607,3.16792049,0.10482167,0.00000000
-5.93396698,3.39695673,0.62470986,0.01840518,0.46996751,3.14272884,0.10132036,0.00000000
-5.92796398,3.35645369,0.61533712,0.01761981,0.44575269,3.11777976,0.09829691,0.00000000
-5.92196098,3.31722582,0.60550684,0.01688574,0.42306993,3.09307693,0.09580482,0.00000000
-5.91595798,3.27944756,0.59511519,0.01620927,0.40211657,3.06866346,0.09388647,0.00000000
-5.90995498,3.24331438,0.58407588,0.01559617,0.38305554,3.04462665,0.09257194,0.00000000
-5.90395198,3.20904299,0.57232199,0.01505160,0.36601306,3.02109989,0.09187818,0.00000000
-5.89794897,3.17686930,0.55980712,0.01458009,0.35107710,2.99826163,0.09180844,0.00000000
-5.89194597,3.14704384,0.54650582,0.01418542,0.33829708,2.97633118,0.09235205,0.00000000
-5.88594297,3.11982493,0.53241363,0.01387064,0.32768429,2.95556158,0.09348460,0.00000000
-5.87993997,3.09546963,0.51754639,0.01363794,0.31921330,2.93622974,0.09516837,0.00000000
-5.87393697,3.07422269,0.50193929,0.01348865,0.31282412,2.91862403,0.09735320,0.00000000
-5.86793397,3.05630409,0.48564548,0.01342313,0.30842504,2.90302988,0.09997762,0.00000000
-5.86193097,3.04189531,0.46873442,0.01344075,0.30589601,2.88971385,0.10297036,0.00000000
-5.85592796,3.03112511,0.45128992,0.01353981,0.30509248,2.87890676,0.10625207,0.00000000
-5.84992496,3.02405526,0.43340805,0.01371751,0.30584962,2.87078656,0.10973733,0.00000000
-5.84392196,3.02066697,0.41519483,0.01396991,0.30798664,2.86546172,0.11333680,0.00000000
-5.83791896,3.02084869,0.39676383,0.01429189,0.31131127,2.86295584,0.11695955,0.00000000
-5.83191596,3.02438597,0.37823367,0.01467718,0.31562428,2.86319442,0.12051537,0.00000000
-5.82591296,3.03095422,0.35972549,0.01511831,0.32072378,2.86599444,0.12391712,0.00000000
-5.81990995,3.04011498,0.34136033,0.01560674,0.32640946,2.87105767,0.12708297,0.00000000
-5.81390695,3.05131640,0.32325676,0.01613288,0.33248656,2.87796830,0.12993848,0.00000000
-5.80790395,3.06389841,0.30552844,0.01668619,0.33876954,2.88619552,0.13241844,0.00000000
-5.80190095,3.07710304,0.28828201,0.01725538,0.34508550,2.89510145,0.13446846,0.00000000
-5.79589795,3.09008992,0.27161520,0.01782855,0.35127724,2.90395464,0.13604620,0.00000000
