energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.73190682,0.00496953,0.52267431,0.39929968,0.33318288,2.58597479,1.05905637,0.01176595,0.65678575
-5.99399700,2.72214867,0.00447096,0.52682788,0.39581879,0.32662497,2.63227974,1.05378581,0.01158925,0.64342728
-5.98799400,2.71735936,0.00401957,0.53092084,0.39352426,0.32160525,2.68007536,1.04999252,0.01145812,0.63251901
-5.98199100,2.71733686,0.00361634,0.53490189,0.39231319,0.31807503,2.72886123,1.04774352,0.01137265,0.62398104
-5.97598799,2.72176634,0.00326136,0.53870619,0.39206161,0.31596337,2.77806755,1.04706348,0.01133238,0.61769654
-5.96998499,2.73024131,0.00295388,0.54225858,0.39263105,0.31518264,2.82707474,1.04793775,0.01133628,0.61352026
-5.96398199,2.74228665,0.00269252,0.54547716,0.39387527,0.31563412,2.87523517,1.05031625,0.01138276,0.61128735
-5.95797899,2.75738243,0.00247534,0.54827727,0.39564671,0.31721334,2.92189596,1.05411815,0.01146964,0.61082194
-5.95197599,2.77498707,0.00230003,0.55057545,0.39780245,0.31981486,2.96642204,1.05923675,0.01159420,0.61194515
-5.94597299,2.79455876,0.00216401,0.55229346,0.40020941,0.32333619,3.00821839,1.06554462,0.01175322,0.61448194
-5.93996998,2.81557446,0.00206450,0.55336198,0.40274852,0.32768082,3.04675080,1.07289844,0.01194302,0.61826671
-5.93396698,2.83754565,0.00199867,0.55372398,0.40531796,0.33276011,3.08156445,1.08114370,0.01215953,0.62314735
-5.92796398,2.86003063,0.00196366,0.55333764,0.40783508,0.33849419,3.11229960,1.09011890,0.01239841,0.62898772
-5.92196098,2.88264320,0.00195663,0.55217870,0.41023733,0.34481177,3.13870415,1.09965947,0.01265508,0.63566850
-5.91595798,2.90505794,0.00197481,0.55024232,0.41248205,0.35164908,3.16064277,1.10960131,0.01292485,0.64308674
-5.90995498,2.92701246,0.00201548,0.54754423,0.41454533,0.35894816,3.17810228,1.11978397,0.01320305,0.65115401
-5.90395198,2.94830700,0.00207600,0.54412141,0.41642012,0.36665462,3.19119343,1.13005372,0.01348508,0.65979377
-5.89794897,2.96880215,0.00215378,0.54003216,0.41811364,0.37471520,3.20014902,1.14026653,0.01376659,0.66893802
-5.89194597,2.98841508,0.00224627,0.53535566,0.41964447,0.38307542,3.20531835,1.15029087,0.01404354,0.67852364
-5.88594297,3.00711494,0.00235094,0.53019096,0.42103936,0.39167744,3.20715830,1.16001069,0.01431236,0.68848883
-5.87993997,3.02491792,0.00246525,0.52465555,0.42233003,0.40045851,3.20622103,1.16932819,0.01457000,0.69876980
-5.87393697,3.04188211,0.00258668,0.51888342,0.42355007,0.40935005,3.20313855,1.17816662,0.01481408,0.70929807
-5.86793397,3.05810259,0.00271268,0.51302268,0.42473211,0.41827756,3.19860438,1.18647279,0.01504296,0.71999850
-5.86193097,3.07370647,0.00284070,0.50723274,0.42590538,0.42716129,3.19335259,1.19421913,0.01525577,0.73078816
