energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,W_p_up,W_d_up
-6.00000000,1.14773757,0.01873232,0.05002701,0.00934198,0.69956644,0.29313056,0.09347559,0.35437942,0.21566169
-5.99399700,1.19146267,0.02053154,0.05323597,0.00930600,0.72893819,0.31055055,0.09858833,0.37563898,0.21954462
-5.98799400,1.23878521,0.02243361,0.05703399,0.00924684,0.75995136,0.32884822,0.10409628,0.39975901,0.22403120
-5.98199100,1.28932798,0.02442288,0.06143129,0.00916703,0.79230239,0.34782045,0.10995029,0.42670441,0.22914135
-5.97598799,1.34267104,0.02648014,0.06644159,0.00906914,0.82565018,0.36724442,0.11609231,0.45643860,0.23489863
-5.96998499,1.39835840,0.02858282,0.07208262,0.00895567,0.85962122,0.38688234,0.12245590,0.48892625,0.24132975
-5.96398199,1.45590696,0.03070535,0.07837626,0.00882893,0.89381674,0.40648714,0.12896724,0.52413584,0.24846416
-5.95797899,1.51481760,0.03281961,0.08534846,0.00869099,0.92782179,0.42580885,0.13554647,0.56204157,0.25633346
-5.95197599,1.57458791,0.03489558,0.09302873,0.00854358,0.96121603,0.44460163,0.14210946,0.60262454,0.26497081
-5.94597299,1.63472565,0.03690208,0.10144920,0.00838811,0.99358559,0.46263090,0.14856981,0.64587254,0.27441003
-5.93996998,1.69476228,0.03880765,0.11064320,0.00822567,1.02453548,0.47968033,0.15484120,0.69177849,0.28468454
-5.93396698,1.75426541,0.04058143,0.12064331,0.00805706,1.05370189,0.49555833,0.16083974,0.74033686,0.29582579
-5.92796398,1.81284924,0.04219415,0.13147887,0.00788280,1.08076355,0.51010356,0.16648645,0.79153819,0.30786131
-5.92196098,1.87018199,0.04361908,0.14317300,0.00770327,1.10545153,0.52318919,0.17170957,0.84536139,0.32081217
-5.91595798,1.92598972,0.04483293,0.15573924,0.00751873,1.12755673,0.53472563,0.17644664,0.90176404,0.33468997
-5.90995498,1.98005582,0.04581666,0.16917785,0.00732939,1.14693472,0.54466153,0.18064624,0.96067093,0.34949330
-5.90395198,2.03221625,0.04655617,0.18347195,0.00713552,1.16350747,0.55298296,0.18426934,1.02196130,0.36520390
-5.89794897,2.08235060,0.04704281,0.19858378,0.00693749,1.17726193,0.55971083,0.18729011,1.08545535,0.38178253
-5.89194597,2.13036949,0.04727374,0.21445114,0.00673581,1.18824556,0.56489665,0.18969620,1.15090110,0.39916504
-5.88594297,2.17619948,0.04725210,0.23098445,0.00653117,1.19655916,0.56861703,0.19148855,1.21796224,0.41725860
-5.87993997,2.21976638,0.04698688,0.24806453,0.00632447,1.20234754,0.57096704,0.19268067,1.28620823,0.43593879
-5.87393697,2.26097872,0.04649273,0.26554137,0.00611679,1.20578870,0.57205320,0.19329747,1.35510773,0.45504751
-5.86793397,2.29971255,0.04578952,0.28323422,0.00590938,1.20708236,0.57198628,0.19337383,1.42402603,0.47439235
-5.86193097,2.33579936,0.04490169,0.30093293,0.00570365,1.20643860,0.57087452,0.19295286,1.49222769,0.49374742
-5.85592796,2.36901817,0.04385758,0.31840087,0.00550110,1.20406755,0.56881770,0.19208413,1.55888457,0.51285604
-5.84992496,2.39909296,0.04268857,0.33537932,0.00530330,1.20017062,0.56590245,0.19082181,1.62308984,0.53143523
-5.84392196,2.42569598,0.04142817,0.35159327,0.00511184,1.19493408,0.56219910,0.18922296,1.68387763,0.54918209
-5.83791896,2.44845717,0.04011115,0.36675856,0.00492827,1.18852510,0.55776013,0.18734601,1.74024802,0.56578188
-5.83191596,2.46697934,0.03877255,0.38058996,0.00475406,1.18109054,0.55262043,0.18524945,1.79119633,0.58091757
