energy_ev,total_up,Hf_p_up,Hf_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,1.85910562,0.87041275,0.61161569,0.44338723,0.00369584,0.01512059,0.88275803
-5.99399700,1.89439349,0.89269813,0.62582063,0.45173027,0.00371543,0.01526178,0.90176064
-5.98799400,1.93320522,0.91736182,0.64169978,0.45950225,0.00374568,0.01547901,0.92394208
-5.98199100,1.97545688,0.94440918,0.65916788,0.46665297,0.00378702,0.01577051,0.94928496
-5.97598799,2.02095086,0.97377734,0.67809193,0.47313623,0.00383958,0.01613334,0.97768615
-5.96998499,2.06937456,1.00533184,0.69829190,0.47891118,0.00390321,0.01656331,1.00895418
-5.96398199,2.12030202,1.03886468,0.71954273,0.48394346,0.00397742,0.01705488,1.04280894
-5.95797899,2.17319858,1.07409409,0.74157769,0.48820612,0.00406144,0.01760118,1.07888392
-5.95197599,2.22742851,1.11066612,0.76409309,0.49168027,0.00415421,0.01819394,1.11673101
-5.94597299,2.28226575,1.14815820,0.78675428,0.49435545,0.00425439,0.01882357,1.15582782
-5.93996998,2.33690753,1.18608479,0.80920281,0.49622972,0.00436041,0.01947921,1.19558761
-5.93396698,2.39049100,1.22390523,0.83106459,0.49730960,0.00447048,0.02014884,1.23537155
-5.92796398,2.44211235,1.26103376,0.85195890,0.49760982,0.00458267,0.02081949,1.27450324
-5.92196098,2.49084850,1.29685170,0.87150808,0.49715303,0.00469493,0.02147738,1.31228503
-5.91595798,2.53578054,1.33072162,0.88934751,0.49596944,0.00480513,0.02210828,1.34801592
-5.90995498,2.57601861,1.36200313,0.90513563,0.49409646,0.00491118,0.02269777,1.38101029
-5.90395198,2.61072738,1.39006999,0.91856379,0.49157839,0.00501099,0.02323157,1.41061718
-5.89794897,2.63915132,1.41432793,0.92936534,0.48846612,0.00510264,0.02369598,1.43623921
-5.89194597,2.66063877,1.43423257,0.93732385,0.48481678,0.00518435,0.02407819,1.45735056
-5.88594297,2.67466375,1.44930669,0.94227996,0.48069337,0.00525458,0.02436669,1.47351326
-5.87993997,2.68084456,1.45915616,0.94413654,0.47616420,0.00531207,0.02455167,1.48439108
-5.87393697,2.67895812,1.46348370,0.94286206,0.47130217,0.00535587,0.02462527,1.48976035
-5.86793397,2.66894909,1.46209977,0.93849165,0.46618372,0.00538536,0.02458191,1.48951720
-5.86193097,2.65093335,1.45493008,0.93112606,0.46088742,0.00540031,0.02441851,1.48368075
-5.85592796,2.62519509,1.44201912,0.92092829,0.45549228,0.00540081,0.02413458,1.47239204
-5.84992496,2.59217771,1.42352955,0.90811801,0.45007561,0.00538733,0.02373232,1.45590865
-5.84392196,2.55246854,1.39973739,0.89296399,0.44471060,0.00536064,0.02321654,1.43459512
-5.83791896,2.50677807,1.37102312,0.87577485,0.43946372,0.00532181,0.02259460,1.40890963
-5.83191596,2.45591452,1.33785918,0.85688847,0.43439203,0.00527211,0.02187613,1.37938743
-5.82591296,2.40075511,1.30079438,0.83666055,0.42954053,0.00521302,0.02107284,1.34662184
-5.81990995,2.34221520,1.26043609,0.81545293,0.42493992,0.00514609,0.02019809,1.31124367
-5.81390695,2.28121705,1.21743098,0.79362203,0.42060472,0.00507295,0.01926661,1.27390004
-5.80790395,2.21865979,1.17244537,0.77150813,0.41653218,0.00499516,0.01829399,1.23523357
-5.80190095,2.15539203,1.12614606,0.74942591,0.41270191,0.00491422,0.01729631,1.19586299
-5.79589795,2.09218850,1.07918262,0.72765663,0.40907658,0.00483149,0.01628972,1.15636593
-5.78989495,2.02973196,1.03217176,0.70644236,0.40560358,0.00474815,0.01529001,1.11726476
-5.78389195,1.96860097,0.98568459,0.68598242,0.40221761,0.00466519,0.01431226,1.07901594
-5.77788894,1.90926406,0.94023694,0.66643211,0.39884432,0.00458336,0.01337056,1.04200320
-5.77188594,1.85208013,0.89628318,0.64790375,0.39540458,0.00450321,0.01247768,1.00653482
-5.76588294,1.79730494,0.85421325,0.63046968,0.39181932,0.00442511,0.01164492,0.97284459
-5.75987994,1.74510253,0.81435287,0.61416711,0.38801463,0.00434925,0.01088192,0.94109648
-5.75387694,1.69556096,0.77696643,0.59900437,0.38392678,0.00427569,0.01019661,0.91139214
-5.74787394,1.64871057,0.74226191,0.58496804,0.37950690,0.00420441,0.00959519,0.88378073
-5.74187094,1.60454385,0.71039739,0.57203053,0.37472493,0.00413538,0.00908207,0.85827036
-5.73586793,1.56303501,0.68148825,0.56015766,0.36957258,0.00406856,0.00866002,0.83484017
-5.72986493,1.52415826,0.65561460,0.54931564,0.36406515,0.00400398,0.00833018,0.81345232
-5.72386193,1.48790332,0.63282809,0.53947727,0.35824197,0.00394177,0.00809224,0.79406319
-5.71785893,1.45428741,0.61315782,0.53062670,0.35216541,0.00388216,0.00794448,0.77663306
-5.71185593,1.42336289,0.59661488,0.52276291,0.34591846,0.00382555,0.00788401,0.76113385
-5.70585293,1.39522033,0.58319525,0.51590141,0.33960111,0.00377245,0.00790681,0.74755457
-5.69984992,1.36998704,0.57288114,0.51007448,0.33332548,0.00372350,0.00800794,0.73590428
-5.69384692,1.34782129,0.56564068,0.50532977,0.32721027,0.00367944,0.00818165,0.72621260
-5.68784392,1.32890287,0.56142639,0.50172756,0.32137455,0.00364109,0.00842151,0.71852799
-5.68184092,1.31342093,0.56017258,0.49933699,0.31593151,0.00360929,0.00872052,0.71291400
-5.67583792,1.30155993,0.56179215,0.49823145,0.31098230,0.00358487,0.00907130,0.70944397
-5.66983492,1.29348488,0.56617335,0.49848347,0.30661054,0.00356861,0.00946615,0.70819463
-5.66383192,1.28932684,0.57317671,0.50015961,0.30287760,0.00356117,0.00989717,0.70923909
-5.65782891,1.28916983,0.58263278,0.50331538,0.29981913,0.00356309,0.01035643,0.71263976
-5.65182591,1.29303979,0.59434091,0.50799085,0.29744281,0.00357474,0.01083604,0.71844153
-5.64582291,1.30089640,0.60806936,0.51420676,0.29572772,0.00359627,0.01132828,0.72666580
-5.63981991,1.31262816,0.62355685,0.52196171,0.29462506,0.00362766,0.01182571,0.73730539
-5.63381691,1.32805094,0.64051573,0.53123013,0.29406042,0.00366868,0.01232129,0.75032083
-5.62781391,1.34690988,0.65863646,0.54196145,0.29393730,0.00371887,0.01280845,0.76563791
-5.62181091,1.36888457,0.67759350,0.55408001,0.29414177,0.00377764,0.01328121,0.78314654
