energy_ev,total_up,Hg_p_up,Hg_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,2.14971922,0.69401851,0.50478305,0.35961821,0.00796765,0.14162366,0.33540915
-5.99399700,2.10672276,0.69196153,0.49001311,0.36590935,0.00780223,0.14149468,0.32657879
-5.98799400,2.06448657,0.68889151,0.47663978,0.37112415,0.00763265,0.14113808,0.31800094
-5.98199100,2.02239923,0.68451949,0.46439804,0.37508918,0.00745768,0.14050404,0.30958672
-5.97598799,1.97984012,0.67857821,0.45301672,0.37765378,0.00727600,0.13954549,0.30124413
-5.96998499,1.93621329,0.67083405,0.44222982,0.37869672,0.00708628,0.13822034,0.29288315
-5.96398199,1.89097934,0.66109759,0.43178677,0.37813196,0.00688729,0.13649346,0.28442071
-5.95797899,1.84368411,0.64923242,0.42146143,0.37591320,0.00667798,0.13433852,0.27578511
-5.95197599,1.79398289,0.63516178,0.41105958,0.37203702,0.00645757,0.13173941,0.26691986
-5.94597299,1.74165920,0.61887276,0.40042465,0.36654440,0.00622560,0.12869122,0.25778677
-5.93996998,1.68663749,0.60041787,0.38944163,0.35952059,0.00598198,0.12520091,0.24836813
-5.93396698,1.62898926,0.57991397,0.37803920,0.35109322,0.00572706,0.12128735,0.23866814
-5.92796398,1.56893246,0.55753867,0.36618986,0.34142880,0.00546156,0.11698093,0.22871326
-5.92196098,1.50682438,0.53352436,0.35390848,0.33072764,0.00518664,0.11232275,0.21855177
-5.91595798,1.44314860,0.50815017,0.34124907,0.31921755,0.00490382,0.10736329,0.20825253
-5.90995498,1.37849653,0.48173239,0.32830032,0.30714638,0.00461498,0.10216085,0.19790289
-5.90395198,1.31354479,0.45461367,0.31517990,0.29477394,0.00432222,0.09677958,0.18760619
-5.89794897,1.24902941,0.42715157,0.30202794,0.28236344,0.00402788,0.09128742,0.17747861
-5.89194597,1.18571813,0.39970709,0.28899996,0.27017299,0.00373439,0.08575395,0.16764581
-5.88594297,1.12438218,0.37263345,0.27625957,0.25844728,0.00344426,0.08024820,0.15823942
-5.87993997,1.06576876,0.34626578,0.26397125,0.24741010,0.00315994,0.07483659,0.14939344
-5.87393697,1.01057538,0.32091209,0.25229356,0.23725766,0.00288376,0.06958110,0.14124076
-5.86793397,0.95942724,0.29684574,0.24137287,0.22815319,0.00261791,0.06453763,0.13390995
-5.86193097,0.91285829,0.27429970,0.23133814,0.22022289,0.00236433,0.05975472,0.12752223
-5.85592796,0.87129685,0.25346277,0.22229655,0.21355349,0.00212471,0.05527261,0.12218888
-5.84992496,0.83505603,0.23447765,0.21433040,0.20819131,0.00190044,0.05112267,0.11800894
-5.84392196,0.80432920,0.21744103,0.20749524,0.20414291,0.00169260,0.04732719,0.11506737
-5.83791896,0.77919035,0.20240524,0.20181917,0.20137730,0.00150197,0.04389950,0.11343354
-5.83191596,0.75959913,0.18938162,0.19730336,0.19982946,0.00132899,0.04084448,0.11316012
-5.82591296,0.74541005,0.17834501,0.19392364,0.19940507,0.00117386,0.03815926,0.11428221
-5.81990995,0.73638520,0.16923925,0.19163304,0.19998616,0.00103649,0.03583419,0.11681692
-5.81390695,0.73220969,0.16198340,0.19036509,0.20143747,0.00091657,0.03385397,0.12076314
-5.80790395,0.73250915,0.15647822,0.19003769,0.20361316,0.00081360,0.03219890,0.12610162
-5.80190095,0.73686821,0.15261271,0.19055735,0.20636364,0.00072691,0.03084610,0.13279530
-5.79589795,0.74484932,0.15027036,0.19182357,0.20954221,0.00065571,0.02977086,0.14078998
-5.78989495,0.75601099,0.14933499,0.19373316,0.21301115,0.00059916,0.02894780,0.15001523
-5.78389195,0.76992487,0.14969580,0.19618434,0.21664719,0.00055631,0.02835200,0.16038568
-5.77788894,0.78619098,0.15125156,0.19908043,0.22034591,0.00052625,0.02796000,0.17180256
-5.77188594,0.80445063,0.15391385,0.20233304,0.22402518,0.00050803,0.02775058,0.18415575
-5.76588294,0.82439675,0.15760927,0.20586465,0.22762726,0.00050076,0.02770546,0.19732605
-5.75987994,0.84578140,0.16228050,0.20961044,0.23111966,0.00050360,0.02780973,0.21118789
-5.75387694,0.86842036,0.16788648,0.21351961,0.23449476,0.00051577,0.02805216,0.22561231
-5.74787394,0.89219487,0.17440150,0.21755582,0.23776818,0.00053656,0.02842533,0.24047025
-5.74187094,0.91705075,0.18181349,0.22169719,0.24097607,0.00056537,0.02892552,0.25563593
-5.73586793,0.94299491,0.19012156,0.22593563,0.24417142,0.00060169,0.02955262,0.27099034
-5.72986493,0.97008987,0.19933302,0.23027570,0.24741966,0.00064512,0.03030974,0.28642459
-5.72386193,0.99844632,0.20945989,0.23473317,0.25079380,0.00069537,0.03120285,0.30184306
-5.71785893,1.02821422,0.22051527,0.23933318,0.25436915,0.00075224,0.03224024,0.31716608
-5.71185593,1.05957289,0.23250958,0.24410827,0.25821821,0.00081564,0.03343203,0.33233213
-5.70585293,1.09272025,0.24544693,0.24909631,0.26240566,0.00088558,0.03478950,0.34729923
-5.69984992,1.12786166,0.25932180,0.25433838,0.26698390,0.00096216,0.03632453,0.36204558
-5.69384692,1.16519876,0.27411600,0.25987673,0.27198927,0.00104555,0.03804889,0.37656923
-5.68784392,1.20491843,0.28979634,0.26575278,0.27743904,0.00113600,0.03997369,0.39088684
-5.68184092,1.24718226,0.30631276,0.27200532,0.28332949,0.00123379,0.04210865,0.40503148
-5.67583792,1.29211675,0.32359726,0.27866888,0.28963502,0.00133923,0.04446158,0.41904955
-5.66983492,1.33980448,0.34156351,0.28577231,0.29630829,0.00145264,0.04703773,0.43299693
-5.66383192,1.39027642,0.36010728,0.29333756,0.30328158,0.00157431,0.04983926,0.44693455
-5.65782891,1.44350559,0.37910751,0.30137874,0.31046902,0.00170447,0.05286473,0.46092354
-5.65182591,1.49940227,0.39842812,0.30990137,0.31776981,0.00184330,0.05610868,0.47502023
-5.64582291,1.55781091,0.41792044,0.31890199,0.32507217,0.00199086,0.05956119,0.48927118
-5.63981991,1.61850876,0.43742609,0.32836784,0.33225784,0.00214709,0.06320766,0.50370861
-5.63381691,1.68120648,0.45678034,0.33827701,0.33920691,0.00231179,0.06702855,0.51834636
-5.62781391,1.74555075,0.47581572,0.34859862,0.34580284,0.00248456,0.07099933,0.53317661
-5.62181091,1.81112876,0.49436575,0.35929338,0.35193728,0.00266486,0.07509053,0.54816770
-5.61580790,1.87747483,0.51226876,0.37031429,0.35751472,0.00285195,0.07926794,0.56326288
-5.60980490,1.94407881,0.52937159,0.38160752,0.36245648,0.00304491,0.08349300,0.57838046
-5.60380190,2.01039645,0.54553306,0.39311353,0.36670409,0.00324262,0.08772331,0.59341510
-5.59779890,2.07586126,0.56062724,0.40476827,0.37022184,0.00344384,0.09191338,0.60824034
-5.59179590,2.13989788,0.57454628,0.41650454,0.37299843,0.00364714,0.09601557,0.62271231
-5.58579290,2.20193662,0.58720287,0.42825346,0.37504765,0.00385103,0.09998112,0.63667445
-5.57978989,2.26142884,0.59853230,0.43994598,0.37640806,0.00405393,0.10376148,0.64996311
-5.57378689,2.31786274,0.60849398,0.45151451,0.37714186,0.00425422,0.10730965,0.66241374
-5.56778389,2.37077932,0.61707264,0.46289451,0.37733286,0.00445031,0.11058176,0.67386757
-5.56178089,2.41978792,0.62427899,0.47402621,0.37708373,0.00464069,0.11353860,0.68417835
-5.55577789,2.46458080,0.63014997,0.48485617,0.37651273,0.00482396,0.11614728,0.69321899
-5.54977489,2.50494653,0.63474862,0.49533896,0.37574999,0.00499888,0.11838283,0.70088778
-5.54377189,2.54078122,0.63816351,0.50543862,0.37493360,0.00516445,0.12022971,0.70711390
-5.53776888,2.57209754,0.64050768,0.51513011,0.37420547,0.00531990,0.12168320,0.71186205
-5.53176588,2.59903055,0.64191724,0.52440049,0.37370737,0.00546478,0.12275062,0.71513582
-5.52576288,2.62184026,0.64254942,0.53324986,0.37357702,0.00559894,0.12345221,0.71697977
-5.51975988,2.64091026,0.64258011,0.54169203,0.37394447,0.00572258,0.12382176,0.71747997
-5.51375688,2.65674213,0.64220089,0.54975472,0.37492877,0.00583623,0.12390690,0.71676298
-5.50775388,2.66994561,0.64161549,0.55747923,0.37663499,0.00594076,0.12376889,0.71499315
-5.50175088,2.68122430,0.64103568,0.56491970,0.37915161,0.00603734,0.12348205,0.71236840
-5.49574787,2.69135715,0.64067658,0.57214163,0.38254836,0.00612744,0.12313271,0.70911450
-5.48974487,2.70117615,0.64075156,0.57921986,0.38687430,0.00621274,0.12281763,0.70547804
-5.48374187,2.71154063,0.64146669,0.58623591,0.39215646,0.00629511,0.12264210,0.70171836
-5.47773887,2.72330919,0.64301496,0.59327485,0.39839883,0.00637654,0.12271741,0.69809870
-5.47173587,2.73731012,0.64557044,0.60042169,0.40558175,0.00645905,0.12315811,0.69487701
-5.46573287,2.75431141,0.64928255,0.60775745,0.41366187,0.00654466,0.12407879,0.69229666
-5.45972986,2.77499187,0.65427084,0.61535524,0.42257261,0.00663524,0.12559070,0.69057757
-5.45372686,2.79991443,0.66062032,0.62327640,0.43222526,0.00673253,0.12779811,0.68990816
-5.44772386,2.82950317,0.66837777,0.63156695,0.44251070,0.00683799,0.13079468,0.69043841
-5.44172086,2.86402517,0.67754924,0.64025474,0.45330196,0.00695280,0.13465983,0.69227443
-5.43571786,2.90357832,0.68809892,0.64934732,0.46445739,0.00707778,0.13945530,0.69547485
-5.42971486,2.94808586,0.69994948,0.65883083,0.47582473,0.00721337,0.14522206,0.70004907
-5.42371186,2.99729820,0.71298412,0.66866997,0.48724577,0.00735964,0.15197760,0.70595768
-5.41770885,3.05080200,0.72705012,0.67880919,0.49856169,0.00751623,0.15971381,0.71311484
-5.41170585,3.10803637,0.74196394,0.68917499,0.50961877,0.00768241,0.16839561,0.72139260
-5.40570285,3.16831545,0.75751762,0.69967929,0.52027436,0.00785713,0.17796027,0.73062699
-5.39969985,3.23085616,0.77348618,0.71022366,0.53040280,0.00803901,0.18831760,0.74062539
-5.39369685,3.29481001,0.78963578,0.72070420,0.53990097,0.00822644,0.19935110,0.75117508
