energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,6.15753868,0.02983958,0.86910337,2.09304957,2.90932070,0.08585765,0.05924334,2.12825009
-5.99399700,5.92714764,0.02919441,0.80493571,1.96300504,2.84975839,0.08333551,0.05494481,2.07074821
-5.98799400,5.73020639,0.02872321,0.74189624,1.84529182,2.80706925,0.08189555,0.05075567,2.02842438
-5.98199100,5.57033874,0.02845630,0.68065999,1.74114046,2.78298187,0.08154079,0.04672010,2.00225395
-5.97598799,5.45041473,0.02842131,0.62182358,1.65148602,2.77885704,0.08225982,0.04287734,1.99292571
-5.96998499,5.37246780,0.02864249,0.56589737,1.57695418,2.79563824,0.08402599,0.03926111,2.00081342
-5.96398199,5.33763375,0.02914006,0.51330055,1.51785516,2.83381286,0.08679680,0.03589914,2.02595509
-5.95797899,5.34611397,0.02992970,0.46435900,1.47418536,2.89338615,0.09051356,0.03281295,2.06804120
-5.95197599,5.39716478,0.03102201,0.41930595,1.44563627,2.97386938,0.09510135,0.03001775,2.12641264
-5.94597299,5.48911401,0.03242214,0.37828504,1.43161033,3.07428343,0.10046944,0.02752258,2.20006904
-5.93996998,5.61940508,0.03412950,0.34135567,1.43124302,3.19317828,0.10651211,0.02533049,2.28768759
-5.93396698,5.78466789,0.03613753,0.30850022,1.44343059,3.32866864,0.11310998,0.02343894,2.38765232
-5.92796398,5.98081515,0.03843363,0.27963276,1.46686265,3.47848491,0.12013187,0.02184027,2.49809326
-5.92196098,6.20316145,0.04099915,0.25460893,1.50005880,3.64003852,0.12743712,0.02052223,2.61693450
-5.91595798,6.44656202,0.04380957,0.23323664,1.54140834,3.81049961,0.13487843,0.01946865,2.74194993
-5.90995498,6.70556681,0.04683469,0.21528710,1.58921229,3.98688483,0.14230509,0.01866008,2.87082475
-5.90395198,6.97458510,0.05003901,0.20050600,1.64172649,4.16615216,0.14956648,0.01807447,3.00122098
-5.89794897,7.24805518,0.05338221,0.18862440,1.69720496,4.34529949,0.15651584,0.01768790,3.13084438
-5.89194597,7.52061325,0.05681972,0.17936915,1.75394232,4.52146321,0.16301406,0.01747525,3.25751061
-5.88594297,7.78725531,0.06030340,0.17247257,1.81031425,4.69201290,0.16893340,0.01741086,3.37920780
-5.87993997,8.04348624,0.06378231,0.16768120,1.86481490,4.85463836,0.17416104,0.01746920,3.49415322
-5.87393697,8.28545012,0.06720358,0.16476342,1.91609023,5.00742508,0.17860218,0.01762550,3.60084155
-5.86793397,8.51003657,0.07051336,0.16351588,1.96296645,5.14891487,0.18218268,0.01785626,3.69808276
-5.86193097,8.71495881,0.07365782,0.16376855,2.00447252,5.27814874,0.18485108,0.01813983,3.78502786
-5.85592796,8.89879986,0.07658419,0.16538836,2.03985625,5.39468972,0.18657985,0.01845686,3.86118121
-5.84992496,9.06102477,0.07924185,0.16828139,2.06859347,5.49862438,0.18736600,0.01879073,3.92639887
-5.84392196,9.20195805,0.08158338,0.17239355,2.09038994,5.59054228,0.18723075,0.01912790,3.98087289
-5.83791896,9.32272688,0.08356563,0.17770972,2.10517613,5.67149401,0.18621854,0.01945825,4.02510206
-5.83191596,9.42517228,0.08515072,0.18425146,2.11309501,5.74292924,0.18439524,0.01977528,4.05985053
-5.82591296,9.51173183,0.08630692,0.19207328,2.11448346,5.80661698,0.18184578,0.02007635,4.08609602
-5.81990995,9.58529880,0.08700948,0.20125753,2.10984794,5.86455168,0.17867117,0.02036273,4.10497000
-5.81390695,9.64906378,0.08724131,0.21190819,2.09983560,5.91884887,0.17498520,0.02063970,4.11769266
-5.80790395,9.70634590,0.08699340,0.22414353,2.08520182,5.97163525,0.17091080,0.02091648,4.12550583
-5.80190095,9.76042100,0.08626519,0.23808798,2.06677555,6.02493807,0.16657634,0.02120618,4.12960684
-5.79589795,9.81435467,0.08506461,0.25386354,2.04542394,6.08057900,0.16211188,0.02152559,4.13108676
-5.78989495,9.87084784,0.08340798,0.27158077,2.02201749,6.14007755,0.15764564,0.02189495,4.13087591
-5.78389195,9.93210194,0.08131962,0.29132997,1.99739728,6.20456860,0.15330073,0.02233765,4.12969929
-5.77788894,9.99970991,0.07883133,0.31317275,1.97234534,6.27473821,0.14919219,0.02287983,4.12804406
-5.77188594,10.07457806,0.07598153,0.33713431,1.94755940,6.35078067,0.14542450,0.02354991,4.12614065
-5.76588294,10.15688216,0.07281439,0.36319687,1.92363279,6.43237911,0.14208957,0.02437811,4.12395827
-5.75987994,10.24605959,0.06937866,0.39129450,1.90103997,6.51871051,0.13926518,0.02539576,4.12121483
-5.75387694,10.34083737,0.06572646,0.42130970,1.88012828,6.60847480,0.13701388,0.02663476,4.11740048
-5.74787394,10.43929416,0.06191200,0.45307176,1.86111550,6.69994664,0.13538243,0.02812674,4.11181341
-5.74187094,10.53895248,0.05799024,0.48635727,1.84409326,6.79104700,0.13440153,0.02990233,4.10360561
-5.73586793,10.63689589,0.05401558,0.52089257,1.82903553,6.87943086,0.13408598,0.03199030,4.09183599
-5.72986493,10.72990463,0.05004064,0.55635832,1.81581137,6.96258649,0.13443510,0.03441667,4.07552766
-5.72386193,10.81460222,0.04611512,0.59239584,1.80420110,7.03794106,0.13543339,0.03720377,4.05372627
-5.71785893,10.88760521,0.04228475,0.62861498,1.79391463,7.10296720,0.13705132,0.04036926,4.02555595
-5.71185593,10.94566817,0.03859052,0.66460339,1.78461083,7.15528510,0.13924635,0.04392520,3.99026981
-5.70585293,10.98581651,0.03506798,0.69993649,1.77591696,7.19275512,0.14196391,0.04787709,3.94729235
-5.69984992,11.00546060,0.03174678,0.73418790,1.76744691,7.21355644,0.14513854,0.05222292,3.89625149
-5.69384692,11.00248609,0.02865045,0.76693980,1.75881751,7.21624839,0.14869505,0.05695243,3.83699874
-5.68784392,10.97531657,0.02579631,0.79779280,1.74966224,7.19981186,0.15254973,0.06204631,3.76961678
-5.68184092,10.92294682,0.02319558,0.82637483,1.73964180,7.16366966,0.15661168,0.06747574,3.69441436
-5.67583792,10.84494663,0.02085367,0.85234882,1.72845149,7.10768595,0.16078412,0.07320196,3.61190935
-5.66983492,10.74143662,0.01877059,0.87541880,1.71582528,7.03214576,0.16496597,0.07917622,3.52280139
-5.66383192,10.61303967,0.01694151,0.89533435,1.70153698,6.93771721,0.16905342,0.08533993,3.42793608
-5.65782891,10.46081241,0.01535734,0.91189328,1.68539894,6.82539935,0.17294170,0.09162515,3.32826330
-5.65182591,10.28616227,0.01400544,0.92494257,1.66725889,6.69645971,0.17652702,0.09795543,3.22479233
-5.64582291,10.09075655,0.01287035,0.93437786,1.64699555,6.55236583,0.17970863,0.10424693,3.11854644
-5.63981991,9.87642946,0.01193450,0.94014157,1.62451391,6.39471494,0.18239097,0.11040998,3.01051994
-5.63381691,9.64509338,0.01117896,0.94221994,1.59974064,6.22516613,0.18448594,0.11635082,2.90163974
-5.62781391,9.39865941,0.01058414,0.94063947,1.57262043,6.04537864,0.18591514,0.12197378,2.79273376
-5.62181091,9.13897179,0.01013043,0.93546294,1.54311358,5.85695935,0.18661209,0.12718355,2.68450750
-5.61580790,8.86775903,0.00979888,0.92678537,1.51119528,5.66142158,0.18652424,0.13188766,2.57752959
-5.60980490,8.58660352,0.00957170,0.91473019,1.47685658,5.46015664,0.18561485,0.13599905,2.47222685
-5.60380190,8.29692999,0.00943283,0.89944589,1.44010708,5.25441848,0.18386445,0.13943855,2.36888829
-5.59779890,8.00001157,0.00936832,0.88110314,1.40097903,5.04532069,0.18127196,0.14213734,2.26767732
-5.59179590,7.69699147,0.00936674,0.85989262,1.35953260,4.83384490,0.17785529,0.14403908,2.16865086
-5.58579290,7.38891689,0.00941946,0.83602340,1.31586164,4.62085826,0.17365143,0.14510183,2.07178362
-5.57978989,7.07678147,0.00952090,0.80972184,1.27009955,4.40713782,0.16871599,0.14529952,1.97699583
-5.57378689,6.76157205,0.00966862,0.78123090,1.22242464,4.19339897,0.16312216,0.14462299,1.88418233
-5.56778389,6.44431556,0.00986346,0.75080957,1.17306445,3.98032536,0.15695905,0.14308054,1.79324131
-5.56178089,6.12612215,0.01010948,0.71873241,1.12229844,3.76859758,0.15032964,0.14069791,1.70410087
-5.55577789,5.80822107,0.01041386,0.68528883,1.07045897,3.55891850,0.14334815,0.13751778,1.61674198
-5.54977489,5.49198680,0.01078670,0.65078210,1.01792998,3.35203319,0.13613715,0.13359876,1.53121679
-5.54377189,5.17895335,0.01124079,0.61552782,0.96514355,3.14874234,0.12882432,0.12901390,1.44766142
-5.53776888,4.87081608,0.01179116,0.57985193,0.91257428,2.94990835,0.12153907,0.12384884,1.36630297
-5.53176588,4.56942090,0.01245468,0.54408809,0.86073158,2.75645384,0.11440918,0.11819961,1.28746074
-5.52576288,4.27674160,0.01324950,0.50857464,0.81015037,2.56935303,0.10755740,0.11217028,1.21154191
-5.51975988,3.99484709,0.01419441,0.47365095,0.76138044,2.38961683,0.10109829,0.10587043,1.13903243
-5.51375688,3.72586029,0.01530820,0.43965364,0.71497492,2.21827266,0.09513531,0.09941260,1.07048380
-5.50775388,3.47191146,0.01660891,0.40691249,0.67147845,2.05634052,0.08975822,0.09290990,1.00649687
-5.50175088,3.23508823,0.01811309,0.37574635,0.63141546,1.90480691,0.08504094,0.08647367,0.94770350
-5.49574787,3.01738517,0.01983503,0.34645925,0.59527899,1.76459797,0.08103984,0.08021142,0.89474725
