energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.93453078,0.01043802,0.08254726,0.61346176,0.29742834,0.13564187,1.74442942,0.38799695,0.17577703
-5.99399700,2.94778432,0.01090382,0.07992961,0.63372842,0.31353153,0.13668154,1.75694930,0.38368957,0.16886751
-5.98799400,2.98046257,0.01139644,0.07768594,0.65958328,0.33268577,0.13842170,1.78118586,0.38129589,0.16302085
-5.98199100,3.03184373,0.01190975,0.07582544,0.69057605,0.35481074,0.14081820,1.81663750,0.38080628,0.15825232
-5.97598799,3.10082539,0.01243811,0.07434569,0.72620583,0.37976271,0.14381125,1.86258374,0.38216669,0.15454911
-5.96998499,3.18593162,0.01297652,0.07323354,0.76591905,0.40733090,0.14732654,1.91808906,0.38528102,0.15187188
-5.96398199,3.28533126,0.01352079,0.07246632,0.80910917,0.43723580,0.15127680,1.98201315,0.39001461,0.15015707
-5.95797899,3.39686673,0.01406761,0.07201317,0.85511839,0.46912953,0.15556364,2.05302751,0.39619870,0.14931976
-5.95197599,3.51809272,0.01461466,0.07183657,0.90324169,0.50259847,0.16007992,2.12963788,0.40363557,0.14925704
-5.94597299,3.64632391,0.01516061,0.07189390,0.95273307,0.53716834,0.16471221,2.21021207,0.41210422,0.14985167
-5.93996998,3.77869024,0.01570511,0.07213905,1.00281414,0.57231163,0.16934355,2.29301239,0.42136634,0.15097592
-5.93396698,3.91219845,0.01624868,0.07252390,1.05268479,0.60745743,0.17385622,2.37623192,0.43117225,0.15249553
-5.92796398,4.04379811,0.01679264,0.07299980,1.10153572,0.64200334,0.17813463,2.45803350,0.44126684,0.15427355
-5.92196098,4.17045026,0.01733884,0.07351890,1.14856244,0.67532923,0.18206802,2.53659048,0.45139516,0.15617405
-5.91595798,4.28919683,0.01788951,0.07403523,1.19298032,0.70681246,0.18555312,2.61012788,0.46130765,0.15806560
-5.90995498,4.39722851,0.01844692,0.07450580,1.23404007,0.73584399,0.18849647,2.67696275,0.47076481,0.15982438
-5.90395198,4.49194925,0.01901313,0.07489133,1.27104320,0.76184482,0.19081651,2.73554256,0.47954131,0.16133688
-5.89794897,4.57103508,0.01958967,0.07515691,1.30335664,0.78428218,0.19244529,2.78448017,0.48742950,0.16250223
-5.89194597,4.63248557,0.02017722,0.07527248,1.33042620,0.80268480,0.19332972,2.82258438,0.49424218,0.16323393
