energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,5.03124977,0.38021088,0.19245438,0.04492751,0.30642017,1.90025004,1.69873973,0.03014866,2.91270552
-5.99399700,5.19155623,0.38983352,0.19843741,0.04447944,0.31333225,1.95613595,1.75746990,0.03085700,3.00574110
-5.98799400,5.35498147,0.39918649,0.20435342,0.04398545,0.32010457,2.01262049,1.81784562,0.03156369,3.10055922
-5.98199100,5.52089266,0.40822753,0.21012979,0.04346979,0.32668157,2.06941386,1.87975706,0.03226638,3.19677888
-5.97598799,5.68859159,0.41691927,0.21569640,0.04295605,0.33301562,2.12622270,1.94306091,0.03296282,3.29397729
-5.96998499,5.85731655,0.42522982,0.22098772,0.04246635,0.33906779,2.18275473,2.00757590,0.03365077,3.39169234
-5.96398199,6.02624725,0.43313326,0.22594475,0.04202064,0.34480847,2.23872369,2.07308001,0.03432785,3.48942691
-5.95797899,6.19451241,0.44060991,0.23051667,0.04163615,0.35021778,2.29385433,2.13930954,0.03499157,3.58665463
-5.95197599,6.36119952,0.44764640,0.23466215,0.04132700,0.35528569,2.34788705,2.20595992,0.03563918,3.68282687
-5.94597299,6.52536600,0.45423541,0.23835023,0.04110395,0.36001173,2.40058180,2.27268816,0.03626779,3.77738032
-5.93996998,6.68605125,0.46037532,0.24156084,0.04097430,0.36440445,2.45172091,2.33911672,0.03687431,3.86974501
-5.93396698,6.84228895,0.46606945,0.24428487,0.04094200,0.36848041,2.50111081,2.40483853,0.03745557,3.95935215
-5.92796398,6.99311902,0.47132526,0.24652382,0.04100779,0.37226292,2.54858225,2.46942292,0.03800834,4.04564157
-5.92196098,7.13759887,0.47615332,0.24828912,0.04116958,0.37578041,2.59398923,2.53242230,0.03852940,4.12806847
-5.91595798,7.27481383,0.48056612,0.24960109,0.04142281,0.37906466,2.63720665,2.59337921,0.03901568,4.20610942
-5.90995498,7.40388660,0.48457698,0.25048771,0.04176091,0.38214889,2.67812695,2.65183370,0.03946427,4.27926749
-5.90395198,7.52398593,0.48819891,0.25098318,0.04217578,0.38506580,2.71665605,2.70733082,0.03987254,4.34707675
-5.89794897,7.63433490,0.49144355,0.25112645,0.04265835,0.38784575,2.75270903,2.75942830,0.04023823,4.40910625
-5.89194597,7.73421899,0.49432035,0.25095967,0.04319896,0.39051518,2.78620594,2.80770420,0.04055944,4.46496374
-5.88594297,7.82299468,0.49683587,0.25052680,0.04378788,0.39309524,2.81706829,2.85176467,0.04083477,4.51429957
-5.87993997,7.90009868,0.49899345,0.24987230,0.04441571,0.39560092,2.84521654,2.89125192,0.04106332,4.55681095
-5.87393697,7.96505835,0.50079301,0.24904005,0.04507367,0.39804054,2.87056903,2.92585214,0.04124473,4.59224683
-5.86793397,8.01750339,0.50223120,0.24807242,0.04575391,0.40041582,2.89304255,2.95530364,0.04137924,4.62041363
-5.86193097,8.05717870,0.50330183,0.24700967,0.04644974,0.40272233,2.91255469,2.97940502,0.04146771,4.64118184
-5.85592796,8.08395826,0.50399642,0.24588949,0.04715574,0.40495047,2.92902799,2.99802308,0.04151163,4.65449326
