energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-3.64082041,5.04925039,0.60854758,0.00000000,4.00224520,3.02123241,0.01773905,0.99310746
-3.63481741,5.06771760,0.59695574,0.00000000,3.94470529,3.04346810,0.01762507,1.00588949
-3.62881441,5.08208120,0.58571765,0.00000000,3.88628301,3.06396557,0.01747163,1.01706517
-3.62281141,5.09107918,0.57472904,0.00000000,3.82613130,3.08182233,0.01728510,1.02643198
-3.61680840,5.09368094,0.56389917,0.00000000,3.76349288,3.09627340,0.01707315,1.03384678
-3.61080540,5.08912741,0.55315544,0.00000000,3.69774062,3.10671772,0.01684455,1.03923215
-3.60480240,5.07695748,0.54244679,0.00000000,3.62840955,3.11273611,0.01660894,1.04257979
-3.59879940,5.05701924,0.53174566,0.00000000,3.55521885,3.11410005,0.01637652,1.04395054
-3.59279640,5.02946557,0.52104836,0.00000000,3.47808300,3.11077078,0.01615771,1.04347119
-3.58679340,4.99473414,0.51037396,0.00000000,3.39711180,3.10288870,0.01596283,1.04132795
-3.58079040,4.95351327,0.49976171,0.00000000,3.31259964,3.09075403,0.01580163,1.03775708
-3.57478739,4.90669540,0.48926720,0.00000000,3.22500516,3.07479957,0.01568302,1.03303296
-3.56878439,4.85532096,0.47895754,0.00000000,3.13492273,3.05555739,0.01561458,1.02745434
-3.56278139,4.80051571,0.46890583,0.00000000,3.04304784,3.03362126,0.01560230,1.02132934
-3.55677839,4.74342513,0.45918530,0.00000000,2.95013857,3.00960691,0.01565026,1.01496003
-3.55077539,4.68514939,0.44986350,0.00000000,2.85697555,2.98411248,0.01576038,1.00862740
-3.54477239,4.62668244,0.44099680,0.00000000,2.76432271,2.95768119,0.01593226,1.00257735
-3.53876938,4.56885851,0.43262572,0.00000000,2.67289100,2.93076837,0.01616311,0.99700863
-3.53276638,4.51230866,0.42477109,0.00000000,2.58330705,2.90371447,0.01644775,0.99206310
-3.52676338,4.45742979,0.41743161,0.00000000,2.49608816,2.87672560,0.01677869,0.98781896
-3.52076038,4.40436729,0.41058259,0.00000000,2.41162474,2.84986241,0.01714636,0.98428724
-3.51475738,4.35301230,0.40417626,0.00000000,2.33017090,2.82303787,0.01753934,0.98141162
-3.50875438,4.30301334,0.39814339,0.00000000,2.25184308,2.79602394,0.01794475,0.97907176
-3.50275138,4.25380154,0.39239634,0.00000000,2.17662655,2.76846660,0.01834866,0.97708968
-3.49674837,4.20462785,0.38683319,0.00000000,2.10438897,2.73990846,0.01873657,0.97523913
-3.49074537,4.15461019,0.38134286,0.00000000,2.03489988,2.70981746,0.01909390,0.97325724
-3.48474237,4.10278787,0.37581089,0.00000000,1.96785472,2.67762025,0.01940653,0.97085790
-3.47873937,4.04818039,0.37012563,0.00000000,1.90290195,2.64273830,0.01966129,0.96774631
-3.47273637,3.98984743,0.36418441,0.00000000,1.83967157,2.60462493,0.01984643,0.96363376
-3.46673337,3.92694710,0.35789952,0.00000000,1.77780347,2.56280127,0.01995208,0.95825210
-3.46073037,3.85878937,0.35120359,0.00000000,1.71697407,2.51688932,0.01997058,0.95136705
-3.45472736,3.78488213,0.34405415,0.00000000,1.65692000,2.46664047,0.01989675,0.94278983
-3.44872436,3.70496761,0.33643708,0.00000000,1.59745752,2.41195805,0.01972809,0.93238646
-3.44272136,3.61904753,0.32836886,0.00000000,1.53849704,2.35291279,0.01946485,0.92008442
-3.43671836,3.52739576,0.31989748,0.00000000,1.48005199,2.28975057,0.01910997,0.90587637
-3.43071536,3.43055822,0.31110183,0.00000000,1.42224182,2.22289202,0.01866899,0.88982069
-3.42471236,3.32933986,0.30208984,0.00000000,1.36528920,2.15292411,0.01814980,0.87203914
-3.41870935,3.22477981,0.29299514,0.00000000,1.30951159,2.08058410,0.01756230,0.85271156
-3.41270635,3.11811568,0.28397266,0.00000000,1.25530786,2.00673674,0.01691808,0.83206801
-3.40670335,3.01073897,0.27519310,0.00000000,1.20314057,1.93234570,0.01622990,0.81037895
-3.40070035,2.90414369,0.26683670,0.00000000,1.15351486,1.85844067,0.01551128,0.78794365
-3.39469735,2.79987047,0.25908639,0.00000000,1.10695503,1.78608152,0.01477602,0.76507782
-3.38869435,2.69944883,0.25212075,0.00000000,1.06397978,1.71632120,0.01403767,0.74210063
-3.38269135,2.60433998,0.24610694,0.00000000,1.02507731,1.65016896,0.01330912,0.71932217
-3.37668834,2.51588277,0.24119394,0.00000000,0.99068133,1.58855538,0.01260223,0.69703156
-3.37068534,2.43524489,0.23750639,0.00000000,0.96114897,1.53230079,0.01192740,0.67548644
-3.36468234,2.36338133,0.23513911,0.00000000,0.93674148,1.48208817,0.01129337,0.65490424
-3.35867934,2.30100170,0.23415280,0.00000000,0.91760857,1.43844162,0.01070700,0.63545549
-3.35267634,2.24854752,0.23457081,0.00000000,0.90377694,1.40171121,0.01017313,0.61725950
-3.34667334,2.20618024,0.23637722,0.00000000,0.89514341,1.37206459,0.00969460,0.60038244
-3.34067034,2.17378021,0.23951636,0.00000000,0.89147300,1.34948559,0.00927221,0.58483788
-3.33466733,2.15095646,0.24389370,0.00000000,0.89240189,1.33377970,0.00890494,0.57058954
-3.32866433,2.13706652,0.24937810,0.00000000,0.89744529,1.32458604,0.00859002,0.55755630
-3.32266133,2.13124543,0.25580544,0.00000000,0.90600977,1.32139519,0.00832325,0.54561875
-3.31665833,2.13244240,0.26298336,0.00000000,0.91740967,1.32357195,0.00809919,0.53462740
-3.31065533,2.13946362,0.27069707,0.00000000,0.93088696,1.33038215,0.00791152,0.52441161
-3.30465233,2.15101929,0.27871593,0.00000000,0.94563379,1.34102224,0.00775329,0.51478928
-3.29864932,2.16577301,0.28680068,0.00000000,0.96081688,1.35465042,0.00761726,0.50557644
-3.29264632,2.18239142,0.29471092,0.00000000,0.97560295,1.37041813,0.00749619,0.49659653
-3.28664332,2.19959226,0.30221270,0.00000000,0.98918412,1.38750056,0.00738309,0.48768897
-3.28064032,2.21618889,0.30908585,0.00000000,1.00080245,1.40512505,0.00727148,0.47871650
-3.27463732,2.23112972,0.31513090,0.00000000,1.00977269,1.42259632,0.00715561,0.46957122
-3.26863432,2.24353117,0.32017521,0.00000000,1.01550244,1.43931763,0.00703056,0.46017893
-3.26263132,2.25270292,0.32407820,0.00000000,1.01750905,1.45480714,0.00689242,0.45050182
-3.25662831,2.25816489,0.32673545,0.00000000,1.01543259,1.46870898,0.00673834,0.44053934
-3.25062531,2.25965546,0.32808158,0.00000000,1.00904461,1.48079886,0.00656656,0.43032738
-3.24462231,2.25713090,0.32809171,0.00000000,0.99825231,1.49098400,0.00637638,0.41993586
-3.23861931,2.25075650,0.32678165,0.00000000,0.98309820,1.49929787,0.00616812,0.40946490
-3.23261631,2.24088989,0.32420668,0.00000000,0.96375533,1.50588987,0.00594307,0.39903980
-3.22661331,2.22805778,0.32045911,0.00000000,0.94051833,1.51101096,0.00570333,0.38880520
-3.22061031,2.21292715,0.31566467,0.00000000,0.91379085,1.51499565,0.00545172,0.37891867
-3.21460730,2.19627254,0.30997794,0.00000000,0.88406995,1.51824161,0.00519163,0.36954393
-3.20860430,2.17894069,0.30357706,0.00000000,0.85192804,1.52118766,0.00492688,0.36084426
-3.20260130,2.16181448,0.29665781,0.00000000,0.81799337,1.52429139,0.00466155,0.35297614
-3.19659830,2.14577734,0.28942752,0.00000000,0.78292958,1.52800719,0.00439988,0.34608346
-3.19059530,2.13167979,0.28209881,0.00000000,0.74741539,1.53276584,0.00414611,0.34029253
-3.18459230,2.12030932,0.27488356,0.00000000,0.71212489,1.53895634,0.00390437,0.33570797
-3.17858929,2.11236456,0.26798727,0.00000000,0.67770932,1.54691071,0.00367855,0.33240962
-3.17258629,2.10843465,0.26160394,0.00000000,0.64478074,1.55689228,0.00347226,0.33045047
-3.16658329,2.10898408,0.25591167,0.00000000,0.61389810,1.56908766,0.00328870,0.32985565
-3.16058029,2.11434343,0.25106909,0.00000000,0.58555597,1.58360268,0.00313064,0.33062240
-3.15457729,2.12470570,0.24721259,0.00000000,0.56017606,1.60046198,0.00300039,0.33272085
-3.14857429,2.14012804,0.24445446,0.00000000,0.53810163,1.61961216,0.00289972,0.33609567
-3.14257129,2.16053815,0.24288190,0.00000000,0.51959457,1.64092793,0.00282991,0.34066823
-3.13656828,2.18574472,0.24255679,0.00000000,0.50483513,1.66422076,0.00279171,0.34633928
-3.13056528,2.21545100,0.24351617,0.00000000,0.49392381,1.68924939,0.00278535,0.35299195
-3.12456228,2.24927048,0.24577332,0.00000000,0.48688521,1.71573145,0.00281060,0.36049489
-3.11855928,2.28674390,0.24931938,0.00000000,0.48367351,1.74335565,0.00286670,0.36870546
-3.11255628,2.32735658,0.25412522,0.00000000,0.48417906,1.77179365,0.00295250,0.37747291
-3.10655328,2.37055528,0.26014365,0.00000000,0.48823590,1.80071127,0.00306639,0.38664141
-3.10055028,2.41576397,0.26731170,0.00000000,0.49562972,1.82977841,0.00320639,0.39605284
-3.09454727,2.46239801,0.27555291,0.00000000,0.50610609,1.85867738,0.00337020,0.40554946
-3.08854427,2.50987629,0.28477957,0.00000000,0.51937869,1.88710936,0.00355519,0.41497629
-3.08254127,2.55763125,0.29489488,0.00000000,0.53513730,1.91479895,0.00375847,0.42418332
-3.07653827,2.60511678,0.30579479,0.00000000,0.55305541,1.94149679,0.00397695,0.43302749
-3.07053527,2.65181400,0.31736978,0.00000000,0.57279741,1.96698048,0.00420739,0.44137461
-3.06453227,2.69723528,0.32950628,0.00000000,0.59402516,1.99105389,0.00444640,0.44910106
-3.05852926,2.74092671,0.34208800,0.00000000,0.61640400,2.01354539,0.00469059,0.45609548
-3.05252626,2.78246945,0.35499689,0.00000000,0.63960806,2.03430510,0.00493653,0.46226033
-3.04652326,2.82148028,0.36811404,0.00000000,0.66332492,2.05320179,0.00518086,0.46751344
-3.04052026,2.85761175,0.38132037,0.00000000,0.68725960,2.07011964,0.00542037,0.47178947
-3.03451726,2.89055223,0.39449721,0.00000000,0.71113783,2.08495523,0.00565199,0.47504126
-3.02851426,2.92002613,0.40752685,0.00000000,0.73470866,2.09761512,0.00587290,0.47724108
-3.02251126,2.94579453,0.42029302,0.00000000,0.75774636,2.10801415,0.00608056,0.47838170
-3.01650825,2.96765630,0.43268144,0.00000000,0.78005181,2.11607480,0.00627277,0.47847722
-3.01050525,2.98544989,0.44458047,0.00000000,0.80145317,2.12172747,0.00644768,0.47756362
-3.00450225,2.99905564,0.45588191,0.00000000,0.82180620,2.12491195,0.00660385,0.47569892
-2.99849925,3.00839877,0.46648192,0.00000000,0.84099406,2.12557990,0.00674027,0.47296293
-2.99249625,3.01345274,0.47628224,0.00000000,0.85892693,2.12369831,0.00685638,0.46945662
-2.98649325,3.01424298,0.48519164,0.00000000,0.87554138,2.11925370,0.00695206,0.46530083
-2.98049025,3.01085081,0.49312761,0.00000000,0.89079971,2.11225700,0.00702766,0.46063460
-2.97448724,3.00341726,0.50001830,0.00000000,0.90468936,2.10274878,0.00708396,0.45561290
-2.96848424,2.99214663,0.50580476,0.00000000,0.91722240,2.09080458,0.00712217,0.45040381
-2.96248124,2.97730949,0.51044319,0.00000000,0.92843528,2.07654008,0.00714393,0.44518529
-2.95647824,2.95924488,0.51390745,0.00000000,0.93838873,2.06011582,0.00715125,0.44014144
-2.95047524,2.93836138,0.51619141,0.00000000,0.94716784,2.04174108,0.00714646,0.43545842
-2.94447224,2.91513678,0.51731123,0.00000000,0.95488215,2.02167676,0.00713221,0.43132002
-2.93846923,2.89011608,0.51730733,0.00000000,0.96166577,2.00023685,0.00711140,0.42790317
-2.93246623,2.86390751,0.51624589,0.00000000,0.96767719,1.97778830,0.00708713,0.42537319
-2.92646323,2.83717645,0.51421980,0.00000000,0.97309864,1.95474909,0.00706263,0.42387926
-2.92046023,2.81063694,0.51134881,0.00000000,0.97813485,1.93158427,0.00704119,0.42354992
-2.91445723,2.78504097,0.50777887,0.00000000,0.98301094,1.90880004,0.00702611,0.42448903
-2.90845423,2.76116530,0.50368046,0.00000000,0.98796928,1.88693568,0.00702065,0.42677214
-2.90245123,2.73979626,0.49924594,0.00000000,0.99326529,1.86655363,0.00702788,0.43044339
-2.89644822,2.72171260,0.49468586,0.00000000,0.99916199,1.84822771,0.00705069,0.43551333
-2.89044522,2.70766700,0.49022426,0.00000000,1.00592348,1.83253006,0.00709165,0.44195745
-2.88444222,2.69836668,0.48609317,0.00000000,1.01380743,1.82001688,0.00715301,0.44971576
-2.87843922,2.69445383,0.48252626,0.00000000,1.02305672,1.81121374,0.00723657,0.45869336
-2.87243622,2.69648666,0.47975207,0.00000000,1.03389066,1.80660080,0.00734366,0.46876217
-2.86643322,2.70492174,0.47798687,0.00000000,1.04649600,1.80659871,0.00747512,0.47976364
-2.86043022,2.72009857,0.47742754,0.00000000,1.06101826,1.81155563,0.00763122,0.49151260
-2.85442721,2.74222705,0.47824468,0.00000000,1.07755376,1.82173611,0.00781169,0.50380205
-2.84842421,2.77137860,0.48057633,0.00000000,1.09614274,1.83731224,0.00801573,0.51640879
-2.84242121,2.80748142,0.48452243,0.00000000,1.11676408,1.85835760,0.00824198,0.52909967
-2.83641821,2.85032024,0.49014047,0.00000000,1.13933177,1.88484439,0.00848865,0.54163844
-2.83041521,2.89954082,0.49744228,0.00000000,1.16369358,1.91664376,0.00875348,0.55379269
-2.82441221,2.95465904,0.50639244,0.00000000,1.18963201,1.95352958,0.00903392,0.56534086
-2.81840920,3.01507432,0.51690803,0.00000000,1.21686751,1.99518538,0.00932711,0.57607889
-2.81240620,3.08008689,0.52886014,0.00000000,1.24506403,2.04121426,0.00963007,0.58582637
-2.80640320,3.14891808,0.54207675,0.00000000,1.27383668,2.09115120,0.00993972,0.59443176
-2.80040020,3.22073282,0.55634713,0.00000000,1.30276117,2.14447726,0.01025303,0.60177669
-2.79439720,3.29466323,0.57142750,0.00000000,1.33138474,2.20063498,0.01056710,0.60777893
-2.78839420,3.36983226,0.58704768,0.00000000,1.35923816,2.25904404,0.01087921,0.61239394
-2.78239120,3.44537614,0.60291863,0.00000000,1.38584831,2.31911659,0.01118691,0.61561503
-2.77638819,3.52046473,0.61874038,0.00000000,1.41075073,2.38027129,0.01148807,0.61747194
-2.77038519,3.59431861,0.63421031,0.00000000,1.43350193,2.44194546,0.01178087,0.61802799
-2.76438219,3.66622230,0.64903120,0.00000000,1.45369072,2.50360462,0.01206384,0.61737589
-2.75837919,3.73553298,0.66291900,0.00000000,1.47094828,2.56474905,0.01233576,0.61563230
-2.75237619,3.80168442,0.67560988,0.00000000,1.48495665,2.62491716,0.01259572,0.61293156
-2.74637319,3.86418614,0.68686642,0.00000000,1.49545533,2.68368552,0.01284294,0.60941864
