energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.34307568,0.03278139,0.11755811,1.73435406,0.74317093,0.01033647,1.16859936,0.67846100,0.20571474
-5.99399700,2.31651580,0.03277360,0.12097404,1.76378789,0.72809184,0.01015465,1.15264907,0.67270326,0.20059340
-5.98799400,2.29409898,0.03271280,0.12483161,1.79738497,0.71562315,0.00998073,1.13782677,0.66740296,0.19531187
-5.98199100,2.27622197,0.03261096,0.12914500,1.83507969,0.70597708,0.00981547,1.12425903,0.66250801,0.18994685
-5.97598799,2.26327205,0.03248043,0.13392533,1.87674146,0.69936071,0.00965941,1.11207243,0.65796525,0.18458138
-5.96998499,2.25563660,0.03233338,0.13918119,1.92217679,0.69598320,0.00951292,1.10139781,0.65372543,0.17930385
-5.96398199,2.25370879,0.03218132,0.14491918,1.97113087,0.69606128,0.00937622,1.09237257,0.64974720,0.17420672
-5.95797899,2.25788912,0.03203461,0.15114422,2.02328888,0.69982287,0.00924952,1.08514093,0.64599964,0.16938493
-5.95197599,2.26858267,0.03190201,0.15785985,2.07827723,0.70750809,0.00913300,1.07985230,0.64246363,0.16493408
-5.94597299,2.28619213,0.03179034,0.16506815,2.13566515,0.71936790,0.00902690,1.07665793,0.63913197,0.16094845
-5.93996998,2.31110711,0.03170423,0.17276958,2.19496682,0.73565998,0.00893153,1.07570608,0.63600853,0.15751893
-5.93396698,2.34369024,0.03164593,0.18096249,2.25564458,0.75664211,0.00884731,1.07713622,0.63310655,0.15473095
-5.92796398,2.38426085,0.03161535,0.18964246,2.31711335,0.78256326,0.00877477,1.08107249,0.63044630,0.15266239
-5.92196098,2.43307689,0.03161004,0.19880132,2.37874640,0.81365259,0.00871457,1.08761706,0.62805252,0.15138172
-5.91595798,2.49031610,0.03162549,0.20842610,2.43988269,0.85010691,0.00866745,1.09684346,0.62595156,0.15094621
-5.90995498,2.55605722,0.03165530,0.21849774,2.49983561,0.89207710,0.00863431,1.10879059,0.62416869,0.15140035
-5.90395198,2.63026193,0.03169162,0.22898973,2.55790299,0.93965390,0.00861608,1.12345730,0.62272557,0.15277458
-5.89794897,2.71275849,0.03172550,0.23986683,2.61337817,0.99285392,0.00861376,1.14079806,0.62163797,0.15508422
-5.89194597,2.80322774,0.03174735,0.25108380,2.66556182,1.05160637,0.00862837,1.16071965,0.62091392,0.15832864
-5.88594297,2.90119205,0.03174740,0.26258433,2.71377411,1.11574122,0.00866088,1.18307908,0.62055226,0.16249083
-5.87993997,3.00600799,0.03171605,0.27430038,2.75736693,1.18497945,0.00871216,1.20768272,0.62054151,0.16753711
-5.87393697,3.11686312,0.03164433,0.28615179,2.79573580,1.25892604,0.00878292,1.23428660,0.62085919,0.17341729
-5.86793397,3.23277756,0.03152416,0.29804652,2.82833122,1.33706620,0.00887366,1.26259803,0.62147146,0.18006504
-5.86193097,3.35261060,0.03134864,0.30988148,2.85466916,1.41876539,0.00898455,1.29227838,0.62233313,0.18739864
-5.85592796,3.47507278,0.03111223,0.32154397,2.87434069,1.50327355,0.00911538,1.32294704,0.62338794,0.19532200
-5.84992496,3.59874356,0.03081083,0.33291388,2.88702050,1.58973364,0.00926550,1.35418660,0.62456927,0.20372607
-5.84392196,3.72209467,0.03044181,0.34386656,2.89247446,1.67719469,0.00943373,1.38554918,0.62580108,0.21249059
-5.83791896,3.84351886,0.03000400,0.35427638,2.89056605,1.76462926,0.00961830,1.41656395,0.62699934,0.22148618
-5.83191596,3.96136379,0.02949759,0.36402081,2.88126181,1.85095497,0.00981684,1.44674567,0.62807375,0.23057674
-5.82591296,4.07397035,0.02892401,0.37298497,2.86463580,1.93505956,0.01002634,1.47560437,0.62892994,0.23962216
-5.81990995,4.17971445,0.02828576,0.38106642,2.84087298,2.01582899,0.01024316,1.50265580,0.62947201,0.24848131
-5.81390695,4.27705115,0.02758628,0.38818004,2.81027142,2.09217743,0.01046306,1.52743262,0.62960548,0.25701524
-5.80790395,4.36455976,0.02682975,0.39426269,2.77324331,2.16307832,0.01068130,1.54949603,0.62924055,0.26509042
-5.80190095,4.44098818,0.02602097,0.39927752,2.73031437,2.22759530,0.01089268,1.56844742,0.62829551,0.27258210
