energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,6.44184130,0.00129680,2.42962401,3.39332378,3.12512650,0.52476694,0.00000000
-5.99399700,6.44135599,0.00130345,2.43449505,3.41603720,3.12255516,0.52021116,0.00000000
-5.98799400,6.43853741,0.00130990,2.43854561,3.44190323,3.11770474,0.51575190,0.00000000
-5.98199100,6.43382069,0.00131717,2.44191319,3.47127771,3.11074412,0.51146069,0.00000000
-5.97598799,6.42747968,0.00132657,2.44466628,3.50431750,3.10179376,0.50739638,0.00000000
-5.96998499,6.41961213,0.00133961,2.44679857,3.54096484,3.09092045,0.50360410,0.00000000
-5.96398199,6.41013131,0.00135805,2.44822593,3.58093899,3.07813402,0.50011456,0.00000000
-5.95797899,6.39876401,0.00138384,2.44878604,3.62373521,3.06338605,0.49694390,0.00000000
-5.95197599,6.38505527,0.00141910,2.44824096,3.66863155,3.04657065,0.49409381,0.00000000
-5.94597299,6.36837978,0.00146608,2.44628257,3.71470315,3.02752741,0.49155200,0.00000000
-5.93996998,6.34795970,0.00152714,2.44254086,3.76084398,3.00604643,0.48929300,0.00000000
-5.93396698,6.32288861,0.00160468,2.43659485,3.80579531,2.98187548,0.48727918,0.00000000
-5.92796398,6.29216101,0.00170114,2.42798593,3.84818023,2.95472909,0.48546191,0.00000000
-5.92196098,6.25470646,0.00181889,2.41623322,3.88654310,2.92429939,0.48378307,0.00000000
-5.91595798,6.20942748,0.00196022,2.40085048,3.91939271,2.89026844,0.48217652,0.00000000
-5.90995498,6.15523995,0.00212723,2.38136405,3.94524789,2.85232169,0.48056986,0.00000000
-5.90395198,6.09111462,0.00232181,2.35733104,3.96268383,2.81016202,0.47888619,0.00000000
-5.89794897,6.01611834,0.00254550,2.32835738,3.97037776,2.76352401,0.47704598,0.00000000
-5.89194597,5.92945347,0.00279948,2.29411475,3.96715230,2.71218791,0.47496902,0.00000000
-5.88594297,5.83049400,0.00308443,2.25435584,3.95201502,2.65599256,0.47257636,0.00000000
-5.87993997,5.71881701,0.00340048,2.20892748,3.92419297,2.59484702,0.46979229,0.00000000
-5.87393697,5.59422837,0.00374714,2.15778077,3.88316087,2.52874027,0.46654632,0.00000000
-5.86793397,5.45678161,0.00412321,2.10097812,3.82866215,2.45774861,0.46277516,0.00000000
-5.86193097,5.30678931,0.00452675,2.03869674,3.76072219,2.38204053,0.45842459,0.00000000
-5.85592796,5.14482669,0.00495505,1.97122847,3.67965341,2.30187871,0.45345139,0.00000000
-5.84992496,4.97172737,0.00540458,1.89897602,3.58605212,2.21761932,0.44782509,0.00000000
-5.84392196,4.78857145,0.00587105,1.82244568,3.48078750,2.12970833,0.44152972,0.00000000
-5.83791896,4.59666655,0.00634944,1.74223694,3.36498311,2.03867534,0.43456535,0.00000000
-5.83191596,4.39752260,0.00683406,1.65902932,3.23999173,1.94512488,0.42694949,0.00000000
-5.82591296,4.19282125,0.00731869,1.57356694,3.10736437,1.84972560,0.41871830,0.00000000
-5.81990995,3.98438109,0.00779667,1.48664146,2.96881473,1.75319788,0.40992745,0.00000000
-5.81390695,3.77411974,0.00826112,1.39907393,2.82617992,1.65629992,0.40065268,0.00000000
-5.80790395,3.56401409,0.00870508,1.31169616,2.68137895,1.55981305,0.39098988,0.00000000
-5.80190095,3.35605961,0.00912175,1.22533226,2.53636985,1.46452654,0.38105474,0.00000000
-5.79589795,3.15222999,0.00950470,1.14078081,2.39310680,1.37122223,0.37098173,0.00000000
-5.78989495,2.95443781,0.00984803,1.05879815,2.25349805,1.28065950,0.36092249,0.00000000
-5.78389195,2.76449729,0.01014666,0.98008333,2.11936571,1.19356070,0.35104348,0.00000000
-5.77788894,2.58408952,0.01039641,0.90526479,1.99240820,1.11059758,0.34152298,0.00000000
-5.77188594,2.41473110,0.01059423,0.83488931,1.87416603,1.03237869,0.33254726,0.00000000
-5.76588294,2.25774630,0.01073825,0.76941317,1.76599153,0.95943828,0.32430621,0.00000000
-5.75987994,2.11424356,0.01082786,0.70919582,1.66902311,0.89222660,0.31698828,0.00000000
-5.75387694,1.98509640,0.01086374,0.65449590,1.58416435,0.83110203,0.31077501,0.00000000
-5.74787394,1.87092923,0.01084778,0.60546984,1.51206852,0.77632512,0.30583522,0.00000000
-5.74187094,1.77210837,0.01078304,0.56217278,1.45312856,0.72805459,0.30231922,0.00000000
-5.73586793,1.68873858,0.01067356,0.52456182,1.40747305,0.68634566,0.30035308,0.00000000
-5.72986493,1.62066527,0.01052422,0.49250154,1.37496816,0.65115066,0.30003335,0.00000000
-5.72386193,1.56748279,0.01034053,0.46577148,1.35522584,0.62232206,0.30142257,0.00000000
-5.71785893,1.52854870,0.01012838,0.44407551,1.34761816,0.59961793,0.30454568,0.00000000
-5.71185593,1.50300418,0.00989384,0.42705287,1.35129781,0.58271000,0.30938773,0.00000000
-5.70585293,1.48980048,0.00964292,0.41429053,1.36522437,0.57119400,0.31589305,0.00000000
-5.69984992,1.48773082,0.00938134,0.40533673,1.38819605,0.56460237,0.32396611,0.00000000
-5.69384692,1.49546759,0.00911438,0.39971522,1.41888626,0.56241893,0.33347407,0.00000000
-5.68784392,1.51160371,0.00884673,0.39693990,1.45588405,0.56409541,0.34425119,0.00000000
-5.68184092,1.53469734,0.00858236,0.39652956,1.49773759,0.56906915,0.35610495,0.00000000
-5.67583792,1.56331868,0.00832450,0.39802205,1.54299923,0.57678177,0.36882377,0.00000000
-5.66983492,1.59609734,0.00807563,0.40098777,1.59027092,0.58669799,0.38218605,0.00000000
-5.66383192,1.63176879,0.00783750,0.40504177,1.63824837,0.59832418,0.39597028,0.00000000
-5.65782891,1.66921806,0.00761125,0.40985419,1.68576235,0.61122577,0.40996573,0.00000000
-5.65182591,1.70751916,0.00739748,0.41515872,1.73181571,0.62504307,0.42398332,0.00000000
-5.64582291,1.74596848,0.00719643,0.42075861,1.77561439,0.63950466,0.43786621,0.00000000
-5.63981991,1.78411061,0.00700815,0.42653014,1.81659137,0.65443784,0.45149949,0.00000000
-5.63381691,1.82175548,0.00683260,0.43242330,1.85442238,0.66977565,0.46481857,0.00000000
-5.62781391,1.85898577,0.00666986,0.43845979,1.88903259,0.68556001,0.47781577,0.00000000
-5.62181091,1.89615406,0.00652024,0.44472825,1.92059405,0.70194079,0.49054473,0.00000000
-5.61580790,1.93386950,0.00638439,0.45137697,1.94951377,0.71917065,0.50312233,0.00000000
-5.60980490,1.97297438,0.00626339,0.45860445,1.97641305,0.73759581,0.51572789,0.00000000
-5.60380190,2.01451129,0.00615878,0.46664806,2.00209875,0.75764292,0.52859955,0.00000000
-5.59779890,2.05968204,0.00607251,0.47577149,2.02752786,0.77980254,0.54202800,0.00000000
-5.59179590,2.10979977,0.00600700,0.48625118,2.05376685,0.80460967,0.55634750,0.00000000
-5.58579290,2.16623624,0.00596493,0.49836273,2.08194750,0.83262224,0.57192463,0.00000000
-5.57978989,2.23036615,0.00594922,0.51236745,2.11322122,0.86439813,0.58914518,0.00000000
-5.57378689,2.30351079,0.00596284,0.52849989,2.14871375,0.90047174,0.60839952,0.00000000
-5.56778389,2.38688313,0.00600863,0.54695674,2.18948206,0.94133092,0.63006716,0.00000000
-5.56178089,2.48153640,0.00608916,0.56788746,2.23647527,0.98739516,0.65450101,0.00000000
-5.55577789,2.58831813,0.00620653,0.59138713,2.29050102,1.03899581,0.68201197,0.00000000
-5.54977489,2.70783130,0.00636219,0.61749162,2.35219844,1.09635905,0.71285449,0.00000000
-5.54377189,2.84040371,0.00655683,0.64617518,2.42201863,1.15959225,0.74721368,0.00000000
-5.53776888,2.98606674,0.00679017,0.67735052,2.50021285,1.22867404,0.78519439,0.00000000
-5.53176588,3.14454380,0.00706095,0.71087116,2.58682868,1.30344848,0.82681280,0.00000000
-5.52576288,3.31524852,0.00736684,0.74653580,2.68171353,1.38362338,0.87199084,0.00000000
-5.51975988,3.49729252,0.00770439,0.78409446,2.78452495,1.46877262,0.92055358,0.00000000
