energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,8.61297248,0.02054114,1.02163845,0.33370398,6.83176535,4.29700757,0.06594200,2.22962813
-5.99399700,8.62097020,0.02065040,1.02819423,0.33124412,6.89963424,4.30085862,0.06730871,2.22035563
-5.98799400,8.64557887,0.02071497,1.03966209,0.32768015,6.97773904,4.31680349,0.06875802,2.21060326
-5.98199100,8.68569224,0.02073116,1.05563630,0.32306968,7.06622842,4.34396768,0.07027633,2.20039999
-5.97598799,8.74003728,0.02069675,1.07564427,0.31749143,7.16505068,4.38139771,0.07184748,2.18978165
-5.96998499,8.80720413,0.02061092,1.09916120,0.31104208,7.27395230,4.42808814,0.07345307,2.17878497
-5.96398199,8.88567816,0.02047416,1.12562537,0.30383271,7.39248347,4.48300776,0.07507286,2.16744210
-5.95797899,8.97387441,0.02028809,1.15445366,0.29598491,7.52001103,4.54512475,0.07668536,2.15577631
-5.95197599,9.07017381,0.02005528,1.18505677,0.28762690,7.65573855,4.61343004,0.07826831,2.14379921
-5.94597299,9.17296034,0.01977912,1.21685374,0.27888961,7.79873278,4.68695841,0.07979936,2.13150992
-5.93996998,9.28065772,0.01946359,1.24928517,0.26990302,7.94795512,4.76480631,0.08125671,2.11889604
-5.93396698,9.39176406,0.01911314,1.28182470,0.26079284,8.10229612,4.84614575,0.08261969,2.10593649
-5.92796398,9.50488235,0.01873255,1.31398848,0.25167756,8.26061069,4.93023337,0.08386938,2.09260580
-5.92196098,9.61874488,0.01832678,1.34534207,0.24266607,8.42175154,5.01641388,0.08498911,2.07887952
-5.91595798,9.73222968,0.01790095,1.37550481,0.23385573,8.58459830,5.10411755,0.08596486,2.06474005
-5.90995498,9.84436749,0.01746021,1.40415131,0.22533106,8.74807983,5.19285127,0.08678560,2.05018249
-5.90395198,9.95433824,0.01700974,1.43101033,0.21716296,8.91118812,5.28218362,0.08744343,2.03521972
-5.89794897,10.06145676,0.01655473,1.45586107,0.20940843,9.07298213,5.37172422,0.08793367,2.01988644
-5.89194597,10.16514835,0.01610034,1.47852729,0.20211088,9.23258143,5.46109866,0.08825479,2.00424145
-5.88594297,10.26491537,0.01565170,1.49886975,0.19530075,9.38914970,5.54992022,0.08840821,1.98836817
-5.87993997,10.36029727,0.01521391,1.51677741,0.18899667,9.54186966,5.63776037,0.08839809,1.97237311
-5.87393697,10.45082666,0.01479201,1.53215814,0.18320677,9.68991126,5.72412002,0.08823093,1.95638247
-5.86793397,10.53598503,0.01439097,1.54492966,0.17793039,9.83239609,5.80840385,0.08791525,1.94053697
-5.86193097,10.61516150,0.01401560,1.55501116,0.17315981,9.96836132,5.88989988,0.08746117,1.92498541
-5.85592796,10.68761849,0.01367057,1.56231644,0.16888218,10.09672662,5.96776629,0.08688005,1.90987729
-5.84992496,10.75246737,0.01336026,1.56674897,0.16508133,10.21626774,6.04102742,0.08618414,1.89535518
-5.84392196,10.80865706,0.01308874,1.56819918,0.16173957,10.32559986,6.10857985,0.08538625,1.88154726
-5.83791896,10.85497742,0.01285966,1.56654436,0.15883928,10.42317340,6.16920953,0.08449955,1.86856061
-5.83191596,10.89007842,0.01267615,1.56165106,0.15636424,10.50728416,6.22161958,0.08353737,1.85647572
-5.82591296,10.91250490,0.01254076,1.55337990,0.15430074,10.57609852,6.26446825,0.08251304,1.84534257
-5.81990995,10.92074564,0.01245538,1.54159249,0.15263822,10.62769354,6.29641526,0.08143984,1.83517843
-5.81390695,10.91329448,0.01242114,1.52615995,0.15136962,10.66011063,6.31617468,0.08033095,1.82596760
-5.80790395,10.88871994,0.01243839,1.50697258,0.15049129,10.67142031,6.32257138,0.07919939,1.81766289
-5.80190095,10.84573964,0.01250666,1.48394977,0.15000252,10.65979499,6.31459824,0.07805798,1.81018881
-5.79589795,10.78329478,0.01262463,1.45704986,0.14990468,10.62358569,6.29147080,0.07691931,1.80344609
-5.78989495,10.70062032,0.01279019,1.42627882,0.15020012,10.56139860,6.25267617,0.07579562,1.79731715
-5.78389195,10.59730621,0.01300043,1.39169762,0.15089076,10.47216696,6.19801330,0.07469870,1.79167229
-5.77788894,10.47334593,0.01325170,1.35342739,0.15197651,10.35521419,6.12762191,0.07363968,1.78637601
-5.77188594,10.32916890,0.01353972,1.31165226,0.15345369,10.21030454,6.04199831,0.07262887,1.78129322
-5.76588294,10.16565474,0.01385967,1.26661958,0.15531344,10.03767831,5.94199663,0.07167545,1.77629491
-5.75987994,9.98412790,0.01420628,1.21863737,0.15754024,9.83806962,5.82881516,0.07078727,1.77126311
-5.75387694,9.78633285,0.01457397,1.16806929,0.16011067,9.61270562,5.70396804,0.06997053,1.76609490
-5.74787394,9.57439076,0.01495700,1.11532724,0.16299251,9.36328729,5.56924342,0.06922959,1.76070536
-5.74187094,9.35073979,0.01534956,1.06086197,0.16614419,9.09195268,5.42664995,0.06856672,1.75502952
-5.73586793,9.11806192,0.01574593,1.00515227,0.16951462,8.80122470,5.27835407,0.06798197,1.74902314
-5.72986493,8.87920001,0.01614060,0.94869317,0.17304355,8.49394612,5.12661082,0.06747310,1.74266272
-5.72386193,8.63706904,0.01652838,0.89198378,0.17666230,8.17320491,4.97369158,0.06703557,1.73594453
-5.71785893,8.39456579,0.01690447,0.83551528,0.18029494,7.84225379,4.82181178,0.06666268,1.72888301
-5.71185593,8.15448100,0.01726458,0.77975959,0.18385990,7.50442727,4.67306180,0.06634573,1.72150857
