energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,4.83025772,0.77905187,0.51687691,0.02011772,0.76104147,4.28599201,1.81632518,0.03156906,1.47755529
-5.99399700,4.79554121,0.78226312,0.51309624,0.02006695,0.75559415,4.26857816,1.79767900,0.03079251,1.46899188
-5.98799400,4.74467171,0.78284462,0.50704619,0.01991016,0.74774339,4.23838660,1.77314591,0.02989951,1.45515515
-5.98199100,4.67972465,0.78106417,0.49894334,0.01965148,0.73774433,4.19719042,1.74353699,0.02890814,1.43672136
-5.97598799,4.60299563,0.77722943,0.48903941,0.01929672,0.72588272,4.14693285,1.70974117,0.02783760,1.41443970
-5.96998499,4.51692123,0.77167570,0.47761242,0.01885322,0.71246559,4.08965876,1.67269584,0.02670767,1.38910533
-5.96398199,4.42399502,0.76475266,0.46495698,0.01832963,0.69781122,4.02744236,1.63335583,0.02553811,1.36153110
-5.95797899,4.32668222,0.75681072,0.45137430,0.01773565,0.68223870,3.96231422,1.59266193,0.02434810,1.33251901
-5.95197599,4.22733649,0.74818739,0.43716214,0.01708175,0.66605775,3.89619024,1.55151022,0.02315576,1.30283262
-5.94597299,4.12812219,0.73919433,0.42260536,0.01637887,0.64955897,3.83080557,1.51072335,0.02197765,1.27317141
-5.93996998,4.03094528,0.73010572,0.40796724,0.01563815,0.63300509,3.76765616,1.47102513,0.02082842,1.24414823
-5.93396698,3.93739570,0.72114826,0.39348202,0.01487059,0.61662351,3.70795021,1.43301930,0.01972051,1.21627065
-5.92796398,3.84870365,0.71249347,0.37934900,0.01408686,0.60060058,3.65257169,1.39717339,0.01866392,1.18992702
-5.92196098,3.76571132,0.70425247,0.36572831,0.01329699,0.58507757,3.60205719,1.36380842,0.01766617,1.16537771
-5.91595798,3.68886143,0.69647361,0.35273858,0.01251019,0.57014886,3.55658727,1.33309461,0.01673225,1.14275184
-5.90995498,3.61820265,0.68914299,0.34045647,0.01173471,0.55586204,3.51599252,1.30505347,0.01586471,1.12204960
-5.90395198,3.55341173,0.68218782,0.32891815,0.01097768,0.54222020,3.47977415,1.27956602,0.01506386,1.10315000
-5.89794897,3.49383108,0.67548259,0.31812246,0.01024507,0.52918604,3.44713819,1.25638672,0.01432802,1.08582355
-5.89194597,3.43852014,0.66885766,0.30803568,0.00954168,0.51668780,3.41704191,1.23516251,0.01365378,1.06974938
-5.88594297,3.38631805,0.66210987,0.29859753,0.00887114,0.50462655,3.38825048,1.21545610,0.01303641,1.05453586
-5.87993997,3.33591484,0.65501477,0.28972819,0.00823597,0.49288459,3.35940151,1.19677245,0.01247018,1.03974390
-5.87393697,3.28592795,0.64733976,0.28133587,0.00763772,0.48133458,3.32907469,1.17858724,0.01194878,1.02491174
-5.86793397,3.23498062,0.63885765,0.27332471,0.00707706,0.46984893,3.29586376,1.16037618,0.01146570,1.00958022
-5.86193097,3.18177882,0.62935992,0.26560248,0.00655393,0.45830904,3.25844757,1.14164376,0.01101456,0.99331740
-5.85592796,3.12518327,0.61866909,0.25808787,0.00606772,0.44661406,3.21565746,1.12195034,0.01058942,0.97574140
-5.84992496,3.06427368,0.60664968,0.25071697,0.00561741,0.43468865,3.16653805,1.10093639,0.01018512,0.95654062
-5.84392196,2.99840233,0.59321722,0.24344866,0.00520172,0.42248956,3.11039896,1.07834287,0.00979742,0.93549043
-5.83791896,2.92723517,0.57834494,0.23626881,0.00481927,0.41001062,3.04685542,1.05402694,0.00942321,0.91246574
-5.83191596,2.85077859,0.56206787,0.22919300,0.00446867,0.39728606,2.97585617,1.02797255,0.00906060,0.88744898
-5.82591296,2.76939121,0.54448420,0.22226773,0.00414865,0.38439194,2.89769755,1.00029526,0.00870893,0.86053330
