energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.86793397,3.59602774,0.00490398,0.19079669,0.77866904,2.65941208,0.65007254,0.00000000,0.68829660,0.05031404
-5.86193097,3.68997660,0.00523953,0.19030665,0.78539263,2.74231239,0.66830732,0.00000000,0.69943847,0.05146073
-5.85592796,3.78605675,0.00559353,0.18987688,0.79598386,2.82531771,0.68784634,0.00000000,0.71173749,0.05265929
-5.84992496,3.88175294,0.00596304,0.18938800,0.80980412,2.90647696,0.70829363,0.00000000,0.72475739,0.05387566
-5.84392196,3.97452642,0.00634467,0.18872842,0.82621140,2.98381631,0.72923606,0.00000000,0.73807062,0.05507606
-5.83791896,4.06189776,0.00673457,0.18779843,0.84457610,3.05540365,0.75025650,0.00000000,0.75127163,0.05622813
-5.83191596,4.14152734,0.00712852,0.18651397,0.86429538,3.11941212,0.77094665,0.00000000,0.76398875,0.05730200
-5.82591296,4.21129030,0.00752197,0.18480969,0.88480549,3.17418001,0.79091938,0.00000000,0.77589424,0.05827120
-5.81990995,4.26934271,0.00791011,0.18264141,0.90559215,3.21826461,0.80981989,0.00000000,0.78671225,0.05911346
-5.81390695,4.31417648,0.00828799,0.17998762,0.92619829,3.25048767,0.82733523,0.00000000,0.79622435,0.05981130
-5.80790395,4.34466077,0.00865059,0.17685014,0.94622949,3.26997068,0.84320203,0.00000000,0.80427255,0.06035244
-5.80190095,4.36006822,0.00899295,0.17325376,0.96535667,3.27615844,0.85721198,0.00000000,0.81075974,0.06072996
-5.79589795,4.36008538,0.00931023,0.16924493,0.98331637,3.26883021,0.86921490,0.00000000,0.81564762,0.06094229
-5.78989495,4.34480691,0.00959790,0.16488957,0.99990862,3.24809804,0.87911946,0.00000000,0.81895236,0.06099293
-5.78389195,4.31471443,0.00985178,0.16027004,1.01499265,3.21439264,0.88689147,0.00000000,0.82073819,0.06088998
-5.77788894,4.27064119,0.01006816,0.15548147,1.02848078,3.16843776,0.89254989,0.00000000,0.82110931,0.06064557
