energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.67057238,0.21292468,1.23486690,0.00583247,0.13347764,0.01071752,0.83419081
-5.99399700,2.73764848,0.22453583,1.27010893,0.00600255,0.13587630,0.01100029,0.85586011
-5.98799400,2.81172504,0.23766947,1.30812200,0.00617134,0.13868633,0.01131852,0.87968877
-5.98199100,2.89317831,0.25232431,1.34909936,0.00633702,0.14193575,0.01167460,0.90577145
-5.97598799,2.98218922,0.26845896,1.39315495,0.00649775,0.14564438,0.01207076,0.93413525
-5.96998499,3.07871223,0.28598905,1.44030681,0.00665165,0.14982229,0.01250897,0.96473039
-5.96398199,3.18244848,0.30478545,1.49046240,0.00679688,0.15446838,0.01299085,0.99742257
-5.95797899,3.29282527,0.32467380,1.54340650,0.00693174,0.15956901,0.01351758,1.03198768
-5.95197599,3.40898334,0.34543538,1.59879286,0.00705467,0.16509701,0.01408974,1.06810931
-5.94597299,3.52977375,0.36680970,1.65614029,0.00716432,0.17101099,0.01470718,1.10537949
-5.93996998,3.65376524,0.38849848,1.71483383,0.00725960,0.17725511,0.01536891,1.14330305
-5.93396698,3.77926304,0.41017139,1.77413158,0.00733968,0.18375927,0.01607295,1.18130560
-5.92796398,3.90433930,0.43147320,1.83317721,0.00740405,0.19043991,0.01681619,1.21874522
-5.92196098,4.02687475,0.45203227,1.89101818,0.00745249,0.19720133,0.01759435,1.25492767
-5.91595798,4.14461079,0.47147015,1.94662917,0.00748510,0.20393758,0.01840189,1.28912463
-5.90995498,4.25521031,0.48941203,1.99894015,0.00750224,0.21053481,0.01923197,1.32059443
-5.90395198,4.35632528,0.50549760,2.04686795,0.00750456,0.21687412,0.02007651,1.34860458
-5.89794897,4.44566859,0.51939195,2.08935021,0.00749292,0.22283475,0.02092622,1.37245508
-5.89194597,4.52108726,0.53079613,2.12538029,0.00746836,0.22829747,0.02177075,1.39150173
-5.88594297,4.58063383,0.53945685,2.15404171,0.00743207,0.23314813,0.02259888,1.40517826
-5.87993997,4.62263307,0.54517504,2.17454045,0.00738534,0.23728117,0.02339872,1.41301640
-5.87393697,4.64574086,0.54781269,2.18623382,0.00732951,0.24060293,0.02415802,1.41466292
