energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
0.89744872,2.21040709,0.01237917,0.13083783,0.31773225,1.20258656,0.23202620,0.41218429,0.08635713,0.29409678
0.90345173,2.17489168,0.01295869,0.13149876,0.31992874,1.17660851,0.22821285,0.41234162,0.08481296,0.28434500
0.90945473,2.14494200,0.01361862,0.13226238,0.32377276,1.15328826,0.22505524,0.41426068,0.08336252,0.27508756
0.91545773,2.12041342,0.01435909,0.13308977,0.32920476,1.13249431,0.22262544,0.41791380,0.08199944,0.26643850
0.92146073,2.10095859,0.01517804,0.13393647,0.33612022,1.11398649,0.22096764,0.42322560,0.08071210,0.25848531
0.92746373,2.08604375,0.01607103,0.13475358,0.34437216,1.09742965,0.22009786,0.43007399,0.07948424,0.25128702
0.93346673,2.07497280,0.01703117,0.13548914,0.35377491,1.08241131,0.22000470,0.43829295,0.07829582,0.24487342
0.93946973,2.06691803,0.01804908,0.13608969,0.36410931,1.06846270,0.22065144,0.44767695,0.07712414,0.23924551
0.94547274,2.06095649,0.01911301,0.13650204,0.37512894,1.05508204,0.22197916,0.45798715,0.07594500,0.23437702
0.95147574,2.05611045,0.02020909,0.13667513,0.38656736,1.04175921,0.22391087,0.46895900,0.07473408,0.23021698
0.95747874,2.05139011,0.02132164,0.13656197,0.39814600,1.02800061,0.22635637,0.48031101,0.07346829,0.22669325
0.96348174,2.04583693,0.02243356,0.13612156,0.40958248,1.01335309,0.22921767,0.49175442,0.07212707,0.22371669
0.96948474,2.03856536,0.02352690,0.13532066,0.42059912,0.99742578,0.23239463,0.50300332,0.07069365,0.22118593
0.97548774,2.02880134,0.02458343,0.13413539,0.43093124,0.97990901,0.23579066,0.51378482,0.06915611,0.21899242
0.98149075,2.01591568,0.02558521,0.13255253,0.44033502,0.96058922,0.23931811,0.52384877,0.06750819,0.21702550
0.98749375,1.99945102,0.02651531,0.13057047,0.44859467,0.93935943,0.24290312,0.53297664,0.06574991,0.21517739
0.99349675,1.97914093,0.02735835,0.12819981,0.45552860,0.91622479,0.24648962,0.54098909,0.06388777,0.21334777
0.99949975,1.95492071,0.02810113,0.12546339,0.46099438,0.89130300,0.25004243,0.54775195,0.06193476,0.21144783
1.00550275,1.92692916,0.02873308,0.12239597,0.46489241,0.86481976,0.25354910,0.55318016,0.05991001,0.20940366
1.01150575,1.89550161,0.02924665,0.11904341,0.46716804,0.83709961,0.25702051,0.55723958,0.05783807,0.20715881
1.01750875,1.86115457,0.02963763,0.11546133,0.46781220,0.80855259,0.26049017,0.55994656,0.05574806,0.20467602
1.02351176,1.82456276,0.02990517,0.11171350,0.46686045,0.77965756,0.26401227,0.56136515,0.05367249,0.20193807
1.02951476,1.78652991,0.03005181,0.10786983,0.46439057,0.75094310,0.26765845,0.56160224,0.05164598,0.19894778
1.03551776,1.74795446,0.03008330,0.10400411,0.46051875,0.72296669,0.27151372,0.56080065,0.04970382,0.19572718
1.04152076,1.70979217,0.03000823,0.10019166,0.45539460,0.69629349,0.27567141,0.55913071,0.04788055,0.19231601
1.04752376,1.67301700,0.02983761,0.09650688,0.44919508,0.67147534,0.28022778,0.55678058,0.04620852,0.18876960
1.05352676,1.63858234,0.02958430,0.09302093,0.44211780,0.64903119,0.28527630,0.55394592,0.04471661,0.18515626
1.05952976,1.60738420,0.02926237,0.08979951,0.43437371,0.62942946,0.29090210,0.55081932,0.04342903,0.18155444
1.06553277,1.58022783,0.02888645,0.08690099,0.42617974,0.61307321,0.29717692,0.54758009,0.04236440,0.17804959
1.07153577,1.55779929,0.02847102,0.08437479,0.41775146,0.60028847,0.30415470,0.54438502,0.04153497,0.17473108
1.07753877,1.54064308,0.02802976,0.08226024,0.40929623,0.59131608,0.31186825,0.54136047,0.04094626,0.17168918
1.08354177,1.52914642,0.02757500,0.08058590,0.40100695,0.58630724,0.32032714,0.53859621,0.04059687,0.16901221
1.08954477,1.52353089,0.02711718,0.07936922,0.39305680,0.58532260,0.32951688,0.53614145,0.04047865,0.16678399
1.09554777,1.52385135,0.02666446,0.07861685,0.38559500,0.58833495,0.33939952,0.53400317,0.04057711,0.16508170
1.10155078,1.53000200,0.02622253,0.07832520,0.37874386,0.59523484,0.34991556,0.53214680,0.04087215,0.16397397
1.10755378,1.54172888,0.02579442,0.07848149,0.37259708,0.60583901,0.36098709,0.53049932,0.04133899,0.16351954
1.11355678,1.55864813,0.02538059,0.07906507,0.36721936,0.61990093,0.37252187,0.52895444,0.04194928,0.16376613
1.11955978,1.58026871,0.02497908,0.08004900,0.36264727,0.63712287,0.38441821,0.52737971,0.04267240,0.16474977
1.12556278,1.60601847,0.02458579,0.08140172,0.35889120,0.65716894,0.39657008,0.52562498,0.04347681,0.16649433
1.13156578,1.63527204,0.02419485,0.08308885,0.35593833,0.67967836,0.40887234,0.52353195,0.04433145,0.16901141
1.13756878,1.66737919,0.02379913,0.08507485,0.35375626,0.70427853,0.42122562,0.52094406,0.04520714,0.17230026
1.14357179,1.70169223,0.02339070,0.08732467,0.35229721,0.73059719,0.43354039,0.51771632,0.04607787,0.17634797
1.14957479,1.73759120,0.02296140,0.08980512,0.35150245,0.75827326,0.44574023,0.51372451,0.04692195,0.18112967
1.15557779,1.77450571,0.02250332,0.09248603,0.35130669,0.78696600,0.45776379,0.50887327,0.04772307,0.18660883
1.16158079,1.81193257,0.02200934,0.09534110,0.35164224,0.81636215,0.46956543,0.50310263,0.04847103,0.19273762
1.16758379,1.84944861,0.02147352,0.09834847,0.35244277,0.84618094,0.48111461,0.49639276,0.04916228,0.19945730
1.17358679,1.88671830,0.02089145,0.10149091,0.35364633,0.87617685,0.49239396,0.48876672,0.04980021,0.20669875
1.17958979,1.92349628,0.02026057,0.10475580,0.35519774,0.90614033,0.50339623,0.48029095,0.05039514,0.21438308
1.18559280,1.95962497,0.01958029,0.10813474,0.35705011,0.93589642,0.51412053,0.47107392,0.05096399,0.22242248
1.19159580,1.99502782,0.01885212,0.11162303,0.35916549,0.96530187,0.52456798,0.46126261,0.05152980,0.23072120
1.19759880,2.02969902,0.01807964,0.11521889,0.36151485,0.99424082,0.53473732,0.45103750,0.05212084,0.23917691
1.20360180,2.06369044,0.01726839,0.11892266,0.36407727,1.02261968,0.54462081,0.44060610,0.05276968,0.24768233
1.20960480,2.09709708,0.01642577,0.12273581,0.36683862,1.05036145,0.55420076,0.43019547,0.05351195,0.25612714
1.21560780,2.13004178,0.01556078,0.12666011,0.36978984,1.07740025,0.56344710,0.42004420,0.05438505,0.26440029
1.22161081,2.16266043,0.01468375,0.13069675,0.37292497,1.10367612,0.57231618,0.41039416,0.05542673,0.27239260
