energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,5.78528601,0.01949496,1.56787189,1.85214441,0.00000000,4.72294343,1.52004374
-5.99399700,5.83530730,0.01984151,1.58033015,1.86348145,0.00000000,4.80264723,1.53725994
-5.98799400,5.88409595,0.02022791,1.59200323,1.87342609,0.00000000,4.88250190,1.55390907
-5.98199100,5.92923938,0.02064788,1.60210826,1.88151655,0.00000000,4.95970625,1.56926409
-5.97598799,5.96823742,0.02109287,1.60989211,1.88723252,0.00000000,5.03138450,1.58260841
-5.96998499,5.99856374,0.02155229,1.61464633,1.89001331,0.00000000,5.09466125,1.59324834
-5.96398199,6.01773193,0.02201372,1.61572114,1.88927870,0.00000000,5.14673886,1.60052579
-5.95797899,6.02336448,0.02246332,1.61253861,1.88445174,0.00000000,5.18497518,1.60383133
-5.95197599,6.01326287,0.02288620,1.60460472,1.87498269,0.00000000,5.20695923,1.60261724
-5.94597299,5.98547650,0.02326701,1.59152006,1.86037314,0.00000000,5.21058250,1.59641052
-5.93996998,5.93836795,0.02359044,1.57298902,1.84019925,0.00000000,5.19410343,1.58482518
-5.93396698,5.87067202,0.02384186,1.54882719,1.81413313,0.00000000,5.15620260,1.56757356
-5.92796398,5.78154601,0.02400789,1.51896652,1.78196148,0.00000000,5.09602656,1.54447610
-5.92196098,5.67060895,0.02407691,1.48345815,1.74360050,0.00000000,5.01321827,1.51546897
-5.91595798,5.53796759,0.02403962,1.44247249,1.69910649,0.00000000,4.90793292,1.48060917
-5.90995498,5.38422771,0.02388942,1.39629647,1.64868153,0.00000000,4.78083804,1.44007655
-5.90395198,5.21048982,0.02362272,1.34532782,1.59267398,0.00000000,4.63309774,1.39417247
-5.89794897,5.01832879,0.02323913,1.29006633,1.53157378,0.00000000,4.46634141,1.34331499
-5.89194597,4.80975804,0.02274159,1.23110233,1.46600259,0.00000000,4.28261799,1.28803034
-5.88594297,4.58717934,0.02213623,1.16910260,1.39669940,0.00000000,4.08433741,1.22894116
-5.87993997,4.35332010,0.02143224,1.10479407,1.32450194,0.00000000,3.87420151,1.16675147
-5.87393697,4.11116053,0.02064159,1.03894587,1.25032504,0.00000000,3.65512712,1.10222921
-5.86793397,3.86385358,0.01977863,0.97235033,1.17513650,0.00000000,3.43016424,1.03618672
-5.86193097,3.61464086,0.01885959,0.90580351,1.09993182,0.00000000,3.20241257,0.96946003
-5.85592796,3.36676772,0.01790214,0.84008599,1.02570851,0.00000000,2.97493943,0.90288778
-5.84992496,3.12340089,0.01692476,0.77594458,0.95344124,0.00000000,2.75070211,0.83729045
-5.84392196,2.88755155,0.01594622,0.71407558,0.88405860,0.00000000,2.53247725,0.77345081
-5.83791896,2.66200661,0.01498505,0.65511008,0.81842228,0.00000000,2.32279947,0.71209627
-5.83191596,2.44927025,0.01405903,0.59960184,0.75730943,0.00000000,2.12391108,0.65388368
-5.82591296,2.25151749,0.01318471,0.54801792,0.70139849,0.00000000,1.93772377,0.59938713
-5.81990995,2.07056063,0.01237712,0.50073244,0.65125898,0.00000000,1.76579311,0.54908898
-5.81390695,1.90782913,0.01164936,0.45802336,0.60734521,0.00000000,1.60930562,0.50337439
-5.80790395,1.76436262,0.01101250,0.42007238,0.56999390,0.00000000,1.46907805,0.46252925
-5.80190095,1.64081646,0.01047537,0.38696761,0.53942553,0.00000000,1.34556794,0.42674142
-5.79589795,1.53747868,0.01004458,0.35870898,0.51574898,0.00000000,1.23889400,0.39610505
-5.78989495,1.45429690,0.00972453,0.33521580,0.49896915,0.00000000,1.14886506,0.37062757
-5.78389195,1.39091343,0.00951750,0.31633631,0.48899693,0.00000000,1.07501569,0.35023892
-5.77788894,1.34670695,0.00942384,0.30185872,0.48566106,0.00000000,1.01664685,0.33480257
