energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.19979917,0.13739395,0.00086953,0.00352762,0.76091573,0.60670591,0.49935680
-5.99399700,1.26379942,0.14442358,0.00090529,0.00378404,0.80405984,0.64003316,0.52672002
-5.98799400,1.33090661,0.15211999,0.00094406,0.00405803,0.84883342,0.67533446,0.55500660
-5.98199100,1.40092277,0.16045012,0.00098574,0.00435042,0.89509131,0.71256477,0.58411329
-5.97598799,1.47356467,0.16935464,0.00103023,0.00466196,0.94265290,0.75162055,0.61391543
-5.96998499,1.54845600,0.17874785,0.00107734,0.00499326,0.99129711,0.79233363,0.64426415
-5.96398199,1.62512239,0.18851860,0.00112682,0.00534471,1.04075833,0.83446700,0.67498417
-5.95797899,1.70298969,0.19853231,0.00117836,0.00571644,1.09072350,0.87771267,0.70587234
-5.95197599,1.78138596,0.20863406,0.00123159,0.00610820,1.14083075,0.92169204,0.73669705
-5.94597299,1.85954723,0.21865260,0.00128606,0.00651936,1.19066978,0.96595902,0.76719868
-5.93996998,1.93662737,0.22840523,0.00134126,0.00694875,1.23978421,1.01000576,0.79709129
-5.93396698,2.01171183,0.23770336,0.00139666,0.00739470,1.28767607,1.05327134,0.82606554
-5.92796398,2.08383520,0.24635848,0.00145165,0.00785492,1.33381257,1.09515298,0.85379295
-5.92196098,2.15200215,0.25418844,0.00150560,0.00832653,1.37763496,1.13501981,0.87993151
-5.91595798,2.21521119,0.26102363,0.00155788,0.00880604,1.41856963,1.17222856,0.90413252
-5.90995498,2.27248073,0.26671299,0.00160784,0.00928933,1.45604099,1.20614103,0.92604853
-5.90395198,2.32287648,0.27112943,0.00165484,0.00977179,1.48948596,1.23614247,0.94534230
-5.89794897,2.36553938,0.27417455,0.00169827,0.01024832,1.51836959,1.26166038,0.96169633
-5.89194597,2.39971296,0.27578245,0.00173758,0.01071348,1.54220126,1.28218302,0.97482283
-5.88594297,2.42476937,0.27592248,0.00177227,0.01116162,1.56055096,1.29727687,0.98447364
-5.87993997,2.44023268,0.27460075,0.00180190,0.01158703,1.57306495,1.30660234,0.99044983
-5.87393697,2.44579893,0.27186045,0.00182615,0.01198410,1.57948015,1.30992710,0.99261045
-5.86793397,2.44135176,0.26778100,0.00184480,0.01234752,1.57963668,1.30713642,0.99088019
-5.86193097,2.42697299,0.26247594,0.00185774,0.01267246,1.57348786,1.29823998,0.98525542
-5.85592796,2.40294775,0.25608980,0.00186499,0.01295475,1.56110722,1.28337504,0.97580839
-5.84992496,2.36976354,0.24879409,0.00186669,0.01319101,1.54269207,1.26280544,0.96268925
-5.84392196,2.32810339,0.24078247,0.00186315,0.01337883,1.51856333,1.23691678,0.94612576
-5.83791896,2.27883296,0.23226547,0.00185479,0.01351685,1.48916148,1.20620766,0.92642057
-5.83191596,2.22298206,0.22346483,0.00184216,0.01360484,1.45503860,1.17127741,0.90394592
-5.82591296,2.16172110,0.21460773,0.00182596,0.01364370,1.41684673,1.13281078,0.87913612
-5.81990995,2.09633309,0.20592113,0.00180698,0.01363549,1.37532276,1.09156012,0.85247768
-5.81390695,2.02818219,0.19762638,0.00178611,0.01358332,1.33127036,1.04832567,0.82449762
-5.80790395,1.95867977,0.18993423,0.00176433,0.01349129,1.28553963,1.00393486,0.79575016
-5.80190095,1.88924899,0.18304040,0.00174267,0.01336432,1.23900488,0.95922118,0.76680223
-5.79589795,1.82128914,0.17712184,0.00172220,0.01320797,1.19254161,0.91500345,0.73821840
-5.78989495,1.75614079,0.17233359,0.00170399,0.01302829,1.14700326,0.87206620,0.71054554
-5.78389195,1.69505283,0.16880648,0.00168910,0.01283155,1.10319855,0.83114176,0.68429787
-5.77788894,1.63915242,0.16664542,0.00167853,0.01262406,1.06187038,0.79289454,0.65994294
-5.77188594,1.58941877,0.16592849,0.00167322,0.01241192,1.02367671,0.75790804,0.63788886
-5.76588294,1.54666138,0.16670659,0.00167401,0.01220087,0.98917430,0.72667468,0.61847340
-5.75987994,1.51150351,0.16900364,0.00168160,0.01199607,0.95880580,0.69958884,0.60195530
-5.75387694,1.48437102,0.17281730,0.00169657,0.01180194,0.93289046,0.67694295,0.58850798
-5.74787394,1.46548713,0.17812011,0.00171932,0.01162211,0.91161900,0.65892659,0.57821603
-5.74187094,1.45487284,0.18486083,0.00175011,0.01145929,0.89505244,0.64562851,0.57107452
-5.73586793,1.45235295,0.19296620,0.00178899,0.01131525,0.88312518,0.63704112,0.56699113
-5.72986493,1.45756745,0.20234269,0.00183584,0.01119088,0.87565199,0.63306722,0.56579106
-5.72386193,1.46998755,0.21287846,0.00189034,0.01108616,0.87233853,0.63352848,0.56722450
-5.71785893,1.48893595,0.22444534,0.00195202,0.01100035,0.87279518,0.63817533,0.57097642
-5.71185593,1.51361038,0.23690081,0.00202021,0.01093203,0.87655339,0.64669770,0.57667826
-5.70585293,1.54310961,0.25009001,0.00209410,0.01087930,0.88308411,0.65873631,0.58392112
-5.69984992,1.57646118,0.26384766,0.00217273,0.01083990,0.89181738,0.67389402,0.59226997
-5.69384692,1.61264957,0.27799999,0.00225502,0.01081139,0.90216255,0.69174688,0.60127823
-5.68784392,1.65064428,0.29236664,0.00233980,0.01079133,0.91352823,0.71185469,0.61050241
-5.68184092,1.68942662,0.30676252,0.00242581,0.01077740,0.92534135,0.73377069,0.61951604
-5.67583792,1.72801464,0.32099974,0.00251173,0.01076756,0.93706453,0.75705035,0.62792254
-5.66983492,1.76548547,0.33488952,0.00259623,0.01076012,0.94821144,0.78125905,0.63536650
-5.66383192,1.80099447,0.34824424,0.00267795,0.01075387,0.95835932,0.80597872,0.64154309
-5.65782891,1.83379093,0.36087953,0.00275557,0.01074806,0.96715875,0.83081345,0.64620518
-5.65182591,1.86323003,0.37261654,0.00282781,0.01074246,0.97433999,0.85539409,0.64916817
-5.64582291,1.88878109,0.38328429,0.00289346,0.01073731,0.97971633,0.87938207,0.65031226
-5.63981991,1.91003207,0.39272215,0.00295141,0.01073329,0.98318412,0.90247249,0.64958237
-5.63381691,1.92669078,0.40078251,0.00300064,0.01073140,0.98471996,0.92439668,0.64698570
-5.62781391,1.93858292,0.40733342,0.00304031,0.01073292,0.98437523,0.94492436,0.64258728
-5.62181091,1.94564745,0.41226128,0.00306970,0.01073927,0.98226849,0.96386544,0.63650376
-5.61580790,1.94792986,0.41547349,0.00308827,0.01075193,0.97857616,0.98107160,0.62889576
-5.60980490,1.94557357,0.41690085,0.00309569,0.01077228,0.97352192,0.99643766,0.61995926
-5.60380190,1.93881009,0.41649983,0.00309180,0.01080157,0.96736555,1.00990257,0.60991645
-5.59779890,1.92794826,0.41425428,0.00307667,0.01084078,0.96039145,1.02145009,0.59900630
-5.59179590,1.91336289,0.41017676,0.00305057,0.01089060,0.95289740,1.03110886,0.58747546
-5.58579290,1.89548298,0.40430920,0.00301397,0.01095136,0.94518390,1.03895180,0.57556961
-5.57978989,1.87477988,0.39672288,0.00296756,0.01102300,0.93754434,1.04509450,0.56352558
-5.57378689,1.85175521,0.38751760,0.00291221,0.01110510,0.93025623,1.04969255,0.55156462
-5.56778389,1.82692887,0.37682008,0.00284896,0.01119689,0.92357349,1.05293745,0.53988665
-5.56178089,1.80082692,0.36478148,0.00277900,0.01129723,0.91771999,1.05505118,0.52866583
-5.55577789,1.77396950,0.35157423,0.00270362,0.01140473,0.91288417,1.05627924,0.51804726
-5.54977489,1.74685878,0.33738807,0.00262422,0.01151773,0.90921472,1.05688222,0.50814493
-5.54377189,1.71996691,0.32242555,0.00254223,0.01163438,0.90681725,1.05712610,0.49904065
-5.53776888,1.69372432,0.30689705,0.00245909,0.01175265,0.90575180,1.05727149,0.49078399
-5.53176588,1.66850835,0.29101559,0.00237618,0.01187040,0.90603124,1.05756214,0.48339297
-5.52576288,1.64463264,0.27499146,0.00229484,0.01198542,0.90762026,1.05821330,0.47685553
-5.51975988,1.62233762,0.25902709,0.00221627,0.01209537,0.91043527,1.05940029,0.47113140
-5.51375688,1.60178238,0.24331212,0.00214151,0.01219790,0.91434494,1.06124796,0.46615454
-5.50775388,1.58303853,0.22801909,0.00207143,0.01229057,0.91917168,1.06382166,0.46183586
-5.50175088,1.56608638,0.21329969,0.00200667,0.01237089,0.92469401,1.06712014,0.45806621
-5.49574787,1.55081379,0.19928193,0.00194768,0.01243634,0.93064994,1.07107109,0.45471962
-5.48974487,1.53701815,0.18606806,0.00189462,0.01248433,0.93674161,1.07552955,0.45165671
-5.48374187,1.52441157,0.17373364,0.00184748,0.01251229,0.94264099,1.08027955,0.44872836
