energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,6.67561620,0.02407279,1.17834601,1.26691780,0.73557154,2.53465372,2.24637371,0.09355980,2.51400217
-5.99399700,6.57533472,0.02364730,1.17075471,1.23876784,0.73451482,2.50145793,2.21644206,0.09254185,2.46180935
-5.98799400,6.46453027,0.02318308,1.16049347,1.20964532,0.73164277,2.46442255,2.18299493,0.09133777,2.40732527
-5.98199100,6.34385322,0.02269103,1.14784520,1.17950566,0.72690958,2.42386089,2.14636617,0.08995777,2.35050024
-5.97598799,6.21436602,0.02218362,1.13318326,1.14836830,0.72030447,2.38027403,2.10705667,0.08841689,2.29141763
-5.96998499,6.07751834,0.02167460,1.11696289,1.11631621,0.71185253,2.33433979,2.06572175,0.08673454,2.23029245
-5.96398199,5.93510833,0.02117869,1.09970938,1.08349320,0.70161486,2.28689466,2.02315205,0.08493405,2.16746529
-5.95797899,5.78923160,0.02071116,1.08200331,1.05009962,0.68968788,2.23890925,1.98024885,0.08304202,2.10339220
-5.95197599,5.64222005,0.02028754,1.06446330,1.01638644,0.67620179,2.19145848,1.93799474,0.08108766,2.03863129
-5.94597299,5.49657282,0.01992315,1.04772696,0.98264832,0.66131831,2.14568767,1.89742087,0.07910207,1.97382649
-5.93996998,5.35488205,0.01963270,1.03243050,0.94921581,0.64522756,2.10277596,1.85957196,0.07711745,1.90968932
-5.93396698,5.21975575,0.01942996,1.01918792,0.91644698,0.62814415,2.06389827,1.82547052,0.07516630,1.84697917
-5.92796398,5.09374058,0.01932732,1.00857037,0.88471873,0.61030262,2.03018744,1.79608151,0.07328071,1.78648283
-5.92196098,4.97924675,0.01933548,1.00108656,0.85441790,0.59195219,2.00269766,1.77227883,0.07149151,1.72899368
-5.91595798,4.87847751,0.01946311,0.99716482,0.82593237,0.57335111,1.98237050,1.75481465,0.06982762,1.67529119
-5.90995498,4.79336513,0.01971659,0.99713755,0.79964229,0.55476053,1.97000460,1.74429285,0.06831536,1.62612097
-5.90395198,4.72551529,0.02009980,1.00122862,0.77591141,0.53643833,1.96622990,1.74114734,0.06697782,1.58217603
-5.89794897,4.67616125,0.02061392,1.00954429,0.75507876,0.51863288,1.97148725,1.74562591,0.06583439,1.54407921
-5.89194597,4.64612917,0.02125735,1.02206792,0.73745066,0.50157706,1.98601384,1.75778038,0.06490030,1.51236751
-5.88594297,4.63581534,0.02202566,1.03865875,0.72329316,0.48548266,2.00983486,1.77746301,0.06418630,1.48747826
-5.87993997,4.64517580,0.02291165,1.05905493,0.71282517,0.47053548,2.04276168,1.80432951,0.06369845,1.46973749
-5.87393697,4.67372873,0.02390539,1.08288066,0.70621217,0.45689114,2.08439633,1.83784849,0.06343802,1.45935083
-5.86793397,4.72056924,0.02499450,1.10965731,0.70356101,0.44467189,2.13414244,1.87731687,0.06340152,1.45639695
-5.86193097,4.78439611,0.02616429,1.13881803,0.70491558,0.43396444,2.19122193,1.92188087,0.06358078,1.46082389
-5.85592796,4.86354969,0.02739813,1.16972562,0.71025392,0.42481894,2.25469724,1.97056179,0.06396327,1.47244836
-5.84992496,4.95605968,0.02867785,1.20169278,0.71948665,0.41724908,2.32349829,2.02228570,0.06453235,1.49095806
-5.84392196,5.05970134,0.02998407,1.23400410,0.73245702,0.41123335,2.39645332,2.07591599,0.06526779,1.51591720
-5.83791896,5.17205831,0.03129676,1.26593905,0.74894270,0.40671735,2.47232269,2.13028770,0.06614621,1.54677508
-5.83191596,5.29059012,0.03259563,1.29679501,0.76865932,0.40361696,2.54983463,2.18424239,0.06714172,1.58287767
-5.82591296,5.41270217,0.03386070,1.32590944,0.79126579,0.40182246,2.62772152,2.23666226,0.06822646,1.62348195
-5.81990995,5.53581582,0.03507273,1.35268046,0.81637141,0.40120311,2.70475567,2.28650235,0.06937132,1.66777289
-5.81390695,5.65743649,0.03621370,1.37658484,0.84354450,0.40161225,2.77978326,2.33281971,0.07054656,1.71488237
-5.80790395,5.77521732,0.03726724,1.39719281,0.87232242,0.40289255,2.85175512,2.37479830,0.07172247,1.76390991
-5.80190095,5.88701636,0.03821898,1.41417909,0.90222277,0.40488131,2.91975331,2.41176889,0.07286997,1.81394434
-5.79589795,5.99094554,0.03905685,1.42732965,0.93275524,0.40741551,2.98301242,2.44322325,0.07396126,1.86408593
-5.78989495,6.08540971,0.03977135,1.43654407,0.96343386,0.41033654,3.04093474,2.46882202,0.07497028,1.91346834
-5.78389195,6.16913473,0.04035564,1.44183336,0.99378922,0.41349431,3.09309881,2.48839624,0.07587326,1.96127952
-5.77788894,6.24118385,0.04080565,1.44331349,1.02338014,0.41675080,3.13926095,2.50194252,0.07664908,2.00678102
-5.77188594,6.30096227,0.04112003,1.44119496,1.05180449,0.41998280,3.17934986,2.50961220,0.07727965,2.04932506
-5.76588294,6.34820999,0.04130010,1.43576899,1.07870864,0.42308386,3.21345465,2.51169515,0.07775012,2.08836862
-5.75987994,6.38298391,0.04134963,1.42739099,1.10379528,0.42596544,3.24180683,2.50859902,0.07804907,2.12348430
-5.75387694,6.40563017,0.04127467,1.41646227,1.12682936,0.42855730,3.26475735,2.50082507,0.07816865,2.15436743
-5.74787394,6.41674848,0.04108322,1.40341068,1.14764177,0.43080715,3.28274975,2.48894162,0.07810451,2.18083923
-5.74187094,6.41715007,0.04078498,1.38867137,1.16613091,0.43267961,3.29629082,2.47355648,0.07785582,2.20284598
-5.73586793,6.40781148,0.04039102,1.37266831,1.18226186,0.43415475,3.30592021,2.45528965,0.07742506,2.22045426
-5.72986493,6.38982602,0.03991337,1.35579764,1.19606333,0.43522613,3.31218045,2.43474736,0.07681786,2.23384235
-5.72386193,6.36435521,0.03936479,1.33841340,1.20762253,0.43589861,3.31558881,2.41249874,0.07604274,2.24328831
-5.71785893,6.33258177,0.03875837,1.32081628,1.21707809,0.43618594,3.31661225,2.38905582,0.07511072,2.24915502
-5.71185593,6.29566603,0.03810724,1.30324565,1.22461136,0.43610837,3.31564646,2.36485778,0.07403502,2.25187276
-5.70585293,6.25470698,0.03742430,1.28587531,1.23043636,0.43569030,3.31299989,2.34025967,0.07283062,2.25192001
-5.69984992,6.21070895,0.03672197,1.26881256,1.23478878,0.43495809,3.30888313,2.31552596,0.07151379,2.24980297
-5.69384692,6.16455462,0.03601190,1.25210076,1.23791440,0.43393806,3.30340383,2.29082879,0.07010171,2.24603461
-5.68784392,6.11698452,0.03530484,1.23572468,1.24005730,0.43265477,3.29656708,2.26625055,0.06861193,2.24111392
-5.68184092,6.06858310,0.03461039,1.21961837,1.24144835,0.43112967,3.28828073,2.24179039,0.06706197,2.23550590
-5.67583792,6.01977100,0.03393688,1.20367483,1.24229430,0.42937993,3.27836509,2.21737391,0.06546884,2.22962314
-5.66983492,5.97080314,0.03329123,1.18775674,1.24276795,0.42741769,3.26656611,2.19286526,0.06384870,2.22380947
-5.66383192,5.92177192,0.03267881,1.17170777,1.24299972,0.42524960,3.25257115,2.16808090,0.06221643,2.21832621
-5.65782891,5.87261503,0.03210340,1.15536366,1.24307099,0.42287666,3.23602636,2.14280418,0.06058536,2.21334162
-5.65182591,5.82312719,0.03156708,1.13856259,1.24300945,0.42029429,3.21655476,2.11679989,0.05896704,2.20892391
-5.64582291,5.77297522,0.03107025,1.12115435,1.24278679,0.41749280,3.19377414,2.08982830,0.05737105,2.20503802
-5.63981991,5.72171608,0.03061163,1.10300798,1.24231877,0.41445798,3.16731414,2.06165802,0.05580492,2.20154653
-5.63381691,5.66881737,0.03018830,1.08401761,1.24146786,0.41117205,3.13683188,2.03207735,0.05427412,2.19821469
-5.62781391,5.61367995,0.02979585,1.06410654,1.24004833,0.40761482,3.10202580,2.00090377,0.05278213,2.19471952
-5.62181091,5.55566249,0.02942846,1.04322945,1.23783371,0.40376507,3.06264747,1.96799170,0.05133060,2.19066265
-5.61580790,5.49410748,0.02907916,1.02137305,1.23456642,0.39960216,3.01851129,1.93323813,0.04991957,2.18558679
-5.60980490,5.42836840,0.02874005,0.99855518,1.22996910,0.39510782,2.96950209,1.89658663,0.04854776,2.17899498
-5.60380190,5.35783753,0.02840258,0.97482288,1.22375736,0.39026810,2.91558075,1.85802953,0.04721289,2.17037220
-5.59779890,5.28197385,0.02805790,0.95024952,1.21565331,0.38507544,2.85678792,1.81760868,0.04591209,2.15920832
-5.59179590,5.20033021,0.02769720,0.92493138,1.20539936,0.37953076,2.79324603,1.77541481,0.04464225,2.14502170
-5.58579290,5.11257890,0.02731202,0.89898395,1.19277158,0.37364555,2.72515967,1.73158576,0.04340044,2.12738226
-5.57978989,5.01853482,0.02689465,0.87253816,1.17759209,0.36744392,2.65281437,1.68630371,0.04218429,2.10593328
-5.57378689,4.91817499,0.02643844,0.84573667,1.15973990,0.36096437,2.57657392,1.63979139,0.04099232,2.08041076
-5.56778389,4.81165367,0.02593804,0.81873043,1.13915952,0.35426143,2.49687611,1.59230759,0.03982423,2.05065966
-5.56178089,4.69931210,0.02538971,0.79167548,1.11586715,0.34740694,2.41422695,1.54414181,0.03868117,2.01664621
-5.55577789,4.58168222,0.02479143,0.76473007,1.08995397,0.34049097,2.32919329,1.49560828,0.03756589,1.97846583
-5.54977489,4.45948397,0.02414301,0.73805211,1.06158643,0.33362233,2.24239403,1.44703933,0.03648283,1.93634629
-5.54377189,4.33361597,0.02344613,0.71179677,1.03100364,0.32692866,2.15448971,1.39877831,0.03543812,1.89064597
-5.53776888,4.20513989,0.02270425,0.68611443,0.99851179,0.32055602,2.06617099,1.35117208,0.03443955,1.84184751
-5.53176588,4.07525894,0.02192250,0.66114873,0.96447615,0.31466808,1.97814601,1.30456342,0.03349644,1.79054704
-5.52576288,3.94529153,0.02110744,0.63703479,0.92931087,0.30944484,1.89112705,1.25928349,0.03261942,1.73743960
-5.51975988,3.81664091,0.02026688,0.61389766,0.89346722,0.30508094,1.80581704,1.21564456,0.03182019,1.68330153
-5.51375688,3.69076243,0.01940951,0.59185088,0.85742081,0.30178351,1.72289612,1.17393342,0.03111127,1.62897051
-5.50775388,3.56912947,0.01854462,0.57099535,0.82165829,0.29976966,1.64300908,1.13440570,0.03050563,1.57532420
-5.50175088,3.45319979,0.01768175,0.55141839,0.78666429,0.29926356,1.56675394,1.09728122,0.03001640,1.52325825
-5.49574787,3.34438316,0.01683043,0.53319325,0.75290898,0.30049304,1.49467225,1.06274083,0.02965651,1.47366462
-5.48974487,3.24401178,0.01599978,0.51637890,0.72083677,0.30368583,1.42724144,1.03092471,0.02943833,1.42741068
-5.48374187,3.15331405,0.01519838,0.50102028,0.69085648,0.30906523,1.36486951,1.00193218,0.02937336,1.38531989
-5.47773887,3.07339240,0.01443394,0.48714899,0.66333321,0.31684538,1.30789227,0.97582316,0.02947188,1.34815429
-5.47173587,3.00520541,0.01371323,0.47478437,0.63858211,0.32722590,1.25657295,0.95262096,0.02974265,1.31659918
-5.46573287,2.94955423,0.01304190,0.46393496,0.61686388,0.34038610,1.21110428,0.93231640,0.03019258,1.29125007
-5.45972986,2.90707299,0.01242448,0.45460023,0.59838217,0.35647863,1.17161260,0.91487280,0.03082646,1.27260191
-5.45372686,2.87822290,0.01186434,0.44677255,0.58328246,0.37562284,1.13816371,0.90023170,0.03164667,1.26104053
-5.44772386,2.86328942,0.01136375,0.44043925,0.57165243,0.39789777,1.11077007,0.88831882,0.03265295,1.25683619
-5.44172086,2.86238196,0.01092394,0.43558460,0.56352342,0.42333517,1.08939873,0.87905002,0.03384215,1.26013905
-5.43571786,2.87543579,0.01054518,0.43219174,0.55887280,0.45191270,1.07397973,0.87233689,0.03520800,1.27097656
-5.42971486,2.90221555,0.01022695,0.43024437,0.55762714,0.48354771,1.06441429,0.86809168,0.03674100,1.28925260
-5.42371186,2.94232035,0.00996801,0.42972809,0.55966580,0.51809189,1.06058264,0.86623139,0.03842830,1.31474846
-5.41770885,2.99519040,0.00976655,0.43063141,0.56482491,0.55532731,1.06235091,0.86668091,0.04025361,1.34712563
-5.41170585,3.06011516,0.00962029,0.43294644,0.57290175,0.59496408,1.06957722,0.86937504,0.04219730,1.38593070
-5.40570285,3.13624348,0.00952660,0.43666909,0.58365928,0.63664022,1.08211640,0.87425952,0.04423646,1.43060240
-5.39969985,3.22259590,0.00948258,0.44179904,0.59683104,0.67992391,1.09982376,0.88129111,0.04634521,1.48048087
-5.39369685,3.31807953,0.00948513,0.44833929,0.61212627,0.72431840,1.12255755,0.89043674,0.04849497,1.53481955
-5.38769385,3.42150576,0.00953099,0.45629552,0.62923535,0.76926976,1.15018046,0.90167209,0.05065499,1.59279945
-5.38169085,3.53161094,0.00961681,0.46567523,0.64783561,0.81417737,1.18256007,0.91497958,0.05279287,1.65354588
