energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.76055961,0.03608174,0.03796921,0.01035128,0.19169808,0.07085011,0.29857707
-5.99399700,0.75231725,0.03614554,0.04334588,0.01155725,0.18287145,0.07178291,0.28258804
-5.98799400,0.75422088,0.03643790,0.04948289,0.01288651,0.17634000,0.07364489,0.27019749
-5.98199100,0.76581302,0.03691541,0.05639301,0.01433576,0.17197128,0.07640372,0.26112706
-5.97598799,0.78654738,0.03753275,0.06407909,0.01589996,0.16961546,0.08001955,0.25507417
-5.96998499,0.81579938,0.03824392,0.07253238,0.01757218,0.16911016,0.08444564,0.25172070
-5.96398199,0.85287634,0.03900344,0.08173107,0.01934355,0.17028489,0.08962910,0.25074092
-5.95797899,0.89702730,0.03976751,0.09163920,0.02120318,0.17296506,0.09551157,0.25180874
-5.95197599,0.94745259,0.04049510,0.10220596,0.02313824,0.17697534,0.10202989,0.25460406
-5.94597299,1.00331317,0.04114879,0.11336548,0.02513404,0.18214246,0.10911683,0.25881798
-5.93996998,1.06374007,0.04169566,0.12503721,0.02717416,0.18829736,0.11670177,0.26415719
-5.93396698,1.12784393,0.04210785,0.13712693,0.02924075,0.19527667,0.12471144,0.27034714
-5.92796398,1.19472483,0.04236300,0.14952826,0.03131479,0.20292367,0.13307069,0.27713436
-5.92196098,1.26348257,0.04244452,0.16212491,0.03337647,0.21108882,0.14170318,0.28428781
-5.91595798,1.33322721,0.04234163,0.17479325,0.03540562,0.21962975,0.15053222,0.29159948
-5.90995498,1.40309002,0.04204928,0.18740546,0.03738217,0.22841116,0.15948150,0.29888430
-5.90395198,1.47223446,0.04156782,0.19983279,0.03928658,0.23730445,0.16847581,0.30597954
-5.89794897,1.53986701,0.04090264,0.21194910,0.04110035,0.24618740,0.17744178,0.31274377
-5.89194597,1.60524757,0.04006355,0.22363418,0.04280645,0.25494392,0.18630846,0.31905559
-5.88594297,1.66769888,0.03906420,0.23477693,0.04438972,0.26346397,0.19500787,0.32481220
-5.87993997,1.72661477,0.03792136,0.24527808,0.04583715,0.27164385,0.20347544,0.32992797
-5.87393697,1.78146665,0.03665413,0.25505236,0.04713821,0.27938671,0.21165028,0.33433301
