energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Y_p_up,Y_d_up
-6.00000000,2.49146157,0.03064270,1.49669212,0.20532096,0.00265236,0.52418955,0.93764669
-5.99399700,2.40558448,0.02989195,1.44544052,0.19948893,0.00252527,0.50562734,0.90852169
-5.98799400,2.31127626,0.02902690,1.38905048,0.19297401,0.00239121,0.48514519,0.87599072
-5.98199100,2.21004168,0.02806253,1.32842779,0.18587483,0.00225239,0.46307655,0.84057801
-5.97598799,2.10341247,0.02701505,1.26449492,0.17829412,0.00211092,0.43976669,0.80282555
-5.96998499,1.99291112,0.02590153,1.19816911,0.17033624,0.00196881,0.41556493,0.76328028
-5.96398199,1.88001804,0.02473947,1.13034267,0.16210490,0.00182793,0.39081730,0.72248203
-5.95797899,1.76614285,0.02354644,1.06186561,0.15370116,0.00168994,0.36585990,0.68095285
-5.95197599,1.65260034,0.02233970,0.99353111,0.14522160,0.00155629,0.34101301,0.63918768
-5.94597299,1.54059142,0.02113583,0.92606407,0.13675682,0.00142823,0.31657607,0.59764659
-5.93996998,1.43118912,0.01995053,0.86011261,0.12839028,0.00130674,0.29282360,0.55674870
-5.93396698,1.32532954,0.01879823,0.79624255,0.12019735,0.00119261,0.27000205,0.51686776
-5.92796398,1.22380732,0.01769200,0.73493470,0.11224480,0.00108639,0.24832756,0.47832930
-5.92196098,1.12727533,0.01664327,0.67658462,0.10459044,0.00098844,0.22798463,0.44140926
-5.91595798,1.03624795,0.01566177,0.62150455,0.09728308,0.00089896,0.20912552,0.40633400
-5.90995498,0.95110732,0.01475541,0.56992721,0.09036267,0.00081797,0.19187049,0.37328148
-5.90395198,0.87211203,0.01393023,0.52201102,0.08386063,0.00074538,0.17630859,0.34238345
-5.89794897,0.79940757,0.01319040,0.47784649,0.07780030,0.00068099,0.16249903,0.31372843
-5.89194597,0.73303809,0.01253823,0.43746336,0.07219750,0.00062453,0.15047305,0.28736545
-5.88594297,0.67295881,0.01197426,0.40083816,0.06706116,0.00057567,0.14023610,0.26330815
-5.87993997,0.61904881,0.01149732,0.36790216,0.06239395,0.00053406,0.13177031,0.24153933
-5.87393697,0.57112380,0.01110466,0.33854919,0.05819295,0.00049932,0.12503719,0.22201566
-5.86793397,0.52894858,0.01079214,0.31264334,0.05445028,0.00047106,0.11998044,0.20467250
-5.86193097,0.49224894,0.01055431,0.29002650,0.05115372,0.00044890,0.11652876,0.18942875
