energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,2.54732461,0.01161013,0.00000000,0.04625627,1.44008096,0.88932904,0.74630009
-5.99399700,2.78038233,0.01241607,0.00000000,0.05000196,1.58864320,0.99057969,0.82228933
-5.98799400,3.04546207,0.01339000,0.00000000,0.05436204,1.75390623,1.10207584,0.90713809
-5.98199100,3.34050402,0.01451984,0.00000000,0.05930458,1.93479643,1.22319782,1.00028829
-5.97598799,3.66287510,0.01579235,0.00000000,0.06478600,2.12987945,1.35309313,1.10099668
-5.96998499,4.00936623,0.01719320,0.00000000,0.07075114,2.33735803,1.49067244,1.20833339
-5.96398199,4.37620287,0.01870694,0.00000000,0.07713351,2.55507926,1.63461201,1.32118532
-5.95797899,4.75907109,0.02031705,0.00000000,0.08385588,2.78055217,1.78336328,1.43826467
-5.95197599,5.15316072,0.02200597,0.00000000,0.09083110,3.01097659,1.93517018,1.55812331
-5.94597299,5.55322653,0.02375518,0.00000000,0.09796334,3.24328355,2.08809432,1.67917297
-5.93996998,5.95366747,0.02554534,0.00000000,0.10514955,3.47418700,2.24004804,1.79971141
-5.93396698,6.34862334,0.02735642,0.00000000,0.11228129,3.70024620,2.38883464,1.91795407
-5.92796398,6.73208698,0.02916790,0.00000000,0.11924685,3.91793738,2.53219516,2.03207063
-5.92196098,7.09802945,0.03095902,0.00000000,0.12593359,4.12373292,2.66786017,2.14022560
-5.91595798,7.44053473,0.03270903,0.00000000,0.13223040,4.31418563,2.79360526,2.24062164
-5.90995498,7.75393959,0.03439753,0.00000000,0.13803036,4.48601545,2.90730819,2.33154435
-5.90395198,8.03297399,0.03600475,0.00000000,0.14323334,4.63619540,3.00700568,2.41140682
-5.89794897,8.27289682,0.03751194,0.00000000,0.14774849,4.76203375,3.09094787,2.47879243
-5.89194597,8.46962185,0.03890173,0.00000000,0.15149666,4.86124900,3.15764797,2.53249408
-5.88594297,8.61982876,0.04015843,0.00000000,0.15441241,4.93203481,3.20592547,2.57154838
-5.87993997,8.72105462,0.04126844,0.00000000,0.15644578,4.97311209,3.23494075,2.59526329
-5.87393697,8.77176190,0.04222050,0.00000000,0.15756357,4.98376588,3.24421984,2.60323808
