energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.81705434,0.31581343,0.00000000,0.27112097,0.00000000,0.36632169,0.32911817
-5.99399700,0.81176753,0.32508886,0.00000000,0.25870207,0.00000000,0.36737748,0.33772123
-5.98799400,0.80745351,0.33464177,0.00000000,0.24665117,0.00000000,0.36960470,0.34619083
-5.98199100,0.80392609,0.34419202,0.00000000,0.23510661,0.00000000,0.37288325,0.35423759
-5.97598799,0.80100213,0.35347407,0.00000000,0.22419461,0.00000000,0.37709668,0.36158734
-5.96998499,0.79851048,0.36224554,0.00000000,0.21402730,0.00000000,0.38213804,0.36798949
-5.96398199,0.79630075,0.37029509,0.00000000,0.20470147,0.00000000,0.38791540,0.37322477
-5.95797899,0.79425175,0.37744935,0.00000000,0.19629776,0.00000000,0.39435674,0.37711214
-5.95197599,0.79227906,0.38357857,0.00000000,0.18888058,0.00000000,0.40141412,0.37951457
-5.94597299,0.79034151,0.38860088,0.00000000,0.18249860,0.00000000,0.40906688,0.38034335
-5.93996998,0.78844615,0.39248483,0.00000000,0.17718573,0.00000000,0.41732378,0.37956097
-5.93396698,0.78665156,0.39525023,0.00000000,0.17296258,0.00000000,0.42622402,0.37718219
-5.92796398,0.78506919,0.39696717,0.00000000,0.16983822,0.00000000,0.43583706,0.37327343
-5.92196098,0.78386272,0.39775337,0.00000000,0.16781228,0.00000000,0.44626124,0.36795040
-5.91595798,0.78324534,0.39776980,0.00000000,0.16687704,0.00000000,0.45762133,0.36137411
-5.90995498,0.78347515,0.39721498,0.00000000,0.16701966,0.00000000,0.47006515,0.35374550
-5.90395198,0.78484878,0.39631801,0.00000000,0.16822422,0.00000000,0.48375937,0.34529871
-5.89794897,0.78769357,0.39533081,0.00000000,0.17047373,0.00000000,0.49888482,0.33629358
-5.89194597,0.79235858,0.39451974,0.00000000,0.17375178,0.00000000,0.51563149,0.32700735
-5.88594297,0.79920487,0.39415708,0.00000000,0.17804399,0.00000000,0.53419348,0.31772619
-5.87993997,0.80859544,0.39451254,0.00000000,0.18333914,0.00000000,0.55476416,0.30873665
-5.87393697,0.82088514,0.39584531,0.00000000,0.18962997,0.00000000,0.57753181,0.30031747
-5.86793397,0.83641103,0.39839673,0.00000000,0.19691366,0.00000000,0.60267574,0.29273194
