energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.10012196,0.00434495,0.00000000,0.00054340,0.01940452,0.00155976,0.04308414,0.05147352,0.02948089
-5.99399700,0.11452031,0.00470763,0.00000000,0.00065146,0.02161316,0.00142676,0.04920652,0.05114973,0.03663475
-5.98799400,0.13454649,0.00531694,0.00000000,0.00078889,0.02495657,0.00137332,0.05767212,0.05356033,0.04554298
-5.98199100,0.16078334,0.00619331,0.00000000,0.00095946,0.02953916,0.00139695,0.06871463,0.05875216,0.05647741
-5.97598799,0.19393026,0.00736343,0.00000000,0.00116740,0.03549257,0.00149726,0.08261225,0.06684050,0.06974394
-5.96998499,0.23479599,0.00886017,0.00000000,0.00141738,0.04297440,0.00167597,0.09968446,0.07800672,0.08567981
-5.96398199,0.28428798,0.01072247,0.00000000,0.00171442,0.05216638,0.00193677,0.12028735,0.09249481,0.10464971
-5.95797899,0.34339794,0.01299493,0.00000000,0.00206384,0.06327172,0.00228527,0.14480737,0.11060675,0.12704044
-5.95197599,0.41318337,0.01572739,0.00000000,0.00247112,0.07651178,0.00272884,0.17365346,0.13269655,0.15325413
-5.94597299,0.49474484,0.01897420,0.00000000,0.00294178,0.09212175,0.00327640,0.20724750,0.15916309,0.18369983
-5.93996998,0.58919900,0.02279333,0.00000000,0.00348126,0.11034557,0.00393826,0.24601314,0.19044149,0.21878355
-5.93396698,0.69764743,0.02724524,0.00000000,0.00409472,0.13142990,0.00472579,0.29036302,0.22699310,0.25889672
-5.92796398,0.82114180,0.03239147,0.00000000,0.00478692,0.15561730,0.00565112,0.34068466,0.26929422,0.30440335
-5.92196098,0.96064588,0.03829308,0.00000000,0.00556197,0.18313873,0.00672679,0.39732521,0.31782341,0.35562612
-5.91595798,1.11699537,0.04500873,0.00000000,0.00642320,0.21420551,0.00796531,0.46057547,0.37304780,0.41283179
-5.90995498,1.29085646,0.05259267,0.00000000,0.00737294,0.24900099,0.00937867,0.53065351,0.43540855,0.47621635
-5.90395198,1.48268475,0.06109243,0.00000000,0.00841236,0.28767217,0.01097784,0.60768860,0.50530567,0.54589054
-5.89794897,1.69268571,0.07054647,0.00000000,0.00954132,0.33032169,0.01277218,0.69170584,0.58308278,0.62186630
-5.89194597,1.92077861,0.08098165,0.00000000,0.01075824,0.37700032,0.01476890,0.78261222,0.66901213,0.70404475
-5.88594297,2.16656535,0.09241084,0.00000000,0.01205997,0.42770059,0.01697240,0.88018469,0.76328047,0.79220649
-5.87993997,2.42930600,0.10483048,0.00000000,0.01344174,0.48235165,0.01938370,0.98406093,0.86597622,0.88600464
-5.87393697,2.70790253,0.11821842,0.00000000,0.01489717,0.54081581,0.02199990,1.09373331,0.97707842,0.98496133
-5.86793397,3.00089194,0.13253199,0.00000000,0.01641824,0.60288696,0.02481366,1.20854659,1.09644807,1.08846797
-5.86193097,3.30644991,0.14770654,0.00000000,0.01799540,0.66829107,0.02781278,1.32769978,1.22382201,1.19578969
-5.85592796,3.62240558,0.16365442,0.00000000,0.01961765,0.73668880,0.03097991,1.45025233,1.35880992,1.30607395
-5.84992496,3.94626753,0.18026462,0.00000000,0.02127273,0.80768027,0.03429237,1.57513484,1.50089428,1.41836340
-5.84392196,4.27526068,0.19740302,0.00000000,0.02294731,0.88081174,0.03772217,1.70116421,1.64943355,1.53161263
-5.83791896,4.60637340,0.21491351,0.00000000,0.02462719,0.95558399,0.04123617,1.82706291,1.80366831,1.64470842
-5.83191596,4.93641338,0.23261975,0.00000000,0.02629759,1.03146205,0.04479647,1.95148204,1.96273005,1.75649284
-5.82591296,5.26207064,0.25032787,0.00000000,0.02794342,1.10788573,0.04836097,2.07302760,2.12565226,1.86578834
-5.81990995,5.57998561,0.26782979,0.00000000,0.02954953,1.18428055,0.05188418,2.19028916,2.29138327,1.97142409
-5.81390695,5.88681977,0.28490741,0.00000000,0.03110098,1.26006847,0.05531814,2.30187018,2.45880011,2.07226237
-5.80790395,6.17932665,0.30133727,0.00000000,0.03258335,1.33467777,0.05861358,2.40641909,2.62672305,2.16722425
-5.80190095,6.45442042,0.31689574,0.00000000,0.03398292,1.40755188,0.06172115,2.50266000,2.79392992,2.25531336
-5.79589795,6.70923998,0.33136460,0.00000000,0.03528696,1.47815649,0.06459279,2.58942236,2.95917001,2.33563713
-5.78989495,6.94120624,0.34453664,0.00000000,0.03648383,1.54598479,0.06718315,2.66566844,3.12117694,2.40742455
-5.78389195,7.14807110,0.35622131,0.00000000,0.03756321,1.61056075,0.06945093,2.73051791,3.27868049,2.47004009
-5.77788894,7.32795672,0.36625011,0.00000000,0.03851619,1.67144045,0.07136029,2.78326885,3.43041732,2.52299337
-5.77188594,7.47938447,0.37448144,0.00000000,0.03933534,1.72821165,0.07288205,2.82341459,3.57514081,2.56594446
-5.76588294,7.60129337,0.38080495,0.00000000,0.04001484,1.78049202,0.07399479,2.85065604,3.71163034,2.59870502
-5.75987994,7.69304836,0.38514500,0.00000000,0.04055046,1.82792647,0.07468572,2.86490922,3.83870068,2.62123563
-5.75387694,7.75443917,0.38746326,0.00000000,0.04093960,1.87018417,0.07495130,2.86630809,3.95521197,2.63363965
-5.74787394,7.78567107,0.38776025,0.00000000,0.04118133,1.90695598,0.07479767,2.85520265,4.06008102,2.63615450
-5.74187094,7.78734885,0.38607586,0.00000000,0.04127637,1.93795271,0.07424070,2.83215270,4.15229447,2.62914095
-5.73586793,7.76045546,0.38248874,0.00000000,0.04122711,1.96290492,0.07330578,2.79791744,4.23092425,2.61307110
-5.72986493,7.70632697,0.37711469,0.00000000,0.04103760,1.98156457,0.07202741,2.75344148,4.29514551,2.58851591
-5.72386193,7.62662501,0.37010402,0.00000000,0.04071357,1.99370883,0.07044840,2.69983764,4.34425692,2.55613264
-5.71785893,7.52330774,0.36163809,0.00000000,0.04026243,1.99914602,0.06861888,2.63836697,4.37770290,2.51665292
-5.71185593,7.39859989,0.35192500,0.00000000,0.03969321,1.99772353,0.06659516,2.57041641,4.39509700,2.47087136
-5.70585293,7.25496222,0.34119473,0.00000000,0.03901663,1.98933735,0.06443831,2.49747453,4.39624522,2.41963511
-5.69984992,7.09506011,0.32969380,0.00000000,0.03824496,1.97394256,0.06221270,2.42110549,4.38116799,2.36383405
-5.69384692,6.92173069,0.31767956,0.00000000,0.03739202,1.95156410,0.05998438,2.34292165,4.35011899,2.30439132
-5.68784392,6.73794769,0.30541441,0.00000000,0.03647298,1.92230683,0.05781947,2.26455496,4.30359932,2.24225390
-5.68184092,6.54678326,0.29315991,0.00000000,0.03550426,1.88636412,0.05578252,2.18762728,4.24236517,2.17838273
-5.67583792,6.35136546,0.28117109,0.00000000,0.03450327,1.84402405,0.05393490,2.11371990,4.16742770,2.11374182
-5.66983492,6.15483114,0.26969089,0.00000000,0.03348813,1.79567243,0.05233326,2.04434255,4.08004375,2.04928601
-5.66383192,5.96027358,0.25894508,0.00000000,0.03247734,1.74179204,0.05102808,1.98090215,3.98169693,1.98594713
-5.65782891,5.77068511,0.24913749,0.00000000,0.03148938,1.68295781,0.05006240,1.92467190,3.87406872,1.92461838
-5.65182591,5.58889549,0.24044590,0.00000000,0.03054224,1.61982775,0.04947062,1.87676118,3.75900010,1.86613708
-5.64582291,5.41750747,0.23301843,0.00000000,0.02965302,1.55312975,0.04927757,1.83808714,3.63844484,1.81126621
-5.63981991,5.25883136,0.22697073,0.00000000,0.02883734,1.48364487,0.04949775,1.80934883,3.51441592,1.76067517
-5.63381691,5.11482143,0.22238380,0.00000000,0.02810898,1.41218763,0.05013484,1.79100484,3.38892739,1.71492078
-5.62781391,4.98701688,0.21930273,0.00000000,0.02747930,1.33958432,0.05118136,1.78325556,3.26393415,1.67442942
-5.62181091,4.87649069,0.21773621,0.00000000,0.02695695,1.26665030,0.05261876,1.78603113,3.14127249,1.63948120
-5.61580790,4.78380960,0.21765696,0.00000000,0.02654746,1.19416749,0.05441767,1.79898605,3.02260417,1.61019765
-5.60980490,4.70900809,0.21900306,0.00000000,0.02625306,1.12286316,0.05653852,1.82150126,2.90936687,1.58653353
-5.60380190,4.65157887,0.22168010,0.00000000,0.02607253,1.05339097,0.05893238,1.85269438,2.80273347,1.56827398
-5.59779890,4.61048181,0.22556423,0.00000000,0.02600117,0.98631538,0.06154218,1.89143832,2.70358205,1.55503748
-5.59179590,4.58417195,0.23050592,0.00000000,0.02603101,0.92209990,0.06430413,1.93638821,2.61247822,1.54628502
-5.58579290,4.57064680,0.23633440,0.00000000,0.02615099,0.86109987,0.06714937,1.98601620,2.52967035,1.54133546
-5.57978989,4.56751147,0.24286263,0.00000000,0.02634738,0.80355979,0.07000584,2.03865319,2.45509785,1.53938684
-5.57378689,4.57205969,0.24989261,0.00000000,0.02660424,0.74961530,0.07280030,2.09253618,2.38841175,1.53954274
-5.56778389,4.58136730,0.25722088,0.00000000,0.02690404,0.69929943,0.07546036,2.14585967,2.32900631,1.54084284
-5.56178089,4.59239452,0.26464400,0.00000000,0.02722828,0.65255249,0.07791656,2.19682904,2.27605973,1.54229625
-5.55577789,4.60209228,0.27196382,0.00000000,0.02755819,0.60923512,0.08010436,2.24371395,2.22858161,1.54291616
-5.54977489,4.60750804,0.27899234,0.00000000,0.02787541,0.56914342,0.08196597,2.28489937,2.18546464,1.54175420
-5.54377189,4.60588614,0.28555595,0.00000000,0.02816266,0.53202542,0.08345197,2.31893243,2.14553777,1.53793294
-5.53776888,4.59475839,0.29149907,0.00000000,0.02840442,0.49759786,0.08452264,2.34456281,2.10761821,1.53067499
-5.53176588,4.57202084,0.29668681,0.00000000,0.02858741,0.46556257,0.08514892,2.36077533,2.07055989,1.51932750
-5.52576288,4.53599378,0.30100688,0.00000000,0.02870110,0.43562155,0.08531304,2.36681338,2.03329641,1.50338086
-5.51975988,4.48546275,0.30437056,0.00000000,0.02873806,0.40749012,0.08500875,2.36219243,1.99487665,1.48248116
-5.51375688,4.41969956,0.30671283,0.00000000,0.02869414,0.38090785,0.08424109,2.34670343,1.95449224,1.45643584
-5.50775388,4.33846336,0.30799171,0.00000000,0.02856859,0.35564669,0.08302590,2.32040643,1.91149618,1.42521274
-5.50175088,4.24198285,0.30818702,0.00000000,0.02836408,0.33151652,0.08138885,2.28361499,1.86541275,1.38893290
