energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,0.63252462,0.00561516,0.00000000,0.00244909,0.04349375,0.27120804,0.14838946,0.40723215,0.00000000
-5.99399700,0.60674702,0.00544489,0.00000000,0.00234214,0.04728658,0.25069332,0.14380699,0.38616857,0.00000000
-5.98799400,0.58631553,0.00533591,0.00000000,0.00225697,0.05182462,0.23184431,0.14057547,0.36829892,0.00000000
-5.98199100,0.57210473,0.00529834,0.00000000,0.00219773,0.05716047,0.21496231,0.13891600,0.35419961,0.00000000
-5.97598799,0.56490865,0.00534182,0.00000000,0.00216824,0.06333945,0.20031721,0.13903079,0.34439760,0.00000000
-5.96998499,0.56542791,0.00547529,0.00000000,0.00217195,0.07039771,0.18814405,0.14109989,0.33936266,0.00000000
-5.96398199,0.57425805,0.00570684,0.00000000,0.00221187,0.07836039,0.17864061,0.14527820,0.33950028,0.00000000
-5.95797899,0.59187895,0.00604353,0.00000000,0.00229052,0.08723981,0.17196566,0.15169260,0.34514525,0.00000000
-5.95197599,0.61864515,0.00649117,0.00000000,0.00240987,0.09703380,0.16823796,0.16043938,0.35655566,0.00000000
-5.94597299,0.65477691,0.00705416,0.00000000,0.00257131,0.10772419,0.16753565,0.17158171,0.37390716,0.00000000
-5.93996998,0.70035205,0.00773525,0.00000000,0.00277560,0.11927554,0.16989602,0.18514735,0.39728747,0.00000000
-5.93396698,0.75529881,0.00853533,0.00000000,0.00302281,0.13163424,0.17531555,0.20112653,0.42669133,0.00000000
-5.92796398,0.81938989,0.00945326,0.00000000,0.00331237,0.14472791,0.18375019,0.21947030,0.46201585,0.00000000
-5.92196098,0.89223832,0.01048568,0.00000000,0.00364298,0.15846536,0.19511585,0.24008919,0.50305681,0.00000000
-5.91595798,0.97329567,0.01162685,0.00000000,0.00401268,0.17273702,0.20928936,0.26285260,0.54950613,0.00000000
-5.90995498,1.06185338,0.01286857,0.00000000,0.00441889,0.18741603,0.22610981,0.28758907,0.60095117,0.00000000
-5.90395198,1.15704782,0.01420009,0.00000000,0.00485849,0.20235987,0.24538060,0.31408744,0.65687618,0.00000000
-5.89794897,1.25786980,0.01560821,0.00000000,0.00532788,0.21741274,0.26687225,0.34209927,0.71666655,0.00000000
-5.89194597,1.36317912,0.01707734,0.00000000,0.00582318,0.23240852,0.29032619,0.37134260,0.77961629,0.00000000
-5.88594297,1.47172444,0.01858973,0.00000000,0.00634038,0.24717434,0.31545969,0.40150704,0.84493890,0.00000000
-5.87993997,1.58216857,0.02012575,0.00000000,0.00687557,0.26153475,0.34197182,0.43226027,0.91178203,0.00000000
-5.87393697,1.69311883,0.02166433,0.00000000,0.00742516,0.27531621,0.36955056,0.46325592,0.97924562,0.00000000
-5.86793397,1.80316207,0.02318338,0.00000000,0.00798615,0.28835195,0.39788089,0.49414245,1.04640338,0.00000000
-5.86193097,1.91090304,0.02466042,0.00000000,0.00855642,0.30048690,0.42665358,0.52457304,1.11232703,0.00000000
-5.85592796,2.01500509,0.02607316,0.00000000,0.00913497,0.31158251,0.45557442,0.55421581,1.17611243,0.00000000
-5.84992496,2.11423120,0.02740014,0.00000000,0.00972224,0.32152132,0.48437343,0.58276422,1.23690669,0.00000000
-5.84392196,2.20748374,0.02862144,0.00000000,0.01032026,0.33021090,0.51281361,0.60994691,1.29393504,0.00000000
-5.83791896,2.29384076,0.02971927,0.00000000,0.01093286,0.33758715,0.54069859,0.63553668,1.34652607,0.00000000
-5.83191596,2.37258687,0.03067855,0.00000000,0.01156581,0.34361657,0.56787885,0.65935793,1.39413420,0.00000000
-5.82591296,2.44323680,0.03148746,0.00000000,0.01222675,0.34829745,0.59425584,0.68129221,1.43635790,0.00000000
-5.81990995,2.50555015,0.03213776,0.00000000,0.01292523,0.35165986,0.61978365,0.70128151,1.47295272,0.00000000
-5.81390695,2.55953594,0.03262509,0.00000000,0.01367243,0.35376427,0.64446803,0.71932896,1.50383801,0.00000000
-5.80790395,2.60544651,0.03294904,0.00000000,0.01448091,0.35469901,0.66836240,0.73549694,1.52909695,0.00000000
-5.80190095,2.64376055,0.03311312,0.00000000,0.01536420,0.35457636,0.69156117,0.74990256,1.54896948,0.00000000
-5.79589795,2.67515584,0.03312451,0.00000000,0.01633626,0.35352773,0.71419030,0.76271082,1.56383834,0.00000000
-5.78989495,2.70047293,0.03299375,0.00000000,0.01741087,0.35169784,0.73639571,0.77412579,1.57420878,0.00000000
-5.78389195,2.72067151,0.03273422,0.00000000,0.01860094,0.34923836,0.75833005,0.78438037,1.58068286,0.00000000
-5.77788894,2.73678182,0.03236151,0.00000000,0.01991777,0.34630126,0.78013859,0.79372528,1.58392965,0.00000000
-5.77188594,2.74985365,0.03189282,0.00000000,0.02137027,0.34303218,0.80194497,0.80241796,1.58465283,0.00000000
-5.76588294,2.76090594,0.03134619,0.00000000,0.02296420,0.33956412,0.82383787,0.81071229,1.58355752,0.00000000
-5.75987994,2.77087972,0.03073980,0.00000000,0.02470149,0.33601189,0.84585936,0.81884959,1.58131801,0.00000000
