energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,2.40586422,0.00959904,0.34923976,0.68483421,0.21792740,1.96945087,0.89875081,0.87189900,0.00000000
-5.99399700,2.38594931,0.00914592,0.34761176,0.68413425,0.21348550,1.95091980,0.89713450,0.85855564,0.00000000
-5.98799400,2.36850452,0.00875230,0.34666118,0.68454347,0.20915842,1.93580005,0.89627002,0.84590400,0.00000000
-5.98199100,2.35436753,0.00842515,0.34652775,0.68626451,0.20502865,1.92484184,0.89644733,0.83423273,0.00000000
-5.97598799,2.34419837,0.00817052,0.34731456,0.68945363,0.20116813,1.91860074,0.89788358,0.82377988,0.00000000
-5.96998499,2.33845156,0.00799358,0.34908402,0.69421389,0.19763582,1.91741623,0.90071179,0.81472363,0.00000000
-5.96398199,2.33735718,0.00789863,0.35185561,0.70059062,0.19447576,1.92139977,0.90497337,0.80717541,0.00000000
-5.95797899,2.34091214,0.00788918,0.35560561,0.70856926,0.19171568,1.93043309,0.91061507,0.80117598,0.00000000
-5.95197599,2.34888230,0.00796804,0.36026871,0.71807590,0.18936641,1.94417694,0.91749049,0.79669476,0.00000000
-5.94597299,2.36081539,0.00813733,0.36574154,0.72898049,0.18742193,1.96208987,0.92536623,0.79363240,0.00000000
-5.93996998,2.37606418,0.00839854,0.37188780,0.74110256,0.18586028,1.98345604,0.93393224,0.79182666,0.00000000
-5.93396698,2.39381847,0.00875259,0.37854480,0.75421917,0.18464513,2.00742063,0.94281604,0.79106121,0.00000000
-5.92796398,2.41314434,0.00919978,0.38553092,0.76807454,0.18372798,2.03303100,0.95159983,0.79107689,0.00000000
-5.92196098,2.43302837,0.00973982,0.39265377,0.78239095,0.18305093,2.05928118,0.95983968,0.79158481,0.00000000
-5.91595798,2.45242439,0.01037178,0.39971835,0.79688019,0.18254973,2.08515764,0.96708580,0.79228062,0.00000000
-5.90995498,2.47030027,0.01109397,0.40653502,0.81125494,0.18215719,2.10968360,0.97290263,0.79285909,0.00000000
-5.90395198,2.48568222,0.01190389,0.41292670,0.82523947,0.18180652,2.13195992,0.97688787,0.79302823,0.00000000
-5.89794897,2.49769453,0.01279810,0.41873507,0.83857918,0.18143464,2.15120034,0.97868945,0.79252237,0.00000000
-5.89194597,2.50559264,0.01377210,0.42382541,0.85104844,0.18098523,2.16675960,0.97801950,0.79111337,0.00000000
-5.88594297,2.50878839,0.01482024,0.42808993,0.86245657,0.18041136,2.17815326,0.97466494,0.78861958,0.00000000
-5.87993997,2.50686658,0.01593561,0.43144958,0.87265165,0.17967782,2.18506864,0.96849411,0.78491228,0.00000000
-5.87393697,2.49959248,0.01711000,0.43385422,0.88152237,0.17876268,2.18736675,0.95945947,0.77991932,0.00000000
-5.86793397,2.48691075,0.01833389,0.43528149,0.88899792,0.17765858,2.18507577,0.94759640,0.77362612,0.00000000
-5.86193097,2.46893660,0.01959648,0.43573432,0.89504628,0.17637320,2.17837698,0.93301845,0.76607407,0.00000000
-5.85592796,2.44594029,0.02088583,0.43523756,0.89967124,0.17492941,2.16758441,0.91590971,0.75735685,0.00000000
