energy_ev,total_up,Ag_p_up,Ag_d_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.65172876,0.38149824,0.31890634,0.13453757,0.04762884,0.02155752,0.03472299,0.10267254,0.00000000
-5.99399700,0.68093088,0.40387281,0.31312689,0.15389756,0.05291175,0.02426454,0.03987123,0.11288820,0.00000000
-5.98799400,0.71729943,0.42894610,0.31110363,0.17519064,0.05864672,0.02713837,0.04555408,0.12400761,0.00000000
-5.98199100,0.76048319,0.45634992,0.31272622,0.19836784,0.06479121,0.03015977,0.05176393,0.13594001,0.00000000
-5.97598799,0.81000307,0.48566712,0.31782550,0.22333876,0.07129298,0.03330437,0.05848240,0.14857887,0.00000000
-5.96998499,0.86525273,0.51643780,0.32617417,0.24996822,0.07809038,0.03654280,0.06567939,0.16180279,0.00000000
-5.96398199,0.92550297,0.54816721,0.33748907,0.27807399,0.08511286,0.03984087,0.07331229,0.17547688,0.00000000
-5.95797899,0.98990998,0.58033505,0.35143494,0.30742602,0.09228195,0.04316002,0.08132571,0.18945482,0.00000000
-5.95197599,1.05752754,0.61240601,0.36762980,0.33774720,0.09951250,0.04645793,0.08965145,0.20358128,0.00000000
-5.94597299,1.12732302,0.64384122,0.38565159,0.36871594,0.10671424,0.04968929,0.09820907,0.21769496,0.00000000
-5.93996998,1.19819675,0.67411024,0.40504616,0.39997056,0.11379370,0.05280681,0.10690686,0.23163187,0.00000000
-5.93396698,1.26900448,0.70270329,0.42533634,0.43111559,0.12065627,0.05576225,0.11564333,0.24522898,0.00000000
-5.92796398,1.33858218,0.72914308,0.44603187,0.46172968,0.12720848,0.05850766,0.12430917,0.25832788,0.00000000
-5.92196098,1.40577246,0.75299611,0.46663994,0.49137522,0.13336027,0.06099660,0.13278959,0.27077853,0.00000000
-5.91595798,1.46945179,0.77388270,0.48667614,0.51960911,0.13902732,0.06318550,0.14096707,0.28244276,0.00000000
-5.90995498,1.52855757,0.79148572,0.50567535,0.54599450,0.14413322,0.06503485,0.14872433,0.29319741,0.00000000
-5.90395198,1.58211402,0.80555742,0.52320242,0.57011303,0.14861140,0.06651042,0.15594746,0.30293709,0.00000000
-5.89794897,1.62925599,0.81592434,0.53886213,0.59157711,0.15240683,0.06758429,0.16252911,0.31157625,0.00000000
-5.89194597,1.66924984,0.82249002,0.55230825,0.61004170,0.15547728,0.06823576,0.16837150,0.31905062,0.00000000
-5.88594297,1.70151049,0.82523559,0.56325122,0.62521517,0.15779419,0.06845200,0.17338931,0.32531796,0.00000000
-5.87993997,1.72561409,0.82421813,0.57146445,0.63686879,0.15934308,0.06822854,0.17751213,0.33035795,0.00000000
-5.87393697,1.74130597,0.81956716,0.57678868,0.64484441,0.16012350,0.06756938,0.18068655,0.33417153,0.00000000
-5.86793397,1.74850351,0.81147932,0.57913466,0.64906003,0.16014851,0.06648695,0.18287761,0.33677955,0.00000000
-5.86193097,1.74729407,0.80021168,0.57848370,0.64951316,0.15944371,0.06500176,0.18406976,0.33822084,0.00000000
-5.85592796,1.73792836,0.78607395,0.57488648,0.64628162,0.15804605,0.06314179,0.18426720,0.33855004,0.00000000
-5.84992496,1.72080945,0.76942011,0.56845992,0.63952209,0.15600216,0.06094164,0.18349350,0.33783513,0.00000000
-5.84392196,1.69647837,0.75063970,0.55938250,0.62946634,0.15336667,0.05844157,0.18179081,0.33615495,0.00000000
-5.83791896,1.66559698,0.73014936,0.54788821,0.61641534,0.15020029,0.05568631,0.17921842,0.33359683,0.00000000
-5.83191596,1.62892896,0.70838477,0.53425933,0.60073175,0.14656802,0.05272379,0.17585094,0.33025447,0.00000000
-5.82591296,1.58731983,0.68579335,0.51881859,0.58283090,0.14253730,0.04960387,0.17177617,0.32622624,0.00000000
-5.81990995,1.54167687,0.66282791,0.50192072,0.56317083,0.13817639,0.04637700,0.16709263,0.32161385,0.00000000
-5.81390695,1.49294963,0.63994134,0.48394402,0.54224174,0.13355300,0.04309299,0.16190712,0.31652157,0.00000000
-5.80790395,1.44211162,0.61758224,0.46528194,0.52055519,0.12873308,0.03979985,0.15633209,0.31105587,0.00000000
-5.80190095,1.39014363,0.59619147,0.44633514,0.49863336,0.12377995,0.03654274,0.15048318,0.30532540,0.00000000
-5.79589795,1.33801880,0.57619940,0.42750394,0.47699878,0.11875371,0.03336312,0.14447684,0.29944133,0.00000000
