energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.28484464,-0.28484464,0.00197905,-0.00197905,0.00000000,-0.00000000,0.00279004,-0.00279004,0.00342447,-0.00342447,0.05972135,-0.05972135,0.10366129,-0.10366129,0.00022639,-0.00022639,0.15882096,-0.15882096
-5.99399700,0.28010078,-0.28010078,0.00193894,-0.00193894,0.00000000,-0.00000000,0.00269859,-0.00269859,0.00365807,-0.00365807,0.05957566,-0.05957566,0.10198290,-0.10198290,0.00025561,-0.00025561,0.15570269,-0.15570269
-5.98799400,0.27704150,-0.27704150,0.00190491,-0.00190491,0.00000000,-0.00000000,0.00262327,-0.00262327,0.00404458,-0.00404458,0.06013753,-0.06013753,0.10065815,-0.10065815,0.00029886,-0.00029886,0.15339374,-0.15339374
-5.98199100,0.27584822,-0.27584822,0.00187756,-0.00187756,0.00000000,-0.00000000,0.00256605,-0.00256605,0.00458317,-0.00458317,0.06143052,-0.06143052,0.09976873,-0.09976873,0.00035729,-0.00035729,0.15199383,-0.15199383
-5.97598799,0.27674308,-0.27674308,0.00185784,-0.00185784,0.00000000,-0.00000000,0.00252960,-0.00252960,0.00527576,-0.00527576,0.06349025,-0.06349025,0.09940593,-0.09940593,0.00043244,-0.00043244,0.15162395,-0.15162395
-5.96998499,0.27997946,-0.27997946,0.00184696,-0.00184696,0.00000000,-0.00000000,0.00251718,-0.00251718,0.00612664,-0.00612664,0.06636117,-0.06636117,0.09966803,-0.09966803,0.00052621,-0.00052621,0.15242133,-0.15242133
-5.96398199,0.28583196,-0.28583196,0.00184631,-0.00184631,0.00000000,-0.00000000,0.00253263,-0.00253263,0.00714206,-0.00714206,0.07009324,-0.07009324,0.10065747,-0.10065747,0.00064085,-0.00064085,0.15453411,-0.15453411
-5.95797899,0.29458597,-0.29458597,0.00185744,-0.00185744,0.00000000,-0.00000000,0.00258023,-0.00258023,0.00832985,-0.00832985,0.07473856,-0.07473856,0.10247797,-0.10247797,0.00077891,-0.00077891,0.15811571,-0.15811572
-5.95197599,0.30652726,-0.30652726,0.00188193,-0.00188193,0.00000000,-0.00000000,0.00266458,-0.00266458,0.00969916,-0.00969916,0.08034809,-0.08034809,0.10523170,-0.10523170,0.00094318,-0.00094318,0.16331916,-0.16331916
-5.94597299,0.32193171,-0.32193171,0.00192135,-0.00192135,0.00000000,-0.00000000,0.00279052,-0.00279052,0.01126017,-0.01126017,0.08696858,-0.08696857,0.10901649,-0.10901649,0.00113668,-0.00113668,0.17029137,-0.17029137
-5.93996998,0.34105546,-0.34105546,0.00197723,-0.00197723,0.00000000,-0.00000000,0.00296297,-0.00296297,0.01302401,-0.01302401,0.09463975,-0.09463975,0.11392326,-0.11392326,0.00136255,-0.00136255,0.17916766,-0.17916766
-5.93396698,0.36412595,-0.36412595,0.00205093,-0.00205093,0.00000000,-0.00000000,0.00318678,-0.00318678,0.01500261,-0.01500261,0.10339205,-0.10339204,0.12003377,-0.12003377,0.00162399,-0.00162399,0.19006657,-0.19006657
-5.92796398,0.39133396,-0.39133396,0.00214366,-0.00214366,0.00000000,-0.00000000,0.00346661,-0.00346661,0.01720877,-0.01720877,0.11324478,-0.11324478,0.12741866,-0.12741866,0.00192419,-0.00192419,0.20308519,-0.20308519
-5.92196098,0.42282705,-0.42282705,0.00225642,-0.00225642,0.00000000,-0.00000000,0.00380669,-0.00380669,0.01965630,-0.01965630,0.12420510,-0.12420510,0.13613598,-0.13613598,0.00226620,-0.00226620,0.21829511,-0.21829511
-5.91595798,0.45870463,-0.45870463,0.00238997,-0.00238997,0.00000000,-0.00000000,0.00421071,-0.00421071,0.02236024,-0.02236024,0.13626763,-0.13626763,0.14623026,-0.14623026,0.00265287,-0.00265287,0.23573928,-0.23573928
-5.90995498,0.49901491,-0.49901491,0.00254482,-0.00254482,0.00000000,-0.00000000,0.00468160,-0.00468160,0.02533719,-0.02533719,0.14941502,-0.14941502,0.15773204,-0.15773204,0.00308673,-0.00308673,0.25542966,-0.25542966
-5.90395198,0.54375383,-0.54375383,0.00272123,-0.00272123,0.00000000,-0.00000000,0.00522136,-0.00522136,0.02860572,-0.02860572,0.16361936,-0.16361936,0.17065805,-0.17065805,0.00356981,-0.00356981,0.27734611,-0.27734611
-5.89794897,0.59286615,-0.59286615,0.00291922,-0.00291922,0.00000000,-0.00000000,0.00583090,-0.00583090,0.03218688,-0.03218688,0.17884453,-0.17884453,0.18501186,-0.18501186,0.00410364,-0.00410364,0.30143624,-0.30143624
-5.89194597,0.64624859,-0.64624859,0.00313861,-0.00313861,0.00000000,-0.00000000,0.00650987,-0.00650987,0.03610469,-0.03610469,0.19504935,-0.19504935,0.20078510,-0.20078510,0.00468902,-0.00468902,0.32761658,-0.32761658
-5.88594297,0.70375507,-0.70375507,0.00337904,-0.00337904,0.00000000,-0.00000000,0.00725652,-0.00725652,0.04038667,-0.04038667,0.21219156,-0.21219156,0.21795910,-0.21795910,0.00532599,-0.00532599,0.35577483,-0.35577483
-5.87993997,0.76520365,-0.76520365,0.00364001,-0.00364001,0.00000000,-0.00000000,0.00806758,-0.00806758,0.04506428,-0.04506428,0.23023232,-0.23023232,0.23650692,-0.23650692,0.00601371,-0.00601371,0.38577324,-0.38577324
-5.87393697,0.83038509,-0.83038509,0.00392096,-0.00392096,0.00000000,-0.00000000,0.00893823,-0.00893823,0.05017337,-0.05017337,0.24914118,-0.24914118,0.25639555,-0.25639555,0.00675038,-0.00675038,0.41745300,-0.41745300
-5.86793397,0.89907245,-0.89907245,0.00422128,-0.00422128,0.00000000,-0.00000000,0.00986202,-0.00986202,0.05575436,-0.05575436,0.26890117,-0.26890117,0.27758830,-0.27758830,0.00753319,-0.00753319,0.45063944,-0.45063944
-5.86193097,0.97103131,-0.97103131,0.00454041,-0.00454041,0.00000000,-0.00000000,0.01083089,-0.01083089,0.06185233,-0.06185233,0.28951370,-0.28951370,0.30004715,-0.30004714,0.00835827,-0.00835827,0.48514782,-0.48514782
-5.85592796,1.04603012,-1.04603012,0.00487787,-0.00487787,0.00000000,-0.00000000,0.01183525,-0.01183525,0.06851683,-0.06851683,0.31100299,-0.31100299,0.32373488,-0.32373488,0.00922073,-0.00922073,0.52078948,-0.52078948
-5.84992496,1.12385000,-1.12385000,0.00523331,-0.00523331,0.00000000,-0.00000000,0.01286411,-0.01286411,0.07580140,-0.07580140,0.33341965,-0.33341965,0.34861702,-0.34861702,0.01011461,-0.01011461,0.55737805,-0.55737805
-5.84392196,1.20429345,-1.20429345,0.00560655,-0.00560655,0.00000000,-0.00000000,0.01390520,-0.01390520,0.08376279,-0.08376279,0.35684299,-0.35684299,0.37466329,-0.37466329,0.01103301,-0.01103301,0.59473537,-0.59473536
-5.83791896,1.28719132,-1.28719132,0.00599759,-0.00599759,0.00000000,-0.00000000,0.01494524,-0.01494524,0.09245983,-0.09245983,0.38138189,-0.38138189,0.40184865,-0.40184864,0.01196815,-0.01196815,0.63269683,-0.63269683
-5.83191596,1.37240765,-1.37240765,0.00640667,-0.00640667,0.00000000,-0.00000000,0.01597018,-0.01597018,0.10195201,-0.10195201,0.40717375,-0.40717375,0.43015365,-0.43015365,0.01291144,-0.01291144,0.67111589,-0.67111589
