energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.98984975,0.04275108,0.00098646,0.00943240,1.55508036,1.16993112,0.81988499
-5.99399700,1.94443439,0.04148951,0.00096658,0.00994957,1.51958481,1.13759483,0.80233815
-5.98799400,1.89708930,0.04026481,0.00094600,0.01048933,1.48249021,1.10308660,0.78450215
-5.98199100,1.84831335,0.03909099,0.00092501,0.01104978,1.44421343,1.06696392,0.76651325
-5.97598799,1.79867346,0.03798164,0.00090391,0.01162841,1.40522821,1.02982728,0.74853696
-5.96998499,1.74878884,0.03694943,0.00088300,0.01222201,1.36605226,0.99230267,0.73076381
-5.96398199,1.69931245,0.03600546,0.00086257,0.01282661,1.32723224,0.95502312,0.71340356
-5.95797899,1.65091091,0.03515877,0.00084288,0.01343747,1.28932729,0.91861014,0.69667843
-5.95197599,1.60424357,0.03441580,0.00082416,0.01404901,1.25289202,0.88365586,0.68081554
-5.94597299,1.55994186,0.03377996,0.00080663,0.01465486,1.21845947,0.85070663,0.66603894
-5.93996998,1.51858977,0.03325137,0.00079043,0.01524787,1.18652503,0.82024856,0.65256166
-5.93396698,1.48070603,0.03282669,0.00077566,0.01582022,1.15753153,0.79269556,0.64057801
-5.92796398,1.44672876,0.03249911,0.00076238,0.01636351,1.13185620,0.76838008,0.63025640
-5.92196098,1.41700284,0.03225857,0.00075059,0.01686893,1.10979985,0.74754678,0.62173300
-5.91595798,1.39177044,0.03209202,0.00074024,0.01732748,1.09157826,0.73034903,0.61510629
-5.90995498,1.37116469,0.03198399,0.00073122,0.01773015,1.07731619,0.71684829,0.61043276
-5.90395198,1.35520658,0.03191712,0.00072338,0.01806822,1.06704387,0.70701602,0.60772375
-5.89794897,1.34380507,0.03187295,0.00071655,0.01833351,1.06069595,0.70073789,0.60694360
-5.89194597,1.33676009,0.03183267,0.00071051,0.01851867,1.05811296,0.69782002,0.60800903
-5.88594297,1.33376846,0.03177799,0.00070502,0.01861745,1.05904499,0.69799693,0.61078983
-5.87993997,1.33443230,0.03169195,0.00069984,0.01862496,1.06315758,0.70094076,0.61511085
-5.87393697,1.33826984,0.03155978,0.00069473,0.01853788,1.07003960,0.70627164,0.62075521
-5.86793397,1.34472837,0.03136961,0.00068945,0.01835468,1.07921312,0.71356882,0.62746877
