energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,3.72232388,0.02920516,0.63275122,1.70423119,1.32916528,0.78479134,0.90902401,1.20706945,0.00000000
-5.99399700,3.66508202,0.02863519,0.62196395,1.68360159,1.30233027,0.76696222,0.91457422,1.18011527,0.00000000
-5.98799400,3.60287970,0.02792037,0.61128218,1.66086926,1.27514974,0.74674434,0.91829739,1.15088097,0.00000000
-5.98199100,3.53633172,0.02707263,0.60076693,1.63637836,1.24782142,0.72444806,0.92006860,1.11971543,0.00000000
-5.97598799,3.46604709,0.02610561,0.59045887,1.61046744,1.22051315,0.70041197,0.91976994,1.08698782,0.00000000
-5.96998499,3.39262315,0.02503429,0.58037861,1.58346298,1.19336169,0.67499635,0.91729634,1.05308306,0.00000000
-5.96398199,3.31664080,0.02387463,0.57052759,1.55567348,1.16647233,0.64857626,0.91256149,1.01839686,0.00000000
-5.95797899,3.23866091,0.02264321,0.56088957,1.52738436,1.13991953,0.62153443,0.90550354,0.98333051,0.00000000
-5.95197599,3.15922178,0.02135683,0.55143255,1.49885366,1.11374849,0.59425417,0.89609035,0.94828530,0.00000000
-5.94597299,3.07883755,0.02003221,0.54211123,1.47030877,1.08797764,0.56711240,0.88432390,0.91365688,0.00000000
-5.93996998,2.99799735,0.01868564,0.53286982,1.44194422,1.06260196,0.54047291,0.87024374,0.87982945,0.00000000
-5.93396698,2.91716480,0.01733268,0.52364515,1.41392049,1.03759693,0.51468004,0.85392904,0.84716987,0.00000000
-5.92796398,2.83677762,0.01598792,0.51436992,1.38636381,1.01292290,0.49005279,0.83549921,0.81602190,0.00000000
-5.92196098,2.75724691,0.01466476,0.50497594,1.35936678,0.98852973,0.46687942,0.81511296,0.78670036,0.00000000
-5.91595798,2.67895590,0.01337522,0.49539724,1.33298974,0.96436136,0.44541266,0.79296567,0.75948561,0.00000000
-5.90995498,2.60225768,0.01212984,0.48557299,1.30726267,0.94036007,0.42586557,0.76928529,0.73461811,0.00000000
-5.90395198,2.52747201,0.01093757,0.47544990,1.28218745,0.91647034,0.40840793,0.74432668,0.71229333,0.00000000
-5.89794897,2.45488101,0.00980576,0.46498428,1.25774033,0.89264194,0.39316347,0.71836478,0.69265707,0.00000000
-5.89194597,2.38472381,0.00874013,0.45414344,1.23387448,0.86883230,0.38020776,0.69168686,0.67580134,0.00000000
-5.88594297,2.31719048,0.00774483,0.44290656,1.21052250,0.84500799,0.36956687,0.66458401,0.66176085,0.00000000
-5.87993997,2.25241567,0.00682249,0.43126499,1.18759888,0.82114535,0.36121693,0.63734255,0.65051051,0.00000000
-5.87393697,2.19047227,0.00597436,0.41922195,1.16500230,0.79723027,0.35508459,0.61023546,0.64196388,0.00000000
-5.86793397,2.13136587,0.00520041,0.40679179,1.14261793,0.77325743,0.35104844,0.58351446,0.63597298,0.00000000
-5.86193097,2.07503050,0.00449947,0.39399876,1.12031966,0.74922882,0.34894147,0.55740290,0.63232951,0.00000000
-5.85592796,2.02132633,0.00386938,0.38087564,1.09797243,0.72515208,0.34855460,0.53209001,0.63076772,0.00000000
-5.84992496,1.97003983,0.00330720,0.36746196,1.07543476,0.70103864,0.34964127,0.50772657,0.63096902,0.00000000
-5.84392196,1.92088679,0.00280930,0.35380236,1.05256147,0.67690194,0.35192312,0.48442238,0.63256838,0.00000000
-5.83791896,1.87351852,0.00237158,0.33994481,1.02920678,0.65275587,0.35509667,0.46224542,0.63516252,0.00000000
-5.83191596,1.82753132,0.00198959,0.32593907,1.00522777,0.62861365,0.35884081,0.44122295,0.63831970,0.00000000
-5.82591296,1.78247900,0.00165868,0.31183530,0.98048822,0.60448715,0.36282509,0.42134426,0.64159105,0.00000000
-5.81990995,1.73788820,0.00137413,0.29768292,0.95486278,0.58038684,0.36671845,0.40256505,0.64452294,0.00000000
-5.81390695,1.69327601,0.00113124,0.28352982,0.92824132,0.55632217,0.37019825,0.38481310,0.64667018,0.00000000
-5.80790395,1.64816904,0.00092545,0.26942178,0.90053346,0.53230261,0.37295923,0.36799499,0.64760946,0.00000000
-5.80190095,1.60212329,0.00075239,0.25540228,0.87167293,0.50833902,0.37472214,0.35200351,0.64695267,0.00000000
-5.79589795,1.55474375,0.00060797,0.24151245,0.84162168,0.48444538,0.37524166,0.33672541,0.64435932,0.00000000
-5.78989495,1.50570295,0.00048837,0.22779136,0.81037346,0.46064062,0.37431343,0.32204908,0.63954789,0.00000000
-5.78389195,1.45475736,0.00039013,0.21427631,0.77795666,0.43695053,0.37177976,0.30787189,0.63230525,0.00000000
-5.77788894,1.40176111,0.00031014,0.20100336,0.74443629,0.41340949,0.36753391,0.29410677,0.62249405,0.00000000
-5.77188594,1.34667608,0.00024560,0.18800780,0.70991479,0.39006190,0.36152271,0.28068791,0.61005755,0.00000000
-5.76588294,1.28957808,0.00019409,0.17532466,0.67453174,0.36696323,0.35374749,0.26757526,0.59502180,0.00000000
-5.75987994,1.23065885,0.00015349,0.16298910,0.63846233,0.34418060,0.34426317,0.25475770,0.57749499,0.00000000
-5.75387694,1.17022371,0.00012203,0.15103678,0.60191460,0.32179282,0.33317572,0.24225495,0.55766411,0.00000000
-5.74787394,1.10868517,0.00009819,0.13950408,0.56512567,0.29988986,0.32063809,0.23011796,0.53578904,0.00000000
-5.74187094,1.04655281,0.00008073,0.12842825,0.52835691,0.27857192,0.30684473,0.21842818,0.51219440,0.00000000
-5.73586793,0.98442010,0.00006866,0.11784739,0.49188848,0.25794794,0.29202509,0.20729548,0.48725950,0.00000000
-5.72986493,0.92294865,0.00006120,0.10780046,0.45601336,0.23813384,0.27643632,0.19685508,0.46140690,0.00000000
-5.72386193,0.86285084,0.00005776,0.09832713,0.42103111,0.21925053,0.26035555,0.18726357,0.43509004,0.00000000
-5.71785893,0.80487156,0.00005792,0.08946770,0.38724185,0.20142177,0.24407199,0.17869431,0.40878050,0.00000000
-5.71185593,0.74976984,0.00006143,0.08126293,0.35494043,0.18477201,0.22787931,0.17133225,0.38295533,0.00000000
-5.70585293,0.69830102,0.00006814,0.07375404,0.32441127,0.16942441,0.21206844,0.16536851,0.35808497,0.00000000
-5.69984992,0.65120017,0.00007805,0.06698259,0.29592392,0.15549898,0.19692105,0.16099478,0.33462210,0.00000000
-5.69384692,0.60916721,0.00009125,0.06099058,0.26972956,0.14311098,0.18270394,0.15839779,0.31299174,0.00000000
-5.68784392,0.57285400,0.00010793,0.05582046,0.24605839,0.13236964,0.16966437,0.15775395,0.29358282,0.00000000
-5.68184092,0.54285357,0.00012835,0.05151523,0.22511799,0.12337710,0.15802645,0.15922429,0.27674132,0.00000000
-5.67583792,0.51969168,0.00015285,0.04811855,0.20709264,0.11622769,0.14798850,0.16294976,0.26276513,0.00000000
-5.66983492,0.50382037,0.00018186,0.04567475,0.19214330,0.11100732,0.13972135,0.16904709,0.25190041,0.00000000
-5.66383192,0.49561352,0.00021582,0.04422879,0.18040821,0.10779308,0.13336744,0.17760517,0.24433946,0.00000000
-5.65782891,0.49536403,0.00025527,0.04382598,0.17200399,0.10665287,0.12904065,0.18868205,0.24022000,0.00000000
-5.65182591,0.50328236,0.00030077,0.04451165,0.16702676,0.10764494,0.12682657,0.20230272,0.23962546,0.00000000
-5.64582291,0.51949613,0.00035292,0.04633040,0.16555345,0.11081742,0.12678314,0.21845749,0.24258641,0.00000000
-5.63981991,0.54405043,0.00041236,0.04932520,0.16764272,0.11620751,0.12894156,0.23710127,0.24908261,0.00000000
-5.63381691,0.57690871,0.00047977,0.05353616,0.17333568,0.12384059,0.13330716,0.25815363,0.25904573,0.00000000
-5.62781391,0.61795398,0.00055580,0.05899899,0.18265616,0.13372899,0.13986032,0.28149961,0.27236251,0.00000000
-5.62181091,0.66699028,0.00064115,0.06574327,0.19561040,0.14587049,0.14855730,0.30699150,0.28887820,0.00000000
-5.61580790,0.72374435,0.00073650,0.07379046,0.21218639,0.16024669,0.15933093,0.33445126,0.30840030,0.00000000
-5.60980490,0.78786764,0.00084249,0.08315185,0.23235272,0.17682123,0.17209122,0.36367376,0.33070240,0.00000000
-5.60380190,0.85893870,0.00095974,0.09382647,0.25605723,0.19553793,0.18672597,0.39443072,0.35552825,0.00000000
-5.59779890,0.93646617,0.00108881,0.10579908,0.28322546,0.21631914,0.20310141,0.42647518,0.38259586,0.00000000
-5.59179590,1.01989255,0.00123021,0.11903845,0.31375925,0.23906426,0.22106294,0.45954636,0.41160184,0.00000000
-5.58579290,1.10859900,0.00138432,0.13349590,0.34753553,0.26364872,0.24043621,0.49337491,0.44222578,0.00000000
-5.57978989,1.20191119,0.00155143,0.14910447,0.38440565,0.28992346,0.26102852,0.52768820,0.47413485,0.00000000
-5.57378689,1.29910659,0.00173170,0.16577851,0.42419525,0.31771520,0.28263073,0.56221565,0.50698844,0.00000000
-5.56778389,1.39942306,0.00192510,0.18341404,0.46670494,0.34682742,0.30501961,0.59669372,0.54044300,0.00000000
-5.56178089,1.50206886,0.00213145,0.20188986,0.51171183,0.37704223,0.32796093,0.63087065,0.57415689,0.00000000
-5.55577789,1.60623390,0.00235034,0.22106932,0.55897184,0.40812325,0.35121300,0.66451061,0.60779519,0.00000000
-5.54977489,1.71110214,0.00258117,0.24080286,0.60822290,0.43981926,0.37453083,0.69739716,0.64103457,0.00000000
-5.54377189,1.81586478,0.00282306,0.26093119,0.65918873,0.47186876,0.39767075,0.72933608,0.67356780,0.00000000
-5.53776888,1.91973391,0.00307491,0.28128899,0.71158331,0.50400525,0.42039533,0.76015725,0.70510815,0.00000000
-5.53176588,2.02195618,0.00333535,0.30170906,0.76511558,0.53596297,0.44247856,0.78971578,0.73539327,0.00000000
-5.52576288,2.12182602,0.00360275,0.32202660,0.81949432,0.56748311,0.46371098,0.81789230,0.76418864,0.00000000
-5.51975988,2.21869791,0.00387522,0.34208368,0.87443297,0.59832002,0.48390459,0.84459235,0.79129032,0.00000000
-5.51375688,2.31199725,0.00415065,0.36173344,0.92965413,0.62824735,0.50289739,0.86974513,0.81652708,0.00000000
-5.50775388,2.40122938,0.00442667,0.38084401,0.98489372,0.65706379,0.52055728,0.89330150,0.83976170,0.00000000
-5.50175088,2.48598642,0.00470074,0.39930201,1.03990462,0.68459816,0.53678521,0.91523143,0.86089143,0.00000000
-5.49574787,2.56595167,0.00497016,0.41701530,1.09445983,0.71071368,0.55151730,0.93552098,0.87984772,0.00000000
-5.48974487,2.64090152,0.00523210,0.43391520,1.14835523,0.73531131,0.56472605,0.95416902,0.89659506,0.00000000
-5.48374187,2.71070480,0.00548369,0.44995781,1.20141199,0.75833186,0.57642032,0.97118366,0.91112916,0.00000000
-5.47773887,2.77531988,0.00572204,0.46512471,1.25347906,0.77975703,0.58664434,0.98657875,0.92347453,0.00000000
-5.47173587,2.83478967,0.00594432,0.47942291,1.30443566,0.79960922,0.59547556,1.00037043,0.93368151,0.00000000
-5.46573287,2.88923512,0.00614783,0.49288416,1.35419427,0.81795033,0.60302164,1.01257401,0.94182308,0.00000000
-5.45972986,2.93884748,0.00633007,0.50556380,1.40270429,0.83487942,0.60941654,1.02320121,0.94799144,0.00000000
-5.45372686,2.98388008,0.00648878,0.51753919,1.44995635,0.85052960,0.61481608,1.03225803,0.95229464,0.00000000
-5.44772386,3.02463993,0.00662206,0.52890788,1.49598760,0.86506423,0.61939290,1.03974326,0.95485344,0.00000000
-5.44172086,3.06147978,0.00672840,0.53978560,1.54088759,0.87867261,0.62333131,1.04564783,0.95579839,0.00000000
-5.43571786,3.09479088,0.00680675,0.55030418,1.58480484,0.89156528,0.62682191,1.04995493,0.95526741,0.00000000
-5.42971486,3.12499660,0.00685655,0.56060944,1.62795342,0.90396921,0.63005640,1.05264113,0.95340378,0.00000000
-5.42371186,3.15254716,0.00687781,0.57085906,1.67061917,0.91612287,0.63322254,1.05367819,0.95035468,0.00000000
-5.41770885,3.17791513,0.00687110,0.58122036,1.71316498,0.92827141,0.63649950,1.05303583,0.94627002,0.00000000
-5.41170585,3.20159151,0.00683762,0.59186800,1.75603405,0.94066181,0.64005357,1.05068493,0.94130172,0.00000000
-5.40570285,3.22408202,0.00677913,0.60298146,1.79975080,0.95353813,0.64403426,1.04660133,0.93560312,0.00000000
-5.39969985,3.24590289,0.00669800,0.61474217,1.84491818,0.96713688,0.64857097,1.04076979,0.92932839,0.00000000
-5.39369685,3.26757579,0.00659712,0.62733026,1.89221106,0.98168223,0.65376995,1.03318788,0.92263178,0.00000000
-5.38769385,3.28962117,0.00647992,0.64092073,1.94236494,0.99738129,0.65971174,1.02386958,0.91566660,0.00000000
