energy_ev,total_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
1.19759880,0.92848014,0.14826004,0.40613535,0.10629385,0.33515185,0.00371220,0.04877802,0.00441782,0.11767441
1.20360180,0.88934214,0.14411745,0.38956527,0.10269443,0.31804313,0.00313783,0.04762075,0.00425655,0.11349766
1.20960480,0.85537434,0.14013948,0.37585698,0.09972860,0.30209115,0.00264403,0.04649324,0.00417907,0.11016137
1.21560780,0.82688259,0.13640225,0.36506676,0.09746562,0.28749081,0.00222463,0.04541231,0.00418561,0.10773550
1.22161081,0.80411943,0.13297907,0.35722559,0.09596464,0.27441569,0.00187322,0.04439502,0.00427599,0.10628203
1.22761381,0.78728093,0.12993948,0.35233900,0.09527326,0.26301481,0.00158340,0.04345906,0.00444967,0.10585373
1.23361681,0.77650462,0.12734833,0.35038704,0.09542616,0.25341032,0.00134895,0.04262309,0.00470564,0.10649295
1.23961981,0.77186842,0.12526501,0.35132453,0.09644412,0.24569610,0.00116400,0.04190712,0.00504244,0.10823071
1.24562281,0.77339092,0.12374282,0.35508162,0.09833328,0.23993740,0.00102317,0.04133286,0.00545813,0.11108577
1.25162581,0.78103260,0.12282844,0.36156460,0.10108481,0.23617136,0.00092163,0.04092395,0.00595025,0.11506399
1.25762881,0.79469819,0.12256150,0.37065704,0.10467487,0.23440848,0.00085524,0.04070618,0.00651578,0.12015775
1.26363182,0.81423992,0.12297432,0.38222119,0.10906497,0.23463480,0.00082052,0.04070750,0.00715121,0.12634567
1.26963482,0.83946139,0.12409157,0.39609956,0.11420273,0.23681475,0.00081477,0.04095794,0.00785256,0.13359235
1.27563782,0.87012208,0.12593029,0.41211661,0.12002295,0.24089451,0.00083604,0.04148931,0.00861543,0.14184844
1.28164082,0.90594214,0.12849974,0.43008054,0.12644903,0.24680569,0.00088316,0.04233486,0.00943515,0.15105082
1.28764382,0.94660740,0.13180165,0.44978519,0.13339471,0.25446925,0.00095577,0.04352862,0.01030690,0.16112300
1.29364682,0.99177442,0.13583039,0.47101185,0.14076606,0.26379932,0.00105428,0.04510474,0.01122589,0.17197573
1.29964982,1.04107552,0.14057349,0.49353114,0.14846377,0.27470708,0.00117991,0.04709661,0.01218755,0.18350785
1.30565283,1.09412370,0.14601220,0.51710498,0.15638547,0.28710420,0.00133468,0.04953592,0.01318776,0.19560741
1.31165583,1.15051742,0.15212230,0.54148850,0.16442828,0.30090596,0.00152133,0.05245164,0.01422304,0.20815303
1.31765883,1.20984515,0.15887509,0.56643223,0.17249136,0.31603385,0.00174335,0.05586893,0.01529074,0.22101557
1.32366183,1.27168978,0.16623846,0.59168428,0.18047834,0.33241751,0.00200487,0.05980808,0.01638921,0.23406001
1.32966483,1.33563276,0.17417814,0.61699291,0.18829975,0.34999596,0.00231061,0.06428343,0.01751786,0.24714767
1.33566783,1.40125798,0.18265890,0.64210915,0.19587509,0.36871808,0.00266574,0.06930238,0.01867729,0.26013860
1.34167084,1.46815525,0.19164585,0.66678973,0.20313474,0.38854218,0.00307578,0.07486450,0.01986917,0.27289416
1.34767384,1.53592341,0.20110549,0.69080020,0.21002135,0.40943485,0.00354640,0.08096069,0.02109617,0.28527970
1.35367684,1.60417280,0.21100667,0.71391809,0.21649096,0.43136888,0.00408317,0.08757261,0.02236173,0.29716724
1.35967984,1.67252709,0.22132122,0.73593608,0.22251345,0.45432045,0.00469140,0.09467216,0.02366976,0.30843809
1.36568284,1.74062424,0.23202425,0.75666503,0.22807258,0.47826566,0.00537579,0.10222129,0.02502428,0.31898527
1.37168584,1.80811660,0.24309396,0.77593668,0.23316545,0.50317642,0.00614018,0.11017192,0.02642896,0.32871558
1.37768884,1.87466992,0.25451109,0.79360588,0.23780139,0.52901604,0.00698719,0.11846621,0.02788663,0.33755129
1.38369185,1.93996148,0.26625780,0.80955216,0.24200042,0.55573454,0.00791798,0.12703699,0.02939877,0.34543136
1.38969485,2.00367710,0.27831616,0.82368053,0.24579122,0.58326406,0.00893186,0.13580856,0.03096499,0.35231197
1.39569785,2.06550758,0.29066617,0.83592144,0.24920874,0.61151444,0.01002611,0.14469765,0.03258258,0.35816659
1.40170085,2.12514440,0.30328359,0.84622981,0.25229162,0.64036951,0.01119565,0.15361471,0.03424609,0.36298528
1.40770385,2.18227543,0.31613744,0.85458321,0.25507938,0.66968400,0.01243298,0.16246546,0.03594701,0.36677353
1.41370685,2.23658069,0.32918758,0.86097922,0.25760973,0.69928161,0.01372802,0.17115261,0.03767362,0.36955050
1.41970985,2.28772902,0.34238237,0.86543226,0.25991595,0.72895439,0.01506813,0.17957781,0.03941096,0.37134691
1.42571286,2.33537584,0.35565665,0.86796992,0.26202457,0.75846346,0.01643823,0.18764380,0.04114092,0.37220265
1.43171586,2.37916278,0.36893024,0.86862929,0.26395344,0.78754140,0.01782103,0.19525655,0.04284258,0.37216429
1.43771886,2.41871936,0.38210710,0.86745335,0.26571040,0.81589630,0.01919734,0.20232759,0.04449264,0.37128263
1.44372186,2.45366730,0.39507524,0.86448787,0.26729243,0.84321736,0.02054649,0.20877620,0.04606603,0.36961055
1.44972486,2.48362754,0.40770760,0.85977905,0.26868557,0.86918208,0.02184690,0.21453161,0.04753669,0.36720120
1.45572786,2.50822995,0.41986385,0.85337208,0.26986548,0.89346475,0.02307668,0.21953494,0.04887836,0.36410669
1.46173087,2.52712575,0.43139315,0.84531081,0.27079863,0.91574600,0.02421429,0.22374103,0.05006550,0.36037747
1.46773387,2.54000196,0.44213781,0.83563862,0.27144422,0.93572307,0.02523927,0.22711980,0.05107423,0.35606224
1.47373687,2.54659755,0.45193775,0.82440036,0.27175654,0.95312040,0.02613290,0.22965737,0.05188321,0.35120861
1.47973987,2.54672031,0.46063556,0.81164535,0.27168774,0.96770001,0.02687892,0.23135670,0.05247448,0.34586418
1.48574287,2.54026364,0.46808197,0.79743114,0.27119098,0.97927129,0.02746412,0.23223774,0.05283419,0.34007824
1.49174587,2.52722211,0.47414147,0.78182775,0.27022353,0.98769964,0.02787884,0.23233706,0.05295315,0.33390363
1.49774887,2.50770476,0.47869780,0.76492199,0.26874994,0.99291353,0.02811742,0.23170703,0.05282727,0.32739874
1.50375188,2.48194516,0.48165901,0.74682159,0.26674487,0.99490955,0.02817841,0.23041440,0.05245775,0.32062942
1.50975488,2.45030724,0.48296195,0.72765850,0.26419560,0.99375515,0.02806470,0.22853851,0.05185108,0.31367053
1.51575788,2.41328618,0.48257567,0.70759128,0.26110397,0.98958884,0.02778343,0.22616895,0.05101882,0.30660700
1.52176088,2.37150384,0.48050386,0.68680609,0.25748758,0.98261767,0.02734578,0.22340298,0.04997725,0.29953421
1.52776388,2.32569856,0.47678594,0.66551603,0.25338039,0.97311212,0.02676660,0.22034257,0.04874679,0.29255750
1.53376688,2.27670944,0.47149681,0.64395882,0.24883242,0.96139838,0.02606384,0.21709139,0.04735129,0.28579084
1.53976988,2.22545551,0.46474522,0.62239279,0.24390874,0.94784848,0.02525796,0.21375167,0.04581723,0.27935461
1.54577289,2.17291054,0.45667087,0.60109117,0.23868772,0.93286853,0.02437121,0.21042116,0.04417288,0.27337254
1.55177589,2.12007461,0.44744026,0.58033503,0.23325863,0.91688562,0.02342677,0.20719030,0.04244742,0.26796793
1.55777889,2.06794358,0.43724155,0.56040519,0.22771871,0.90033402,0.02244806,0.20413966,0.04067006,0.26325929
1.56378189,2.01747807,0.42627866,0.54157338,0.22216996,0.88364113,0.02145787,0.20133786,0.03886931,0.25935579
1.56978489,1.96957319,0.41476484,0.52409327,0.21671564,0.86721408,0.02047768,0.19883999,0.03707227,0.25635256
1.57578789,1.92503089,0.40291602,0.50819177,0.21145687,0.85142738,0.01952698,0.19668660,0.03530410,0.25432622
1.58179090,1.88453594,0.39094432,0.49406104,0.20648936,0.83661232,0.01862270,0.19490332,0.03358760,0.25333097
1.58779390,1.84863710,0.37905181,0.48185182,0.20190056,0.82304859,0.01777887,0.19350120,0.03194300,0.25339540
1.59379690,1.81773419,0.36742506,0.47166825,0.19776725,0.81095850,0.01700622,0.19247765,0.03038781,0.25452032
1.59979990,1.79207193,0.35623047,0.46356471,0.19415386,0.80050397,0.01631216,0.19181798,0.02893694,0.25667766
1.60580290,1.77174074,0.34561070,0.45754460,0.19111146,0.79178652,0.01570071,0.19149751,0.02760280,0.25981077
1.61180590,1.75668431,0.33568226,0.45356150,0.18867746,0.78485001,0.01517268,0.19148409,0.02639567,0.26383589
1.61780890,1.74671379,0.32653435,0.45152225,0.18687618,0.77968609,0.01472591,0.19174099,0.02532396,0.26864494
1.62381191,1.74152743,0.31822891,0.45129216,0.18571996,0.77624183,0.01435571,0.19222984,0.02439468,0.27410948
1.62981491,1.74073478,0.31080189,0.45270188,0.18521096,0.77442913,0.01405526,0.19291375,0.02361375,0.28008563
1.63581791,1.74388391,0.30426544,0.45555553,0.18534332,0.77413525,0.01381616,0.19376012,0.02298642,0.28641965
1.64182091,1.75049018,0.29861111,0.45963987,0.18610560,0.77523383,0.01362898,0.19474328,0.02251755,0.29295406
1.64782391,1.76006487,0.29381357,0.46473371,0.18748336,0.77759567,0.01348384,0.19584653,0.02221184,0.29953383
1.65382691,1.77214190,0.28983476,0.47061737,0.18946150,0.78109865,0.01337093,0.19706372,0.02207394,0.30601235
1.65982991,1.78630131,0.28662826,0.47708145,0.19202634,0.78563607,0.01328103,0.19840006,0.02210846,0.31225688
1.66583292,1.80218792,0.28414347,0.48393449,0.19516723,0.79112298,0.01320600,0.19987215,0.02231991,0.31815315
1.67183592,1.81952430,0.28232948,0.49100928,0.19887748,0.79750003,0.01313910,0.20150724,0.02271242,0.32360897
1.67783892,1.83811713,0.28113841,0.49816724,0.20315458,0.80473461,0.01307535,0.20334172,0.02328954,0.32855642
