energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.24108721,0.04409819,0.14000075,0.51332050,0.00000000,0.51172489,0.15115781
-5.99399700,1.24558811,0.04641768,0.13716547,0.51461638,0.00000000,0.50733858,0.15225877
-5.98799400,1.25647912,0.04901407,0.13526963,0.51820136,0.00000000,0.50623004,0.15414788
-5.98199100,1.27301952,0.05184162,0.13427204,0.52375333,0.00000000,0.50815570,0.15674039
-5.97598799,1.29428269,0.05484543,0.13410394,0.53088470,0.00000000,0.51277615,0.15992751
-5.96998499,1.31918582,0.05796284,0.13467246,0.53915463,0.00000000,0.51966915,0.16357965
-5.96398199,1.34652500,0.06112502,0.13586474,0.54808313,0.00000000,0.52834529,0.16755041
-5.95797899,1.37501448,0.06425886,0.13755276,0.55716636,0.00000000,0.53826547,0.17168113
-5.95197599,1.40332902,0.06728905,0.13959853,0.56589289,0.00000000,0.54885989,0.17580601
-5.94597299,1.43014761,0.07014026,0.14185953,0.57376015,0.00000000,0.55954775,0.17975748
-5.93996998,1.45419725,0.07273942,0.14419419,0.58029062,0.00000000,0.56975704,0.18337165
-5.93396698,1.47429499,0.07501796,0.14646716,0.58504711,0.00000000,0.57894372,0.18649375
-5.92796398,1.48938675,0.07691393,0.14855431,0.58764662,0.00000000,0.58660957,0.18898322
-5.92196098,1.49858147,0.07837392,0.15034711,0.58777221,0.00000000,0.59231811,0.19071831
-5.91595798,1.50117916,0.07935473,0.15175629,0.58518244,0.00000000,0.59570805,0.19160005
-5.90995498,1.49669189,0.07982469,0.15271472,0.57971807,0.00000000,0.59650367,0.19155534
-5.90395198,1.48485681,0.07976461,0.15317929,0.57130578,0.00000000,0.59452187,0.19053911
-5.89794897,1.46564097,0.07916825,0.15313178,0.55995877,0.00000000,0.58967560,0.18853543
-5.89194597,1.43923752,0.07804242,0.15257871,0.54577429,0.00000000,0.58197363,0.18555756
-5.88594297,1.40605401,0.07640658,0.15155016,0.52892834,0.00000000,0.57151675,0.18164699
-5.87993997,1.36669313,0.07429207,0.15009768,0.50966775,0.00000000,0.55849054,0.17687134
-5.87393697,1.32192709,0.07174091,0.14829128,0.48830009,0.00000000,0.54315527,0.17132159
-5.86793397,1.27266687,0.06880436,0.14621583,0.46518200,0.00000000,0.52583329,0.16510835
-5.86193097,1.21992788,0.06554118,0.14396692,0.44070629,0.00000000,0.50689462,0.15835778
-5.85592796,1.16479350,0.06201576,0.14164639,0.41528869,0.00000000,0.48674134,0.15120699
-5.84992496,1.10837837,0.05829620,0.13935781,0.38935453,0.00000000,0.46579166,0.14379941
-5.84392196,1.05179283,0.05445232,0.13720208,0.36332611,0.00000000,0.44446414,0.13628015
-5.83791896,0.99611010,0.05055384,0.13527330,0.33761122,0.00000000,0.42316301,0.12879168
-5.83191596,0.94233726,0.04666868,0.13365528,0.31259302,0.00000000,0.40226495,0.12146985
-5.82591296,0.89139112,0.04286144,0.13241856,0.28862183,0.00000000,0.38210794,0.11444055
-5.81990995,0.84407958,0.03919217,0.13161828,0.26600876,0.00000000,0.36298253,0.10781700
-5.81390695,0.80108864,0.03571539,0.13129286,0.24502138,0.00000000,0.34512575,0.10169768
-5.80790395,0.76297522,0.03247933,0.13146354,0.22588136,0.00000000,0.32871767,0.09616513
-5.80190095,0.73016525,0.02952554,0.13213468,0.20876378,0.00000000,0.31388067,0.09128524
-5.79589795,0.70295648,0.02688857,0.13329487,0.19379808,0.00000000,0.30068112,0.08710736
-5.78989495,0.68152516,0.02459601,0.13491861,0.18107022,0.00000000,0.28913314,0.08366477
-5.78389195,0.66593562,0.02266859,0.13696844,0.17062572,0.00000000,0.27920423,0.08097568
-5.77788894,0.65615172,0.02112045,0.13939740,0.16247327,0.00000000,0.27082202,0.07904447
-5.77188594,0.65204901,0.01995939,0.14215167,0.15658863,0.00000000,0.26388197,0.07786304
-5.76588294,0.65342686,0.01918728,0.14517305,0.15291841,0.00000000,0.25825526,0.07741229
-5.75987994,0.66001957,0.01880038,0.14840134,0.15138358,0.00000000,0.25379670,0.07766348
-5.75387694,0.67150585,0.01878965,0.15177634,0.15188256,0.00000000,0.25035195,0.07857945
-5.74787394,0.68751653,0.01914105,0.15523941,0.15429371,0.00000000,0.24776404,0.08011565
-5.74187094,0.70763996,0.01983579,0.15873461,0.15847724,0.00000000,0.24587871,0.08222095
-5.73586793,0.73142566,0.02085052,0.16220925,0.16427665,0.00000000,0.24454862,0.08483822
-5.72986493,0.75838623,0.02215758,0.16561401,0.17151966,0.00000000,0.24363618,0.08790478
-5.72386193,0.78799823,0.02372516,0.16890271,0.18001903,0.00000000,0.24301531,0.09135266
-5.71785893,0.81970265,0.02551758,0.17203167,0.18957323,0.00000000,0.24257201,0.09510886
-5.71185593,0.85290572,0.02749557,0.17495899,0.19996730,0.00000000,0.24220410,0.09909567
-5.70585293,0.88698084,0.02961674,0.17764371,0.21097416,0.00000000,0.24182026,0.10323106
-5.69984992,0.92127230,0.03183602,0.18004520,0.22235636,0.00000000,0.24133864,0.10742930
-5.69384692,0.95510134,0.03410637,0.18212262,0.23386864,0.00000000,0.24068543,0.11160186
-5.68784392,0.98777497,0.03637953,0.18383484,0.24526123,0.00000000,0.23979340,0.11565859
-5.68184092,1.01859774,0.03860693,0.18514078,0.25628396,0.00000000,0.23860078,0.11950926
-5.67583792,1.04688623,0.04074075,0.18600009,0.26669112,0.00000000,0.23705062,0.12306540
-5.66983492,1.07198609,0.04273498,0.18637448,0.27624696,0.00000000,0.23509061,0.12624237
-5.66383192,1.09329091,0.04454663,0.18622925,0.28473167,0.00000000,0.23267354,0.12896170
-5.65782891,1.11026219,0.04613685,0.18553534,0.29194748,0.00000000,0.22975824,0.13115343
-5.65182591,1.12244945,0.04747208,0.18427148,0.29772475,0.00000000,0.22631102,0.13275855
-5.64582291,1.12950933,0.04852504,0.18242644,0.30192769,0.00000000,0.22230738,0.13373121
-5.63981991,1.13122274,0.04927563,0.18000123,0.30445932,0.00000000,0.21773391,0.13404071
-5.63381691,1.12750896,0.04971158,0.17701101,0.30526550,0.00000000,0.21259009,0.13367311
-5.62781391,1.11843562,0.04982891,0.17348663,0.30433778,0.00000000,0.20688998,0.13263225
-5.62181091,1.10422409,0.04963206,0.16947565,0.30171478,0.00000000,0.20066344,0.13094039
-5.61580790,1.08524944,0.04913382,0.16504268,0.29748204,0.00000000,0.19395681,0.12863797
-5.60980490,1.06203494,0.04835495,0.16026907,0.29177030,0.00000000,0.18683302,0.12578291
-5.60380190,1.03524092,0.04732345,0.15525182,0.28475218,0.00000000,0.17937096,0.12244913
-5.59779890,1.00564840,0.04607365,0.15010172,0.27663744,0.00000000,0.17166407,0.11872455
-5.59179590,0.97413792,0.04464512,0.14494088,0.26766688,0.00000000,0.16381840,0.11470841
-5.58579290,0.94166440,0.04308125,0.13989957,0.25810525,0.00000000,0.15594987,0.11050830
-5.57978989,0.90922889,0.04142789,0.13511261,0.24823334,0.00000000,0.14818124,0.10623676
-5.57378689,0.87784838,0.03973178,0.13071536,0.23833957,0.00000000,0.14063859,0.10200767
-5.56778389,0.84852471,0.03803906,0.12683958,0.22871153,0.00000000,0.13344770,0.09793266
-5.56178089,0.82221382,0.03639378,0.12360916,0.21962754,0.00000000,0.12673041,0.09411750
-5.55577789,0.79979641,0.03483654,0.12113601,0.21134880,0.00000000,0.12060119,0.09065879
-5.54977489,0.78205118,0.03340331,0.11951632,0.20411228,0.00000000,0.11516401,0.08764093
-5.54377189,0.76963140,0.03212435,0.11882712,0.19812454,0.00000000,0.11050972,0.08513353
-5.53776888,0.76304591,0.03102350,0.11912352,0.19355676,0.00000000,0.10671404,0.08318939
-5.53176588,0.76264481,0.03011758,0.12043658,0.19054112,0.00000000,0.10383620,0.08184304
-5.52576288,0.76861062,0.02941618,0.12277203,0.18916852,0.00000000,0.10191840,0.08110993
