energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-5.81390695,0.23279537,0.00000004,0.00558358,0.08608931,0.00144973,0.12619598,0.01548590,0.01558843
-5.80790395,0.23473323,0.00000006,0.00562998,0.08680537,0.00146180,0.12724664,0.01561526,0.01571812
-5.80190095,0.23498900,0.00000009,0.00563601,0.08689911,0.00146339,0.12738553,0.01563295,0.01573514
-5.79589795,0.23355790,0.00000013,0.00560152,0.08636867,0.00145448,0.12661008,0.01553874,0.01563915
-5.78989495,0.23047168,0.00000019,0.00552727,0.08522563,0.00143526,0.12493756,0.01533484,0.01543227
-5.78389195,0.22579764,0.00000028,0.00541483,0.08349471,0.00140615,0.12240451,0.01502592,0.01511897
-5.77788894,0.21963637,0.00000041,0.00526659,0.08121282,0.00136778,0.11906553,0.01461889,0.01470596
-5.77188594,0.21211835,0.00000058,0.00508563,0.07842788,0.00132096,0.11499146,0.01412273,0.01420191
-5.76588294,0.20339977,0.00000082,0.00487562,0.07519720,0.00126667,0.11026710,0.01354823,0.01361723
-5.75987994,0.19365743,0.00000116,0.00464073,0.07158555,0.00120600,0.10498848,0.01290770,0.01296367
-5.75387694,0.18308340,0.00000163,0.00438544,0.06766318,0.00114016,0.09925996,0.01221462,0.01225399
-5.74787394,0.17187932,0.00000226,0.00411445,0.06350368,0.00107041,0.09319115,0.01148332,0.01150153
-5.74187094,0.16025090,0.00000312,0.00383251,0.05918183,0.00099802,0.08689397,0.01072865,0.01071989
-5.73586793,0.14840263,0.00000428,0.00354428,0.05477165,0.00092428,0.08047977,0.00996573,0.00992252
-5.72986493,0.13653315,0.00000583,0.00325423,0.05034459,0.00085043,0.07405687,0.00920967,0.00912242
-5.72386193,0.12483125,0.00000788,0.00296651,0.04596798,0.00077767,0.06772841,0.00847542,0.00833187
-5.71785893,0.11347282,0.00001059,0.00268489,0.04170382,0.00070708,0.06159071,0.00777762,0.00756218
-5.71185593,0.10261864,0.00001412,0.00241265,0.03760785,0.00063971,0.05573213,0.00713059,0.00682354
-5.70585293,0.09241325,0.00001870,0.00215259,0.03372907,0.00057647,0.05023248,0.00654838,0.00612495
