energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
0.21310655,0.79079508,0.05095684,0.00000000,0.00879901,0.10144637,0.36434359,0.55353282
0.21910955,0.78305561,0.04894941,0.00000000,0.00874836,0.10160618,0.36517392,0.54620718
0.22511256,0.77357678,0.04690151,0.00000000,0.00866705,0.10142256,0.36437475,0.53791122
0.23111556,0.76254522,0.04482875,0.00000000,0.00855736,0.10090053,0.36195060,0.52884873
0.23711856,0.75020391,0.04275106,0.00000000,0.00842231,0.10005363,0.35794000,0.51925598
0.24312156,0.73684507,0.04069163,0.00000000,0.00826566,0.09890376,0.35241581,0.50939474
0.24912456,0.72280218,0.03867594,0.00000000,0.00809181,0.09748071,0.34548507,0.49954497
0.25512756,0.70844124,0.03673096,0.00000000,0.00790576,0.09582144,0.33728813,0.48999719
0.26113057,0.69415166,0.03488440,0.00000000,0.00771304,0.09396921,0.32799718,0.48104491
0.26713357,0.68033682,0.03316423,0.00000000,0.00751958,0.09197246,0.31781405,0.47297709
0.27313657,0.66740470,0.03159829,0.00000000,0.00733169,0.08988357,0.30696717,0.46607115
0.27913957,0.65575879,0.03021412,0.00000000,0.00715589,0.08775743,0.29570799,0.46058644
0.28514257,0.64578943,0.02903894,0.00000000,0.00699880,0.08565002,0.28430657,0.45675860
0.29114557,0.63786608,0.02809974,0.00000000,0.00686704,0.08361684,0.27304676,0.45479478
0.29714857,0.63233054,0.02742354,0.00000000,0.00676706,0.08171152,0.26222082,0.45487012
0.30315158,0.62949148,0.02703774,0.00000000,0.00670500,0.07998434,0.25212379,0.45712534
0.30915458,0.62962026,0.02697049,0.00000000,0.00668656,0.07848104,0.24304772,0.46166574
0.31515758,0.63294846,0.02725115,0.00000000,0.00671682,0.07724170,0.23527587,0.46856150
0.32116058,0.63966670,0.02791069,0.00000000,0.00680012,0.07629987,0.22907712,0.47784930
0.32716358,0.64992516,0.02898203,0.00000000,0.00693991,0.07568192,0.22470061,0.48953518
0.33316658,0.66383526,0.03050034,0.00000000,0.00713861,0.07540667,0.22237083,0.50359838
0.33916958,0.68147252,0.03250314,0.00000000,0.00739753,0.07548524,0.22228328,0.51999606
0.34517259,0.70288023,0.03503019,0.00000000,0.00771681,0.07592111,0.22460062,0.53866857
0.35117559,0.72807349,0.03812323,0.00000000,0.00809527,0.07671049,0.22944950,0.55954495
0.35717859,0.75704331,0.04182538,0.00000000,0.00853049,0.07784272,0.23691797,0.58254827
0.36318159,0.78976036,0.04618024,0.00000000,0.00901875,0.07930096,0.24705361,0.60760051
0.36918459,0.82617782,0.05123074,0.00000000,0.00955507,0.08106288,0.25986210,0.63462668
0.37518759,0.86623312,0.05701762,0.00000000,0.01013330,0.08310146,0.27530652,0.66355765
0.38119060,0.90984822,0.06357759,0.00000000,0.01074620,0.08538581,0.29330699,0.69433173
0.38719360,0.95692814,0.07094127,0.00000000,0.01138559,0.08788189,0.31374096,0.72689450
0.39319660,1.00735780,0.07913087,0.00000000,0.01204249,0.09055328,0.33644375,0.76119696
0.39919960,1.06099708,0.08815777,0.00000000,0.01270731,0.09336184,0.36120967,0.79719197
0.40520260,1.11767436,0.09801995,0.00000000,0.01337002,0.09626822,0.38779354,0.83482905
0.41120560,1.17717892,0.10869960,0.00000000,0.01402042,0.09923236,0.41591259,0.87404771
0.41720860,1.23925250,0.12016087,0.00000000,0.01464828,0.10221386,0.44524897,0.91476976
0.42321161,1.30358085,0.13234790,0.00000000,0.01524360,0.10517224,0.47545277,0.95689089
