energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,7.85587093,0.02370622,1.31413239,0.89340610,0.42270254,3.70893007,3.14691981,0.04024628,2.79910288
-5.99399700,8.02236697,0.02338667,1.35488050,0.90316806,0.42784007,3.76877693,3.25286007,0.04101380,2.84329267
-5.98799400,8.20040595,0.02307919,1.39843068,0.91236575,0.43400651,3.83175813,3.36453049,0.04203449,2.89066706
-5.98199100,8.38749730,0.02278218,1.44417596,0.92072429,0.44124095,3.89700461,3.48038241,0.04330069,2.94058348
-5.97598799,8.58106918,0.02249413,1.49146206,0.92798604,0.44958054,3.96363502,3.59880726,0.04480228,2.99241204
-5.96998499,8.77854351,0.02221378,1.53960175,0.93391870,0.45906067,4.03078527,3.71818038,0.04652673,3.04556053
-5.96398199,8.97741039,0.02194027,1.58789068,0.93832261,0.46971490,4.09763728,3.83690565,0.04845909,3.09949705
-5.95797899,9.17529906,0.02167324,1.63562426,0.94103696,0.48157472,4.16344573,3.95345956,0.05058208,3.15376933
-5.95197599,9.37004232,0.02141296,1.68211518,0.94194465,0.49466900,4.22756153,4.06643267,0.05287616,3.20801971
-5.94597299,9.55973184,0.02116030,1.72671057,0.94097574,0.50902309,4.28945069,4.17456704,0.05531974,3.26199493
-5.93996998,9.74276160,0.02091679,1.76880849,0.93810912,0.52465760,4.34870773,4.27678778,0.05788931,3.31555026
-5.93396698,9.91785747,0.02068457,1.80787275,0.93337259,0.54158669,4.40506260,4.37222736,0.06055965,3.36864744
-5.92796398,10.08409134,0.02046629,1.84344559,0.92684113,0.55981599,4.45838077,4.46024165,0.06330411,3.42134644
-5.92196098,10.24087891,0.02026498,1.87515756,0.91863350,0.57934010,4.50865612,4.54041663,0.06609487,3.47379113
-5.91595798,10.38796105,0.02008391,1.90273425,0.90890727,0.60013978,4.55599694,4.61256566,0.06890321,3.52618957
-5.90995498,10.52536971,0.01992641,1.92599940,0.89785245,0.62217884,4.60060559,4.67671728,0.07169982,3.57878961
-5.90395198,10.65337964,0.01979563,1.94487447,0.88568408,0.64540093,4.64275267,4.73309405,0.07445512,3.63185088
-5.89794897,10.77244868,0.01969438,1.95937457,0.87263388,0.66972642,4.68274720,4.78208362,0.07713956,3.68561478
-5.89194597,10.88314942,0.01962487,1.96960096,0.85894149,0.69504938,4.72090409,4.82420324,0.07972393,3.74027361
-5.88594297,10.98609599,0.01958855,1.97573068,0.84484554,0.72123518,4.75751094,4.86005972,0.08217972,3.79594090
-5.87993997,11.08186994,0.01958589,1.97800365,0.83057495,0.74811861,4.79279574,4.89030667,0.08447938,3.85262424
-5.87393697,11.17094912,0.01961630,1.97670805,0.81634084,0.77550288,4.82689759,4.91560134,0.08659663,3.91020240
-5.86793397,11.25364379,0.01967800,1.97216462,0.80232935,0.80315978,4.85984187,4.93656318,0.08850683,3.96840813
-5.86193097,11.33004332,0.01976797,1.96471073,0.78869560,0.83083093,4.89152163,4.95373626,0.09018719,4.02681778
-5.85592796,11.39997677,0.01988196,1.95468487,0.77555918,0.85823042,4.92168618,4.96755740,0.09161712,4.08484860
-5.84992496,11.46298963,0.02001458,1.94241241,0.76300114,0.88504878,4.94993782,4.97833158,0.09277850,4.14176429
-5.84392196,11.51833822,0.02015938,1.92819314,0.75106271,0.91095826,4.97573706,4.98621581,0.09365591,4.19668877
-5.83791896,11.56500226,0.02030907,1.91229113,0.73974575,0.93561936,4.99841612,4.99121212,0.09423692,4.24862790
-5.83191596,11.60171517,0.02045567,1.89492733,0.72901478,0.95868843,5.01720040,4.99316991,0.09451226,4.29649841
-5.82591296,11.62701077,0.02059082,1.87627499,0.71880064,0.97982600,5.03123674,4.99179724,0.09447606,4.33916281
-5.81990995,11.63928390,0.02070605,1.85645809,0.70900534,0.99870572,5.03962727,4.98668047,0.09412593,4.37546884
-5.81390695,11.63686216,0.02079305,1.83555256,0.69950816,1.01502334,5.04146715,4.97731089,0.09346310,4.40429187
-5.80790395,11.61808496,0.02084397,1.81359012,0.69017245,1.02850566,5.03588443,4.96311696,0.09249245,4.42457815
-5.80190095,11.58138622,0.02085172,1.79056434,0.68085290,1.03891870,5.02208011,4.94350026,0.09122250,4.43538716
-5.79589795,11.52537637,0.02081021,1.76643847,0.67140308,1.04607511,4.99936648,4.91787340,0.08966530,4.43593112
-5.78989495,11.44891992,0.02071457,1.74115461,0.66168267,1.04984028,4.96720190,4.88569785,0.08783631,4.42560982
-5.78389195,11.35120489,0.02056135,1.71464354,0.65156433,1.05013694,4.92522058,4.84651992,0.08575417,4.40403937
-5.77788894,11.23180094,0.02034864,1.68683484,0.64093975,1.04694809,4.87325592,4.80000324,0.08344041,4.37107355
-5.77188594,11.09070366,0.02007612,1.65766671,0.62972476,1.04031811,4.81135648,4.74595623,0.08091913,4.32681699
-5.76588294,10.92836346,0.01974509,1.62709506,0.61786318,1.03035207,4.73979409,4.68435359,0.07821658,4.27162959
-5.75987994,10.74569774,0.01935846,1.59510154,0.60532951,1.01721329,4.65906381,4.61535091,0.07536074,4.20612218
-5.75387694,10.54408661,0.01892060,1.56170019,0.59213019,1.00111919,4.56987590,4.53929212,0.07238084,4.13114382
-5.74787394,10.32535235,0.01843723,1.52694248,0.57830349,0.98233579,4.47314044,4.45670963,0.06930687,4.04776115
-5.74187094,10.09172408,0.01791522,1.49092074,0.56391818,0.96117098,4.36994528,4.36831747,0.06616910,3.95723109
-5.73586793,9.84578945,0.01736241,1.45376976,0.54907104,0.93796694,4.26152852,4.27499790,0.06299754,3.86096779
-5.72986493,9.59043536,0.01678734,1.41566681,0.53388327,0.91309194,4.14924657,4.17778231,0.05982155,3.76050541
-5.72386193,9.32878047,0.01619900,1.37682999,0.51849625,0.88693184,4.03453926,4.07782730,0.05666933,3.65745807
-5.71785893,9.06410186,0.01560661,1.33751513,0.50306659,0.85988166,3.91889325,3.97638686,0.05356755,3.55347848
-5.71185593,8.79975863,0.01501934,1.29801146,0.48776094,0.83233734,3.80380513,3.87478185,0.05054101,3.45021663
-5.70585293,8.53911484,0.01444610,1.25863612,0.47275058,0.80468808,3.69074531,3.77436773,0.04761234,3.34927989
-5.69984992,8.28546419,0.01389530,1.21972780,0.45820622,0.77730923,3.58112394,3.67650160,0.04480173,3.25219571
-5.69384692,8.04195832,0.01337470,1.18163975,0.44429301,0.75055613,3.47625978,3.58250951,0.04212684,3.16037775
-5.68784392,7.81154071,0.01289122,1.14473216,0.43116615,0.72475871,3.37735270,3.49365485,0.03960258,3.07509642
-5.68184092,7.59688745,0.01245080,1.10936448,0.41896696,0.70021714,3.28546053,3.41110873,0.03724117,2.99745434
-5.67583792,7.40035610,0.01205835,1.07588741,0.40781973,0.67719835,3.20148058,3.33592286,0.03505202,2.92836703
-5.66983492,7.22394348,0.01171762,1.04463520,0.39782937,0.65593357,3.12613614,3.26900573,0.03304192,2.86854919
-5.66383192,7.06925309,0.01143119,1.01591810,0.38907972,0.63661670,3.05996805,3.21110245,0.03121501,2.81850660
-5.65782891,6.93747234,0.01120047,0.99001535,0.38163273,0.61940366,3.00333119,3.16277872,0.02957301,2.77853340
-5.65182591,6.82935998,0.01102569,0.96716869,0.37552834,0.60441242,2.95639578,3.12440936,0.02811538,2.74871485
-5.64582291,6.74524350,0.01090597,0.94757681,0.37078493,0.59172381,2.91915321,3.09617154,0.02683949,2.72893486
-5.63981991,6.68502640,0.01083933,0.93139053,0.36740049,0.58138305,2.89142589,3.07804290,0.02574090,2.71888831
-5.63381691,6.64820487,0.01082284,0.91870920,0.36535409,0.57340185,2.87288069,3.06980470,0.02481356,2.71809730
-5.62781391,6.63389327,0.01085266,0.90957811,0.36460790,0.56776101,2.86304541,3.07104980,0.02405013,2.72593109
-5.62181091,6.64085765,0.01092421,0.90398717,0.36510931,0.56441351,2.86132761,3.08119539,0.02344217,2.74162886
-5.61580790,6.66755640,0.01103223,0.90187085,0.36679337,0.56328798,2.86703524,3.09950005,0.02298046,2.76432482
-5.60980490,6.71218671,0.01117099,0.90310934,0.36958519,0.56429246,2.87939826,3.12508477,0.02265525,2.79307481
-5.60380190,6.77273570,0.01133442,0.90753093,0.37340244,0.56731825,2.89759066,3.15695718,0.02245647,2.82688379
-5.59779890,6.84703459,0.01151623,0.91491554,0.37815767,0.57224398,2.92075215,3.19403848,0.02237400,2.86473327
-5.59179590,6.93281449,0.01171012,0.92499928,0.38376055,0.57893956,2.94800899,3.23519200,0.02239782,2.90560805
-5.58579290,7.02776198,0.01190991,0.93747991,0.39011991,0.58726994,2.97849326,3.27925261,0.02251824,2.94852153
-5.57978989,7.12957296,0.01210969,0.95202298,0.39714547,0.59709870,3.01136027,3.32505616,0.02272599,2.99253868
-5.57378689,7.23600314,0.01230399,0.96826859,0.40474940,0.60829113,3.04580346,3.37146764,0.02301233,3.03679626
-5.56778389,7.34491361,0.01248790,0.98583844,0.41284744,0.62071691,3.08106675,3.41740761,0.02336913,3.08051958
-5.56178089,7.45431029,0.01265717,1.00434304,0.42135984,0.63425214,3.11645412,3.46187564,0.02378888,3.12303539
-5.55577789,7.56237615,0.01280831,1.02338892,0.43021185,0.64878066,3.15133616,3.50397034,0.02426470,3.16378061
-5.54977489,7.66749539,0.01293866,1.04258558,0.43933394,0.66419480,3.18515402,3.54290529,0.02479025,3.20230669
-5.54377189,7.76826921,0.01304642,1.06155214,0.44866174,0.68039520,3.21742059,3.57802046,0.02535970,3.23827966
-5.53776888,7.86352304,0.01313070,1.07992338,0.45813560,0.69729009,3.24771936,3.60878894,0.02596763,3.27147595
-5.53176588,7.95230552,0.01319141,1.09735535,0.46770004,0.71479377,3.27570129,3.63481897,0.02660886,3.30177444
