energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,2.44030002,0.22272027,2.15703803,0.01480796,0.00440202,0.05013144,0.12153189,0.20966704,0.00000000
-5.99399700,2.53505310,0.23151417,2.23963991,0.01530644,0.00466189,0.05257975,0.12700819,0.21781745,0.00000000
-5.98799400,2.61742494,0.23925027,2.31093402,0.01571971,0.00491781,0.05478408,0.13214859,0.22500628,0.00000000
-5.98199100,2.68627318,0.24583343,2.36985483,0.01604071,0.00516945,0.05670550,0.13694631,0.23115979,0.00000000
-5.97598799,2.74077726,0.25119960,2.41560641,0.01626433,0.00541736,0.05831091,0.14142286,0.23623696,0.00000000
-5.96998499,2.78047975,0.25531941,2.44769724,0.01638758,0.00566300,0.05957438,0.14563133,0.24023319,0.00000000
-5.96398199,2.80531785,0.25820075,2.46596613,0.01640981,0.00590884,0.06047834,0.14965952,0.24318324,0.00000000
-5.95797899,2.81564340,0.25989037,2.47059786,0.01633284,0.00615835,0.06101450,0.15363254,0.24516315,0.00000000
-5.95197599,2.81223023,0.26047418,2.46212751,0.01616098,0.00641603,0.06118465,0.15771490,0.24629113,0.00000000
-5.94597299,2.79626827,0.26007638,2.44143308,0.01590104,0.00668734,0.06100106,0.16211185,0.24672734,0.00000000
-5.93996998,2.76934417,0.25885732,2.40971634,0.01556223,0.00697862,0.06048662,0.16707006,0.24667240,0.00000000
-5.93396698,2.73340897,0.25701004,2.36847259,0.01515606,0.00729703,0.05967469,0.17287729,0.24636485,0.00000000
-5.92796398,2.69073379,0.25475582,2.31945016,0.01469609,0.00765034,0.05860856,0.17986127,0.24607732,0.00000000
-5.92196098,2.64385498,0.25233860,2.26460128,0.01419771,0.00804683,0.05734068,0.18838741,0.24611181,0.00000000
-5.91595798,2.59551052,0.25001869,2.20602604,0.01367783,0.00849506,0.05593152,0.19885555,0.24679391,0.00000000
-5.90995498,2.54856995,0.24806580,2.14591156,0.01315457,0.00900372,0.05444831,0.21169549,0.24846626,0.00000000
-5.90395198,2.50596000,0.24675180,2.08646866,0.01264689,0.00958141,0.05296341,0.22736134,0.25148132,0.00000000
-5.89794897,2.47058846,0.24634325,2.02986837,0.01217423,0.01023650,0.05155269,0.24632459,0.25619361,0.00000000
-5.89194597,2.44526853,0.24709410,1.97818041,0.01175611,0.01097695,0.05029365,0.26906591,0.26295156,0.00000000
-5.88594297,2.43264604,0.24923869,1.93331600,0.01141177,0.01181023,0.04926357,0.29606567,0.27208917,0.00000000
