energy_ev,total_up,As_p_up,As_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,2.11749112,0.34070374,0.00000000,0.50045182,1.05501336,0.01444133,0.67056177
-5.99399700,2.12006412,0.34750166,0.00000000,0.49703965,1.06288540,0.01421405,0.66575120
-5.98799400,2.12491794,0.35488655,0.00000000,0.49478511,1.07168025,0.01399539,0.66163195
-5.98199100,2.13186640,0.36264144,0.00000000,0.49367844,1.08120617,0.01379105,0.65828327
-5.97598799,2.14073735,0.37054658,0.00000000,0.49371511,1.09127084,0.01360708,0.65580198
-5.96998499,2.15137534,0.37838499,0.00000000,0.49489726,1.10168413,0.01344985,0.65429959
-5.96398199,2.16364387,0.38594789,0.00000000,0.49723480,1.11226100,0.01332581,0.65389883
-5.95797899,2.17742732,0.39304013,0.00000000,0.50074604,1.12282469,0.01324142,0.65472953
-5.95197599,2.19263245,0.39948534,0.00000000,0.50545779,1.13320997,0.01320293,0.65692417
-5.94597299,2.20918923,0.40513060,0.00000000,0.51140490,1.14326657,0.01321628,0.66061303
-5.93996998,2.22705089,0.40985049,0.00000000,0.51862907,1.15286229,0.01328683,0.66591923
-5.93396698,2.24619280,0.41355030,0.00000000,0.52717681,1.16188584,0.01341930,0.67295347
-5.92796398,2.26660989,0.41616826,0.00000000,0.53709667,1.17024907,0.01361753,0.68180891
-5.92196098,2.28831261,0.41767673,0.00000000,0.54843558,1.17788840,0.01388435,0.69255592
-5.91595798,2.31132106,0.41808208,0.00000000,0.56123442,1.18476522,0.01422148,0.70523717
-5.90995498,2.33565754,0.41742353,0.00000000,0.57552290,1.19086521,0.01462936,0.71986296
-5.90395198,2.36133765,0.41577070,0.00000000,0.59131410,1.19619655,0.01510714,0.73640699
-5.89794897,2.38836035,0.41322015,0.00000000,0.60859866,1.20078707,0.01565258,0.75480296
-5.89194597,2.41669760,0.40989103,0.00000000,0.62733914,1.20468043,0.01626209,0.77494185
-5.88594297,2.44628416,0.40592004,0.00000000,0.64746481,1.20793168,0.01693075,0.79667052
-5.87993997,2.47700843,0.40145587,0.00000000,0.66886727,1.21060251,0.01765243,0.81979143
-5.87393697,2.50870519,0.39665350,0.00000000,0.69139724,1.21275636,0.01841989,0.84406399
-5.86793397,2.54115084,0.39166866,0.00000000,0.71486286,1.21445406,0.01922503,0.86920744
-5.86193097,2.57406206,0.38665247,0.00000000,0.73902979,1.21575006,0.02005907,0.89490549
-5.85592796,2.60709809,0.38174677,0.00000000,0.76362332,1.21668973,0.02091288,0.92081264
-5.84992496,2.63986718,0.37708022,0.00000000,0.78833256,1.21730785,0.02177723,0.94656204
-5.84392196,2.67193693,0.37276515,0.00000000,0.81281666,1.21762847,0.02264312,0.97177491
-5.83791896,2.70284837,0.36889550,0.00000000,0.83671301,1.21766612,0.02350211,0.99607090
-5.83191596,2.73213314,0.36554562,0.00000000,0.85964712,1.21742825,0.02434662,1.01907935
-5.82591296,2.75933292,0.36276999,0.00000000,0.88124367,1.21691871,0.02517016,1.04045076
-5.81990995,2.78401997,0.36060372,0.00000000,0.90113853,1.21614189,0.02596758,1.05986815
-5.81390695,2.80581777,0.35906366,0.00000000,0.91899095,1.21510730,0.02673525,1.07705769
-5.80790395,2.82442031,0.35815001,0.00000000,0.93449551,1.21383401,0.02747110,1.09179805
-5.80190095,2.83960897,0.35784813,0.00000000,0.94739314,1.21235463,0.02817466,1.10392819
-5.79589795,2.85126577,0.35813047,0.00000000,0.95748079,1.21071851,0.02884697,1.11335297
-5.78989495,2.85938222,0.35895847,0.00000000,0.96461910,1.20899372,0.02949044,1.12004637
-5.78389195,2.86406309,0.36028416,0.00000000,0.96873781,1.20726767,0.03010863,1.12405216
-5.77788894,2.86552475,0.36205163,0.00000000,0.96983862,1.20564635,0.03070594,1.12548186
-5.77188594,2.86408812,0.36419802,0.00000000,0.96799528,1.20425195,0.03128732,1.12451019
-5.76588294,2.86016671,0.36665433,0.00000000,0.96335101,1.20321925,0.03185787,1.12136807
-5.75987994,2.85425010,0.36934595,0.00000000,0.95611329,1.20269077,0.03242250,1.11633366
-5.75387694,2.84688412,0.37219298,0.00000000,0.94654643,1.20281113,0.03298559,1.10972169
-5.74787394,2.83864853,0.37511056,0.00000000,0.93496218,1.20372091,0.03355070,1.10187180
-5.74187094,2.83013366,0.37800927,0.00000000,0.92170888,1.20555039,0.03412026,1.09313625
-5.73586793,2.82191699,0.38079567,0.00000000,0.90715975,1.20841354,0.03469549,1.08386773
-5.72986493,2.81454118,0.38337321,0.00000000,0.89170075,1.21240273,0.03527623,1.07440768
-5.72386193,2.80849438,0.38564348,0.00000000,0.87571878,1.21758429,0.03586096,1.06507580
-5.71785893,2.80419387,0.38750789,0.00000000,0.85959042,1.22399528,0.03644692,1.05616106
-5.71185593,2.80197366,0.38886980,0.00000000,0.84367203,1.23164159,0.03703022,1.04791465
-5.70585293,2.80207651,0.38963706,0.00000000,0.82829130,1.24049740,0.03760610,1.04054496
-5.69984992,2.80465055,0.38972478,0.00000000,0.81374071,1.25050609,0.03816923,1.03421493
-5.69384692,2.80975039,0.38905838,0.00000000,0.80027300,1.26158231,0.03871404,1.02904164
-5.68784392,2.81734243,0.38757667,0.00000000,0.78809866,1.27361532,0.03923504,1.02509795
-5.68184092,2.82731386,0.38523486,0.00000000,0.77738557,1.28647311,0.03972715,1.02241622
-5.67583792,2.83948468,0.38200718,0.00000000,0.76826042,1.30000730,0.04018602,1.02099352
-5.66983492,2.85362200,0.37788924,0.00000000,0.76081182,1.31405839,0.04060825,1.02079820
-5.66383192,2.86945565,0.37289968,0.00000000,0.75509475,1.32846129,0.04099162,1.02177721
-5.65782891,2.88669451,0.36708120,0.00000000,0.75113597,1.34305063,0.04133513,1.02386383
-5.65182591,2.90504238,0.36050078,0.00000000,0.74894003,1.35766596,0.04163911,1.02698533
-5.64582291,2.92421295,0.35324907,0.00000000,0.74849544,1.37215634,0.04190505,1.03107012
-5.63981991,2.94394297,0.34543897,0.00000000,0.74978065,1.38638438,0.04213557,1.03605391
-5.63381691,2.96400313,0.33720342,0.00000000,0.75276941,1.40022949,0.04233411,1.04188472
-5.62781391,2.98420623,0.32869242,0.00000000,0.75743523,1.41359032,0.04250472,1.04852633
-5.62181091,3.00441229,0.32006948,0.00000000,0.76375472,1.42638626,0.04265168,1.05596001
-5.61580790,3.02453050,0.31150752,0.00000000,0.77170952,1.43855801,0.04277925,1.06418449
-5.60980490,3.04451795,0.30318450,0.00000000,0.78128684,1.45006733,0.04289124,1.07321421
-5.60380190,3.06437539,0.29527876,0.00000000,0.79247846,1.46089576,0.04299076,1.08307583
-5.59779890,3.08414017,0.28796442,0.00000000,0.80527843,1.47104264,0.04307990,1.09380339
-5.59179590,3.10387692,0.28140684,0.00000000,0.81967940,1.48052241,0.04315954,1.10543232
-5.58579290,3.12366640,0.27575839,0.00000000,0.83566804,1.48936124,0.04322918,1.11799264
-5.57978989,3.14359315,0.27115456,0.00000000,0.85321962,1.49759340,0.04328690,1.13150184
-5.57378689,3.16373270,0.26771058,0.00000000,0.87229230,1.50525723,0.04332938,1.14595780
-5.56778389,3.18413893,0.26551866,0.00000000,0.89282130,1.51239114,0.04335201,1.16133231
-5.56178089,3.20483240,0.26464580,0.00000000,0.91471347,1.51902981,0.04334913,1.17756552
-5.55577789,3.22579024,0.26513232,0.00000000,0.93784257,1.52520064,0.04331426,1.19456169
-5.54977489,3.24693813,0.26699102,0.00000000,0.96204561,1.53092083,0.04324050,1.21218663
-5.54377189,3.26814506,0.27020709,0.00000000,0.98712059,1.53619506,0.04312088,1.23026699
-5.53776888,3.28922086,0.27473855,0.00000000,1.01282575,1.54101411,0.04294881,1.24859154
-5.53176588,3.30991699,0.28051746,0.00000000,1.03888074,1.54535418,0.04271847,1.26691442
-5.52576288,3.32993034,0.28745148,0.00000000,1.06496943,1.54917721,0.04242522,1.28496029
-5.51975988,3.34891003,0.29542613,0.00000000,1.09074473,1.55243205,0.04206593,1.30243116
