energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,1.47028705,0.01915141,0.12682924,0.47793651,0.30239414,0.70418434,0.16666663,0.74095051,0.00000000
-5.99399700,1.49566080,0.01985304,0.12947925,0.48798385,0.30476951,0.72210363,0.17156839,0.75095995,0.00000000
-5.98799400,1.51329647,0.02044132,0.13148702,0.49573758,0.30537300,0.73666996,0.17582293,0.75689268,0.00000000
-5.98199100,1.52290522,0.02090455,0.13283476,0.50107146,0.30418911,0.74773439,0.17934088,0.75866927,0.00000000
-5.97598799,1.52434959,0.02123326,0.13351548,0.50390370,0.30123882,0.75520160,0.18204663,0.75628928,0.00000000
-5.96998499,1.51764292,0.02142057,0.13353263,0.50419745,0.29657808,0.75902950,0.18387992,0.74982882,0.00000000
-5.96398199,1.50294434,0.02146240,0.13289949,0.50196007,0.29029531,0.75922761,0.18479712,0.73943593,0.00000000
-5.95797899,1.48054957,0.02135761,0.13163831,0.49724120,0.28250781,0.75585409,0.18477187,0.72532385,0.00000000
-5.95197599,1.45087835,0.02110809,0.12977931,0.49012979,0.27335754,0.74901207,0.18379542,0.70776274,0.00000000
-5.94597299,1.41445895,0.02071866,0.12735953,0.48075043,0.26300625,0.73884521,0.18187630,0.68707017,0.00000000
-5.93996998,1.37191068,0.02019694,0.12442170,0.46925890,0.25163027,0.72553296,0.17903974,0.66360089,0.00000000
-5.93396698,1.32392522,0.01955309,0.12101299,0.45583750,0.23941524,0.70928567,0.17532655,0.63773641,0.00000000
-5.92796398,1.27124744,0.01879950,0.11718397,0.44069005,0.22655087,0.69033974,0.17079169,0.60987466,0.00000000
-5.92196098,1.21465665,0.01795035,0.11298756,0.42403701,0.21322612,0.66895306,0.16550261,0.58042032,0.00000000
-5.91595798,1.15494869,0.01702122,0.10847813,0.40611067,0.19962468,0.64540073,0.15953730,0.54977593,0.00000000
-5.90995498,1.09291962,0.01602858,0.10371075,0.38715076,0.18592122,0.61997122,0.15298225,0.51833425,0.00000000
-5.90395198,1.02935130,0.01498930,0.09874054,0.36740040,0.17227825,0.59296297,0.14593030,0.48647182,0.00000000
-5.89794897,0.96499917,0.01392019,0.09362223,0.34710265,0.15884367,0.56468134,0.13847846,0.45454394,0.00000000
-5.89194597,0.90058242,0.01283756,0.08840976,0.32649744,0.14574916,0.53543594,0.13072591,0.42288105,0.00000000
-5.88594297,0.83677651,0.01175680,0.08315607,0.30581928,0.13310926,0.50553823,0.12277194,0.39178642,0.00000000
-5.87993997,0.77420807,0.01069208,0.07791286,0.28529527,0.12102113,0.47529937,0.11471416,0.36153506,0.00000000
-5.87393697,0.71345191,0.00965602,0.07273054,0.26514381,0.10956490,0.44502810,0.10664690,0.33237372,0.00000000
-5.86793397,0.65502992,0.00865955,0.06765809,0.24557362,0.09880450,0.41502890,0.09865979,0.30452175,0.00000000
-5.86193097,0.59941174,0.00771174,0.06274307,0.22678329,0.08878897,0.38559996,0.09083659,0.27817268,0.00000000
-5.85592796,0.54701658,0.00681978,0.05803152,0.20896098,0.07955398,0.35703138,0.08325432,0.25349625,0.00000000
-5.84992496,0.49821616,0.00598899,0.05356789,0.19228448,0.07112360,0.32960321,0.07598257,0.23064082,0.00000000
-5.84392196,0.45333821,0.00522289,0.04939497,0.17692137,0.06351212,0.30358362,0.06908307,0.20973578,0.00000000
-5.83791896,0.41267035,0.00452336,0.04555372,0.16302917,0.05672587,0.27922701,0.06260953,0.19089399,0.00000000
-5.83191596,0.37646386,0.00389079,0.04208316,0.15075553,0.05076503,0.25677214,0.05660758,0.17421396,0.00000000
-5.82591296,0.34493726,0.00332426,0.03902011,0.14023823,0.04562524,0.23644031,0.05111495,0.15978174,0.00000000
-5.81990995,0.31827925,0.00282183,0.03639890,0.13160492,0.04129902,0.21843353,0.04616173,0.14767225,0.00000000
-5.81390695,0.29665082,0.00238071,0.03425110,0.12497261,0.03777703,0.20293263,0.04177078,0.13795022,0.00000000
-5.80790395,0.28018645,0.00199752,0.03260504,0.12044670,0.03504903,0.19009542,0.03795817,0.13067036,0.00000000
-5.80190095,0.26899417,0.00166853,0.03148538,0.11811964,0.03310466,0.18005471,0.03473361,0.12587706,0.00000000
-5.79589795,0.26315441,0.00138983,0.03091255,0.11806903,0.03193392,0.17291630,0.03210096,0.12360330,0.00000000
-5.78989495,0.26271780,0.00115760,0.03090214,0.12035536,0.03152753,0.16875673,0.03005867,0.12386910,0.00000000
-5.78389195,0.26770181,0.00096821,0.03146419,0.12501923,0.03187698,0.16762113,0.02860017,0.12667926,0.00000000
-5.77788894,0.27808659,0.00081844,0.03260249,0.13207830,0.03297460,0.16952078,0.02771422,0.13202082,0.00000000
-5.77188594,0.29381013,0.00070560,0.03431383,0.14152393,0.03481342,0.17443080,0.02738518,0.13986014,0.00000000
-5.76588294,0.31476324,0.00062765,0.03658724,0.15331786,0.03738702,0.18228789,0.02759334,0.15013988,0.00000000
-5.75987994,0.34078462,0.00058330,0.03940331,0.16738899,0.04068947,0.19298831,0.02831504,0.16277612,0.00000000
-5.75387694,0.37165655,0.00057210,0.04273361,0.18363051,0.04471524,0.20638628,0.02952293,0.17765573,0.00000000
-5.74787394,0.40710173,0.00059452,0.04654025,0.20189771,0.04945932,0.22229300,0.03118616,0.19463441,0.00000000
-5.74187094,0.44678166,0.00065196,0.05077560,0.22200668,0.05491748,0.24047652,0.03327066,0.21353548,0.00000000
-5.73586793,0.49029705,0.00074683,0.05538237,0.24373407,0.06108670,0.26066265,0.03573943,0.23414979,0.00000000
-5.72986493,0.53719066,0.00088253,0.06029389,0.26681825,0.06796583,0.28253710,0.03855296,0.25623679,0.00000000
-5.72386193,0.58695269,0.00106345,0.06543479,0.29096191,0.07555642,0.30574902,0.04166974,0.27952701,0.00000000
-5.71785893,0.63902900,0.00129492,0.07072203,0.31583627,0.08386369,0.32991605,0.04504688,0.30372597,0.00000000
-5.71185593,0.69283189,0.00158316,0.07606626,0.34108680,0.09289765,0.35463079,0.04864081,0.32851953,0.00000000
-5.70585293,0.74775330,0.00193516,0.08137360,0.36634047,0.10267409,0.37946873,0.05240813,0.35358053,0.00000000
-5.69984992,0.80317996,0.00235854,0.08654767,0.39121425,0.11321562,0.40399733,0.05630646,0.37857649,0.00000000
-5.69384692,0.85850978,0.00286137,0.09149189,0.41532462,0.12455233,0.42778616,0.06029533,0.40317825,0.00000000
-5.68784392,0.91316876,0.00345191,0.09611201,0.43829773,0.13672217,0.45041758,0.06433709,0.42706894,0.00000000
-5.68184092,0.96662758,0.00413836,0.10031861,0.45977969,0.14977079,0.47149752,0.06839765,0.44995305,0.00000000
-5.67583792,1.01841670,0.00492852,0.10402965,0.47944667,0.16375076,0.49066612,0.07244716,0.47156504,0.00000000
-5.66983492,1.06813936,0.00582942,0.10717290,0.49701415,0.17872007,0.50760743,0.07646046,0.49167702,0.00000000
-5.66383192,1.11548130,0.00684693,0.10968804,0.51224496,0.19473980,0.52205785,0.08041732,0.51010512,0.00000000
-5.65782891,1.16021662,0.00798532,0.11152846,0.52495565,0.21187099,0.53381295,0.08430239,0.52671407,0.00000000
-5.65182591,1.20220937,0.00924684,0.11266257,0.53502083,0.23017072,0.54273210,0.08810485,0.54141978,0.00000000
-5.64582291,1.24141030,0.01063132,0.11307465,0.54237530,0.24968744,0.54874083,0.09181780,0.55418962,0.00000000
-5.63981991,1.27784917,0.01213574,0.11276510,0.54701377,0.27045580,0.55183068,0.09543737,0.56504042,0.00000000
-5.63381691,1.31162262,0.01375394,0.11175010,0.54898828,0.29249109,0.55205663,0.09896159,0.57403426,0.00000000
