energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.91884352,0.02094298,0.10033358,1.16854143,0.48637438,1.14067145,0.00000000,0.81913353,0.14539901
-5.99399700,1.81499505,0.01910271,0.09177310,1.10428285,0.46182334,1.08241987,0.00000000,0.76845963,0.13695302
-5.98799400,1.71853906,0.01743379,0.08376443,1.04659585,0.43798824,1.02892752,0.00000000,0.72259842,0.12938713
-5.98199100,1.63019508,0.01594125,0.07634739,0.99584396,0.41510789,0.98060856,0.00000000,0.68184621,0.12275968
-5.97598799,1.55051952,0.01462583,0.06954774,0.95225747,0.39339301,0.93777989,0.00000000,0.64638959,0.11711229
-5.96998499,1.47991325,0.01348441,0.06337818,0.91594183,0.37302617,0.90066584,0.00000000,0.61631108,0.11247091
-5.96398199,1.41863215,0.01251053,0.05783948,0.88688847,0.35416267,0.86940437,0.00000000,0.59159713,0.10884702
-5.95797899,1.36679967,0.01169498,0.05292189,0.86498755,0.33693205,0.84405457,0.00000000,0.57214818,0.10623900
-5.95197599,1.32442083,0.01102640,0.04860658,0.85004182,0.32144025,0.82460480,0.00000000,0.55779009,0.10463350
-5.94597299,1.29139685,0.01049190,0.04486720,0.84178108,0.30777215,0.81098127,0.00000000,0.54828642,0.10400680
-5.93996998,1.26753968,0.01007769,0.04167138,0.83987665,0.29599430,0.80305650,0.00000000,0.54335103,0.10432604
-5.93396698,1.25258603,0.00976968,0.03898213,0.84395512,0.28615777,0.80065733,0.00000000,0.54266046,0.10555035
-5.92796398,1.24621027,0.00955398,0.03675921,0.85361118,0.27830083,0.80357237,0.00000000,0.54586564,0.10763184
-5.92196098,1.24803597,0.00941738,0.03496033,0.86841894,0.27245144,0.81155850,0.00000000,0.55260252,0.11051636
-5.91595798,1.25764579,0.00934780,0.03354220,0.88794155,0.26862931,0.82434636,0.00000000,0.56250132,0.11414420
-5.90995498,1.27458961,0.00933457,0.03246142,0.91173895,0.26684751,0.84164485,0.00000000,0.57519420,0.11845055
-5.90395198,1.29839092,0.00936871,0.03167527,0.93937365,0.26711349,0.86314448,0.00000000,0.59032120,0.12336600
-5.89794897,1.32855152,0.00944309,0.03114226,0.97041460,0.26942943,0.88851985,0.00000000,0.60753449,0.12881683
-5.89194597,1.36455466,0.00955250,0.03082266,1.00443925,0.27379198,0.91743113,0.00000000,0.62650092,0.13472545
-5.88594297,1.40586691,0.00969368,0.03067883,1.04103406,0.28019125,0.94952493,0.00000000,0.64690307,0.14101071
-5.87993997,1.45193901,0.00986524,0.03067549,1.07979356,0.28860922,0.98443466,0.00000000,0.66843907,0.14758845
-5.87393697,1.50220599,0.01006752,0.03077995,1.12031856,0.29901759,1.02178045,0.00000000,0.69082126,0.15437204
-5.86793397,1.55608686,0.01030239,0.03096218,1.16221348,0.31137509,1.06116918,0.00000000,0.71377430,0.16127309
-5.86193097,1.61298429,0.01057302,0.03119498,1.20508353,0.32562453,1.10219441,0.00000000,0.73703275,0.16820232
-5.85592796,1.67228447,0.01088354,0.03145398,1.24853179,0.34168963,1.14443678,0.00000000,0.76033861,0.17507059
-5.84992496,1.73335748,0.01123876,0.03171770,1.29215671,0.35947195,1.18746487,0.00000000,0.78343911,0.18179006
-5.84392196,1.79555847,0.01164373,0.03196758,1.33555025,0.37884795,1.23083662,0.00000000,0.80608493,0.18827541
