energy_ev,total_up,Hg_p_up,Hg_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,1.90754570,0.49809827,0.31213653,0.07023199,0.17115588,0.71805234,0.00000000
-5.99399700,1.84795393,0.47777523,0.29944980,0.06611336,0.16099727,0.70473440,0.00000000
-5.98799400,1.78242384,0.45646282,0.28614655,0.06201601,0.15093838,0.68800474,0.00000000
-5.98199100,1.71140394,0.43430573,0.27231201,0.05796519,0.14102877,0.66801352,0.00000000
-5.97598799,1.63543666,0.41145706,0.25803793,0.05398299,0.13131169,0.64497301,0.00000000
-5.96998499,1.55515483,0.38807837,0.24342254,0.05008868,0.12182514,0.61915388,0.00000000
-5.96398199,1.47127343,0.36433891,0.22857008,0.04629907,0.11260286,0.59087904,0.00000000
-5.95797899,1.38457676,0.34041403,0.21358968,0.04262884,0.10367507,0.56051556,0.00000000
-5.95197599,1.29590191,0.31648286,0.19859374,0.03909082,0.09506903,0.52846472,0.00000000
-5.94597299,1.20611905,0.29272530,0.18369589,0.03569618,0.08680938,0.49515098,0.00000000
-5.93996998,1.11610983,0.26931862,0.16900867,0.03245454,0.07891823,0.46101015,0.00000000
-5.93396698,1.02674490,0.24643373,0.15464099,0.02937409,0.07141510,0.42647745,0.00000000
-5.92796398,0.93886174,0.22423145,0.14069563,0.02646156,0.06431671,0.39197595,0.00000000
-5.92196098,0.85324395,0.20285897,0.12726685,0.02372219,0.05763665,0.35790588,0.00000000
-5.91595798,0.77060284,0.18244667,0.11443826,0.02115972,0.05138510,0.32463525,0.00000000
-5.90995498,0.69156231,0.16310549,0.10228110,0.01877630,0.04556847,0.29249216,0.00000000
-5.90395198,0.61664736,0.14492505,0.09085292,0.01657248,0.04018920,0.26175896,0.00000000
-5.89794897,0.54627675,0.12797244,0.08019683,0.01454716,0.03524558,0.23266837,0.00000000
-5.89194597,0.48075970,0.11229191,0.07034126,0.01269768,0.03073178,0.20540166,0.00000000
-5.88594297,0.42029667,0.09790524,0.06130019,0.01101982,0.02663792,0.18008872,0.00000000
-5.87993997,0.36498372,0.08481295,0.05307388,0.00950793,0.02295034,0.15680985,0.00000000
-5.87393697,0.31482001,0.07299603,0.04565001,0.00815513,0.01965198,0.13559904,0.00000000
-5.86793397,0.26971786,0.06241823,0.03900513,0.00695345,0.01672280,0.11644848,0.00000000
-5.86193097,0.22951465,0.05302879,0.03310631,0.00589407,0.01414039,0.09931393,0.00000000
-5.85592796,0.19398589,0.04476527,0.02791301,0.00496758,0.01188051,0.08412065,0.00000000
-5.84992496,0.16285881,0.03755665,0.02337890,0.00416423,0.00991773,0.07076966,0.00000000
-5.84392196,0.13582593,0.03132633,0.01945378,0.00347419,0.00822601,0.05914389,0.00000000
-5.83791896,0.11255797,0.02599500,0.01608526,0.00288783,0.00677931,0.04911423,0.00000000
-5.83191596,0.09271582,0.02148343,0.01322042,0.00239593,0.00555207,0.04054505,0.00000000
-5.82591296,0.07596130,0.01771487,0.01080724,0.00198995,0.00451966,0.03329921,0.00000000
-5.81990995,0.06196637,0.01461729,0.00879578,0.00166225,0.00365880,0.02724244,0.00000000
-5.81390695,0.05042085,0.01212521,0.00713922,0.00140624,0.00294784,0.02224702,0.00000000
-5.80790395,0.04103862,0.01018129,0.00579461,0.00121658,0.00236697,0.01819475,0.00000000
-5.80190095,0.03356231,0.00873762,0.00472350,0.00108934,0.00189837,0.01497935,0.00000000
-5.79589795,0.02776672,0.00775674,0.00389228,0.00102212,0.00152632,0.01250811,0.00000000
-5.78989495,0.02346093,0.00721233,0.00327246,0.00101413,0.00123722,0.01070312,0.00000000
-5.78389195,0.02048953,0.00708982,0.00284072,0.00106634,0.00101954,0.00950198,0.00000000
-5.77788894,0.01873287,0.00738665,0.00257894,0.00118146,0.00086380,0.00885805,0.00000000
-5.77188594,0.01810665,0.00811241,0.00247403,0.00136406,0.00076245,0.00874043,0.00000000
-5.76588294,0.01856094,0.00928873,0.00251780,0.00162053,0.00070983,0.00913358,0.00000000
-5.75987994,0.02007864,0.01094897,0.00270666,0.00195907,0.00070199,0.01003669,0.00000000
-5.75387694,0.02267360,0.01313768,0.00304132,0.00238963,0.00073664,0.01146287,0.00000000
-5.74787394,0.02638827,0.01590980,0.00352647,0.00292378,0.00081303,0.01343797,0.00000000
-5.74187094,0.03129101,0.01932957,0.00417036,0.00357458,0.00093183,0.01599931,0.00000000
-5.73586793,0.03747298,0.02346909,0.00498438,0.00435629,0.00109506,0.01919406,0.00000000
-5.72986493,0.04504459,0.02840653,0.00598255,0.00528410,0.00130602,0.02307739,0.00000000
