energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.86447831,0.00281341,0.14112882,0.69733750,0.82701331,0.01267389,0.69129849
-5.99399700,1.85259029,0.00274796,0.14364013,0.68507607,0.82391642,0.01250564,0.68923766
-5.98799400,1.83857741,0.00268641,0.14603612,0.67220830,0.82023098,0.01234719,0.68566058
-5.98199100,1.82266929,0.00262968,0.14824251,0.65875585,0.81606998,0.01220535,0.68064947
-5.97598799,1.80519457,0.00257895,0.15020144,0.64478680,0.81158728,0.01208731,0.67432696
-5.96998499,1.78657562,0.00253563,0.15187272,0.63041302,0.80697583,0.01200047,0.66685405
-5.96398199,1.76731952,0.00250134,0.15323464,0.61578593,0.80246433,0.01195213,0.65842665
-5.95797899,1.74800555,0.00247782,0.15428396,0.60109074,0.79831226,0.01194928,0.64927084
-5.95197599,1.72926928,0.00246688,0.15503527,0.58653941,0.79480338,0.01199835,0.63963690
-5.94597299,1.71178366,0.00247036,0.15551976,0.57236272,0.79223755,0.01210496,0.62979241
-5.93996998,1.69623745,0.00248998,0.15578321,0.55880162,0.79092119,0.01227371,0.62001438
-5.93396698,1.68331188,0.00252735,0.15588347,0.54609825,0.79115650,0.01250798,0.61058087
-5.92796398,1.67365592,0.00258382,0.15588744,0.53448699,0.79322972,0.01280982,0.60176239
-5.92196098,1.66786141,0.00266048,0.15586767,0.52418572,0.79739898,0.01317979,0.59381320
-5.91595798,1.66643876,0.00275802,0.15589866,0.51538781,0.80388195,0.01361691,0.58696313
-5.90995498,1.66979444,0.00287673,0.15605308,0.50825487,0.81284413,0.01411870,0.58141006
-5.90395198,1.67821114,0.00301643,0.15639813,0.50291082,0.82438813,0.01468116,0.57731348
-5.89794897,1.69183186,0.00317647,0.15699200,0.49943722,0.83854463,0.01529891,0.57478941
-5.89194597,1.71064861,0.00335567,0.15788082,0.49787027,0.85526559,0.01596536,0.57390696
-5.88594297,1.73449669,0.00355236,0.15909616,0.49819946,0.87442024,0.01667288,0.57468671
-5.87993997,1.76305508,0.00376438,0.16065310,0.50036799,0.89579417,0.01741309,0.57710098
-5.87393697,1.79585316,0.00398912,0.16254921,0.50427498,0.91909188,0.01817711,0.58107615
-5.86793397,1.83228394,0.00422361,0.16476421,0.50977935,0.94394302,0.01895588,0.58649686
-5.86193097,1.87162336,0.00446451,0.16726053,0.51670525,0.96991196,0.01974052,0.59321187
-5.85592796,1.91305514,0.00470828,0.16998471,0.52484889,0.99651082,0.02052260,0.60104159
-5.84992496,1.95570016,0.00495120,0.17286944,0.53398627,1.02321522,0.02129450,0.60978665
-5.84392196,1.99864924,0.00518952,0.17583636,0.54388184,1.04948234,0.02204965,0.61923727
-5.83791896,2.04099780,0.00541958,0.17879927,0.55429737,1.07477036,0.02278280,0.62918303
-5.83191596,2.08188080,0.00563784,0.18166768,0.56500082,1.09855856,0.02349022,0.63942240
-5.82591296,2.12050638,0.00584109,0.18435058,0.57577483,1.12036700,0.02416977,0.64977168
-5.81990995,2.15618644,0.00602647,0.18676012,0.58642434,1.13977485,0.02482102,0.66007294
-5.81390695,2.18836265,0.00619156,0.18881511,0.59678308,1.15643648,0.02544514,0.67020038
-5.80790395,2.21662655,0.00633453,0.19044418,0.60671859,1.17009446,0.02604487,0.68006496
-5.80190095,2.24073271,0.00645407,0.19158839,0.61613558,1.18058872,0.02662428,0.68961696
-5.79589795,2.26060424,0.00654953,0.19220328,0.62497754,1.18786139,0.02718852,0.69884646
-5.78989495,2.27633026,0.00662089,0.19226020,0.63322640,1.19195720,0.02774349,0.70778151
-5.78389195,2.28815558,0.00666871,0.19174694,0.64090052,1.19301910,0.02829551,0.71648431
-5.77788894,2.29646299,0.00669417,0.19066767,0.64805098,1.19127957,0.02885084,0.72504554
-5.77188594,2.30174928,0.00669895,0.18904219,0.65475643,1.18704797,0.02941531,0.73357708
-5.76588294,2.30459595,0.00668521,0.18690459,0.66111691,1.18069454,0.02999386,0.74220363
-5.75987994,2.30563653,0.00665545,0.18430142,0.66724687,1.17263191,0.03059020,0.75105361
-5.75387694,2.30552191,0.00661247,0.18128950,0.67326780,1.16329518,0.03120641,0.76024989
-5.74787394,2.30488567,0.00655921,0.17793347,0.67930091,1.15312131,0.03184265,0.76990073
-5.74187094,2.30431114,0.00649870,0.17430322,0.68546024,1.14252924,0.03249701,0.78009164
