energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,0.25773912,0.00027993,0.03070000,0.00203929,0.00000000,0.07860624,0.11135356,0.00491511,0.11519433
-5.99399700,0.23531573,0.00027686,0.02699390,0.00181913,0.00000000,0.06564579,0.10228206,0.00466105,0.10566039
-5.98799400,0.21711281,0.00028525,0.02388543,0.00161801,0.00000000,0.05559827,0.09508663,0.00446865,0.09766927
-5.98199100,0.20307943,0.00030482,0.02132566,0.00143610,0.00000000,0.04809455,0.08975621,0.00434355,0.09125361
-5.97598799,0.19317485,0.00033540,0.01927122,0.00127340,0.00000000,0.04281319,0.08628553,0.00429083,0.08644083
-5.96998499,0.18736547,0.00037693,0.01768384,0.00112971,0.00000000,0.03947861,0.08467345,0.00431497,0.08325247
-5.96398199,0.18562092,0.00042947,0.01652975,0.00100470,0.00000000,0.03785801,0.08492085,0.00441971,0.08170330
-5.95797899,0.18790960,0.00049312,0.01577897,0.00089786,0.00000000,0.03775736,0.08702832,0.00460802,0.08180029
-5.95197599,0.19419367,0.00056801,0.01540459,0.00080860,0.00000000,0.03901672,0.09099345,0.00488196,0.08354152
-5.94597299,0.20442381,0.00065428,0.01538202,0.00073618,0.00000000,0.04150533,0.09680813,0.00524258,0.08691500
-5.93996998,0.21853392,0.00075201,0.01568829,0.00067982,0.00000000,0.04511646,0.10445564,0.00568985,0.09189750
-5.93396698,0.23643590,0.00086124,0.01630136,0.00063863,0.00000000,0.04976250,0.11390787,0.00622253,0.09845339
-5.92796398,0.25801480,0.00098188,0.01719957,0.00061171,0.00000000,0.05537032,0.12512255,0.00683810,0.10653362
-5.92196098,0.28312457,0.00111373,0.01836108,0.00059814,0.00000000,0.06187698,0.13804082,0.00753265,0.11607495
-5.91595798,0.31158453,0.00125645,0.01976353,0.00059697,0.00000000,0.06922604,0.15258505,0.00830087,0.12699939
-5.90995498,0.34317705,0.00140952,0.02138372,0.00060728,0.00000000,0.07736444,0.16865716,0.00913596,0.13921409
-5.90395198,0.37764635,0.00157224,0.02319745,0.00062817,0.00000000,0.08624000,0.18613759,0.01002968,0.15261171
-5.89794897,0.41469886,0.00174377,0.02517949,0.00065878,0.00000000,0.09579970,0.20488479,0.01097237,0.16707125
-5.89194597,0.45400510,0.00192308,0.02730366,0.00069830,0.00000000,0.10598848,0.22473565,0.01195303,0.18245956
-5.88594297,0.49520325,0.00210900,0.02954304,0.00074599,0.00000000,0.11674885,0.24550663,0.01295943,0.19863343
-5.87993997,0.53790439,0.00230022,0.03187033,0.00080119,0.00000000,0.12802102,0.26699584,0.01397835,0.21544219
-5.87393697,0.58169931,0.00249538,0.03425821,0.00086332,0.00000000,0.13974362,0.28898585,0.01499572,0.23273097
-5.86793397,0.62616664,0.00269302,0.03667992,0.00093189,0.00000000,0.15185486,0.31124742,0.01599694,0.25034433
-5.86193097,0.67088211,0.00289170,0.03910979,0.00100653,0.00000000,0.16429402,0.33354383,0.01696715,0.26813014
-5.85592796,0.71542855,0.00309000,0.04152381,0.00108698,0.00000000,0.17700316,0.35563577,0.01789155,0.28594370
-5.84992496,0.75940613,0.00328658,0.04390023,0.00117307,0.00000000,0.18992891,0.37728667,0.01875576,0.30365169
-5.84392196,0.80244243,0.00348025,0.04622009,0.00126477,0.00000000,0.20302411,0.39826809,0.01954613,0.32113587
-5.83791896,0.84420176,0.00366993,0.04846769,0.00136214,0.00000000,0.21624930,0.41836516,0.02025011,0.33829628
-5.83191596,0.88439318,0.00385477,0.05063087,0.00146534,0.00000000,0.22957367,0.43738163,0.02085654,0.35505362
-5.82591296,0.92277687,0.00403412,0.05270131,0.00157460,0.00000000,0.24297563,0.45514439,0.02135592,0.37135082
-5.81990995,0.95916827,0.00420755,0.05467447,0.00169024,0.00000000,0.25644264,0.47150725,0.02174068,0.38715339
