energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.19119273,0.00300708,0.02899932,0.39085908,0.55673396,0.00664997,0.72797287,0.12751797,0.08614256
-5.99399700,1.28593982,0.00294954,0.03184632,0.42128738,0.60801470,0.00653509,0.78416291,0.13245181,0.09270958
-5.98799400,1.39139823,0.00292369,0.03485791,0.45478209,0.66510332,0.00647984,0.84678304,0.13855607,0.09989509
-5.98199100,1.50695275,0.00292968,0.03800582,0.49109646,0.72778176,0.00648310,0.91545795,0.14577835,0.10764495
-5.97598799,1.63178163,0.00296708,0.04125711,0.52991733,0.79572922,0.00654274,0.98968697,0.15404300,0.11589104
-5.96998499,1.76485929,0.00303485,0.04457460,0.57086879,0.86851862,0.00665563,1.06884671,0.16325197,0.12455199
-5.96398199,1.90496679,0.00313133,0.04791739,0.61351867,0.94561655,0.00681772,1.15219859,0.17328664,0.13353446
-5.95797899,2.05071033,0.00325430,0.05124165,0.65738771,1.02638686,0.00702418,1.23890126,0.18401069,0.14273493
-5.95197599,2.20054782,0.00340103,0.05450151,0.70196136,1.11009831,0.00726956,1.32802796,0.19527388,0.15204200
-5.94597299,2.35282292,0.00356836,0.05765012,0.74670385,1.19593624,0.00754794,1.41858829,0.20691677,0.16133909
-5.93996998,2.50580577,0.00375281,0.06064081,0.79107414,1.28301810,0.00785320,1.50955398,0.21877606,0.17050755
-5.93396698,2.65773924,0.00395066,0.06342832,0.83454308,1.37041267,0.00817922,1.59988780,0.23069050,0.17942991
-5.92796398,2.80688901,0.00415811,0.06597002,0.87661129,1.45716224,0.00852012,1.68857452,0.24250708,0.18799340
-5.92196098,2.95159568,0.00437142,0.06822713,0.91682687,1.54230723,0.00887051,1.77465285,0.25408721,0.19609334
-5.91595798,3.09032672,0.00458701,0.07016588,0.95480219,1.62491219,0.00922572,1.85724688,0.26531265,0.20363644
-5.90995498,3.22172598,0.00480165,0.07175844,0.99022899,1.70409223,0.00958199,1.93559570,0.27609089,0.21054382
-5.90395198,3.34465831,0.00501257,0.07298385,1.02289090,1.77903860,0.00993664,2.00907963,0.28635962,0.21675360
-5.89794897,3.45824713,0.00521757,0.07382856,1.05267283,1.84904238,0.01028821,2.07724178,0.29609009,0.22222290
-5.89194597,3.56190268,0.00541512,0.07428688,1.07956639,1.91351496,0.01063650,2.13980360,0.30528913,0.22692922
-5.88594297,3.65533931,0.00560444,0.07436106,1.10367103,1.97200418,0.01098266,2.19667337,0.31399951,0.23087107
-5.87993997,3.73858034,0.00578550,0.07406122,1.12519063,2.02420534,0.01132903,2.24794693,0.32229870,0.23406778
-5.87393697,3.81194982,0.00595908,0.07340491,1.14442529,2.06996621,0.01167914,2.29390015,0.33029582,0.23655853
-5.86793397,3.87605089,0.00612667,0.07241650,1.16175874,2.10928564,0.01203746,2.33497314,0.33812696,0.23840052
-5.86193097,3.93173138,0.00629043,0.07112635,1.17764152,2.14230573,0.01240916,2.37174675,0.34594886,0.23966647
-5.85592796,3.98003786,0.00645306,0.06956977,1.19257067,2.16929770,0.01279988,2.40491192,0.35393130,0.24044146
-5.84992496,4.02215998,0.00661765,0.06778586,1.20706673,2.19064209,0.01321533,2.43523343,0.36224835,0.24081921
-5.84392196,4.05936760,0.00678750,0.06581631,1.22164907,2.20680426,0.01366095,2.46350946,0.37106902,0.24089809
-5.83791896,4.09294370,0.00696593,0.06370408,1.23681068,2.21830640,0.01414156,2.49052893,0.38054761,0.24077690
-5.83191596,4.12411644,0.00715605,0.06149221,1.25299352,2.22569736,0.01466094,2.51702875,0.39081427,0.24055069
-5.82591296,4.15399370,0.00736055,0.05922261,1.27056592,2.22952225,0.01522152,2.54365310,0.40196630,0.24030685
-5.81990995,4.18350365,0.00758149,0.05693505,1.28980286,2.23029301,0.01582406,2.57091703,0.41406051,0.24012153
-5.81390695,4.21334454,0.00782012,0.05466623,1.31087047,2.22846192,0.01646742,2.59917615,0.42710728,0.24005674
-5.80790395,4.24394644,0.00807669,0.05244911,1.33381547,2.22439938,0.01714834,2.62860434,0.44106649,0.24015813
-5.80190095,4.27544718,0.00835040,0.05031239,1.35856021,2.21837713,0.01786140,2.65918071,0.45584570,0.24045359
-5.79589795,4.30768376,0.00863925,0.04828023,1.38490371,2.21055791,0.01859902,2.69068658,0.47130076,0.24095281
-5.78989495,4.34020000,0.00894008,0.04637215,1.41252862,2.20099200,0.01935157,2.72271294,0.48723879,0.24164773
-5.78389195,4.37226994,0.00924858,0.04460314,1.44101407,2.18962085,0.02010755,2.75467794,0.50342358,0.24251381
-5.77788894,4.40293582,0.00955942,0.04298398,1.46985343,2.17628740,0.02085392,2.78585365,0.51958319,0.24351217
-5.77188594,4.43105858,0.00986636,0.04152155,1.49847652,2.16075244,0.02157649,2.81540068,0.53541927,0.24459233
-5.76588294,4.45537808,0.01016250,0.04021944,1.52627480,2.14271592,0.02226036,2.84240888,0.55061795,0.24569551
-5.75987994,4.47457969,0.01044047,0.03907841,1.55262842,2.12184190,0.02289040,2.86594178,0.56486142,0.24675813
-5.75387694,4.48736353,0.01069272,0.03809704,1.57693360,2.09778554,0.02345181,2.88508246,0.57784006,0.24771554
-5.74787394,4.49251248,0.01091184,0.03727224,1.59862896,2.07022056,0.02393062,2.89897834,0.58926409,0.24850546
-5.74187094,4.48895530,0.01109076,0.03659974,1.61721936,2.03886540,0.02431423,2.90688240,0.59887455,0.24907127
-5.73586793,4.47582127,0.01122312,0.03607452,1.63229593,2.00350674,0.02459183,2.90818857,0.60645275,0.24936470
-5.72986493,4.45248355,0.01130347,0.03569107,1.64355140,1.96401887,0.02475483,2.90245954,0.61182797,0.24934788
-5.72386193,4.41858901,0.01132746,0.03544359,1.65078982,1.92037794,0.02479715,2.88944543,0.61488293,0.24899470
-5.71785893,4.37407317,0.01129208,0.03532606,1.65393030,1.87267037,0.02471545,2.86909254,0.61555678,0.24829130
-5.71185593,4.31915970,0.01119572,0.03533214,1.65300462,1.82109507,0.02450920,2.84154188,0.61384556,0.24723585
-5.70585293,4.25434500,0.01103822,0.03545509,1.64814916,1.76595950,0.02418072,2.80711777,0.60980028,0.24583748
-5.69984992,4.18036920,0.01082090,0.03568747,1.63959148,1.70766992,0.02373501,2.76630747,0.60352247,0.24411462
-5.69384692,4.09817542,0.01054646,0.03602092,1.62763274,1.64671672,0.02317959,2.71973321,0.59515797,0.24209280
-5.68784392,4.00886037,0.01021892,0.03644585,1.61262687,1.58365561,0.02252415,2.66811840,0.58488889,0.23980211
-5.68184092,3.91361903,0.00984337,0.03695117,1.59495801,1.51908602,0.02178020,2.61225028,0.57292466,0.23727444
-5.67583792,3.81368708,0.00942586,0.03752411,1.57501740,1.45362799,0.02096062,2.55294099,0.55949230,0.23454079
-5.66983492,3.71028431,0.00897313,0.03815001,1.55318127,1.38789877,0.02007924,2.49098965,0.54482678,0.23162875
-5.66383192,3.60456219,0.00849238,0.03881235,1.52979090,1.32249064,0.01915029,2.42714734,0.52916171,0.22856036
-5.65782891,3.49755853,0.00799101,0.03949277,1.50513609,1.25795091,0.01818802,2.36208694,0.51272106,0.22535047
-5.65182591,3.39016134,0.00747645,0.04017132,1.47944274,1.19476503,0.01720625,2.29637935,0.49571205,0.22200566
-5.64582291,3.28308362,0.00695587,0.04082675,1.45286531,1.13334381,0.01621798,2.23047714,0.47831967,0.21852393
-5.63981991,3.17684980,0.00643603,0.04143698,1.42548434,1.07401491,0.01523507,2.16470618,0.46070291,0.21489492
-5.63381691,3.07179423,0.00592314,0.04197964,1.39730907,1.01701886,0.01426802,2.09926536,0.44299283,0.21110087
-5.62781391,2.96807090,0.00542270,0.04243272,1.36828473,0.96250967,0.01332578,2.03423398,0.42529225,0.20711810
-5.62181091,2.86567325,0.00493944,0.04277525,1.33830400,0.91055952,0.01241566,1.96958595,0.40767717,0.20291902
-5.61580790,2.76446245,0.00447728,0.04298797,1.30722171,0.86116701,0.01154333,1.90520963,0.39019942,0.19847440
-5.60980490,2.66420186,0.00403928,0.04305409,1.27487192,0.81426839,0.01071284,1.84093184,0.37289041,0.19375588
-5.60380190,2.56459546,0.00362774,0.04295989,1.24108613,0.76975079,0.00992675,1.77654443,0.35576561,0.18873849
-5.59779890,2.46532764,0.00324414,0.04269534,1.20571167,0.72746681,0.00918627,1.71183170,0.33882940,0.18340310
-5.59179590,2.36610217,0.00288929,0.04225454,1.16862909,0.68724932,0.00849144,1.64659707,0.32207994,0.17773854
-5.58579290,2.26667808,0.00256339,0.04163606,1.12976771,0.64892596,0.00784137,1.58068760,0.30551377,0.17174345
-5.57978989,2.16690059,0.00226609,0.04084319,1.08911838,0.61233244,0.00723440,1.51401488,0.28912996,0.16542760
-5.57378689,2.06672574,0.00199664,0.03988394,1.04674293,0.57732410,0.00666837,1.44657162,0.27293344,0.15881267
-5.56778389,1.96623765,0.00175395,0.03877097,1.00277995,0.54378533,0.00614078,1.37844297,0.25693754,0.15193256
-5.56178089,1.86565793,0.00153666,0.03752130,0.95744656,0.51163647,0.00564897,1.30981239,0.24116555,0.14483304
-5.55577789,1.76534718,0.00134331,0.03615591,0.91103642,0.48083814,0.00519029,1.24096208,0.22565141,0.13757095
-5.54977489,1.66579887,0.00117230,0.03469923,0.86391399,0.45139296,0.00476220,1.17226802,0.21043945,0.13021289
-5.54377189,1.56762650,0.00102206,0.03317848,0.81650562,0.42334475,0.00436240,1.10419039,0.19558342,0.12283348
-5.53776888,1.47154472,0.00089103,0.03162295,0.76928792,0.39677560,0.00398884,1.03725987,0.18114477,0.11551337
-5.53176588,1.37834599,0.00077773,0.03006320,0.72277401,0.37180091,0.00363975,0.97206079,0.16719057,0.10833696
-5.52576288,1.28887374,0.00068079,0.02853027,0.67749838,0.34856297,0.00331370,0.90921200,0.15379099,0.10139004
-5.51975988,1.20399366,0.00059899,0.02705485,0.63400105,0.32722338,0.00300954,0.84934638,0.14101669,0.09475736
-5.51375688,1.12456426,0.00053123,0.02566647,0.59281159,0.30795473,0.00272636,0.79309007,0.12893617,0.08852034
-5.50775388,1.05140797,0.00047656,0.02439273,0.55443371,0.29093193,0.00246347,0.74104201,0.11761331,0.08275480
-5.50175088,0.98528388,0.00043419,0.02325864,0.51933094,0.27632361,0.00222035,0.69375477,0.10710503,0.07752902
-5.49574787,0.92686297,0.00040344,0.02228596,0.48791380,0.26428383,0.00199658,0.65171724,0.09745947,0.07290197
-5.48974487,0.87670665,0.00038377,0.02149271,0.46052877,0.25494445,0.00179180,0.61533962,0.08871434,0.06892189
-5.48374187,0.83524901,0.00037475,0.02089278,0.43744945,0.24840837,0.00160565,0.58494109,0.08089585,0.06562519
-5.47773887,0.80278326,0.00037602,0.02049560,0.41886995,0.24474379,0.00143776,0.56074054,0.07401795,0.06303568
-5.47173587,0.77945253,0.00038730,0.02030602,0.40490054,0.24397973,0.00128767,0.54285029,0.06808204,0.06116413
-5.46573287,0.76524507,0.00040833,0.02032422,0.39556578,0.24610277,0.00115485,0.53127298,0.06307700,0.06000829
-5.45972986,0.75999379,0.00043886,0.02054589,0.39080479,0.25105520,0.00103864,0.52590148,0.05897954,0.05955308
-5.45372686,0.76338012,0.00047863,0.02096237,0.39047381,0.25873452,0.00093831,0.52652181,0.05575492,0.05977121
-5.44772386,0.77494172,0.00052733,0.02156101,0.39435074,0.26899435,0.00085297,0.53281878,0.05335776,0.06062412
-5.44172086,0.79408403,0.00058456,0.02232565,0.40214162,0.28164668,0.00078166,0.54438426,0.05173316,0.06206306
-5.43571786,0.82009511,0.00064986,0.02323713,0.41348869,0.29646541,0.00072331,0.56072764,0.05081790,0.06403057
-5.42971486,0.85216340,0.00072262,0.02427396,0.42798004,0.31319110,0.00067675,0.58128846,0.05054177,0.06646207
-5.42371186,0.88939807,0.00080209,0.02541296,0.44516038,0.33153679,0.00064080,0.60545058,0.05082898,0.06928758
-5.41770885,0.93085123,0.00088740,0.02663004,0.46454281,0.35119482,0.00061418,0.63255779,0.05159960,0.07243368
-5.41170585,0.97554163,0.00097751,0.02790092,0.48562130,0.37184430,0.00059564,0.66193029,0.05277109,0.07582538
-5.40570285,1.02247914,0.00107121,0.02920188,0.50788347,0.39315921,0.00058389,0.69288175,0.05425979,0.07938814
-5.39969985,1.07068933,0.00116717,0.03051045,0.53082344,0.41481681,0.00057768,0.72473635,0.05598242,0.08304972
-5.39369685,1.11923752,0.00126392,0.03180608,0.55395441,0.43650604,0.00057581,0.75684550,0.05785765,0.08674198
-5.38769385,1.16725157,0.00135987,0.03307062,0.57682054,0.45793577,0.00057709,0.78860363,0.05980749,0.09040248
-5.38169085,1.21394268,0.00145339,0.03428880,0.59900785,0.47884254,0.00058046,0.81946258,0.06175880,0.09397591
-5.37568784,1.25862360,0.00154277,0.03544851,0.62015381,0.49899751,0.00058491,0.84894427,0.06364456,0.09741514
-5.36968484,1.30072363,0.00162634,0.03654095,0.63995530,0.51821245,0.00058953,0.87665110,0.06540520,0.10068204
-5.36368184,1.33979983,0.00170247,0.03756063,0.65817466,0.53634441,0.00059352,0.90227380,0.06698961,0.10374796
-5.35767884,1.37554427,0.00176961,0.03850525,0.67464370,0.55329907,0.00059620,0.92559648,0.06835617,0.10659378
-5.35167584,1.40778678,0.00182638,0.03937536,0.68926552,0.56903242,0.00059699,0.94649868,0.06947343,0.10920965
-5.34567284,1.43649339,0.00187157,0.04017400,0.70201399,0.58355084,0.00059543,0.96495441,0.07032065,0.11159444
-5.33966983,1.46176037,0.00190421,0.04090617,0.71293112,0.59690951,0.00059120,0.98102817,0.07088802,0.11375479
-5.33366683,1.48380422,0.00192358,0.04157824,0.72212226,0.60920920,0.00058408,0.99486822,0.07117665,0.11570400
-5.32766383,1.50294794,0.00192924,0.04219730,0.72974938,0.62059144,0.00057396,1.00669723,0.07119823,0.11746064
-5.32166083,1.51960408,0.00192107,0.04277059,0.73602274,0.63123240,0.00056083,1.01680081,0.07097445,0.11904709
-5.31565783,1.53425537,0.00189922,0.04330481,0.74119119,0.64133550,0.00054479,1.02551425,0.07053605,0.12048799
-5.30965483,1.54743342,0.00186416,0.04380562,0.74553152,0.65112310,0.00052601,1.03320801,0.06992168,0.12180871
-5.30365183,1.55969640,0.00181662,0.04427717,0.74933719,0.66082751,0.00050473,1.04027249,0.06917651,0.12303389
-5.29764882,1.57160645,0.00175758,0.04472171,0.75290683,0.67068154,0.00048127,1.04710253,0.06835057,0.12418617
-5.29164582,1.58370742,0.00168827,0.04513937,0.75653297,0.68090903,0.00045597,1.05408214,0.06749703,0.12528501
-5.28564282,1.59650378,0.00161004,0.04552810,0.76049118,0.69171546,0.00042921,1.06157010,0.06667034,0.12634580
-5.27963982,1.61044125,0.00152441,0.04588361,0.76503006,0.70327908,0.00040139,1.06988647,0.06592431,0.12737925
-5.27363682,1.62588958,0.00143298,0.04619960,0.77036231,0.71574279,0.00037291,1.07930077,0.06531020,0.12839095
-5.26763382,1.64312798,0.00133736,0.04646803,0.77665704,0.72920690,0.00034416,1.09002179,0.06487499,0.12938121
-5.26163082,1.66233355,0.00123916,0.04667945,0.78403349,0.74372321,0.00031552,1.10218941,0.06465960,0.13034517
-5.25562781,1.68357277,0.00113992,0.04682346,0.79255633,0.75929033,0.00028734,1.11586844,0.06469748,0.13127307
-5.24962481,1.70679637,0.00104110,0.04688918,0.80223255,0.77585061,0.00025992,1.13104472,0.06501333,0.13215067
-5.24362181,1.73183740,0.00094402,0.04686578,0.81300987,0.79328868,0.00023353,1.14762341,0.06562210,0.13295984
-5.23761881,1.75841278,0.00084985,0.04674296,0.82477693,0.81143173,0.00020841,1.16542944,0.06652833,0.13367925
-5.23161581,1.78612800,0.00075957,0.04651140,0.83736492,0.83005152,0.00018473,1.18421016,0.06772579,0.13428505
-5.22561281,1.81448492,0.00067401,0.04616322,0.85055083,0.84886818,0.00016263,1.20364015,0.06919749,0.13475164
-5.21960980,1.84289268,0.00059379,0.04569226,0.86406212,0.86755573,0.00014221,1.22332793,0.07091597,0.13505242
-5.21360680,1.87068118,0.00051937,0.04509440,0.87758281,0.88574919,0.00012350,1.24282465,0.07284398,0.13516046
-5.20760380,1.89711722,0.00045101,0.04436770,0.89076088,0.90305316,0.00010651,1.26163452,0.07493543,0.13504927
-5.20160080,1.92142275,0.00038883,0.04351250,0.90321671,0.91905171,0.00009124,1.27922678,0.07713670,0.13469339
-5.19559780,1.94279490,0.00033282,0.04253144,0.91455270,0.93331933,0.00007762,1.29504904,0.07938809,0.13406901
-5.18959480,1.96042745,0.00028283,0.04142932,0.92436354,0.94543250,0.00006557,1.30854164,0.08162556,0.13315454
-5.18359180,1.97353307,0.00023863,0.04021303,0.93224712,0.95498185,0.00005502,1.31915284,0.08378257,0.13193116
-5.17758879,1.98136594,0.00019988,0.03889126,0.93781581,0.96158415,0.00004584,1.32635430,0.08579210,0.13038330
-5.17158579,1.98324387,0.00016623,0.03747432,0.94070767,0.96489413,0.00003794,1.32965651,0.08758855,0.12849909
-5.16558279,1.97856942,0.00013725,0.03597379,0.94059736,0.96461540,0.00003117,1.32862370,0.08910975,0.12627079
-5.15957979,1.96684932,0.00011250,0.03440225,0.93720642,0.96051029,0.00002544,1.32288774,0.09029883,0.12369515
-5.15357679,1.94771128,0.00009156,0.03277299,0.93031241,0.95240811,0.00002062,1.31216047,0.09110584,0.12077373
-5.14757379,1.92091786,0.00007398,0.03109968,0.91975677,0.94021159,0.00001660,1.29624404,0.09148932,0.11751312
-5.14157079,1.88637645,0.00005935,0.02939607,0.90545088,0.92390112,0.00001327,1.27503884,0.09141740,0.11392508
-5.13556778,1.84414521,0.00004727,0.02767580,0.88738009,0.90353671,0.00001054,1.24854854,0.09086878,0.11002660
-5.12956478,1.79443444,0.00003737,0.02595208,0.86560566,0.87925752,0.00000833,1.21688212,0.08983319,0.10583978
-5.12356178,1.73760331,0.00002934,0.02423755,0.84026425,0.85127886,0.00000654,1.18025259,0.08831162,0.10139163
-5.11755878,1.67415193,0.00002287,0.02254409,0.81156505,0.81988690,0.00000512,1.13897253,0.08631611,0.09671370
