energy_ev,total_up,In_p_up,In_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,0.19048571,0.01522925,0.00126060,0.10641204,0.07494038,0.00117192,0.02998330
-5.99399700,0.16184338,0.01298581,0.00106498,0.09008178,0.06380714,0.00098916,0.02524014
-5.98799400,0.13745887,0.01107132,0.00089671,0.07615198,0.05431345,0.00082913,0.02110736
-5.98199100,0.11703001,0.00946966,0.00075365,0.06443645,0.04635498,0.00069017,0.01753558
-5.97598799,0.10025720,0.00816515,0.00063363,0.05475073,0.03982758,0.00057052,0.01447396
-5.96998499,0.08685091,0.00714334,0.00053448,0.04691619,0.03463056,0.00046835,0.01187150
-5.96398199,0.07653767,0.00639180,0.00045412,0.04076333,0.03066939,0.00038184,0.00967826
-5.95797899,0.06906447,0.00590064,0.00039057,0.03613406,0.02785781,0.00030920,0.00784624
-5.95197599,0.06420161,0.00566299,0.00034197,0.03288329,0.02611921,0.00024871,0.00633020
-5.94597299,0.06174391,0.00567526,0.00030661,0.03087953,0.02538738,0.00019877,0.00508822
-5.93996998,0.06151049,0.00593722,0.00028291,0.03000480,0.02560662,0.00015790,0.00408203
-5.93396698,0.06334320,0.00645198,0.00026946,0.03015386,0.02673127,0.00012474,0.00327719
-5.92796398,0.06710402,0.00722567,0.00026495,0.03123293,0.02872463,0.00009809,0.00264321
-5.92196098,0.07267145,0.00826705,0.00026822,0.03315791,0.03155748,0.00007688,0.00215338
-5.91595798,0.07993621,0.00958688,0.00027822,0.03585240,0.03520615,0.00006019,0.00178464
-5.90995498,0.08879661,0.01119713,0.00029396,0.03924546,0.03965030,0.00004722,0.00151730
-5.90395198,0.09915356,0.01311007,0.00031454,0.04326944,0.04487048,0.00003727,0.00133474
-5.89794897,0.11090568,0.01533722,0.00033911,0.04785782,0.05084556,0.00002979,0.00122304
-5.89194597,0.12394470,0.01788816,0.00036686,0.05294323,0.05755015,0.00002430,0.00117065
-5.88594297,0.13815124,0.02076933,0.00039702,0.05845584,0.06495208,0.00002039,0.00116802
-5.87993997,0.15339130,0.02398280,0.00042880,0.06432203,0.07301011,0.00001775,0.00120726
-5.87393697,0.16951354,0.02752504,0.00046146,0.07046348,0.08167185,0.00001611,0.00128179
-5.86793397,0.18634755,0.03138579,0.00049426,0.07679678,0.09087220,0.00001528,0.00138607
-5.86193097,0.20370315,0.03554710,0.00052647,0.08323346,0.10053212,0.00001506,0.00151535
-5.85592796,0.22137078,0.03998253,0.00055738,0.08968052,0.11055806,0.00001534,0.00166539
-5.84992496,0.23912315,0.04465664,0.00058632,0.09604140,0.12084199,0.00001599,0.00183232
-5.84392196,0.25671784,0.04952480,0.00061265,0.10221738,0.13126205,0.00001693,0.00201248
-5.83791896,0.27390109,0.05453333,0.00063579,0.10810926,0.14168397,0.00001807,0.00220227
-5.83191596,0.29041249,0.05962005,0.00065522,0.11361944,0.15196309,0.00001937,0.00239815
-5.82591296,0.30599034,0.06471523,0.00067050,0.11865403,0.16194701,0.00002075,0.00259651
-5.81990995,0.32037779,0.06974291,0.00068129,0.12312514,0.17147892,0.00002219,0.00279371
