energy_ev,total_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.41741964,0.69942084,1.16956635,0.01260043,1.22932992,0.12523387,0.00018062
-5.99399700,2.30974993,0.66625871,1.11956606,0.01193094,1.17567435,0.11894370,0.00017199
-5.98799400,2.19792773,0.63161048,1.06777538,0.01122509,1.12009939,0.11233295,0.00016299
-5.98199100,2.08487696,0.59631434,1.01558968,0.01049621,1.06411910,0.10554437,0.00015387
-5.97598799,1.97354059,0.56121422,0.96440606,0.00975781,1.00925940,0.09872208,0.00014485
-5.96998499,1.86681519,0.52714128,0.91559098,0.00902323,0.95702474,0.09200825,0.00013617
-5.96398199,1.76749174,0.49489716,0.87045114,0.00830536,0.90886785,0.08554029,0.00012806
-5.95797899,1.67820450,0.46523945,0.83020863,0.00761636,0.86616341,0.07944829,0.00012073
-5.95197599,1.60138854,0.43886956,0.79598064,0.00696755,0.83018595,0.07385307,0.00011441
-5.94597299,1.53924655,0.41642315,0.76876423,0.00636920,0.80209234,0.06886467,0.00010928
-5.93996998,1.49372463,0.39846294,0.74942597,0.00583048,0.78290864,0.06458127,0.00010553
-5.93396698,1.46649645,0.38547374,0.73869634,0.00535945,0.77352112,0.06108859,0.00010333
-5.92796398,1.45895479,0.37785950,0.73716837,0.00496300,0.77467081,0.05845956,0.00010282
-5.92196098,1.47220922,0.37594187,0.74529990,0.00464697,0.78695120,0.05675433,0.00010414
-5.91595798,1.50708848,0.37996001,0.76341878,0.00441613,0.81080813,0.05602038,0.00010739
-5.90995498,1.56414612,0.39007124,0.79173015,0.00427425,0.84654144,0.05629281,0.00011267
-5.90395198,1.64366824,0.40635229,0.83032512,0.00422422,0.89430765,0.05759462,0.00012003
-5.89794897,1.74568199,0.42880085,0.87918996,0.00426802,0.95412316,0.05993688,0.00012952
-5.89194597,1.86996409,0.45733731,0.93821525,0.00440680,1.02586763,0.06331898,0.00014117
-5.88594297,2.01604884,0.49180662,1.00720442,0.00464088,1.10928724,0.06772861,0.00015495
-5.87993997,2.18323528,0.53198038,1.08588124,0.00496975,1.20399796,0.07314179,0.00017084
-5.87393697,2.37059375,0.57755918,1.17389600,0.00539203,1.30948866,0.07952269,0.00018877
-5.86793397,2.57697218,0.62817559,1.27083036,0.00590545,1.42512459,0.08682354,0.00020864
-5.86193097,2.80100281,0.68339776,1.37620082,0.00650674,1.55015134,0.09498452,0.00023032
-5.85592796,3.04111013,0.74273418,1.48946112,0.00719164,1.68369998,0.10393377,0.00025366
-5.84992496,3.29552103,0.80563964,1.61000378,0.00795478,1.82479351,0.11358761,0.00027846
-5.84392196,3.56227807,0.87152261,1.73716125,0.00878970,1.97235538,0.12385100,0.00030450
-5.83791896,3.83925666,0.93975421,1.87020709,0.00968877,2.12522022,0.13461836,0.00033153
-5.83191596,4.12418684,1.00967878,2.00835763,0.01064329,2.28214710,0.14577483,0.00035927
-5.82591296,4.41468013,1.08062582,2.15077452,0.01164349,2.44183550,0.15719790,0.00038743
-5.81990995,4.70826132,1.15192327,2.29656864,0.01267867,2.60294376,0.16875954,0.00041568
-5.81390695,5.00240514,1.22291163,2.44480548,0.01373737,2.76410993,0.18032874,0.00044370
-5.80790395,5.29457697,1.29295860,2.59451233,0.01480757,2.92397438,0.19177450,0.00047116
-5.80190095,5.58227662,1.36147359,2.74468712,0.01587696,3.08120372,0.20296903,0.00049773
-5.79589795,5.86308382,1.42792169,2.89430889,0.01693326,3.23451504,0.21379125,0.00052310
-5.78989495,6.13470378,1.49183625,3.04234954,0.01796452,3.38269977,0.22413026,0.00054697
-5.78389195,6.39501093,1.55282976,3.18778661,0.01895953,3.52464608,0.23388884,0.00056907
-5.77788894,6.64208913,1.61060224,3.32961639,0.01990809,3.65935879,0.24298658,0.00058917
-5.77188594,6.87426635,1.66494683,3.46686701,0.02080144,3.78597611,0.25136266,0.00060705
-5.76588294,7.09014223,1.71575216,3.59861092,0.02163250,3.90378212,0.25897803,0.00062258
-5.75987994,7.28860719,1.76300140,3.72397618,0.02239613,4.01221464,0.26581684,0.00063565
-5.75387694,7.46885201,1.80676786,3.84215624,0.02308936,4.11086798,0.27188702,0.00064621
-5.74787394,7.63036752,1.84720723,3.95241783,0.02371144,4.19949045,0.27721990,0.00065424
-5.74187094,7.77293432,1.88454695,4.05410689,0.02426389,4.27797689,0.28186891,0.00065981
-5.73586793,7.89660324,1.91907297,4.14665253,0.02475040,4.34635661,0.28590723,0.00066300
-5.72986493,8.00166753,1.95111451,4.22956914,0.02517669,4.40477747,0.28942456,0.00066395
-5.72386193,8.08862866,1.98102763,4.30245727,0.02555020,4.45348720,0.29252305,0.00066284
-5.71785893,8.15815752,2.00917824,4.36500340,0.02587978,4.49281290,0.29531259,0.00065985
-5.71185593,8.21105352,2.03592538,4.41697951,0.02617526,4.52314022,0.29790564,0.00065523
-5.70585293,8.24820394,2.06160564,4.45824285,0.02644701,4.54489334,0.30041185,0.00064919
-5.69984992,8.27054607,2.08651927,4.48873660,0.02670544,4.55851716,0.30293262,0.00064198
-5.69384692,8.27903441,2.11091893,4.50849176,0.02696054,4.56446268,0.30555610,0.00063384
-5.68784392,8.27461481,2.13500134,4.51763083,0.02722139,4.56317661,0.30835257,0.00062498
-5.68184092,8.25820711,2.15890246,4.51637311,0.02749578,4.55509587,0.31137073,0.00061561
-5.67583792,8.23069727,2.18269641,4.50504180,0.02778987,4.54064714,0.31463495,0.00060592
-5.66983492,8.19293911,2.20639808,4.48407242,0.02810792,4.52025167,0.31814361,0.00059606
-5.66383192,8.14576545,2.22996963,4.45402188,0.02845214,4.49433482,0.32186885,0.00058616
-5.65782891,8.09000759,2.25333030,4.41557766,0.02882266,4.46333961,0.32575749,0.00057633
-5.65182591,8.02652144,2.27636943,4.36956586,0.02921760,4.42774336,0.32973337,0.00056664
-5.64582291,7.95621819,2.29896181,4.31695721,0.02963327,4.38807603,0.33370083,0.00055714
-5.63981991,7.88009707,2.32098494,4.25886985,0.03006441,4.34493885,0.33754934,0.00054786
-5.63381691,7.79927738,2.34233714,4.19656794,0.03050459,4.29902169,0.34115898,0.00053884
-5.62781391,7.71502696,2.36295586,4.13145494,0.03094664,4.25111763,0.34440657,0.00053006
-5.62181091,7.62878445,2.38283504,4.06506111,0.03138310,4.20213322,0.34717215,0.00052155
-5.61580790,7.54217283,2.40204076,3.99902452,0.03180674,4.15309316,0.34934559,0.00051331
-5.60980490,7.45700226,2.42072408,3.93506559,0.03221101,4.10513840,0.35083287,0.00050535
-5.60380190,7.37526062,2.43913047,3.87495523,0.03259049,4.05951689,0.35156195,0.00049771
-5.59779890,7.29909102,2.45760477,3.82047727,0.03294127,4.01756654,0.35148772,0.00049043
-5.59179590,7.23075604,2.47659141,3.77338600,0.03326124,3.98069068,0.35059596,0.00048357
-5.58579290,7.17258921,2.49662923,3.73536004,0.03355026,3.95032614,0.34890615,0.00047718
-5.57978989,7.12693510,2.51834084,3.70795410,0.03381027,3.92790502,0.34647274,0.00047137
-5.57378689,7.09607991,2.54241652,3.69255027,0.03404524,3.91481127,0.34338513,0.00046623
-5.56778389,7.08217497,2.56959295,3.69031067,0.03426099,3.91233353,0.33976614,0.00046187
-5.56178089,7.08715633,2.60062732,3.70213337,0.03446497,3.92161616,0.33576901,0.00045838
-5.55577789,7.11266351,2.63626767,3.72861334,0.03466586,3.94361031,0.33157321,0.00045588
-5.54977489,7.15996122,2.67722051,3.77001022,0.03487318,3.97902707,0.32737900,0.00045447
-5.54377189,7.22986734,2.72411689,3.82622439,0.03509680,4.02829497,0.32340111,0.00045422
-5.53776888,7.32269082,2.77747847,3.89678258,0.03534642,4.09152365,0.31986165,0.00045520
-5.53176588,7.43818254,2.83768497,3.98083405,0.03563111,4.16847563,0.31698266,0.00045744
-5.52576288,7.57550210,2.90494457,4.07715775,0.03595884,4.25854791,0.31497841,0.00046097
-5.51975988,7.73320243,2.97926884,4.18418089,0.03633608,4.36076448,0.31404787,0.00046574
-5.51375688,7.90923419,3.06045344,4.30000853,0.03676750,4.47378094,0.31436748,0.00047171
