energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up
-6.00000000,10.27729122,2.96359094,5.34766741,0.04626003,0.74306797,1.98818394,0.52176417,0.05566976,2.70692597
-5.99399700,10.46065962,3.00792801,5.41971949,0.04826031,0.74395544,2.05572660,0.53701544,0.05557463,2.78191798
-5.98799400,10.65195445,3.05198911,5.49633356,0.05026497,0.74394613,2.12421684,0.55358691,0.05554182,2.85971537
-5.98199100,10.84782160,3.09500585,5.57589368,0.05225698,0.74300024,2.19232487,0.57134053,0.05555859,2.93915203
-5.97598799,11.04483088,3.13619211,5.65676677,0.05421877,0.74109526,2.25873448,0.59011484,0.05561212,3.01901638
-5.96998499,11.23958790,3.17477144,5.73735734,0.05613285,0.73822779,2.32218694,0.60972967,0.05569002,3.09808904
-5.96398199,11.42884488,3.21000527,5.81615993,0.05798241,0.73441461,2.38152342,0.62999132,0.05578086,3.17518137
-5.95797899,11.60960606,3.24122095,5.89180757,0.05975198,0.72969335,2.43572411,0.65069822,0.05587468,3.24917304
-5.95197599,11.77922375,3.26783833,5.96311442,0.06142802,0.72412239,2.48394252,0.67164668,0.05596345,3.31904742
-5.94597299,11.93548132,3.28939368,6.02911106,0.06299950,0.71778030,2.52553338,0.69263661,0.05604139,3.38392301
-5.93996998,12.07665971,3.30555988,6.08907139,0.06445832,0.71076457,2.56007301,0.71347688,0.05610528,3.44307979
-5.93396698,12.20158496,3.31616182,6.14253015,0.06579965,0.70318979,2.58737120,0.73399009,0.05615458,3.49597922
-5.92796398,12.30965466,3.32118629,6.18929069,0.06702209,0.69518533,2.60747407,0.75401663,0.05619145,3.54227702
-5.92196098,12.40084236,3.32078549,6.22942269,0.06812764,0.68689243,2.62065768,0.77341770,0.05622066,3.58182817
-5.91595798,12.47567955,3.31527415,6.26325016,0.06912149,0.67846086,2.62741268,0.79207729,0.05624938,3.61468381
-5.90995498,12.53521607,3.30511989,6.29133022,0.07001164,0.67004522,2.62842070,0.80990299,0.05628678,3.64108025
-5.90395198,12.58096051,3.29092721,6.31442368,0.07080835,0.66180084,2.62452334,0.82682561,0.05634367,3.66142063
-5.89794897,12.61480318,3.27341568,6.33345850,0.07152343,0.65387954,2.61668532,0.84279773,0.05643191,3.67624995
-5.89194597,12.63892495,3.25339315,6.34948773,0.07216941,0.64642527,2.60595322,0.85779127,0.05656393,3.68622495
-5.88594297,12.65569608,3.23172506,6.36364354,0.07275872,0.63956982,2.59341188,0.87179420,0.05675212,3.69207999
-5.87993997,12.66756932,3.20930129,6.37708916,0.07330277,0.63342870,2.58014015,0.88480682,0.05700828,3.69459096
-5.87393697,12.67697216,3.18700199,6.39097071,0.07381116,0.62809745,2.56716812,0.89683766,0.05734305,3.69453867
-5.86793397,12.68620303,3.16566391,6.40637062,0.07429094,0.62364844,2.55543762,0.90789945,0.05776551,3.69267378
-5.86193097,12.69733572,3.14604894,6.42426442,0.07474601,0.62012842,2.54576765,0.91800533,0.05828270,3.68968479
-5.85592796,12.71213646,3.12881616,6.44548249,0.07517678,0.61755687,2.53882616,0.92716569,0.05889939,3.68617077
-5.84992496,12.73199671,3.11449886,6.47067810,0.07557999,0.61592535,2.53510929,0.93538567,0.05961782,3.68261986
-5.84392196,12.75788434,3.10348740,6.50030253,0.07594877,0.61519787,2.53492867,0.94266370,0.06043763,3.67939462
-5.83791896,12.79031476,3.09601882,6.53458816,0.07627297,0.61531220,2.53840718,0.94899090,0.06135580,3.67672455
-5.83191596,12.82934242,3.09217344,6.57353963,0.07653970,0.61618234,2.54548289,0.95435161,0.06236677,3.67470605
-5.82591296,12.87457208,3.09187844,6.61693302,0.07673409,0.61770179,2.55592080,0.95872481,0.06346255,3.67330918
-5.81990995,12.92518847,3.09491812,6.66432280,0.07684020,0.61974759,2.56933137,0.96208628,0.06463295,3.67239085
-5.81390695,12.98000189,3.10095007,6.71505571,0.07684202,0.62218494,2.58519482,0.96441141,0.06586584,3.67171299
-5.80790395,13.03750673,3.10952611,6.76829078,0.07672458,0.62487220,2.60288973,0.96567831,0.06714739,3.67096475
-5.80190095,13.09594954,3.12011701,6.82302453,0.07647501,0.62766585,2.62172450,0.96587104,0.06846244,3.66978707
-5.79589795,13.15340301,3.13213924,6.87812016,0.07608351,0.63042540,2.64097024,0.96498260,0.06979475,3.66779811
-5.78989495,13.20784227,3.14498265,6.93233976,0.07554426,0.63301783,2.65989346,0.96301749,0.07112737,3.66461824
-5.78389195,13.25722023,3.15803739,6.98437845,0.07485610,0.63532131,2.67778747,0.95999367,0.07244291,3.65989314
-5.77788894,13.29953912,3.17071902,7.03289948,0.07402301,0.63722830,2.69400111,0.95594372,0.07372387,3.65331394
-5.77188594,13.33291585,3.18249053,7.07656960,0.07305431,0.63864749,2.70796408,0.95091515,0.07495295,3.64463367
-5.76588294,13.35563968,3.19288062,7.11409392,0.07196471,0.63950496,2.71920813,0.94496986,0.07611334,3.63367948
-5.75987994,13.36622112,3.20149756,7.14424963,0.07077394,0.63974428,2.72738369,0.93818284,0.07718906,3.62036039
-5.75387694,13.36343160,3.20803857,7.16591831,0.06950629,0.63932575,2.73227183,0.93064016,0.07816525,3.60467081
-5.74787394,13.34633434,3.21229459,7.17811620,0.06818984,0.63822488,2.73379151,0.92243661,0.07902848,3.58669012
-5.74187094,13.31430651,3.21415085,7.18002209,0.06685558,0.63643036,2.73200240,0.91367294,0.07976708,3.56657895
-5.73586793,13.26705393,3.21358377,7.17100257,0.06553634,0.63394161,2.72710345,0.90445324,0.08037145,3.54457277
-5.72986493,13.20461876,3.21065480,7.15063407,0.06426569,0.63076625,2.71942781,0.89488244,0.08083434,3.52097368
-5.72386193,13.12738140,3.20550190,7.11872120,0.06307682,0.62691765,2.70943423,0.88506420,0.08115111,3.49614102
