energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,4.79127043,0.01092623,0.59143584,1.41629273,2.23022715,0.00511238,1.65536891,0.90078802,0.53936723
-5.99399700,4.79445264,0.01142305,0.60107704,1.42235238,2.23697565,0.00487844,1.64712917,0.91348871,0.53426729
-5.98799400,4.79893370,0.01191944,0.61019040,1.42906232,2.24393621,0.00468519,1.63966990,0.92762414,0.52929739
-5.98199100,4.80447930,0.01240410,0.61867767,1.43619236,2.25108283,0.00452992,1.63292406,0.94298496,0.52447683
-5.97598799,4.81068616,0.01286570,0.62642648,1.44345846,2.25831142,0.00440940,1.62676608,0.95931173,0.51980718
-5.96998499,4.81698399,0.01329313,0.63331259,1.45052784,2.26543748,0.00431998,1.62101257,0.97629827,0.51527167
-5.96398199,4.82264480,0.01367592,0.63920294,1.45702656,2.27219743,0.00425766,1.61542543,0.99359692,0.51083534
-5.95797899,4.82679953,0.01400450,0.64395932,1.46254918,2.27825375,0.00421827,1.60971736,1.01082560,0.50644598
-5.95197599,4.82846161,0.01427049,0.64744255,1.46667021,2.28320370,0.00419750,1.60355968,1.02757649,0.50203583
-5.94597299,4.82655675,0.01446695,0.64951693,1.46895699,2.28659150,0.00419105,1.59659239,1.04342620,0.49752398
-5.93996998,4.81995783,0.01458858,0.65005478,1.46898326,2.28792334,0.00419472,1.58843590,1.05794700,0.49281934
-5.93396698,4.80752353,0.01463185,0.64894092,1.46634306,2.28668484,0.00420450,1.57870425,1.07071882,0.48782421
-5.92796398,4.78813934,0.01459505,0.64607686,1.46066436,2.28236015,0.00421667,1.56701903,1.08134149,0.48243813
-5.92196098,4.76075903,0.01447836,0.64138459,1.45162171,2.27445198,0.00422791,1.55302366,1.08944690,0.47656189
-5.91595798,4.72444519,0.01428376,0.63480981,1.43894769,2.26250163,0.00423533,1.53639722,1.09471043,0.47010165
-5.90995498,4.67840691,0.01401497,0.62632453,1.42244242,2.24610832,0.00423659,1.51686736,1.09686128,0.46297282
-5.90395198,4.62203326,0.01367723,0.61592890,1.40198110,2.22494697,0.00422991,1.49422168,1.09569134,0.45510365
-5.89794897,4.55492103,0.01327718,0.60365238,1.37751905,2.19878352,0.00421411,1.46831713,1.09106206,0.44643834
-5.89194597,4.47689565,0.01282256,0.58955397,1.34909428,2.16748738,0.00418869,1.43908694,1.08290918,0.43693965
-5.88594297,4.38802446,0.01232200,0.57372181,1.31682752,2.13104016,0.00415375,1.40654494,1.07124509,0.42659066
-5.87993997,4.28862167,0.01178469,0.55627196,1.28091968,2.08954051,0.00411003,1.37078698,1.05615859,0.41539600
-5.87393697,4.17924476,0.01122016,0.53734642,1.24164695,2.04320470,0.00405885,1.33198945,1.03781226,0.40338214
-5.86793397,4.06068265,0.01063795,0.51711063,1.19935379,1.99236281,0.00400206,1.29040506,1.01643735,0.39059703
-5.86193097,3.93393583,0.01004738,0.49575023,1.15444399,1.93745088,0.00394196,1.24635592,0.99232652,0.37710891
-5.85592796,3.80018936,0.00945730,0.47346746,1.10737028,1.87899902,0.00388123,1.20022439,0.96582471,0.36300454
-5.84992496,3.66077994,0.00887589,0.45047710,1.05862271,1.81761620,0.00382281,1.15244204,0.93731841,0.34838675
-5.84392196,3.51715802,0.00831046,0.42700216,1.00871636,1.75397227,0.00376976,1.10347717,0.90722395,0.33337159
-5.83791896,3.37084690,0.00776737,0.40326937,0.95817874,1.68877790,0.00372520,1.05382136,0.87597513,0.31808505
-5.83191596,3.22339999,0.00725188,0.37950464,0.90753721,1.62276339,0.00369211,1.00397568,0.84401070,0.30265954
-5.82591296,3.07635827,0.00676813,0.35592861,0.85730698,1.55665726,0.00367327,0.95443704,0.81176230,0.28723031
-5.81990995,2.93120934,0.00631911,0.33275242,0.80797981,1.49116534,0.00367109,0.90568514,0.77964304,0.27193186
-5.81390695,2.78934962,0.00590670,0.31017375,0.76001399,1.42695147,0.00368754,0.85817049,0.74803746,0.25689449
-5.80790395,2.65205117,0.00553174,0.28837335,0.71382567,1.36462040,0.00372402,0.81230399,0.71729294,0.24224112
-5.80190095,2.52043402,0.00519409,0.26751209,0.66978173,1.30470349,0.00378131,0.76844821,0.68771288,0.22808447
-5.79589795,2.39544504,0.00489276,0.24772855,0.62819452,1.24764792,0.00385946,0.72691070,0.65955188,0.21452469
-5.78989495,2.27784365,0.00462605,0.22913738,0.58931826,1.19380943,0.00395784,0.68793949,0.63301288,0.20164747
-5.78389195,2.16819466,0.00439167,0.21182825,0.55334731,1.14344882,0.00407504,0.65172068,0.60824632,0.18952270
-5.77788894,2.06686802,0.00418689,0.19586549,0.52041612,1.09673217,0.00420895,0.61837821,0.58535108,0.17820366
-5.77188594,1.97404496,0.00400872,0.18128847,0.49060076,1.05373441,0.00435676,0.58797553,0.56437719,0.16772679
-5.76588294,1.88972986,0.00385400,0.16811253,0.46392189,1.01444581,0.00451507,0.56051904,0.54532979,0.15811193
-5.75987994,1.81376678,0.00371954,0.15633043,0.44034890,0.97878094,0.00467993,0.53596301,0.52817431,0.14936308
-5.75387694,1.74585965,0.00360225,0.14591435,0.41980494,0.94658939,0.00484702,0.51421563,0.51284225,0.14146950
-5.74787394,1.68559477,0.00349920,0.13681816,0.40217269,0.91766754,0.00501171,0.49514581,0.49923750,0.13440718
-5.74187094,1.63246456,0.00340773,0.12898001,0.38730047,0.89177081,0.00516926,0.47859050,0.48724261,0.12814055
-5.73586793,1.58589124,0.00332545,0.12232500,0.37500853,0.86862568,0.00531494,0.46436203,0.47672487,0.12262436
-5.72986493,1.54524952,0.00325030,0.11676791,0.36509521,0.84794088,0.00544417,0.45225527,0.46754186,0.11780559
-5.72386193,1.50988730,0.00318054,0.11221589,0.35734281,0.82941740,0.00555272,0.44205425,0.45954630,0.11362537
-5.71785893,1.47914388,0.00311474,0.10857102,0.35152299,0.81275697,0.00563677,0.43353811,0.45259006,0.11002090
-5.71185593,1.45236497,0.00305176,0.10573253,0.34740156,0.79766870,0.00569311,0.42648613,0.44652720,0.10692709
-5.70585293,1.42891453,0.00299070,0.10359896,0.34474261,0.78387406,0.00571918,0.42068177,0.44121610,0.10427813
-5.69984992,1.40818333,0.00293087,0.10206982,0.34331189,0.77110994,0.00571317,0.41591578,0.43652073,0.10200882
-5.69384692,1.38959448,0.00287174,0.10104711,0.34287962,0.75913039,0.00567407,0.41198824,0.43231114,0.10005564
-5.68784392,1.37260629,0.00281288,0.10043641,0.34322250,0.74770687,0.00560168,0.40870979,0.42846332,0.09835761
-5.68184092,1.35671299,0.00275392,0.10014778,0.34412534,0.73662773,0.00549662,0.40590212,0.42485864,0.09685698
-5.67583792,1.34144402,0.00269455,0.10009635,0.34538219,0.72569693,0.00536026,0.40339787,0.42138309,0.09549962
-5.66983492,1.32636226,0.00263443,0.10020271,0.34679709,0.71473270,0.00519468,0.40104017,0.41792642,0.09423537
-5.66383192,1.31106208,0.00257322,0.10039322,0.34818481,0.70356611,0.00500257,0.39868198,0.41438144,0.09301817
-5.65782891,1.29516760,0.00251056,0.10060008,0.34937137,0.69204009,0.00478715,0.39618550,0.41064368,0.09180615
-5.65182591,1.27833157,0.00244607,0.10076142,0.35019466,0.68000902,0.00455202,0.39342164,0.40661133,0.09056164
-5.64582291,1.26023532,0.00237936,0.10082135,0.35050520,0.66733890,0.00430105,0.39026991,0.40218576,0.08925119
-5.63981991,1.24058978,0.00231006,0.10072998,0.35016701,0.65390830,0.00403825,0.38661861,0.39727252,0.08784555
-5.63381691,1.21913772,0.00223781,0.10044349,0.34905869,0.63960994,0.00376766,0.38236547,0.39178275,0.08631968
-5.62781391,1.19565698,0.00216234,0.09992423,0.34707462,0.62435281,0.00349322,0.37741868,0.38563503,0.08465284
-5.62181091,1.16996448,0.00208344,0.09914086,0.34412631,0.60806459,0.00321867,0.37169831,0.37875755,0.08282859
-5.61580790,1.14192072,0.00200101,0.09806847,0.34014371,0.59069426,0.00294746,0.36513794,0.37109036,0.08083492
-5.60980490,1.11143428,0.00191507,0.09668875,0.33507656,0.57221458,0.00268268,0.35768650,0.36258766,0.07866433
-5.60380190,1.07846589,0.00182576,0.09499011,0.32889542,0.55262421,0.00242702,0.34930996,0.35321989,0.07631385
-5.59779890,1.04303175,0.00173338,0.09296778,0.32159257,0.53194922,0.00218273,0.33999302,0.34297556,0.07378515
-5.59179590,1.00520559,0.00163832,0.09062379,0.31318240,0.51024394,0.00195159,0.32974032,0.33186247,0.07108446
-5.58579290,0.96511928,0.00154114,0.08796689,0.30370144,0.48759085,0.00173497,0.31857733,0.31990857,0.06822247
-5.57978989,0.92296170,0.00144247,0.08501229,0.29320781,0.46409953,0.00153375,0.30655060,0.30716195,0.06521417
