energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,4.47818343,0.39924072,0.50408333,0.02479623,0.32764884,2.58464959,1.51212908,0.02250361,1.76243008
-5.99399700,4.64185607,0.42511051,0.52550959,0.02563304,0.32900121,2.67295987,1.55309016,0.02411449,1.84338981
-5.98799400,4.79430709,0.45058998,0.54525033,0.02636204,0.32916906,2.75485453,1.59003918,0.02571177,1.92089227
-5.98199100,4.93403085,0.47537893,0.56309764,0.02697041,0.32818778,2.82952527,1.62266312,0.02727506,1.99417056
-5.97598799,5.05986319,0.49918232,0.57888939,0.02744761,0.32613266,2.89636676,1.65077490,0.02878368,2.06257105
-5.96998499,5.17101175,0.52171792,0.59251551,0.02778577,0.32311535,2.95498761,1.67431667,0.03021715,2.12557323
-5.96398199,5.26708077,0.54272441,0.60392311,0.02797982,0.31927923,3.00521744,1.69336137,0.03155570,2.18280807
-5.95797899,5.34808961,0.56196951,0.61312023,0.02802774,0.31479423,3.04711004,1.70811280,0.03278083,2.23407437
-5.95197599,5.41448385,0.57925792,0.62017784,0.02793056,0.30985100,3.08094234,1.71890415,0.03387588,2.27935208
-5.94597299,5.46713818,0.59443859,0.62523019,0.02769237,0.30465487,3.10720891,1.72619503,0.03482659,2.31881207
-5.93996998,5.50734996,0.60741100,0.62847313,0.02732023,0.29941967,3.12661181,1.73056687,0.03562158,2.35282123
-5.93396698,5.53682254,0.61812994,0.63016047,0.02682391,0.29436160,3.14004546,1.73271637,0.03625282,2.38194236
-5.92796398,5.55763766,0.62660869,0.63059843,0.02621562,0.28969332,3.14857650,1.73344708,0.03671590,2.40692821
-5.92196098,5.57221627,0.63292007,0.63013806,0.02550967,0.28561834,3.15341840,1.73365848,0.03701031,2.42870922
-5.91595798,5.58326784,0.63719543,0.62916598,0.02472198,0.28232581,3.15590115,1.73433266,0.03713946,2.44837460
-5.90995498,5.59372832,0.63962126,0.62809348,0.02386966,0.27998581,3.15743613,1.73651824,0.03711068,2.46714717
-5.90395198,5.60668758,0.64043363,0.62734439,0.02297046,0.27874515,3.15947698,1.74131153,0.03693496,2.48635189
-5.89794897,5.62530793,0.63991050,0.62734197,0.02204226,0.27872381,3.16347700,1.74983497,0.03662659,2.50737909
-5.89194597,5.65273541,0.63836224,0.62849524,0.02110263,0.28001186,3.17084450,1.76321314,0.03620272,2.53164322
-5.88594297,5.69200643,0.63612059,0.63118523,0.02016830,0.28266720,3.18289720,1.78254652,0.03568272,2.56053842
-5.87993997,5.74595276,0.63352671,0.63575155,0.01925481,0.28671384,3.20081735,1.80888380,0.03508754,2.59539238
-5.87393697,5.81710794,0.63091866,0.64247985,0.01837616,0.29214100,3.22560928,1.84319317,0.03443894,2.63742017
-5.86793397,5.90761854,0.62861893,0.65159049,0.01754456,0.29890286,3.25806095,1.88633362,0.03375875,2.68767970
-5.86193097,6.01916384,0.62692256,0.66322908,0.01677025,0.30691920,3.29871136,1.93902694,0.03306811,2.74703074
-5.85592796,6.15288688,0.62608640,0.67745906,0.01606150,0.31607673,3.34782519,2.00183161,0.03238680,2.81609887
-5.84992496,6.30934010,0.62631992,0.69425684,0.01542453,0.32623128,3.40537610,2.07511932,0.03173256,2.89524615
-5.84392196,6.48844776,0.62777805,0.71350958,0.01486369,0.33721076,3.47103941,2.15905519,0.03112061,2.98454952
-5.83791896,6.68948705,0.63055619,0.73501595,0.01438159,0.34881884,3.54419500,2.25358244,0.03056322,3.08378802
-5.83191596,6.91108894,0.63468769,0.75848973,0.01397936,0.36083930,3.62394019,2.35841235,0.03006945,3.19243935
-5.82591296,7.15125908,0.64014376,0.78356637,0.01365688,0.37304100,3.70911253,2.47301995,0.02964501,3.30968597
-5.81990995,7.40741830,0.64683576,0.80981221,0.01341310,0.38518324,3.79832151,2.59664584,0.02929226,3.43443066
-5.81390695,7.67646156,0.65461970,0.83673613,0.01324636,0.39702150,3.88998807,2.72830454,0.02901038,3.56532099
-5.80790395,7.95483329,0.66330250,0.86380334,0.01315464,0.40831327,3.98239033,2.86679903,0.02879559,3.70078176
