energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,6.83313835,1.08393135,0.42335969,0.03912358,1.38584500,0.14388177,2.74489060,2.11343875,1.44508840
-5.99399700,7.00118566,1.11793330,0.43198089,0.03944775,1.42344177,0.14753470,2.81266511,2.20794024,1.46752267
-5.98799400,7.15226829,1.15012473,0.43917845,0.03959404,1.45939061,0.15070048,2.87217861,2.30337410,1.48521779
-5.98199100,7.28561947,1.18023312,0.44490487,0.03955899,1.49370958,0.15334687,2.92290485,2.39935073,1.49842363
-5.97598799,7.40104267,1.20802124,0.44914608,0.03934449,1.52653887,0.15545423,2.96452858,2.49561172,1.50755888
-5.96998499,7.49888328,1.23328766,0.45192081,0.03895759,1.55812825,0.15701538,2.99694233,2.59202232,1.51319299
-5.96398199,7.57997958,1.25586640,0.45327888,0.03841011,1.58881958,0.15803507,3.02023623,2.68855737,1.51602154
-5.95797899,7.64559558,1.27562581,0.45329849,0.03771798,1.61902493,0.15852910,3.03468150,2.78528123,1.51683582
-5.95197599,7.69733867,1.29246684,0.45208273,0.03690060,1.64920133,0.15852300,3.04070857,2.88232246,1.51648814
-5.94597299,7.73706600,1.30632086,0.44975521,0.03597988,1.67982317,0.15805059,3.03888079,2.97984450,1.51585413
-5.93996998,7.76678360,1.31714709,0.44645526,0.03497939,1.71135351,0.15715221,3.02986494,3.07801357,1.51579392
-5.93396698,7.78854283,1.32492979,0.44233268,0.03392336,1.74421562,0.15587295,3.01439983,3.17696530,1.51711373
-5.92796398,7.80433844,1.32967526,0.43754229,0.03283574,1.77876586,0.15426077,2.99326431,3.27677183,1.52052973
-5.92196098,7.81601277,1.33140886,0.43223852,0.03173928,1.81526940,0.15236470,2.96724587,3.37741096,1.52663582
-5.91595798,7.82517003,1.33017201,0.42657017,0.03065480,1.85387975,0.15023308,2.93711106,3.47873899,1.53587669
-5.90995498,7.83310419,1.32601932,0.42067555,0.02960042,1.89462323,0.14791205,2.90357876,3.58046903,1.54852753
-5.90395198,7.84074337,1.31901597,0.41467815,0.02859110,1.93738918,0.14544419,2.86729724,3.68215585,1.56468129
-5.89794897,7.84861302,1.30923538,0.40868303,0.02763823,1.98192638,0.14286734,2.82882562,3.78318870,1.58424407
-5.89194597,7.85681905,1.29675718,0.40277395,0.02674947,2.02784623,0.14021385,2.78862034,3.88279276,1.60693893
-5.88594297,7.86505157,1.28166567,0.39701140,0.02592870,2.07463247,0.13750992,2.74702686,3.98003958,1.63231795
-5.87993997,7.87260869,1.26404875,0.39143157,0.02517618,2.12165735,0.13477535,2.70427678,4.07386673,1.65978197
-5.87393697,7.87843914,1.24399730,0.38604625,0.02448882,2.16820350,0.13202349,2.66049004,4.16310592,1.68860722
-5.86793397,7.88120162,1.22160521,0.38084366,0.02386062,2.21349083,0.12926153,2.61568213,4.24651888,1.71797756
-5.86193097,7.87933797,1.19696974,0.37579017,0.02328316,2.25670722,0.12649088,2.56977564,4.32283961,1.74702089
-5.85592796,7.87115688,1.17019247,0.37083277,0.02274617,2.29704173,0.12370789,2.52261552,4.39082115,1.77484811
-5.84992496,7.85492408,1.14138058,0.36590233,0.02223819,2.33371885,0.12090466,2.47398726,4.44928501,1.80059288
-5.84392196,7.82895495,1.11064842,0.36091723,0.02174717,2.36603223,0.11807000,2.42363720,4.49717089,1.82345028
-5.83791896,7.79170520,1.07811913,0.35578756,0.02126109,2.39337639,0.11519041,2.37129381,4.53358427,1.84271277
-5.83191596,7.74185551,1.04392641,0.35041946,0.02076850,2.41527480,0.11225121,2.31668924,4.55783965,1.85780166
-5.82591296,7.67838616,1.00821595,0.34471947,0.02025908,2.43140298,0.10923756,2.25958001,4.56949705,1.86829292
-5.81990995,7.60063827,0.97114669,0.33859885,0.01972395,2.44160556,0.10613548,2.19976604,4.56838990,1.87393594
-5.81390695,7.50835883,0.93289147,0.33197757,0.01915610,2.44590624,0.10293278,2.13710725,4.55464264,1.87466468
-5.80790395,7.40172754,0.89363723,0.32478787,0.01855051,2.44451013,0.09961984,2.07153701,4.52867695,1.87060054
-5.80190095,7.28136419,0.85358445,0.31697729,0.01790430,2.43779830,0.09619034,2.00307212,4.49120591,1.86204711
-5.79589795,7.14831645,0.81294595,0.30851099,0.01721674,2.42631452,0.09264169,1.93181878,4.44321608,1.84947690
-5.78989495,7.00402862,0.77194493,0.29937350,0.01648913,2.41074478,0.08897542,1.85797464,4.38593810,1.83351082
-5.78389195,6.85029302,0.73081247,0.28956952,0.01572467,2.39189043,0.08519729,1.78182690,4.32080677,1.81489138
-5.77788894,6.68918629,0.68978437,0.27912417,0.01492820,2.37063596,0.08131725,1.70374673,4.24941241,1.79445079
-5.77188594,6.52299371,0.64909768,0.26808247,0.01410591,2.34791296,0.07734932,1.62418042,4.17344536,1.77307544
-5.76588294,6.35412509,0.60898696,0.25650813,0.01326503,2.32466168,0.07331118,1.54363787,4.09463622,1.75166830
-5.75987994,6.18502622,0.56968048,0.24448187,0.01241352,2.30179202,0.06922372,1.46267900,4.01469424,1.73111094
-5.75387694,6.01808990,0.53139668,0.23209933,0.01155968,2.28014550,0.06511053,1.38189891,3.93524665,1.71222662
-5.74787394,5.85557067,0.49434080,0.21946862,0.01071186,2.26046008,0.06099723,1.30191243,3.85778159,1.69574618
-5.74187094,5.69950712,0.45870225,0.20670773,0.00987820,2.24333917,0.05691085,1.22333895,3.78359709,1.68227797
-5.73586793,5.55165503,0.42465248,0.19394194,0.00906634,2.22922629,0.05287913,1.14678815,3.71375826,1.67228306
-5.72986493,5.41343447,0.39234370,0.18130130,0.00828322,2.21838650,0.04892992,1.07284726,3.64906451,1.66605664
-5.72386193,5.28589285,0.36190845,0.16891832,0.00753495,2.21089530,0.04509060,1.00207046,3.59002821,1.66371635
-5.71785893,5.16968541,0.33346002,0.15692595,0.00682671,2.20663550,0.04138753,0.93497074,3.53686543,1.66519781
-5.71185593,5.06507382,0.30709364,0.14545599,0.00616271,2.20530221,0.03784568,0.87201442,3.48949922,1.67025756
-5.70585293,4.97194262,0.28288850,0.13463785,0.00554618,2.20641561,0.03448828,0.81361864,3.44757498,1.67848318
-5.69984992,4.88983243,0.26091025,0.12459771,0.00497944,2.20934103,0.03133663,0.76015148,3.41048715,1.68931002
-5.69384692,4.81798829,0.24121406,0.11545820,0.00446398,2.21331540,0.02841001,0.71193478,3.37741597,1.70204393
-5.68784392,4.75542058,0.22384787,0.10733831,0.00400060,2.21747889,0.02572566,0.66924915,3.34737250,1.71588913
-5.68184092,4.70097567,0.20885565,0.10035367,0.00358953,2.22091047,0.02329891,0.63234080,3.31924995,1.72997983
-5.67583792,4.65341289,0.19628055,0.09461701,0.00323059,2.22266588,0.02114335,0.60142968,3.29187894,1.74341471
-5.66983492,4.61148426,0.18616758,0.09023866,0.00292339,2.22181633,0.01927107,0.57671819,3.26408442,1.75529271
-5.66383192,4.57401329,0.17856576,0.08732711,0.00266742,2.21748662,0.01769295,0.55840007,3.23474177,1.76474883
-5.65782891,4.53996933,0.17352947,0.08598933,0.00246228,2.20889077,0.01641900,0.54666854,3.20282970,1.77098860
-5.65182591,4.50853393,0.17111887,0.08633086,0.00230774,2.19536419,0.01545862,0.54172323,3.16747803,1.77332002
-5.64582291,4.47915649,0.17139943,0.08845552,0.00220389,2.17639090,0.01482094,0.54377538,3.12800824,1.77118161
-5.63981991,4.45159647,0.17444027,0.09246465,0.00215122,2.15162491,0.01451503,0.55305062,3.08396556,1.76416573
-5.63381691,4.42595042,0.18031161,0.09845579,0.00215064,2.12090515,0.01455011,0.56978914,3.03514132,1.75203627
-5.62781391,4.40266261,0.18908113,0.10652079,0.00220356,2.08426343,0.01493567,0.59424288,2.98158502,1.73474004
-5.62181091,4.38251870,0.20080958,0.11674338,0.00231179,2.04192530,0.01568144,0.62666973,2.92360601,1.71241157
-5.61580790,4.36662287,0.21554562,0.12919615,0.00247757,1.99430414,0.01679741,0.66732454,2.86176488,1.68537116
-5.60980490,4.35635920,0.23332025,0.14393701,0.00270341,1.94198881,0.01829356,0.71644749,2.79685541,1.65411629
-5.60380190,4.35333905,0.25414090,0.16100539,0.00299204,1.88572563,0.02017967,0.77424983,2.72987823,1.61930681
-5.59779890,4.35933670,0.27798567,0.18041808,0.00334617,1.82639562,0.02246489,0.84089767,2.66200731,1.58174451
-5.59179590,4.37621591,0.30479783,0.20216503,0.00376840,1.76498800,0.02515733,0.91649432,2.59455125,1.54234791
-5.58579290,4.40585048,0.33448083,0.22620530,0.00426094,1.70257118,0.02826349,1.00106205,2.52891095,1.50212321
-5.57978989,4.45004225,0.36689434,0.25246327,0.00482544,1.64026249,0.03178767,1.09452390,2.46653561,1.46213260
-5.57378689,4.51043968,0.40185123,0.28082538,0.00546275,1.57919762,0.03573136,1.19668644,2.40887881,1.42346101
-5.56778389,4.58846068,0.43911592,0.31113764,0.00617268,1.52050115,0.04009254,1.30722446,2.35735645,1.38718261
-5.56178089,4.68522238,0.47840423,0.34320402,0.00695381,1.46525895,0.04486503,1.42566822,2.31330802,1.35432820
-5.55577789,4.80148090,0.51938467,0.37678591,0.00780327,1.41449327,0.05003786,1.55139411,2.27796245,1.32585462
-5.54977489,4.93758331,0.56168145,0.41160288,0.00871663,1.36914123,0.05559467,1.68361948,2.25240947,1.30261712
-5.54377189,5.09343345,0.60487894,0.44733465,0.00968772,1.33003698,0.06151317,1.82140204,2.23757707,1.28534562
-5.53776888,5.26847277,0.64852769,0.48362455,0.01070860,1.29789786,0.06776478,1.96364426,2.23421530,1.27462531
-5.53176588,5.46167682,0.69215168,0.52008423,0.01176957,1.27331430,0.07431428,2.10910297,2.24288631,1.27088234
-5.52576288,5.67156695,0.73525675,0.55629972,0.01285924,1.25674355,0.08111969,2.25640421,2.26396027,1.27437445
-5.51975988,5.89623673,0.77733982,0.59183870,0.01396464,1.24850665,0.08813231,2.40406300,2.29761633,1.28518687
-5.51375688,6.13339169,0.81789873,0.62625877,0.01507149,1.24878831,0.09529694,2.55050779,2.34384801,1.30323316
-5.50775388,6.38040055,0.85644233,0.65911647,0.01616442,1.25763913,0.10255225,2.69410886,2.40247184,1.32826073
-5.50175088,6.63435592,0.89250050,0.68997692,0.01722740,1.27497971,0.10983150,2.83321005,2.47313829,1.35986055
-5.49574787,6.89214203,0.92563385,0.71842370,0.01824412,1.30060601,0.11706330,2.96616273,2.55534401,1.39748040
-5.48974487,7.15050706,0.95544273,0.74406858,0.01919842,1.33419574,0.12417276,3.09136123,2.64844462,1.44044121
-5.48374187,7.40613756,0.98157542,0.76656103,0.02007478,1.37531520,0.13108269,3.20727845,2.75166710,1.48795566
-5.47773887,7.65573248,1.00373507,0.78559687,0.02085883,1.42342669,0.13771511,3.31250062,2.86412162,1.53914846
-5.47173587,7.89607477,1.02168551,0.80092606,0.02153781,1.47789604,0.14399282,3.40576014,2.98481238,1.59307764
-5.46573287,8.12409852,1.03525544,0.81235913,0.02210095,1.53800064,0.14984117,3.48596538,3.11264755,1.64875634
-5.45972986,8.33695010,1.04434129,0.81977217,0.02253995,1.60293792,0.15518981,3.55222656,3.24644860,1.70517453
-5.45372686,8.53204203,1.04890845,0.82311014,0.02284921,1.67183449,0.15997458,3.60387688,3.38495941,1.76132021
-5.44772386,8.70709873,1.04899102,0.82238838,0.02302608,1.74375639,0.16413925,3.64048821,3.52685570,1.81619983
-5.44172086,8.86019360,1.04469009,0.81769234,0.02307096,1.81772039,0.16763722,3.66188093,3.67075548,1.86885748
-5.43571786,8.98977716,1.03617073,0.80917543,0.02298737,1.89270680,0.17043302,3.66812759,3.81523107,1.91839276
-5.42971486,9.09469632,1.02365772,0.79705511,0.02278179,1.96767384,0.17250363,3.65955039,3.95882307,1.96397693
-5.42371186,9.17420491,1.00743022,0.78160749,0.02246350,2.04157335,0.17383942,3.63671252,4.10005674,2.00486739
-5.41770885,9.22796587,0.98781551,0.76316042,0.02204426,2.11336806,0.17444485,3.60040373,4.23746074,2.04042012
-5.41170585,9.25604550,0.96518208,0.74208542,0.02153797,2.18204969,0.17433868,3.55162059,4.36958802,2.07010004
-5.40570285,9.25890015,0.93993212,0.71878878,0.02096015,2.24665776,0.17355381,3.49154207,4.49503836,2.09348908
-5.39969985,9.23735600,0.91249356,0.69370201,0.02032748,2.30629827,0.17213670,3.42150115,4.61248195,2.11029188
-5.39369685,9.19258216,0.88331206,0.66727199,0.01965727,2.36016170,0.17014631,3.34295333,4.72068275,2.12033881
-5.38769385,9.12605776,0.85284277,0.63995114,0.01896688,2.40753947,0.16765268,3.25744284,4.81852083,2.12358643
-5.38169085,9.03953346,0.82154224,0.61218785,0.01827320,2.44783817,0.16473505,3.16656758,4.90501231,2.12011514
-5.37568784,8.93498793,0.78986055,0.58441743,0.01759214,2.48059088,0.16147979,3.07194363,4.97932584,2.11012394
-5.36968484,8.81458002,0.75823372,0.55705379,0.01693818,2.50546484,0.15797792,2.97517017,5.04079480,2.09392261
-5.36368184,8.68059733,0.72707655,0.53048207,0.01632396,2.52226523,0.15432260,2.87779577,5.08892415,2.07192111
-5.35767884,8.53540227,0.69677599,0.50505227,0.01575998,2.53093471,0.15060643,2.78128680,5.12339197,2.04461669
-5.35167584,8.38137667,0.66768511,0.48107402,0.01525436,2.53154868,0.14691885,2.68699858,5.14404523,2.01257889
-5.34567284,8.22086632,0.64011772,0.45881249,0.01481267,2.52430654,0.14334355,2.59615006,5.15089047,1.97643290
-5.33966983,8.05612684,0.61434381,0.43848550,0.01443790,2.50951944,0.13995621,2.50980243,5.14407986,1.93684179
-5.33366683,7.88927259,0.59058571,0.42026176,0.01413050,2.48759499,0.13682241,2.42884213,5.12389388,1.89448822
-5.32766383,7.72223013,0.56901523,0.40426010,0.01388847,2.45901990,0.13399595,2.35396851,5.09072173,1.85005618
-5.32166083,7.55669787,0.54975165,0.39054978,0.01370756,2.42434135,0.13151760,2.28568648,5.04504096,1.80421345
-5.31565783,7.39411335,0.53286075,0.37915170,0.01358154,2.38414808,0.12941425,2.22430403,4.98739774,1.75759540
-5.30965483,7.23562936,0.51835482,0.37004027,0.01350251,2.33905205,0.12769861,2.16993463,4.91838906,1.71079059
-5.30365183,7.08209980,0.50619375,0.36314618,0.01346126,2.28967155,0.12636932,2.12250444,4.83864805,1.66432884
-5.29764882,6.93407585,0.49628710,0.35835960,0.01344763,2.23661653,0.12541153,2.08176377,4.74883310,1.61867192
-5.29164582,6.79181242,0.48849727,0.35553395,0.01345094,2.18047647,0.12479793,2.04730265,4.64962134,1.57420723
-5.28564282,6.65528475,0.48264366,0.35449015,0.01346038,2.12181135,0.12449012,2.01856975,4.54170645,1.53124452
-5.27963982,6.52421401,0.47850770,0.35502110,0.01346536,2.06114562,0.12444026,1.99489421,4.42580044,1.49001566
-5.27363682,6.39810108,0.47583880,0.35689656,0.01345591,1.99896531,0.12459300,1.97550954,4.30263867,1.45067718
-5.26763382,6.27626659,0.47436103,0.35986820,0.01342296,1.93571766,0.12488751,1.95957901,4.17298720,1.41331536
-5.26163082,6.15789568,0.47378031,0.36367480,0.01335865,1.87181328,0.12525958,1.94622164,4.03765106,1.37795343
-5.25562781,6.04208535,0.47379210,0.36804756,0.01325648,1.80762990,0.12564372,1.93453807,3.89748231,1.34456045
-5.24962481,5.92789236,0.47408930,0.37271542,0.01311152,1.74351735,0.12597515,1.92363562,3.75338661,1.31306125
-5.24362181,5.81437988,0.47437013,0.37741038,0.01292045,1.67980309,0.12619167,1.91265183,3.60632696,1.28334704
-5.23761881,5.70066083,0.47434584,0.38187269,0.01268161,1.61679775,0.12623530,1.90077582,3.45732391,1.25528596
-5.23161581,5.58593648,0.47374804,0.38585575,0.01239495,1.55479999,0.12605367,1.88726705,3.30745142,1.22873334
-5.22561281,5.46952891,0.47233532,0.38913085,0.01206194,1.49410052,0.12560120,1.87147102,3.15782812,1.20354094
-5.21960980,5.35090655,0.46989910,0.39149142,0.01168541,1.43498472,0.12483993,1.85283161,3.00960394,1.17956510
-5.21360680,5.22970186,0.46626845,0.39275683,0.01126936,1.37773375,0.12374008,1.83090001,2.86394253,1.15667330
-5.20760380,5.10572129,0.46131378,0.39277560,0.01081878,1.32262409,0.12228041,1.80534002,2.72200000,1.13474903
-5.20160080,4.97894732,0.45494920,0.39142795,0.01033937,1.26992545,0.12044826,1.77592998,2.58490104,1.11369494
-5.19559780,4.84953315,0.44713367,0.38862763,0.00983732,1.21989729,0.11823934,1.74256144,2.45371334,1.09343418
-5.18959480,4.71779067,0.43787071,0.38432291,0.00931906,1.17278397,0.11565743,1.70523484,2.32942147,1.07391000
-5.18359180,4.58417254,0.42720687,0.37849680,0.00879104,1.12880903,0.11271384,1.66405265,2.21290164,1.05508388
-5.17758879,4.44924961,0.41522892,0.37116641,0.00825950,1.08816870,0.10942672,1.61921026,2.10489820,1.03693230
-5.17158579,4.31368470,0.40205996,0.36238154,0.00773031,1.05102517,0.10582033,1.57098525,2.00600318,1.01944252
-5.16558279,4.17820420,0.38785464,0.35222244,0.00720883,1.01749987,0.10192423,1.51972537,1.91663974,1.00260760
-5.15957979,4.04356861,0.37279355,0.34079695,0.00669977,0.98766725,0.09777236,1.46583579,1.83705020,0.98642114
-5.15357679,3.91054347,0.35707712,0.32823702,0.00620714,0.96154939,0.09340217,1.40976608,1.76728938,0.97087199
-5.14757379,3.77987189,0.34091926,0.31469482,0.00573421,0.93911176,0.08885372,1.35199736,1.70722349,0.95593933
-5.14157079,3.65224973,0.32454083,0.30033848,0.00528351,0.92026057,0.08416879,1.29302992,1.65653469,0.94158852
-5.13556778,3.52830467,0.30816343,0.28534768,0.00485682,0.90484198,0.07939001,1.23337173,1.61473139,0.92776790
