energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-5.93996998,1.45875881,-2.36072549,0.51999366,-1.07546259,0.50210798,-0.32483284,0.18786497,-0.53223594,0.00000000,-0.00000000,0.00044081,-0.01782906,0.31942813,-0.33280558,0.00347995,-0.04353432,0.46658387,-1.10359193
-5.93396698,1.43636997,-2.26924147,0.51359227,-1.03225128,0.48917925,-0.32212290,0.19157190,-0.50464436,0.00000000,-0.00000000,0.00050307,-0.01655067,0.30845014,-0.32610842,0.00367655,-0.04067193,0.46740235,-1.05212665
-5.92796398,1.41292920,-2.17494898,0.50709402,-0.98724131,0.47540952,-0.31911867,0.19541777,-0.47651102,0.00000000,-0.00000000,0.00058821,-0.01525595,0.29697109,-0.31886512,0.00394779,-0.03775105,0.46830415,-0.99947040
-5.92196098,1.38923122,-2.07924741,0.50073414,-0.94107868,0.46114130,-0.31590592,0.19940605,-0.44822939,0.00000000,-0.00000000,0.00069829,-0.01396353,0.28524204,-0.31121918,0.00430222,-0.03481473,0.46944468,-0.94636162
-5.91595798,1.36618089,-1.98345506,0.49476467,-0.89438111,0.44676480,-0.31256964,0.20354748,-0.42016670,0.00000000,-0.00000000,0.00083586,-0.01269056,0.27354290,-0.30331262,0.00474977,-0.03190294,0.47100507,-0.89348867
-5.90995498,1.34475940,-1.88879240,0.48944154,-0.84772853,0.43270570,-0.30919529,0.20785799,-0.39265825,0.00000000,-0.00000000,0.00100392,-0.01145232,0.26217299,-0.29528502,0.00530156,-0.02905180,0.47318352,-0.84147959
-5.90395198,1.32599011,-1.79637172,0.48501236,-0.80165598,0.41941219,-0.30587053,0.21235678,-0.36600329,0.00000000,-0.00000000,0.00120586,-0.01026197,0.25144147,-0.28727306,0.00596952,-0.02629294,0.47618694,-0.79089538
-5.89794897,1.31090491,-1.70719269,0.48170545,-0.75664902,0.40734192,-0.30268719,0.21706477,-0.34046263,0.00000000,-0.00000000,0.00144534,-0.00913044,0.24165777,-0.27941060,0.00676609,-0.02365313,0.48022285,-0.74222645
-5.89194597,1.30051209,-1.62214300,0.47972037,-0.71314125,0.39694903,-0.29974332,0.22200313,-0.31625774,0.00000000,-0.00000000,0.00172621,-0.00806630,0.23312253,-0.27182907,0.00770385,-0.02115408,0.48549197,-0.69589210
-5.88594297,1.29576621,-1.54200281,0.47922027,-0.67151393,0.38867158,-0.29714496,0.22719223,-0.29357120,0.00000000,-0.00000000,0.00205239,-0.00707585,0.22611899,-0.26465787,0.00879500,-0.01881244,0.49218142,-0.65224238
-5.87993997,1.29754050,-1.46745198,0.48032610,-0.63209701,0.38291965,-0.29500735,0.23265071,-0.27254820,0.00000000,-0.00000000,0.00242769,-0.00616316,0.22090527,-0.25802485,0.01005094,-0.01663995,0.50045869,-0.61156194
-5.87393697,1.30660211,-1.39907838,0.48311280,-0.59517134,0.38006426,-0.29345535,0.23839478,-0.25329880,0.00000000,-0.00000000,0.00285569,-0.00533027,0.21770748,-0.25205644,0.01148169,-0.01464376,0.51046632,-0.57407503
-5.86793397,1.32359034,-1.33738613,0.48760737,-0.56097145,0.38042725,-0.29262282,0.24443770,-0.23590080,0.00000000,-0.00000000,0.00333951,-0.00457737,0.21671377,-0.24687729,0.01309534,-0.01282681,0.52231730,-0.53995124
-5.86193097,1.34899785,-1.28280256,0.49378855,-0.52968856,0.38427229,-0.29265080,0.25078935,-0.22040267,0.00000000,-0.00000000,0.00388167,-0.00390307,0.21806946,-0.24260939,0.01489747,-0.01118833,0.53609114,-0.50931122
-5.85592796,1.38315504,-1.23568276,0.50158818,-0.50147332,0.39179697,-0.29368441,0.25745581,-0.20682663,0.00000000,-0.00000000,0.00448388,-0.00330463,0.22187307,-0.23937044,0.01689057,-0.00972443,0.55183058,-0.48223198
-5.84992496,1.42621748,-1.19631128,0.51089369,-0.47643803,0.40312627,-0.29586857,0.26443902,-0.19517134,0.00000000,-0.00000000,0.00514682,-0.00277825,0.22817351,-0.23727143,0.01907345,-0.00842858,0.56953888,-0.45875136
-5.84392196,1.47815658,-1.16490043,0.52155166,-0.45465809,0.41830742,-0.29934242,0.27173639,-0.18541433,0.00000000,-0.00000000,0.00586996,-0.00231933,0.23696812,-0.23641359,0.02144079,-0.00729224,0.58917775,-0.43887132
-5.83791896,1.53875345,-1.14158548,0.53337225,-0.43617262,0.43730616,-0.30423301,0.27934036,-0.17751396,0.00000000,-0.00000000,0.00665142,-0.00192270,0.24820182,-0.23688463,0.02398266,-0.00630538,0.61066585,-0.42256015
-5.83191596,1.60759631,-1.12641701,0.54613403,-0.42098421,0.46000476,-0.31064814,0.28723790,-0.17141085,0.00000000,-0.00000000,0.00748778,-0.00158288,0.26176726,-0.23875458,0.02668419,-0.00545695,0.63387796,-0.40975336
-5.82591296,1.68408151,-1.11935128,0.55958930,-0.40905808,0.48620168,-0.31866911,0.29541002,-0.16702900,0.00000000,-0.00000000,0.00837403,-0.00129425,0.27750595,-0.24207142,0.02952539,-0.00473536,0.65864486,-0.40035373
-5.81990995,1.76741854,-1.12023973,0.57346956,-0.40032067,0.51561319,-0.32834357,0.30383124,-0.16427644,0.00000000,-0.00000000,0.00930343,-0.00105126,0.29521044,-0.24685670,0.03248110,-0.00412882,0.68475414,-0.39423056
-5.81390695,1.85663916,-1.12881870,0.58749117,-0.39465828,0.54787693,-0.33967906,0.31246905,-0.16304581,0.00000000,-0.00000000,0.01026759,-0.00084852,0.31462755,-0.25310160,0.03552107,-0.00362572,0.71195179,-0.39121870
-5.80790395,1.95061104,-1.14470097,0.60136092,-0.39191583,0.58255754,-0.35263762,0.32128349,-0.16321490,0.00000000,-0.00000000,0.01125646,-0.00068097,0.33546264,-0.26076363,0.03861038,-0.00321484,0.73994500,-0.39111762
-5.80190095,2.04805587,-1.16737022,0.61478174,-0.39189637,0.61915435,-0.36713209,0.33022685,-0.16464725,0.00000000,-0.00000000,0.01225848,-0.00054391,0.35738492,-0.26976442,0.04170985,-0.00288560,0.76840597,-0.39369114
-5.79589795,2.14757205,-1.19617985,0.62745830,-0.39436157,0.65711110,-0.38302420,0.33924353,-0.16719317,0.00000000,-0.00000000,0.01326077,-0.00043311,0.38003375,-0.27998870,0.04477682,-0.00262820,0.79697706,-0.39866811
-5.78989495,2.24766181,-1.23035705,0.63910261,-0.39903358,0.69582756,-0.40012515,0.34827019,-0.17069116,0.00000000,-0.00000000,0.01424936,-0.00034481,0.40302582,-0.29128485,0.04776606,-0.00243376,0.82527701,-0.40574448
-5.78389195,2.34676233,-1.26901291,0.64943956,-0.40559846,0.73467279,-0.41819838,0.35723619,-0.17496993,0.00000000,-0.00000000,0.01520953,-0.00027575,0.42596322,-0.30346713,0.05063080,-0.00229441,0.85290850,-0.41458695
-5.77788894,2.44328038,-1.31115886,0.65821246,-0.41371135,0.77299988,-0.43696508,0.36606435,-0.17985098,0.00000000,-0.00000000,0.01612615,-0.00022321,0.44844207,-0.31631956,0.05332396,-0.00220333,0.87946670,-0.42483848
-5.77188594,2.53562964,-1.35572937,0.66518834,-0.42300333,0.81016155,-0.45611195,0.37467216,-0.18515188,0.00000000,-0.00000000,0.01698413,-0.00018495,0.47006163,-0.32960157,0.05579944,-0.00215485,0.90454879,-0.43612548
-5.76588294,2.62226974,-1.40161034,0.67016318,-0.43308994,0.84552645,-0.47530117,0.38297333,-0.19069010,0.00000000,-0.00000000,0.01776882,-0.00015924,0.49043362,-0.34305501,0.05801347,-0.00214449,0.92776420,-0.44806671
-5.75987994,2.70174587,-1.44767231,0.67296676,-0.44358100,0.87849542,-0.49418217,0.39087980,-0.19628726,0.00000000,-0.00000000,0.01846647,-0.00014487,0.50919146,-0.35641264,0.05992595,-0.00216897,0.94874516,-0.46028355
-5.75387694,2.77272773,-1.49280702,0.67346714,-0.45409144,0.90851726,-0.51240460,0.39830406,-0.20177372,0.00000000,-0.00000000,0.01906469,-0.00014109,0.52599918,-0.36940729,0.06150176,-0.00222631,0.96715739,-0.47241123
-5.74787394,2.83404636,-1.53596570,0.67157447,-0.46425269,0.93510348,-0.52963204,0.40516183,-0.20699327,0.00000000,-0.00000000,0.01955285,-0.00014762,0.54055970,-0.38178170,0.06271190,-0.00231586,0.98271038,-0.48411053
-5.74187094,2.88472761,-1.57619723,0.66724416,-0.47372402,0.95784148,-0.54555555,0.41137493,-0.21180768,0.00000000,-0.00000000,0.01992248,-0.00016466,0.55262217,-0.39329825,0.06353451,-0.00243835,0.99516696,-0.49507937
-5.73586793,2.92402085,-1.61268410,0.66047912,-0.48220324,0.97640565,-0.55990653,0.41687438,-0.21610082,0.00000000,-0.00000000,0.02016757,-0.00019285,0.56198819,-0.40374819,0.06395568,-0.00259593,1.00435164,-0.50506370
-5.72986493,2.95142189,-1.64477422,0.65133092,-0.48943640,0.99056600,-0.57246816,0.42160335,-0.21978224,0.00000000,-0.00000000,0.02028481,-0.00023332,0.56851661,-0.41295992,0.06396995,-0.00279225,1.01015741,-0.51386705
-5.72386193,2.96668889,-1.67200679,0.63989982,-0.49522561,1.00019395,-0.58308458,0.42552014,-0.22278984,0.00000000,-0.00000000,0.02027378,-0.00028762,0.57212678,-0.42080571,0.06358067,-0.00303250,1.01255061,-0.52135814
-5.71785893,2.96985070,-1.69413043,0.62633358,-0.49943485,1.00526515,-0.59166754,0.42860073,-0.22509160,0.00000000,-0.00000000,0.02013699,-0.00035778,0.57280015,-0.42720659,0.06279987,-0.00332337,1.01157351,-0.52747614
-5.71185593,2.96120702,-1.71111257,0.61082489,-0.50199318,1.00585904,-0.59819988,0.43084091,-0.22668604,0.00000000,-0.00000000,0.01987986,-0.00044627,0.57058018,-0.43213501,0.06164806,-0.00367312,1.00734448,-0.53223314
-5.70585293,2.94132015,-1.72313925,0.59360770,-0.50289527,1.00215531,-0.60273568,0.43225778,-0.22760156,0.00000000,-0.00000000,0.01951059,-0.00055600,0.56557054,-0.43561515,0.06015352,-0.00409149,1.00005547,-0.53571360
-5.69984992,2.91099866,-1.73060496,0.57495212,-0.50219912,0.99442733,-0.60539700,0.43289049,-0.22789448,0.00000000,-0.00000000,0.01903993,-0.00069031,0.55793167,-0.43772068,0.05835157,-0.00458963,0.98996693,-0.53807066
-5.69384692,2.87127306,-1.73409290,0.55515845,-0.50002098,0.98303274,-0.60636721,0.43280005,-0.22764594,0.00000000,-0.00000000,0.01848088,-0.00085292,0.54787598,-0.43857024,0.05628340,-0.00517995,0.97740014,-0.53951950
-5.68784392,2.82336452,-1.73434642,0.53455018,-0.49652785,0.96840159,-0.60588148,0.43206811,-0.22695771,0.00000000,-0.00000000,0.01784834,-0.00104792,0.53566156,-0.43832069,0.05399485,-0.00587593,0.96272715,-0.54032782
-5.68184092,2.76864749,-1.73223288,0.51346623,-0.49192777,0.95102240,-0.60421451,0.43079481,-0.22594717,0.00000000,-0.00000000,0.01715860,-0.00127968,0.52158506,-0.43715845,0.05153505,-0.00669185,0.94635869,-0.54080395
-5.67583792,2.70860749,-1.72870172,0.49225286,-0.48645855,0.93142670,-0.60166654,0.42909552,-0.22474169,0.00000000,-0.00000000,0.01642896,-0.00155277,0.50597351,-0.43528955,0.04895492,-0.00764245,0.92873041,-0.54128303
-5.66983492,2.64479551,-1.72473856,0.47125524,-0.48037532,0.91017250,-0.59854803,0.42709658,-0.22347257,0.00000000,-0.00000000,0.01567716,-0.00187187,0.48917576,-0.43292872,0.04630573,-0.00874253,0.91028801,-0.54211198
-5.66383192,2.57878063,-1.72131785,0.45080908,-0.47393773,0.88782736,-0.59516402,0.42493034,-0.22226903,0.00000000,-0.00000000,0.01492091,-0.00224164,0.47155351,-0.43028814,0.04363763,-0.01000642,0.89147178,-0.54363369
-5.65782891,2.51210254,-1.71935608,0.43123268,-0.46739732,0.86495148,-0.59179887,0.42272941,-0.22125232,0.00000000,-0.00000000,0.01417741,-0.00266657,0.45347235,-0.42756657,0.04099831,-0.01144749,0.87270119,-0.54617149
-5.65182591,2.44622560,-1.71966804,0.41281940,-0.46098574,0.84208164,-0.58870229,0.42062056,-0.22053041,0.00000000,-0.00000000,0.01346291,-0.00315081,0.43529304,-0.42493929,0.03843180,-0.01307752,0.85436024,-0.55001422
-5.64582291,2.38249622,-1.72292804,0.39583107,-0.45490434,0.81971622,-0.58607725,0.41871856,-0.22019336,0.00000000,-0.00000000,0.01279225,-0.00369796,0.41736318,-0.42254941,0.03597737,-0.01490605,0.83678418,-0.55540284
-5.63981991,2.32210498,-1.72963811,0.38049235,-0.44931570,0.79830207,-0.58407054,0.41712011,-0.22030972,0.00000000,-0.00000000,0.01217860,-0.00431089,0.40000960,-0.42050107,0.03366873,-0.01693970,0.82024817,-0.56251902
-5.63381691,2.26605500,-1.74010441,0.36698623,-0.44433743,0.77822340,-0.58276625,0.41589839,-0.22092402,0.00000000,-0.00000000,0.01163310,-0.00499154,0.38353151,-0.41885482,0.03153338,-0.01918155,0.80495855,-0.57147614
-5.62781391,2.21513769,-1.75442305,0.35545093,-0.44003839,0.75979331,-0.58218273,0.41509842,-0.22205540,0.00000000,-0.00000000,0.01116471,-0.00574067,0.36819467,-0.41762542,0.02959220,-0.02163045,0.79104706,-0.58231325
-5.62181091,2.16991678,-1.77247577,0.34597811,-0.43643766,0.74324789,-0.58227282,0.41473365,-0.22369758,0.00000000,-0.00000000,0.01078009,-0.00655768,0.35422661,-0.41678210,0.02785932,-0.02428052,0.77856840,-0.59499197
-5.61580790,2.13072117,-1.79393552,0.33861255,-0.43350596,0.72874333,-0.58292768,0.41478388,-0.22581997,0.00000000,-0.00000000,0.01048352,-0.00744045,0.34181309,-0.41625138,0.02634215,-0.02712058,0.76750129,-0.60939658
-5.60980490,2.09764696,-1.81828159,0.33335328,-0.43116955,0.71635585,-0.58398353,0.41519485,-0.22836994,0.00000000,-0.00000000,0.01027693,-0.00838516,0.33109563,-0.41592204,0.02504164,-0.03013387,0.75775307,-0.62533728
-5.60380190,2.07056829,-1.84482347,0.33015605,-0.42931627,0.70608453,-0.58523135,0.41587959,-0.23127608,0.00000000,-0.00000000,0.01016005,-0.00938620,0.32217040,-0.41565223,0.02395283,-0.03329782,0.74916770,-0.64255623
-5.59779890,2.04915678,-1.87273212,0.32893712,-0.42780333,0.69785676,-0.58642862,0.41672139,-0.23445227,0.00000000,-0.00000000,0.01013049,-0.01043615,0.31508830,-0.41527810,0.02306539,-0.03658403,0.74153680,-0.66073642
-5.59179590,2.03290840,-1.90107733,0.32957822,-0.42646641,0.69153606,-0.58731278,0.41757858,-0.23780242,0.00000000,-0.00000000,0.01018400,-0.01152572,0.30985613,-0.41462365,0.02236447,-0.03995850,0.73461332,-0.67951277
-5.58579290,2.02117682,-1.92886927,0.33193250,-0.42512968,0.68693193,-0.58761557,0.41829068,-0.24122558,0.00000000,-0.00000000,0.01031468,-0.01264392,0.30643894,-0.41351119,0.02183157,-0.04338202,0.72812720,-0.69848498
-5.57978989,2.01321169,-1.95510262,0.33583130,-0.42361611,0.68381124,-0.58707755,0.41868586,-0.24462124,0.00000000,-0.00000000,0.01051528,-0.01377817,0.30476335,-0.41177200,0.02144548,-0.04681081,0.72180230,-0.71723193
-5.57378689,2.00820017,-1.97880126,0.34109148,-0.42175769,0.68191069,-0.58546222,0.41858922,-0.24789465,0.00000000,-0.00000000,0.01077747,-0.01491453,0.30472181,-0.40925657,0.02118329,-0.05019741,0.71537383,-0.73532673
-5.56778389,2.00530993,-1.99906181,0.34752312,-0.41940515,0.68094984,-0.58256896,0.41783160,-0.25096185,0.00000000,-0.00000000,0.01109213,-0.01603806,0.30617746,-0.40584407,0.02102142,-0.05349175,0.70860540,-0.75235217
