energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down
-6.00000000,3.13586617,-1.13015331,0.05372130,-0.01901039,0.11172179,-0.01389091,2.31824050,-0.59341883,0.62396643,-0.19166029,0.02218487,-0.00964982,1.87598142,-0.72955483,0.99466831,-0.35205310,0.23338812,-0.05929376
-5.99399700,3.19065494,-1.18666093,0.05398441,-0.02104437,0.11625185,-0.01475795,2.35778986,-0.63720625,0.64018477,-0.19644002,0.02235787,-0.01045071,1.90549506,-0.76694757,1.00855298,-0.37383507,0.23771703,-0.06367680
-5.98799400,3.22787623,-1.24644734,0.05387973,-0.02317931,0.12019157,-0.01571669,2.38401804,-0.68437198,0.65322919,-0.20139644,0.02239062,-0.01127852,1.92441387,-0.80651968,1.01674189,-0.39691926,0.24067483,-0.06841064
-5.98199100,3.24687437,-1.30934772,0.05341135,-0.02539490,0.12346830,-0.01676759,2.39656757,-0.73488890,0.66284159,-0.20653829,0.02228125,-0.01212287,1.93242189,-0.84816884,1.01912367,-0.42124437,0.24221810,-0.07348669
-5.97598799,3.24736176,-1.37512056,0.05259096,-0.02766656,0.12602064,-0.01790899,2.39535188,-0.78867587,0.66883024,-0.21186956,0.02203104,-0.01297244,1.92942608,-0.89174342,1.01570575,-0.44671928,0.24233105,-0.07888909
-5.96998499,3.22942409,-1.44345063,0.05143735,-0.02996581,0.12780062,-0.01913703,2.38055530,-0.84559697,0.67107530,-0.21738977,0.02164433,-0.01381517,1.91555656,-0.93704450,1.00661244,-0.47322405,0.24102581,-0.08459476
-5.96398199,3.19351379,-1.51395510,0.04997578,-0.03226074,0.12877557,-0.02044563,2.35262452,-0.90546220,0.66953229,-0.22309437,0.02112831,-0.01463845,1.89115971,-0.98382971,0.99207918,-0.50061194,0.23834188,-0.09057381
-5.95797899,3.14043242,-1.58619209,0.04823708,-0.03451672,0.12892952,-0.02182652,2.31225191,-0.96802957,0.66423335,-0.22897535,0.02049284,-0.01542944,1.85678465,-1.03181874,0.97244347,-0.52871233,0.23434465,-0.09679008
-5.95197599,3.07130290,-1.65967126,0.04625660,-0.03669723,0.12826422,-0.02326940,2.26035172,-1.03300843,0.65528639,-0.23502189,0.01975001,-0.01617532,1.81316372,-1.08069997,0.94813269,-0.55733436,0.22912328,-0.10320204
-5.94597299,2.98753296,-1.73386563,0.04407302,-0.03876480,0.12679961,-0.02476214,2.19803015,-1.10006361,0.64287208,-0.24122084,0.01891375,-0.01686366,1.76118807,-1.13013798,0.91964956,-0.58627112,0.22278778,-0.10976373
